Lat	Lon	MeanFitness
39.0600	-8.7600	 0.050
39.2300	-8.7600	 0.299
39.4000	-8.7600	 0.548
39.5600	-8.7600	 0.741
39.7300	-8.7600	 0.740
39.8900	-8.7600	 0.741
40.0600	-8.7600	 0.991
40.2300	-8.7600	 0.991
40.3900	-8.7600	 0.987
42.0500	-8.7600	 0.474
42.7200	-8.7600	 0.410
42.8800	-8.7600	 0.420
43.0500	-8.7600	 0.360
43.2100	-8.7600	 0.463
43.3800	-8.7600	 0.750
51.6800	-8.7600	 0.884
51.8400	-8.7600	 0.842
52.0100	-8.7600	 0.744
52.1800	-8.7600	 0.609
52.3400	-8.7600	 0.781
52.5100	-8.7600	 0.939
52.6700	-8.7600	 0.994
52.8400	-8.7600	 0.991
53.0100	-8.7600	 0.933
53.1700	-8.7600	 0.934
53.3400	-8.7600	 0.941
53.5100	-8.7600	 0.840
53.6700	-8.7600	 0.584
53.8400	-8.7600	 0.574
54.0000	-8.7600	 0.517
54.1700	-8.7600	 0.141
54.3400	-8.7600	 0.434
70.9400	-8.7600	 0.001
37.2400	-8.5900	 0.050
37.4000	-8.5900	 0.055
37.5700	-8.5900	 0.050
37.7300	-8.5900	 0.050
37.9000	-8.5900	 0.055
38.0700	-8.5900	 0.050
38.2300	-8.5900	 0.000
38.4000	-8.5900	 0.000
38.5600	-8.5900	 0.000
38.7300	-8.5900	 0.000
38.9000	-8.5900	 0.050
39.0600	-8.5900	 0.050
39.2300	-8.5900	 0.250
39.4000	-8.5900	 0.399
39.5600	-8.5900	 0.596
39.7300	-8.5900	 0.836
39.8900	-8.5900	 0.742
40.0600	-8.5900	 0.993
40.2300	-8.5900	 0.993
40.3900	-8.5900	 0.992
40.5600	-8.5900	 0.991
40.7200	-8.5900	 0.989
41.3900	-8.5900	 0.936
41.5500	-8.5900	 0.882
41.7200	-8.5900	 0.781
41.8800	-8.5900	 0.589
42.0500	-8.5900	 0.526
42.2200	-8.5900	 0.331
42.3800	-8.5900	 0.361
42.5500	-8.5900	 0.386
42.7200	-8.5900	 0.503
42.8800	-8.5900	 0.385
43.0500	-8.5900	 0.395
43.2100	-8.5900	 0.433
