",""Leaf_Anat"",""Root_Morph"",""Seed_Bank"",""Reprd_Type"",""Tol_Anox"",""Seed_Buoy"",""Leaf_Pubsc"",""Phys_Def"",""Leaf_Phen"",""Wat_Stress"",""Root_Depth"",""RZ_Oblig"",""RZ_Facul"",""RZ_Prefer"",""RZ_Nonrip"",""Mx_Height"",""Diasp_Type"",""Disp_Vect"",""Life_Span"",""Seed_Weight"",""Leaf_Width"",""Light_Rq"",""Fruit_Type"",""Strat_Comp"",""Strat_CompStr"",""Strat_Str"""
"Eric_arbo,""1"",""1"",""2"",""1"",""2"",""480"",""0"",""0"",""1"",""2"",""2"",""0"",""1"",""0"",""0"",""7"",""1"",""0"",""1"",""0.15"",""0.06"",""2"",""0"",""0"",""1"",""0"""
"Eric_aust,""1"",""1"",""2"",""1"",""3"",""168"",""0"",""0"",""1"",""1"",""2"",""0"",""0"",""0"",""1"",""2.5"",""1"",""0"",""1"",""0.2172"",""0.06"",""2"",""0"",""0"",""0"",""1"""
"Eric_cine,""1"",""1"",""2"",""1"",""3"",""168"",""1"",""0"",""1"",""1"",""2"",""0"",""1"",""0"",""0"",""1.8"",""1"",""0"",""1"",""0.0468"",""0.14"",""2"",""0"",""0"",""0"",""1"""
"Eric_tetr,""0"",""1"",""2"",""1"",""1"",""168"",""1"",""0"",""1"",""3"",""2"",""0"",""0"",""0"",""1"",""0.75"",""1"",""0"",""1"",""0.1402"",""0.07000000000000001"",""2"",""0"",""0"",""1"",""0"""
"Eric_cili,""0"",""1"",""1"",""1"",""3"",""168"",""1"",""0"",""1"",""1"",""2"",""0"",""1"",""0"",""0"",""0.7"",""1"",""0"",""1"",""0.02"",""0.11"",""3"",""0"",""0"",""1"",""0"""
"Ficu_cari,""1"",""0"",""1"",""1"",""1"",""0.01"",""0"",""0"",""0"",""3"",""2"",""0"",""1"",""0"",""0"",""10"",""0"",""0"",""3"",""0.1"",""28"",""3"",""1"",""0"",""0"",""1"""
"Flue_tinc,""0"",""0"",""2"",""1"",""1"",""168"",""0"",""1"",""0"",""3"",""2"",""1"",""0"",""0"",""0"",""2"",""1"",""0"",""1"",""4"",""0.07000000000000001"",""3"",""0"",""0"",""0"",""1"""
"Frang_alnu,""1"",""0"",""2"",""0"",""3"",""336"",""0"",""0"",""0"",""1"",""1"",""1"",""0"",""0"",""0"",""15"",""0"",""1"",""1"",""21.5"",""6"",""2"",""1"",""1"",""0"",""0"""
"Frax_angu,""1"",""0"",""2"",""0"",""2"",""6"",""0"",""0"",""0"",""1"",""3"",""0"",""1"",""0"",""0"",""25"",""0"",""1"",""3"",""70"",""3"",""2"",""0"",""1"",""0"",""0"""
"Geni_flor,""1"",""1"",""1"",""0"",""1"",""168"",""1"",""0"",""1"",""2"",""1"",""0"",""0"",""0"",""1"",""2.5"",""1"",""0"",""1"",""6.63"",""0.7"",""3"",""0"",""0"",""1"",""0"""
"Hede_hibe,""0"",""0"",""1"",""1"",""3"",""168"",""0"",""0"",""1"",""2"",""1"",""0"",""1"",""0"",""0"",""30"",""0"",""1"",""2"",""27"",""9.699999999999999"",""1"",""1"",""0"",""1"",""0"""
"Hype_andr,""1"",""0"",""3"",""0"",""3"",""168"",""0"",""1"",""0"",""2"",""1"",""1"",""0"",""0"",""0"",""2"",""1"",""0"",""1"",""0.07000000000000001"",""0.8"",""3"",""0"",""0"",""1"",""0"""
"Hyp_humi,""1"",""0"",""3"",""0"",""2"",""168"",""0"",""1"",""1"",""2"",""1"",""0"",""1"",""0"",""0"",""0.3"",""1"",""0"",""1"",""0.0368"",""0.23"",""3"",""0"",""0"",""1"",""0"""
"Ilex_aqui,""0"",""1"",""1"",""1"",""1"",""240"",""0"",""1"",""0"",""1"",""2"",""0"",""0"",""1"",""0"",""12"",""0"",""0"",""2"",""28.7"",""4.25"",""1"",""1"",""1"",""0"",""0"""
"Jugl_regi,""1"",""1"",""3"",""0"",""3"",""6"",""0"",""0"",""0"",""1"",""3"",""0"",""0"",""1"",""0"",""25"",""0"",""0"",""3"",""4000"",""8"",""3"",""1"",""1"",""0"",""0"""
"Laur_nobi,""0"",""0"",""2"",""0"",""2"",""168"",""0"",""0"",""1"",""2"",""3"",""0"",""0"",""1"",""0"",""10"",""0"",""1"",""3"",""915"",""3.5"",""2"",""1"",""0"",""1"",""0"""
"Lava_stoe,""1"",""0"",""2"",""0"",""2"",""168"",""1"",""0"",""1"",""2"",""1"",""0"",""0"",""0"",""1"",""0.87"",""1"",""0"",""1"",""0.9"",""4.28"",""3"",""0"",""1"",""0"",""0"""
"Lith_pros,""1"",""0"",""1"",""0"",""2"",""60"",""1"",""0"",""0"",""1"",""1"",""0"",""0"",""0"",""1"",""0.3"",""1"",""0"",""1"",""8.6"",""0.3"",""3"",""0"",""0"",""1"",""0"""
"Myrt_comm,""0"",""1"",""2"",""1"",""2"",""14"",""0"",""0"",""1"",""2"",""3"",""0"",""1"",""0"",""0"",""5"",""0"",""0"",""2"",""5.5"",""1.5"",""3"",""1"",""0"",""1"",""0"""
"Phil_lati,""1"",""1"",""1"",""1"",""2"",""14"",""0"",""0"",""1"",""3"",""1"",""0"",""0"",""0"",""1"",""4"",""0"",""0"",""1"",""19"",""0.75"",""2"",""1"",""0"",""0"",""1"""
"Phil_angu,""1"",""1"",""1"",""1"",""2"",""14"",""0"",""0"",""1"",""3"",""1"",""0"",""1"",""0"",""0"",""8"",""0"",""0"",""1"",""36"",""2.15"",""2"",""1"",""0"",""0"",""1"""
"Pinu_pina,""0"",""1"",""3"",""0"",""1"",""6"",""0"",""0"",""1"",""3"",""3"",""0"",""0"",""0"",""1"",""40"",""1"",""0"",""3"",""53.8"",""0.2"",""3"",""0"",""0"",""1"",""0"""
"Plat_hisp,""1"",""1"",""1"",""0"",""2"",""168"",""0"",""0"",""0"",""2"",""3"",""0"",""1"",""0"",""0"",""35"",""1"",""0"",""3"",""3"",""21"",""2"",""0"",""1"",""0"",""0"""
"Popu_cana,""1"",""1"",""1"",""0"",""2"",""168"",""0"",""0"",""0"",""1"",""3"",""0"",""1"",""0"",""0"",""25"",""1"",""0"",""2"",""0.9"",""5"",""2"",""0"",""1"",""0"",""0"""
"Prun_aviu,""1"",""0"",""1"",""0"",""1"",""24"",""0"",""0"",""0"",""2"",""2"",""0"",""0"",""0"",""1"",""30"",""0"",""0"",""2"",""186"",""5.5"",""2"",""1"",""1"",""0"",""0"""
"Pyru_cord,""1"",""1"",""1"",""0"",""2"",""24"",""0"",""1"",""0"",""2"",""2"",""0"",""0"",""0"",""1"",""15"",""0"",""0"",""1"",""200"",""3.2"",""2"",""1"",""1"",""0"",""0"""
"Quer_fagi,""1"",""1"",""1"",""1"",""2"",""168"",""1"",""0"",""0"",""2"",""3"",""0"",""0"",""0"",""1"",""20"",""0"",""0"",""3"",""2510"",""5.75"",""2"",""0"",""1"",""0"",""0"""
"Quer_pyre,""1"",""1"",""1"",""0"",""2"",""168"",""1"",""0"",""0"",""1"",""2"",""0"",""0"",""0"",""1"",""25"",""0"",""0"",""3"",""155.4"",""8"",""3"",""0"",""1"",""0"",""0"""
"Quer_robu,""1"",""1"",""2"",""0"",""1"",""168"",""0"",""0"",""0"",""1"",""3"",""0"",""1"",""0"",""0"",""40"",""1"",""0"",""3"",""3378"",""6.1"",""3"",""0"",""1"",""0"",""0"""
"Quer_sube,""0"",""1"",""1"",""1"",""1"",""168"",""1"",""0"",""1"",""2"",""3"",""0"",""0"",""0"",""1"",""40"",""0"",""0"",""3"",""4220"",""3.85"",""3"",""0"",""1"",""0"",""0"""
"Robi_pseu,""1"",""0"",""3"",""1"",""1"",""200"",""0"",""1"",""0"",""3"",""3"",""0"",""1"",""0"",""0"",""25"",""0"",""0"",""2"",""19.2"",""0.4"",""3"",""0"",""1"",""0"",""0"""
"Rosa_cani,""1"",""1"",""1"",""0"",""1"",""24"",""0"",""1"",""0"",""3"",""1"",""0"",""1"",""0"",""0"",""6"",""0"",""0"",""1"",""2.58"",""0.7"",""3"",""0"",""1"",""0"",""0"""
"Rosa_pouz ,""1"",""1"",""1"",""0"",""1"",""36"",""0"",""1"",""0"",""3"",""1"",""0"",""1"",""0"",""0"",""3"",""0"",""0"",""1"",""2.58"",""2.5"",""3"",""0"",""1"",""0"",""0"""
"Rubu_briga,""1"",""1"",""1"",""1"",""2"",""14"",""1"",""1"",""1"",""3"",""1"",""0"",""1"",""0"",""0"",""2"",""0"",""1"",""1"",""2.58"",""3"",""1"",""1"",""1"",""0"",""0"""
"Rubu_gene,""1"",""1"",""1"",""1"",""2"",""14"",""1"",""1"",""1"",""3"",""1"",""0"",""1"",""0"",""0"",""2"",""0"",""1"",""1"",""2.58"",""2.5"",""1"",""1"",""1"",""0"",""0"""
"Rubus lainzii  ,""1"",""1"",""1"",""1"",""2"",""14"",""1"",""1"",""1"",""3"",""1"",""0"",""1"",""0"",""0"",""2"",""0"",""1"",""1"",""2.58"",""5"",""1"",""1"",""1"",""0"",""0"""
"Rubu_radu,""1"",""1"",""1"",""1"",""2"",""14"",""1"",""1"",""1"",""3"",""1"",""0"",""1"",""0"",""0"",""2"",""0"",""1"",""1"",""2.58"",""2.3"",""1"",""1"",""1"",""0"",""0"""
"Rubu_ulmi,""0"",""1"",""1"",""1"",""1"",""14"",""1"",""1"",""1"",""3"",""1"",""0"",""1"",""0"",""0"",""3"",""0"",""0"",""1"",""2.58"",""5"",""1"",""1"",""1"",""0"",""0"""
"Rubu_vaga,""1"",""1"",""1"",""1"",""2"",""14"",""1"",""1"",""1"",""3"",""1"",""0"",""1"",""0"",""0"",""2"",""0"",""1"",""1"",""2.58"",""5.1"",""1"",""1"",""1"",""0"",""0"""
"Sali_alba,""1"",""0"",""3"",""0"",""3"",""48"",""0"",""0"",""0"",""1"",""1"",""1"",""0"",""0"",""0"",""25"",""1"",""1"",""2"",""1.2"",""1.75"",""2"",""0"",""1"",""0"",""0"""
"Sali_atroc,""1"",""0"",""3"",""1"",""2"",""48"",""1"",""0"",""0"",""1"",""1"",""1"",""0"",""0"",""0"",""12"",""1"",""1"",""2"",""1"",""1.5"",""2"",""0"",""1"",""0"",""0"""
"Sali_neot,""1"",""0"",""1"",""1"",""3"",""48"",""0"",""0"",""0"",""1"",""1"",""1"",""0"",""0"",""0"",""25"",""1"",""1"",""2"",""0.12"",""2"",""2"",""0"",""1"",""0"",""0"""
"Sali_salv,""1"",""0"",""3"",""1"",""1"",""48"",""1"",""0"",""0"",""2"",""1"",""1"",""0"",""0"",""0"",""6"",""1"",""1"",""1"",""1"",""2"",""2"",""0"",""1"",""0"",""0"""
"Samb_nigr,""1"",""0"",""1"",""1"",""1"",""1"",""0"",""0"",""0"",""1"",""3"",""0"",""0"",""1"",""0"",""5"",""0"",""0"",""1"",""1.8"",""10"",""2"",""1"",""1"",""0"",""0"""
"Sesa_suff,""1"",""0"",""1"",""1"",""2"",""6"",""0"",""0"",""0"",""3"",""1"",""0"",""0"",""0"",""1"",""4.5"",""1"",""0"",""1"",""0.1"",""0.49"",""2"",""0"",""1"",""0"",""0"""
"Sorb_aucu,""1"",""0"",""1"",""1"",""1"",""6"",""1"",""0"",""0"",""1"",""2"",""0"",""1"",""0"",""0"",""20"",""0"",""1"",""1"",""19"",""9"",""2"",""1"",""0"",""0"",""1"""
"Thym_mast,""1"",""1"",""1"",""0"",""1"",""6"",""1"",""0"",""1"",""3"",""2"",""0"",""0"",""0"",""1"",""0.8"",""0"",""0"",""1"",""0.13"",""0.25"",""3"",""0"",""0"",""1"",""0"""
"Ule_mino,""0"",""1"",""1"",""0"",""2"",""1"",""0"",""1"",""1"",""2"",""3"",""0"",""1"",""0"",""0"",""2"",""1"",""0"",""1"",""3.2"",""0.1"",""3"",""0"",""1"",""0"",""0"""
"Vac_myrt,""1"",""0"",""1"",""1"",""2"",""1"",""0"",""0"",""0"",""2"",""2"",""0"",""1"",""0"",""0"",""0.6"",""0"",""0"",""1"",""0.25"",""1.5"",""2"",""1"",""0"",""1"",""0"""
"Vit_vini,""1"",""0"",""1"",""1"",""2"",""0.01"",""1"",""0"",""0"",""1"",""2"",""0"",""1"",""0"",""0"",""30"",""1"",""0"",""2"",""31"",""20"",""3"",""1"",""1"",""0"",""0"""
","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
