ID,Lat,Long,PSS,LMA,LA,LM,HV,LWC,Nmass,Delta13C,Wdens,RW10M,FO_tree,FO_branch,FW_mean,DBH,Height,Comp20,Martin1,Martin2,Martin3,Martin4,Martin5,Martin6,Martin7,Martin8,Martin9,Martin10,Martin11,Martin12,Martin13,Martin14,Martin15,Martin16,Martin17,Martin18,Martin19,Martin21,Martin22,Martin23,Martin24,Martin25,Martin26,Martin27,Martin28,Martin29,Martin30
257_2_79,213528.82,831639.3,42,135.71,72.95,0.99,15.25,0.5263,2.18,-26.41,0.7039,0.6885,2,1,0.16,20.34,1511,47.3,0.596437895,0.596437895,1.606166608,1.606166608,2.974754833,6.874374782,10.28566789,11.56830731,14.32853229,18.60298819,21.55036461,23.12555405,26.82773093,29.17362568,32.65906947,37.77026893,39.37696774,41.93633574,45.74082195,48.59557338,52.61403134,54.84343623,57.74494764,59.08888885,62.18808161,66.55546736,69.06893391,72.12442801,76.28579223
257_2_81,213527.19,831633.69,46.5,NA,NA,NA,NA,NA,NA,NA,0.6782,0.1978,2,NA,NA,13.43,1051,62.2,0.947695876,0.947695876,2.226440514,4.654615205,5.746098052,10.81865766,14.40050056,17.99335667,22.40753814,26.22948959,31.38069794,32.52498276,37.84022573,40.06033312,45.36457053,48.05743896,51.12705356,55.45889294,60.2161823,68.23638522,71.55539316,72.18267798,74.99498256,77.48692017,80.21829475,84.38126528,85.84887038,91.21084266,92.24450061
257_2_83,213523.43,831634.55,47.5,101.38,43.4,0.44,27.75,0.551,2.07,-27.23,0.7237,0.3064,1,4,0.61,15.69,1219,56.3,0,1.684982466,2.801634036,6.659402405,10.19398941,12.83396704,15.20068181,16.96295626,19.73113312,22.53799911,25.84437302,32.68525336,35.04830335,37.89412567,40.23085812,43.92249496,49.3356975,50.94815794,54.28898204,59.55150863,62.55537642,65.81532259,66.75931053,70.85393518,74.59525213,78.53927679,79.92522589,82.13101846,85.88992982
257_2_84,213514.43,831632.37,52,NA,NA,NA,NA,NA,NA,NA,0.6839,0.519,4,NA,NA,20.59,1273,35.6,0,0,0,1.010977256,2.588335742,3.249761129,6.294781281,8.897219213,11.21067818,13.49026873,16.93619359,19.45192742,20.25389963,23.5128275,26.48796408,30.76738503,30.76738503,32.12018977,33.13816257,37.72585616,39.79069071,44.31221617,46.42933359,49.25466907,52.18639753,53.19205173,56.31074074,57.40679149,60.24318343
257_2_85,213532.33,831641.96,39,139.32,118.43,1.65,7.33,0.5429,2.32,-27.86,0.7473,0.2426,0,0,0,14.58,1110,58.1,0,0,0.939739407,3.764854449,8.773594856,8.773594856,13.59333892,16.49191487,18.36811417,24.10921908,27.69799569,32.82846426,37.67246078,39.4851368,41.97022299,44.74819008,49.51907825,51.58459702,54.09665407,62.80920605,66.42136544,70.96345748,72.58526049,76.95259328,82.94706393,86.17680134,88.72392967,93.03491011,96.65410285
257_2_86,213527.04,831623.51,45.5,91.08,94.42,0.86,9.12,0.559,2.48,-27.66,NA,0.268,1,4,0.6,20.28,1051,39.9,0,0,0.985107476,3.069319856,5.737215021,5.917582148,10.13422966,12.43783701,15.48916396,17.47018952,19.76808112,21.88765048,22.79512695,25.46471713,28.52680287,33.32099221,35.24027506,36.50731765,38.11312233,42.45888928,44.3491576,45.96117658,46.9624875,48.91698172,50.46701291,51.23021252,52.83815285,54.02278119,54.62374551
257_2_87,213526.42,831626.61,51,127.43,65.92,0.84,14.65,0.5758,2.28,-28.9,NA,0.1841,3,3,0.49,16.52,1200,50.5,1.821085211,1.821085211,1.821085211,5.010229597,7.921021129,7.921021129,11.54161827,13.52287223,18.80051968,19.70976954,24.70824527,27.91028889,29.77424261,34.23444599,36.79776753,37.1019092,39.6408445,43.06759777,45.932696,53.47987452,54.84611539,60.0192667,60.96979328,61.7231417,63.13669634,63.8325533,67.29147499,67.85380887,67.85380887
257_2_88,213520.81,831620.68,51,102.68,47.72,0.49,12.29,0.5243,2.07,-27.61,NA,NA,3,1,0.13,13.75,1026,52.7,0,2.048060027,6.952908369,7.852680907,9.788713617,12.68512536,15.88967052,16.82768634,20.50312306,21.7597087,26.01667939,30.08881544,32.345443,34.99131047,38.86817,42.96737641,49.04881906,49.81846061,50.15601699,53.87103252,54.69431213,57.06352519,58.48392835,60.80866003,62.51156179,63.36132885,63.67331305,65.51265117,66.40220782
257_2_90,213523.85,831613.77,43.5,113.83,89.61,1.02,15.44,0.5467,1.98,-26.15,NA,0.116,2,4,0.85,15.44,1053,37.5,0,0.98800632,1.65860854,6.738782685,8.223529496,11.83343716,14.1522895,15.69871814,19.95332476,21.71730727,27.44780301,28.16537257,28.79808117,31.46298915,33.81163914,33.81163914,35.63682639,36.46441153,36.46441153,40.0632349,41.37428994,42.38118237,45.27208331,45.27208331,46.2617483,47.45691831,48.7266351,49.09027072,49.49058782
257_2_91,213524.82,831613.23,44.5,109.95,76.4,0.84,16.98,0.5484,2.11,-26.54,1.5521,0.123,1,2,0.45,16.14,1013,35.6,0,0.904122509,1.847123953,5.868632509,7.850626049,9.518684898,13.17773193,16.96461875,19.09801977,22.00558979,25.75228186,26.93221182,27.79101459,31.40836362,33.36714669,33.36714669,33.89716988,34.20420919,35.57618705,36.53214279,38.77422652,39.82881953,41.57971972,43.33428748,44.11384086,44.68920016,46.03051338,46.63948009,47.69610655
