date,doy,tree.id,tag,circuit,fopn,fpst,lcolor,lfall,comments
1991-09-27,270,COAL-01,NA,NA,NA,NA,1,0,NA
1991-09-27,270,COAL-02,NA,NA,NA,NA,3,0,NA
1991-09-27,270,COAL-03,NA,NA,NA,NA,8,10,NA
1991-09-27,270,CRSP-01,NA,NA,NA,NA,75,97,NA
1991-09-27,270,CRSP-02,NA,NA,NA,NA,100,100,NA
1991-09-27,270,CRSP-03,NA,NA,NA,NA,100,0,NA
1991-09-27,270,FAGR-01,NA,NA,NA,NA,0,0,NA
1991-09-27,270,FAGR-02,NA,NA,NA,NA,1,0,NA
1991-09-27,270,FAGR-03,NA,NA,NA,NA,1,0,NA
1991-09-27,270,FAGR-04,NA,NA,NA,NA,3,0,NA
1991-09-27,270,FRAM-01,NA,NA,NA,NA,93,0,NA
1991-09-27,270,FRAM-02,NA,NA,NA,NA,95,0,NA
1991-09-27,270,FRAM-03,NA,NA,NA,NA,0,0,NA
1991-09-27,270,FRAM-04,NA,NA,NA,NA,3,0,NA
1991-09-27,270,FRAM-05,NA,NA,NA,NA,23,0,NA
1991-09-27,270,HAVI-01,NA,NA,90,NA,30,0,NA
1991-09-27,270,HAVI-02,NA,NA,92,NA,30,0,NA
1991-09-27,270,HAVI-03,NA,NA,5,NA,8,0,NA
1991-09-27,270,ILVE-01,NA,NA,NA,NA,0,0,NA
1991-09-27,270,ILVE-02,NA,NA,NA,NA,0,0,NA
1991-09-27,270,ILVE-03,NA,NA,NA,NA,0,0,NA
1991-09-27,270,ILVE-04,NA,NA,NA,NA,0,0,NA
1991-09-27,270,KAAN-01,NA,NA,NA,NA,0,0,NA
1991-09-27,270,KAAN-02,NA,NA,NA,NA,0,0,NA
1991-09-27,270,KAAN-03,NA,NA,NA,NA,0,0,NA
1991-09-27,270,KALA-01,NA,NA,NA,NA,0,0,NA
1991-09-27,270,KALA-02,NA,NA,NA,NA,5,0,NA
1991-09-27,270,KALA-03,NA,NA,NA,NA,15,0,NA
1991-09-27,270,LYLI-01,NA,NA,NA,NA,100,0,NA
1991-09-27,270,LYLI-02,NA,NA,NA,NA,3,0,NA
1991-09-27,270,LYLI-03,NA,NA,NA,NA,70,0,NA
1991-09-27,270,NEMU-01,NA,NA,NA,NA,45,80,NA
1991-09-27,270,NEMU-02,NA,NA,NA,NA,50,50,NA
1991-09-27,270,NEMU-03,NA,NA,NA,NA,80,80,NA
1991-09-27,270,NYSY-01,NA,NA,NA,NA,10,0,NA
1991-09-27,270,NYSY-02,NA,NA,NA,NA,95,0,NA
1991-09-27,270,NYSY-03,NA,NA,NA,NA,90,28,NA
1991-09-27,270,PIST-01,NA,NA,NA,NA,0,0,NA
1991-09-27,270,PIST-02,NA,NA,NA,NA,NA,0,NA
1991-09-27,270,PIST-03,NA,NA,NA,NA,0,0,NA
1991-09-27,270,PIST-04,NA,NA,NA,NA,0,0,NA
1991-09-27,270,POTR-01,NA,NA,NA,NA,3,0,NA
1991-09-27,270,POTR-02,NA,NA,NA,NA,0,0,NA
1991-09-27,270,POTR-03,NA,NA,NA,NA,1,0,NA
1991-09-27,270,PRSE-01,NA,NA,NA,NA,8,0,NA
1991-09-27,270,PRSE-02,NA,NA,NA,NA,8,0,NA
1991-09-27,270,PRSE-03,NA,NA,NA,NA,30,0,NA
1991-09-27,270,QUAL-01,NA,NA,NA,NA,5,0,NA
1991-09-27,270,QUAL-02,NA,NA,NA,NA,35,0,NA
1991-09-27,270,QUAL-03,NA,NA,NA,NA,1,0,NA
1991-09-27,270,QURU-01,NA,NA,NA,NA,3,0,NA
1991-09-27,270,QURU-02,NA,NA,NA,NA,15,0,NA
1991-09-27,270,QURU-03,NA,NA,NA,NA,8,0,NA
1991-09-27,270,QURU-04,NA,NA,NA,NA,30,0,NA
1991-09-27,270,QUVE-01,NA,NA,NA,NA,3,0,NA
1991-09-27,270,QUVE-02,NA,NA,NA,NA,1,0,NA
1991-09-27,270,QUVE-03,NA,NA,NA,NA,45,0,NA
1991-09-27,270,QUVE-04,NA,NA,NA,NA,3,0,NA
1991-09-27,270,RHSP-01,NA,NA,NA,NA,100,0,NA
1991-09-27,270,RHSP-02,NA,NA,NA,NA,100,0,NA
1991-09-27,270,RHSP-03,NA,NA,NA,NA,80,0,NA
1991-09-27,270,SAPU-01,NA,NA,NA,NA,5,0,NA
1991-09-27,270,SAPU-02,NA,NA,NA,NA,3,0,NA
1991-09-27,270,SAPU-03,NA,NA,NA,NA,90,0,NA
1991-09-27,270,TSCA-01,NA,NA,NA,NA,5,0,NA
1991-09-27,270,TSCA-02,NA,NA,NA,NA,1,0,NA
1991-09-27,270,TSCA-03,NA,NA,NA,NA,3,0,NA
1991-09-27,270,VACO-01,NA,NA,NA,NA,15,0,NA
1991-09-27,270,VACO-02,NA,NA,NA,NA,50,0,NA
1991-09-27,270,VACO-03,NA,NA,NA,NA,3,0,NA
1991-09-27,270,VACO-04,NA,NA,NA,NA,13,0,NA
1991-09-27,270,VIAL-01,NA,NA,NA,NA,0,0,NA
1991-09-27,270,VIAL-02,NA,NA,NA,NA,1,0,NA
1991-09-27,270,VIAL-03,NA,NA,NA,NA,3,0,NA
1991-09-27,270,VICA-01,NA,NA,NA,NA,8,0,NA
1991-09-27,270,VICA-02,NA,NA,NA,NA,50,0,NA
1991-09-27,270,VICA-03,NA,NA,NA,NA,5,0,NA
1991-10-03,276,ACPE-01,NA,NA,NA,NA,100,20,NA
1991-10-03,276,ACPE-02,NA,NA,NA,NA,8,0,NA
1991-10-03,276,ACPE-03,NA,NA,NA,NA,25,0,NA
1991-10-03,276,ACPE-04,NA,NA,NA,NA,90,0,NA
1991-10-03,276,ACRU-01,NA,NA,NA,NA,98,3,NA
1991-10-03,276,ACRU-02,NA,NA,NA,NA,99,3,NA
1991-10-03,276,ACRU-03,NA,NA,NA,NA,100,70,NA
1991-10-03,276,ACRU-04,NA,NA,NA,NA,100,15,NA
1991-10-03,276,ACRU-05,NA,NA,NA,NA,65,3,NA
1991-10-03,276,ACSA-01,NA,NA,NA,NA,3,0,NA
1991-10-03,276,ACSA-02,NA,NA,NA,NA,1,0,NA
1991-10-03,276,ACSA-03,NA,NA,NA,NA,40,30,NA
1991-10-03,276,AMSP-01,NA,NA,NA,NA,95,8,NA
1991-10-03,276,AMSP-02,NA,NA,NA,NA,97,5,NA
1991-10-03,276,AMSP-03,NA,NA,NA,NA,100,3,NA
1991-10-03,276,AMSP-04,NA,NA,NA,NA,90,0,NA
1991-10-03,276,ARSP-01,NA,NA,NA,NA,60,0,NA
1991-10-03,276,ARSP-02,NA,NA,NA,NA,99,0,NA
1991-10-03,276,ARSP-03,NA,NA,NA,NA,70,0,NA
1991-10-03,276,BEAL-01,NA,NA,NA,NA,95,3,NA
1991-10-03,276,BEAL-02,NA,NA,NA,NA,90,25,NA
1991-10-03,276,BEAL-03,NA,NA,NA,NA,99,50,NA
1991-10-03,276,BELE-01,NA,NA,NA,NA,25,1,NA
1991-10-03,276,BELE-02,NA,NA,NA,NA,50,0,NA
1991-10-03,276,BELE-03,NA,NA,NA,NA,35,0,NA
1991-10-03,276,BEPA-01,NA,NA,NA,NA,15,0,NA
1991-10-03,276,BEPA-02,NA,NA,NA,NA,20,0,NA
1991-10-03,276,BEPA-03,NA,NA,NA,NA,60,0,NA
1991-10-03,276,BEPA-04,NA,NA,NA,NA,45,10,NA
1991-10-03,276,BEPO-01,NA,NA,NA,NA,50,5,NA
1991-10-03,276,BEPO-02,NA,NA,NA,NA,85,0,NA
1991-10-03,276,BEPO-03,NA,NA,NA,NA,70,30,NA
1991-10-03,276,BEPO-04,NA,NA,NA,NA,5,0,NA
1991-10-03,276,CADE-01,NA,NA,NA,NA,50,5,NA
1991-10-03,276,CADE-02,NA,NA,NA,NA,50,0,NA
1991-10-03,276,CADE-03,NA,NA,NA,NA,15,0,NA
1991-10-03,276,COAL-01,NA,NA,NA,NA,100,0,NA
1991-10-03,276,COAL-02,NA,NA,NA,NA,40,0,NA
1991-10-03,276,COAL-03,NA,NA,NA,NA,100,0,NA
1991-10-03,276,CRSP-01,NA,NA,NA,NA,99,0,NA
1991-10-03,276,CRSP-02,NA,NA,NA,NA,100,100,NA
1991-10-03,276,CRSP-03,NA,NA,NA,NA,100,0,NA
1991-10-03,276,FAGR-01,NA,NA,NA,NA,10,0,NA
1991-10-03,276,FAGR-02,NA,NA,NA,NA,8,0,NA
1991-10-03,276,FAGR-03,NA,NA,NA,NA,5,0,NA
1991-10-03,276,FAGR-04,NA,NA,NA,NA,5,0,NA
1991-10-03,276,FRAM-01,NA,NA,NA,NA,100,10,NA
1991-10-03,276,FRAM-02,NA,NA,NA,NA,100,85,NA
1991-10-03,276,FRAM-03,NA,NA,NA,NA,0,0,NA
1991-10-03,276,FRAM-04,NA,NA,NA,NA,42,0,NA
1991-10-03,276,FRAM-05,NA,NA,NA,NA,40,3,NA
1991-10-03,276,HAVI-01,NA,NA,100,NA,85,0,NA
1991-10-03,276,HAVI-02,NA,NA,100,NA,80,0,NA
1991-10-03,276,HAVI-03,NA,NA,100,NA,15,0,NA
1991-10-03,276,ILVE-01,NA,NA,NA,NA,1,0,NA
1991-10-03,276,ILVE-02,NA,NA,NA,NA,0,0,NA
1991-10-03,276,ILVE-03,NA,NA,NA,NA,0,0,NA
1991-10-03,276,ILVE-04,NA,NA,NA,NA,0,0,NA
1991-10-03,276,KAAN-01,NA,NA,NA,NA,1,0,NA
1991-10-03,276,KAAN-02,NA,NA,NA,NA,5,0,NA
1991-10-03,276,KAAN-03,NA,NA,NA,NA,0,0,NA
1991-10-03,276,KALA-01,NA,NA,NA,NA,NA,NA,NA
