year,species,bb.doy,l75.doy,fbb.doy,fopn.doy,sd.bb.doy,sd.l75.doy,sd.fbb.doy,sd.fopn.doy
1999,ARSP,122,140,NA,NA,3.68791545280965,1.62663766835454,0,6.71754801082231e-05
2000,ARSP,121,145,NA,NA,3.69974974325233,1.86593424150447,0,2.00001000081329e-05
2001,ARSP,123,140,NA,NA,5.10864628542036,2.42548149906312,0,5.25005875029376
1990,BEAL,125,149,NA,NA,4.35652755821738,2.22698680051165,NA,NA
1991,BEAL,119,135,130,133,0.464995744286989,2.57007022831958,4.59619407771256,0.451854099050423
1992,BEAL,136,156,144,145,2.05579620424983,1.83624573162414,NA,NA
1993,BEAL,116,145,134,134,4.04378233046898,1.879642606033,NA,NA
1994,BEAL,126,144,NA,NA,5.00922696804066,2.7831022523944,0,3.18180196998449
1995,BEAL,130,143,139,139,6.40625356213202,2.12574215108331,NA,NA
1996,BEAL,119,144,111,NA,7.21476612310886,6.28544306851882,NA,NA
1997,BEAL,135,150,134,NA,5.03343389519945,4.53515385000868,4.04145188432738,1.64414298140466
1998,BEAL,120,135,122,122,1.15482178254201,1.16358856404427,8.37157890324957,7.43435289680829
1999,BEAL,127,138,NA,NA,1.01442392884256,1.64841150946766,4.33012701892219,5.83868828376986
2000,BEAL,128,144,128,129,0.590461959361376,2.02006573159438,7.42462120245875,4.24273261146047
2001,BEAL,123,137,NA,NA,2.53103587025628,4.65369449149718,0,0
2002,BEAL,126,146,112,112,1.99986749933748,0,NA,NA
2003,BEAL,133,151,127,128,0.801148917761135,0,9.19238815542512,5.6753840753425
2004,BEAL,126,139,NA,NA,3.72192526805537,2.1635131302233,NA,NA
2005,BEAL,134,154,116,121,2.11573939685281,0.938094954859454,NA,NA
2006,BEAL,130,150,124,126,5.00080382487022,3.93666209914746,2.3094010767585,2.30942705899648
2007,BEAL,129,145,NA,NA,0.693480717719876,0.476956887733447,7.42462120245875,7.42463357688929
2008,BEAL,132,149,116,117,2.12526011745059,1.63660985238066,2.3094010767585,5.06546103520419
2009,BEAL,123,142,119,120,3.04147540141347,3.44717021237749,7.79422863405995,4.21181349440997
2010,BEAL,116,133,109,116,1.36482533272343,1.85174206802932,NA,NA
2011,BEAL,130,146,120,121,0.109066944300362,2.4044791786109,9.75,0.997863600870754
