year,species,bb.doy,l75.doy,fbb.doy,fopn.doy,sd.bb.doy,sd.l75.doy,sd.fbb.doy,sd.fopn.doy
1995,RHSP,136,150,146,150,2.47472347321061,NA,NA,NA
1996,RHSP,126,151,148,150,4.19807333271544,NA,NA,NA
1997,RHSP,140,158,157,160,1.54305433233589,1.2540509010791,NA,NA
1998,RHSP,125,139,128,132,5.58978057628198,3.12983632611613,2.88675134594813,0.692898843056761
1999,RHSP,131,147,136,146,5.41810397932155,NA,NA,NA
2000,RHSP,131,151,144,149,1.74682959505501,2.12539679669527,2.59807621135332,2.31849377760641
2001,RHSP,131,146,145,146,3.13953989466308,2.26409925543167,0,4.70105973882211
1990,SAPU,118,144,127,128,0.0147917878555697,1.79523619288642,NA,NA
1991,SAPU,114,139,102,122,2.30873134709759,NA,NA,NA
1992,SAPU,109,173,132,135,2.54418354749365,2.04283292100924,NA,NA
1993,SAPU,109,150,108,127,0.533356420682842,NA,NA,NA
1994,SAPU,105,146,126,130,1.5529858214708,NA,NA,NA
1995,SAPU,114,150,108,133,1.60729003435845,NA,NA,NA
1996,SAPU,97,150,127,134,0.313129053419814,NA,NA,NA
1997,SAPU,100,152,130,140,3.35030754846866,0,NA,NA
1998,SAPU,106,138,120,121,5.43102873755,5.51890695393374,2.3094010767585,3.01503921902977
1999,SAPU,98,142,109,129,0.0531337240540838,1.55028859012993,NA,NA
2000,SAPU,94,145,125,128,0.054645485277527,NA,NA,NA
2001,SAPU,113,141,124,126,2.48987012624705,NA,NA,NA
2002,SAPU,106,NA,112,116,1.15466012521726,2.81288651465139,NA,NA
2003,SAPU,111,NA,128,131,1.84802261961012,3.08564211321314,0,3.61653566394003
1990,TSCA,150,167,NA,NA,2.11823065302125,NA,NA,NA
1991,TSCA,143,160,NA,NA,2.87320644929087,3.05364446629141,4.78713553878169,3.63241024211361
1992,TSCA,146,172,NA,NA,4.75766841856407,2.1424605591837,3.46410161513775,0.943745957046729
1993,TSCA,141,161,NA,NA,3.2354462156031,3.69499680309366,NA,NA
1994,TSCA,146,162,NA,NA,4.0776445741429,NA,NA,NA
1995,TSCA,143,161,NA,NA,4.94760328041468,4.13234156788151,0,2.4747871131391
1996,TSCA,148,164,NA,NA,0.94572613771479,NA,NA,NA
1997,TSCA,152,171,NA,NA,2.66169538137742,NA,NA,NA
1998,TSCA,137,159,NA,NA,1.97971089597809,NA,NA,NA
1999,TSCA,141,157,NA,NA,1.2141729946444,NA,NA,NA
2000,TSCA,140,161,NA,NA,4.45801199099018,0.69237346186732,4.59619407771256,3.2998151462965
2001,TSCA,148,168,NA,NA,1.0548103076004,5.48505692895187,NA,NA
1990,VACO,118,142,125,138,1.17392923613992,3.58041898108034,NA,NA
1991,VACO,104,133,124,130,3.53562229472234,NA,NA,NA
1992,VACO,128,155,139,141,2.72328501215484,NA,NA,NA
1993,VACO,117,151,130,132,0.614800588962133,1.67511049339483,NA,NA
1994,VACO,121,149,130,142,3.70366924217264,3.02676634793903,3.46410161513775,3.12674907726115
1995,VACO,125,149,136,142,1.37680251884733,NA,NA,NA
1996,VACO,118,149,138,142,2.18969594847974,0.510599003243402,7.79422863405995,5.34644905691485
1997,VACO,126,156,140,149,5.91910878021761,0.824974999883628,3.83405790253616,2.10602301000863
1998,VACO,108,141,121,129,5.12692781354056,3.65163605955614,NA,NA
1999,VACO,120,143,128,135,6.12225329821402,NA,NA,NA
2000,VACO,122,147,128,133,2.143558889454,0.81372886968275,NA,NA
2001,VACO,122,144,129,135,1.1514328005215,NA,NA,NA
1990,VIAL,118,145,122,129,2.76088061044536,NA,NA,NA
1991,VIAL,113,134,110,128,8.72717674249152,NA,NA,NA
1992,VIAL,123,156,130,135,5.21034298700544,NA,NA,NA
1993,VIAL,113,137,132,132,3.41636079222835,0.166703333516665,NA,NA
1994,VIAL,116,141,124,125,2.17020793012602,3.20429932855222,NA,NA
1995,VIAL,120,143,142,144,1.01350144958022,3.2537610692891,NA,NA
1996,VIAL,115,143,134,135,0.147634027480169,NA,NA,NA
1997,VIAL,120,149,134,136,4.18527244074877,NA,NA,NA
1998,VIAL,106,133,111,111,0.749377228052246,0.979912643945334,NA,NA
1999,VIAL,116,136,108,125,2.82019493585146,3.40453108061214,4.04145188432738,0.577477286883927
2000,VIAL,116,141,125,127,1.1026162072094,NA,NA,NA
2001,VIAL,119,134,124,125,3.81650213802436,2.77346627909938,2.88675134594813,1.90043862279324
2002,VIAL,NA,NA,NA,NA,4.81606743418844,2.65820606132933,3.35410196624968,2.63570323110438
2003,VIAL,119,NA,128,131,0.522342454160016,3.1868664111129,NA,NA
1990,VICA,113,147,NA,NA,5.47977597966428,NA,NA,NA
1991,VICA,97,137,NA,NA,3.49998610381231,0.673649888837205,0,0
1992,VICA,121,154,NA,NA,1.71965103170608,NA,NA,NA
1993,VICA,113,146,NA,NA,3.85406548293199,NA,NA,NA
1994,VICA,115,142,169,169,NA,NA,NA,NA
1995,VICA,118,144,144,144,4.2323756745295,NA,NA,NA
1996,VICA,114,148,190,193,5.00841639219047,2.99987266104633,0,0.707050212361207
1997,VICA,119,151,NA,NA,0.241131365438317,2.09900011235767,NA,NA
1998,VICA,102,134,NA,NA,0.444219222234063,0.258977531635361,NA,NA
1999,VICA,109,138,164,164,7.59190052231369,NA,NA,NA
2000,VICA,107,145,NA,NA,5.97205921948869,NA,NA,NA
2001,VICA,118,139,NA,NA,0.0928705179669471,0.333228034257002,NA,NA
2002,VICA,106,NA,NA,NA,5.26341820095022,4.55630767615076,7.07106781186548,0.353682438226096
2003,VICA,117,NA,NA,NA,0.740373513380708,NA,NA,NA
