chillutah,chillports,gdd,siteslist,year,lat,long,lat.long,cc,lo,mat
2340,115.4544527,55.47002026,13,1958,51.8333,7.3,51.8333 7.3,1950-1960,115,3.95622942
2544,121.2955575,89.41010668,13,1959,51.8333,7.3,51.8333 7.3,1950-1960,96,9.157540779
2748,128.5323075,79.11498973,13,1960,51.8333,7.3,51.8333 7.3,1950-1960,98,7.428688359
2532,125.1012334,24.88449995,14,1951,50.75,9.46667,50.75 9.46667,1950-1960,112,3.782950735
2160,108.8660349,105.06214,14,1952,50.75,9.46667,50.75 9.46667,1950-1960,108,6.04983593
2244,110.5593621,74.34380823,14,1953,50.75,9.46667,50.75 9.46667,1950-1960,108,6.607540836
2256,116.8961352,81.36573967,14,1954,50.75,9.46667,50.75 9.46667,1950-1960,130,4.669508092
1680,98.05291938,127.018142,14,1955,50.75,9.46667,50.75 9.46667,1950-1960,127,3.249180255
1992,101.9981844,60.3262838,14,1956,50.75,9.46667,50.75 9.46667,1950-1960,125,3.856393356
2796,130.9373364,106.2866254,14,1957,50.75,9.46667,50.75 9.46667,1950-1960,120,6.556229362
2100,107.2387522,150.5960327,14,1958,50.75,9.46667,50.75 9.46667,1950-1960,138,1.528196687
2676,119.9265074,105.1279156,14,1959,50.75,9.46667,50.75 9.46667,1950-1960,106,7.586065404
2532,118.3490576,80.09260304,14,1960,50.75,9.46667,50.75 9.46667,1950-1960,113,5.598032662
2760,129.8795782,60.47728342,15,1951,48.9833,9.58333,48.9833 9.58333,1950-1960,112,5.288852341
2388,122.0237214,84.23756892,15,1952,48.9833,9.58333,48.9833 9.58333,1950-1960,105,7.110491644
2124,108.1901316,66.50233037,15,1953,48.9833,9.58333,48.9833 9.58333,1950-1960,98,7.206229347
2496,122.092803,66.13715467,15,1954,48.9833,9.58333,48.9833 9.58333,1950-1960,122,5.524426106
1728,105.8466051,123.4183875,15,1955,48.9833,9.58333,48.9833 9.58333,1950-1960,121,4.228360561
2112,106.183434,87.16878547,15,1956,48.9833,9.58333,48.9833 9.58333,1950-1960,123,5.011311363
2664,125.9301501,78.15445746,15,1957,48.9833,9.58333,48.9833 9.58333,1950-1960,96,7.294426066
2220,110.2136956,75.73648754,15,1958,48.9833,9.58333,48.9833 9.58333,1950-1960,124,2.604098302
2520,119.2044284,103.7183428,15,1959,48.9833,9.58333,48.9833 9.58333,1950-1960,104,7.94508179
2604,125.4900655,84.19124672,15,1960,48.9833,9.58333,48.9833 9.58333,1950-1960,106,6.681967064
1980,109.122063,25.83009699,16,1951,49.3167,12.75,49.3167 12.75,1950-1960,113,3.82131139
1872,98.13059719,68.33817945,16,1952,49.3167,12.75,49.3167 12.75,1950-1960,106,5.219835949
1860,99.61429605,36.31771767,16,1953,49.3167,12.75,49.3167 12.75,1950-1960,95,5.846393312
1812,102.6065544,26.48868036,16,1954,49.3167,12.75,49.3167 12.75,1950-1960,120,4.09967204
1608,95.70215829,85.06793199,16,1955,49.3167,12.75,49.3167 12.75,1950-1960,121,2.394262242
1644,93.05933364,42.51806495,16,1956,49.3167,12.75,49.3167 12.75,1950-1960,122,2.641475351
2472,117.8653064,46.05461643,16,1957,49.3167,12.75,49.3167 12.75,1950-1960,103,5.847376918
1752,96.62800736,34.85526114,16,1958,49.3167,12.75,49.3167 12.75,1950-1960,123,0.801803261
2412,109.7913564,27.50303871,16,1959,49.3167,12.75,49.3167 12.75,1950-1960,94,6.554917886
2364,109.2032916,33.09080244,16,1960,49.3167,12.75,49.3167 12.75,1950-1960,102,4.560491701
2988,134.8940846,60.01640183,17,1951,49.7167,10.2167,49.7167 10.2167,1950-1960,113,5.495409713
2304,119.1254588,85.93928646,17,1952,49.7167,10.2167,49.7167 10.2167,1950-1960,104,7.337868688
2172,110.6150876,85.56468126,17,1953,49.7167,10.2167,49.7167 10.2167,1950-1960,101,7.623934256
2304,118.7890812,62.60327905,17,1954,49.7167,10.2167,49.7167 10.2167,1950-1960,118,5.980327735
1764,101.6431965,91.94332567,17,1955,49.7167,10.2167,49.7167 10.2167,1950-1960,118,4.693606452
2040,102.0815195,62.63306594,17,1956,49.7167,10.2167,49.7167 10.2167,1950-1960,115,5.017213003
2652,129.5959649,90.83070933,17,1957,49.7167,10.2167,49.7167 10.2167,1950-1960,103,7.647212944
2220,111.7614733,80.64392471,17,1958,49.7167,10.2167,49.7167 10.2167,1950-1960,123,2.734917972
2568,118.5259538,115.542031,17,1959,49.7167,10.2167,49.7167 10.2167,1950-1960,104,8.38213096
2508,123.1088065,74.90898706,17,1960,49.7167,10.2167,49.7167 10.2167,1950-1960,100,6.961803123
1764,103.691775,34.84675934,18,1951,48.75,13.5167,48.75 13.5167,1950-1960,114,4.343934329
1872,96.69353356,86.88543458,18,1952,48.75,13.5167,48.75 13.5167,1950-1960,109,5.346393323
1608,91.57498169,57.80658868,18,1953,48.75,13.5167,48.75 13.5167,1950-1960,100,6.354753956
1836,98.88578657,75.56490854,18,1954,48.75,13.5167,48.75 13.5167,1950-1960,131,4.481311375
1644,93.88815564,73.83010138,18,1955,48.75,13.5167,48.75 13.5167,1950-1960,121,2.549999943
1536,89.45426272,54.08171333,18,1956,48.75,13.5167,48.75 13.5167,1950-1960,120,3.365573695
2520,118.3113482,55.5406121,18,1957,48.75,13.5167,48.75 13.5167,1950-1960,110,6.116885109
1548,89.29834356,90.88266485,18,1958,48.75,13.5167,48.75 13.5167,1950-1960,129,1.211147514
2220,105.9743474,88.19557269,18,1959,48.75,13.5167,48.75 13.5167,1950-1960,107,6.876229355
2352,109.2446556,39.83887808,18,1960,48.75,13.5167,48.75 13.5167,1950-1960,102,5.210163818
2820,130.5782846,57.93521017,19,1951,51.5833,9.3,51.5833 9.3,1950-1960,115,4.559835964
2364,116.7329434,118.2959333,19,1952,51.5833,9.3,51.5833 9.3,1950-1960,107,6.584753951
2556,120.381909,59.19199348,19,1953,51.5833,9.3,51.5833 9.3,1950-1960,98,7.005409679
2448,121.2196039,65.04847719,19,1954,51.5833,9.3,51.5833 9.3,1950-1960,125,5.143606442
1884,103.7942985,110.4348892,19,1955,51.5833,9.3,51.5833 9.3,1950-1960,124,3.576229428
2232,108.4874533,56.97175987,19,1956,51.5833,9.3,51.5833 9.3,1950-1960,121,4.329999903
2940,138.7168343,71.07772841,19,1957,51.5833,9.3,51.5833 9.3,1950-1960,105,7.340327705
2196,115.6570177,79.80085187,19,1958,51.5833,9.3,51.5833 9.3,1950-1960,126,2.583278631
2688,126.0638003,105.8106752,19,1959,51.5833,9.3,51.5833 9.3,1950-1960,105,7.936885068
2580,124.2067463,71.00181109,19,1960,51.5833,9.3,51.5833 9.3,1950-1960,104,6.230819533
1896,106.2986758,33.20817223,20,1951,50,12.0833,50 12.0833,1950-1960,115,3.324426155
1836,96.95029447,21.42369956,20,1952,50,12.0833,50 12.0833,1950-1960,101,4.786229401
2040,102.2183743,80.6953481,20,1953,50,12.0833,50 12.0833,1950-1960,118,5.477376927
1956,102.6483524,13.09754029,20,1954,50,12.0833,50 12.0833,1950-1960,94,3.881967126
1620,95.17541686,77.06639384,20,1955,50,12.0833,50 12.0833,1950-1960,122,2.17475405
1692,92.62067585,67.32876404,20,1956,50,12.0833,50 12.0833,1950-1960,129,2.375737652
2472,118.9002623,28.99839525,20,1957,50,12.0833,50 12.0833,1950-1960,88,5.544262171
1860,100.7974826,30.62769196,20,1958,50,12.0833,50 12.0833,1950-1960,124,0.958688503
2412,113.1383291,45.76006603,20,1959,50,12.0833,50 12.0833,1950-1960,103,6.492131002
2352,106.364941,56.47048414,20,1960,50,12.0833,50 12.0833,1950-1960,115,4.404426131
2508,126.5843663,64.62320087,21,1951,49.3333,10.8,49.3333 10.8,1950-1960,115,4.953278578
2148,113.5401597,160.3271151,21,1952,49.3333,10.8,49.3333 10.8,1950-1960,112,6.670655589
2028,106.1374865,77.27705079,21,1953,49.3333,10.8,49.3333 10.8,1950-1960,103,7.105409677
2220,116.160492,67.4243165,21,1954,49.3333,10.8,49.3333 10.8,1950-1960,124,5.437376928
1584,99.43302533,119.0914779,21,1955,49.3333,10.8,49.3333 10.8,1950-1960,121,4.02442614
1992,102.2210794,100.9792487,21,1956,49.3333,10.8,49.3333 10.8,1950-1960,128,4.283114658
2652,126.8010357,127.4094471,21,1957,49.3333,10.8,49.3333 10.8,1950-1960,118,7.110819513
2136,112.3187351,143.074366,21,1958,49.3333,10.8,49.3333 10.8,1950-1960,130,2.403278635
2688,118.9097718,104.591556,21,1959,49.3333,10.8,49.3333 10.8,1950-1960,105,7.717212942
2508,119.4981773,91.64945771,21,1960,49.3333,10.8,49.3333 10.8,1950-1960,110,6.414262152
2256,121.7027808,62.78416914,22,1951,49.4,11.4,49.4 11.4,1950-1960,115,4.735573665
2064,108.0706684,126.9311459,22,1952,49.4,11.4,49.4 11.4,1950-1960,109,6.331311334
1932,102.6843386,69.81003857,22,1953,49.4,11.4,49.4 11.4,1950-1960,96,7.168196561
2064,112.2404003,63.26670593,22,1954,49.4,11.4,49.4 11.4,1950-1960,126,5.076885132
1656,97.19032355,133.0970307,22,1955,49.4,11.4,49.4 11.4,1950-1960,124,3.71344254
1860,99.45337309,96.88512436,22,1956,49.4,11.4,49.4 11.4,1950-1960,128,3.819180243
2592,124.2934466,88.96574865,22,1957,49.4,11.4,49.4 11.4,1950-1960,113,6.922458862
1992,106.4194713,64.09741718,22,1958,49.4,11.4,49.4 11.4,1950-1960,125,1.90081963
2400,113.7525406,97.57433857,22,1959,49.4,11.4,49.4 11.4,1950-1960,104,7.752130974
2340,113.8539217,68.20942853,22,1960,49.4,11.4,49.4 11.4,1950-1960,107,5.899180196
2184,118.7798832,78.87998692,23,1951,48.4833,10.6667,48.4833 10.6667,1950-1960,115,5.249180211
2316,114.241412,43.26837926,23,1952,48.4833,10.6667,48.4833 10.6667,1950-1960,101,6.789835914
1788,103.600402,81.4110463,23,1953,48.4833,10.6667,48.4833 10.6667,1950-1960,106,6.970327713
2100,116.7909415,39.4284064,23,1954,48.4833,10.6667,48.4833 10.6667,1950-1960,114,5.188032671
1776,101.7566928,55.14454641,23,1955,48.4833,10.6667,48.4833 10.6667,1950-1960,112,3.833114668
2004,103.2538601,58.57462126,23,1956,48.4833,10.6667,48.4833 10.6667,1950-1960,113,4.486721211
2604,125.2218157,90.52607939,23,1957,48.4833,10.6667,48.4833 10.6667,1950-1960,110,7.184590003
1992,107.0949695,33.37667013,23,1958,48.4833,10.6667,48.4833 10.6667,1950-1960,115,2.358196669
2328,114.1017499,124.6161841,23,1959,48.4833,10.6667,48.4833 10.6667,1950-1960,110,7.604753928
2484,118.7087549,104.6570265,23,1960,48.4833,10.6667,48.4833 10.6667,1950-1960,116,6.175901501
1860,106.1919387,52.93863206,24,1951,49.3833,12.7167,49.3833 12.7167,1950-1960,116,3.805409751
1824,97.05856472,89.62482772,24,1952,49.3833,12.7167,49.3833 12.7167,1950-1960,108,5.223114637
1812,97.91015449,41.80117815,24,1953,49.3833,12.7167,49.3833 12.7167,1950-1960,94,6.022622816
1812,102.9280848,36.79340358,24,1954,49.3833,12.7167,49.3833 12.7167,1950-1960,122,4.229016299
1584,95.8191096,104.6239166,24,1955,49.3833,12.7167,49.3833 12.7167,1950-1960,124,2.484426174
1584,91.99534349,54.23419272,24,1956,49.3833,12.7167,49.3833 12.7167,1950-1960,126,2.64737699
2472,117.5777971,48.97739661,24,1957,49.3833,12.7167,49.3833 12.7167,1950-1960,104,5.956721178
1812,98.69559643,51.5359559,24,1958,49.3833,12.7167,49.3833 12.7167,1950-1960,126,0.860983587
2340,109.1480365,42.62917963,24,1959,49.3833,12.7167,49.3833 12.7167,1950-1960,96,6.725409686
2352,109.1566552,42.11257317,24,1960,49.3833,12.7167,49.3833 12.7167,1950-1960,108,4.704753993
2076,111.1960094,45.86088594,25,1951,50.3167,11.9167,50.3167 11.9167,1950-1960,116,3.189508125
1860,97.63999717,52.59081033,25,1952,50.3167,11.9167,50.3167 11.9167,1950-1960,104,4.75540973
2052,106.4623025,50.40405747,25,1953,50.3167,11.9167,50.3167 11.9167,1950-1960,105,5.533442499
1968,103.9508262,24.5367737,25,1954,50.3167,11.9167,50.3167 11.9167,1950-1960,124,3.41540976
1656,94.5721788,75.42015229,25,1955,50.3167,11.9167,50.3167 11.9167,1950-1960,121,1.80704914
1704,94.06765932,28.49464711,25,1956,50.3167,11.9167,50.3167 11.9167,1950-1960,125,1.861803237
2496,118.7419479,38.23635211,25,1957,50.3167,11.9167,50.3167 11.9167,1950-1960,108,5.188032671
1860,98.9968418,85.15909994,25,1958,50.3167,11.9167,50.3167 11.9167,1950-1960,130,0.5067213
2568,118.6388332,76.77308875,25,1959,50.3167,11.9167,50.3167 11.9167,1950-1960,106,6.393278546
2352,105.6814531,45.01098689,25,1960,50.3167,11.9167,50.3167 11.9167,1950-1960,121,3.949835977
2988,134.8940846,90.99859831,26,1951,49.7,10.0167,49.7 10.0167,1950-1960,116,5.495409713
2304,119.1254588,196.5018498,26,1952,49.7,10.0167,49.7 10.0167,1950-1960,115,7.337868688
2172,110.6150876,91.92347876,26,1953,49.7,10.0167,49.7 10.0167,1950-1960,102,7.623934256
2304,118.7890812,62.60327905,26,1954,49.7,10.0167,49.7 10.0167,1950-1960,118,5.980327735
1764,101.6431965,145.6986626,26,1955,49.7,10.0167,49.7 10.0167,1950-1960,121,4.693606452
2040,102.0815195,67.59872735,26,1956,49.7,10.0167,49.7 10.0167,1950-1960,117,5.017213003
