"chillutah","chillports","gdd","siteslist","year","lat","long","lat.long","cc","lo"
1812,102.928084760933,201.556613847232,15,1954,49.3833,12.7167,"49.3833 12.7167","1950-1960",122
1584,95.8191095981697,206.527283951148,15,1955,49.3833,12.7167,"49.3833 12.7167","1950-1960",124
1584,91.9953434852177,246.320685366676,15,1956,49.3833,12.7167,"49.3833 12.7167","1950-1960",126
2472,117.577797138868,221.525208423417,15,1957,49.3833,12.7167,"49.3833 12.7167","1950-1960",104
1812,98.695596432411,311.265954994424,15,1958,49.3833,12.7167,"49.3833 12.7167","1950-1960",126
2340,109.148036474144,338.624713227494,15,1959,49.3833,12.7167,"49.3833 12.7167","1950-1960",96
2352,109.156655158798,293.767843724114,15,1960,49.3833,12.7167,"49.3833 12.7167","1950-1960",108
2424,125.123376481299,291.000141819197,16,1951,49.9333,11.2833,"49.9333 11.2833","1950-1960",116
2064,108.297786079746,382.814989242218,16,1952,49.9333,11.2833,"49.9333 11.2833","1950-1960",111
2088,108.645317943523,418.005631813669,16,1953,49.9333,11.2833,"49.9333 11.2833","1950-1960",104
2052,111.838946168508,240.064727986368,16,1954,49.9333,11.2833,"49.9333 11.2833","1950-1960",129
1656,97.3808714218174,221.407792443657,16,1955,49.9333,11.2833,"49.9333 11.2833","1950-1960",123
1956,99.3978535127627,260.141542280665,16,1956,49.9333,11.2833,"49.9333 11.2833","1950-1960",148
2592,123.871242686245,231.743428235159,16,1957,49.9333,11.2833,"49.9333 11.2833","1950-1960",111
2556,117.226708384911,389.804204936572,16,1959,49.9333,11.2833,"49.9333 11.2833","1950-1960",105
2472,112.517268628018,332.160809495654,16,1960,49.9333,11.2833,"49.9333 11.2833","1950-1960",110
2988,134.894084579595,323.673631690218,17,1951,49.7,10.0167,"49.7 10.0167","1950-1960",116
2304,119.125458762229,473.393689676317,17,1952,49.7,10.0167,"49.7 10.0167","1950-1960",115
2172,110.615087637501,485.765248932139,17,1953,49.7,10.0167,"49.7 10.0167","1950-1960",102
2304,118.789081240859,300.948709145566,17,1954,49.7,10.0167,"49.7 10.0167","1950-1960",118
1764,101.643196459336,311.410056272082,17,1955,49.7,10.0167,"49.7 10.0167","1950-1960",121
2040,102.081519515062,345.580412851642,17,1956,49.7,10.0167,"49.7 10.0167","1950-1960",117
2652,129.595964909129,310.498000126496,17,1957,49.7,10.0167,"49.7 10.0167","1950-1960",96
2220,111.761473290961,371.382173795926,17,1958,49.7,10.0167,"49.7 10.0167","1950-1960",121
