"chillport","siteslist","year","lat","long","lat.long","winter","lo","cc","mat","num.years","chillutah"
142.265466923062,4,2003,48.8833,12.6,"48.8833 12.6","0",107,"post",14.9224172488756,11,543.237145842186
145.145231432561,4,2004,48.8833,12.6,"48.8833 12.6","0",104,"post",12.6335162011354,11,546.715001422513
129.534387580173,4,2005,48.8833,12.6,"48.8833 12.6","0",102,"post",13.4629667320463,11,593.198572267113
129.740544981284,4,2006,48.8833,12.6,"48.8833 12.6","0",114,"post",13.383626074479,11,571.255715295406
153.726584679297,4,2007,48.8833,12.6,"48.8833 12.6","0",96,"post",14.932417248652,11,324.596431829434
150.287429802372,4,2008,48.8833,12.6,"48.8833 12.6","0",110,"post",13.9750546326881,11,390.498574299206
117.996106382397,4,2009,48.8833,12.6,"48.8833 12.6","0",100,"post",14.4142853921013,11,532.330002693992
127.050716723717,4,2010,48.8833,12.6,"48.8833 12.6","0",108,"post",12.8634063058871,11,769.707142320861
146.588110787062,5,2001,50.8833,9.35,"50.8833 9.35","0",117,"post",11.5934063342738,11,487.927144819338
153.595133013596,5,2002,50.8833,9.35,"50.8833 9.35","0",94,"post",12.3415381856836,11,353.352859702227
145.281002698273,5,2003,50.8833,9.35,"50.8833 9.35","0",105,"post",13.4974722257805,11,543.237145842186
139.77088220373,5,2004,50.8833,9.35,"50.8833 9.35","0",102,"post",11.3235162304162,11,546.715001422513
129.688040327968,5,2005,50.8833,9.35,"50.8833 9.35","0",109,"post",12.1473623658479,11,593.198572267113
136.763175876521,5,2006,50.8833,9.35,"50.8833 9.35","0",115,"post",11.8489008340575,11,571.255715295406
156.544422205863,5,2007,50.8833,9.35,"50.8833 9.35","0",103,"post",13.7640656264151,11,324.596431829434
141.536808720191,5,2008,50.8833,9.35,"50.8833 9.35","0",111,"post",12.4128568654082,11,390.498574299206
130.151702588803,5,2009,50.8833,9.35,"50.8833 9.35","0",99,"post",12.984724984494,11,532.330002693992
132.925103193435,5,2010,50.8833,9.35,"50.8833 9.35","0",101,"post",11.2809887588393,11,769.707142320861
150.495331712977,6,2001,48.5667,11.75,"48.5667 11.75","0",113,"post",12.5375821373456,9,487.927144819338
150.06607223588,6,2002,48.5667,11.75,"48.5667 11.75","0",112,"post",13.6596700243529,9,353.352859702227
137.970945416461,6,2003,48.5667,11.75,"48.5667 11.75","0",102,"post",15.2478018569873,9,543.237145842186
124.206301217402,6,2004,48.5667,11.75,"48.5667 11.75","0",107,"post",12.640768948226,9,546.715001422513
124.760580745587,6,2005,48.5667,11.75,"48.5667 11.75","0",109,"post",12.9851645449238,9,593.198572267113
117.046067034567,6,2006,48.5667,11.75,"48.5667 11.75","0",116,"post",12.820329383773,9,571.255715295406
146.173014111641,6,2007,48.5667,11.75,"48.5667 11.75","0",103,"post",14.6693403314553,9,324.596431829434
151.004764763771,6,2008,48.5667,11.75,"48.5667 11.75","0",105,"post",13.4052744256435,9,390.498574299206
159.254533052131,7,2002,50.1667,7.55,"50.1667 7.55","0",97,"post",12.9823074021305,9,353.352859702227
147.096123943791,7,2003,50.1667,7.55,"50.1667 7.55","0",105,"post",14.1086810033277,9,543.237145842186
136.378409538805,7,2004,50.1667,7.55,"50.1667 7.55","0",108,"post",11.901208525196,9,546.715001422513
135.415534339948,7,2005,50.1667,7.55,"50.1667 7.55","0",98,"post",13.1090106960018,9,593.198572267113
113.780614267613,7,2006,50.1667,7.55,"50.1667 7.55","0",120,"post",12.643296420697,9,571.255715295406
153.571644172133,7,2007,50.1667,7.55,"50.1667 7.55","0",101,"post",14.559340333914,9,324.596431829434
145.666747528031,7,2008,50.1667,7.55,"50.1667 7.55","0",112,"post",13.1619777277849,9,390.498574299206
128.846412894794,7,2009,50.1667,7.55,"50.1667 7.55","0",101,"post",13.5593403562658,9,532.330002693992
135.764111285078,7,2010,50.1667,7.55,"50.1667 7.55","0",108,"post",12.0212085225138,9,769.707142320861
143.984268012953,8,2001,49.0833,9.88333,"49.0833 9.88333","0",124,"post",12.4646151060095,11,487.927144819338
157.02095563943,8,2002,49.0833,9.88333,"49.0833 9.88333","0",120,"post",13.4969227752433,11,353.352859702227
141.212727949904,8,2003,49.0833,9.88333,"49.0833 9.88333","0",114,"post",14.5961535199044,11,543.237145842186
125.822885013967,8,2004,49.0833,9.88333,"49.0833 9.88333","0",107,"post",12.0997799493291,11,546.715001422513
131.797797754048,8,2005,49.0833,9.88333,"49.0833 9.88333","0",115,"post",13.5105491485651,11,593.198572267113
