"chillutah1","siteslist","year","lat","long","lat.long","winter","lo","num.years","cc","mat1","chillutah2","mat2","chillutah3","mat3","chillutah4","mat4","chillutah5","mat5"
3096,6,1957,54.1667,10.05,"54.1667 10.05",0,116,9,"apre",10.6556041574331,NA,NA,NA,NA,NA,NA,NA,NA
2064,6,1958,54.1667,10.05,"54.1667 10.05",0,128,9,"apre",10.2629668035718,NA,NA,NA,NA,NA,NA,NA,NA
2568,6,1959,54.1667,10.05,"54.1667 10.05",0,105,9,"apre",12.1764832443179,NA,NA,NA,NA,NA,NA,NA,NA
2628,6,1960,54.1667,10.05,"54.1667 10.05",0,118,9,"apre",11.4930766661866,NA,NA,NA,NA,NA,NA,NA,NA
2328,7,1950,48.4667,11.9333,"48.4667 11.9333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2052,7,1951,48.4667,11.9333,"48.4667 11.9333",0,110,9,"apre",11.6426371024041,NA,NA,NA,NA,NA,NA,NA,NA
2160,7,1952,48.4667,11.9333,"48.4667 11.9333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1596,7,1953,48.4667,11.9333,"48.4667 11.9333",0,96,9,"apre",12.4721975234225,NA,NA,NA,NA,NA,NA,NA,NA
2076,7,1954,48.4667,11.9333,"48.4667 11.9333",0,117,9,"apre",10.899999756366,NA,NA,NA,NA,NA,NA,NA,NA
1800,7,1955,48.4667,11.9333,"48.4667 11.9333",0,119,9,"apre",10.7751645943211,NA,NA,NA,NA,NA,NA,NA,NA
1992,7,1956,48.4667,11.9333,"48.4667 11.9333",0,117,9,"apre",10.5284613031321,NA,NA,NA,NA,NA,NA,NA,NA
2628,7,1957,48.4667,11.9333,"48.4667 11.9333",0,96,9,"apre",11.261428319716,NA,NA,NA,NA,NA,NA,NA,NA
1872,7,1958,48.4667,11.9333,"48.4667 11.9333",0,122,9,"apre",11.8442854495453,NA,NA,NA,NA,NA,NA,NA,NA
2436,7,1959,48.4667,11.9333,"48.4667 11.9333",0,98,9,"apre",12.4810986221246,NA,NA,NA,NA,NA,NA,NA,NA
2328,7,1960,48.4667,11.9333,"48.4667 11.9333",0,102,9,"apre",12.3269228013949,NA,NA,NA,NA,NA,NA,NA,NA
2052,8,1950,49.6167,12.35,"49.6167 12.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1824,8,1951,49.6167,12.35,"49.6167 12.35",0,125,10,"apre",10.5279118525949,NA,NA,NA,NA,NA,NA,NA,NA
1788,8,1952,49.6167,12.35,"49.6167 12.35",0,116,10,"apre",11.5730766643985,NA,NA,NA,NA,NA,NA,NA,NA
1908,8,1953,49.6167,12.35,"49.6167 12.35",0,102,10,"apre",11.8779118224201,NA,NA,NA,NA,NA,NA,NA,NA
1896,8,1954,49.6167,12.35,"49.6167 12.35",0,126,10,"apre",10.0246151605478,NA,NA,NA,NA,NA,NA,NA,NA
1608,8,1955,49.6167,12.35,"49.6167 12.35",0,123,10,"apre",9.29329649557534,NA,NA,NA,NA,NA,NA,NA,NA
1632,8,1956,49.6167,12.35,"49.6167 12.35",0,130,10,"apre",9.32307671468991,NA,NA,NA,NA,NA,NA,NA,NA
2460,8,1957,49.6167,12.35,"49.6167 12.35",0,121,10,"apre",10.4293404262267,NA,NA,NA,NA,NA,NA,NA,NA
1836,8,1958,49.6167,12.35,"49.6167 12.35",0,125,10,"apre",10.4049448223764,NA,NA,NA,NA,NA,NA,NA,NA
2292,8,1959,49.6167,12.35,"49.6167 12.35",0,103,10,"apre",11.6942854528981,NA,NA,NA,NA,NA,NA,NA,NA
2376,8,1960,49.6167,12.35,"49.6167 12.35",0,115,10,"apre",11.2986810661361,NA,NA,NA,NA,NA,NA,NA,NA
2520,9,1950,53.5833,9.76667,"53.5833 9.76667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2832,9,1951,53.5833,9.76667,"53.5833 9.76667",0,114,7,"apre",11.3368129334157,NA,NA,NA,NA,NA,NA,NA,NA
2436,9,1952,53.5833,9.76667,"53.5833 9.76667",0,109,7,"apre",12.3757140090955,NA,NA,NA,NA,NA,NA,NA,NA
2592,9,1953,53.5833,9.76667,"53.5833 9.76667",0,106,7,"apre",12.8515381742842,NA,NA,NA,NA,NA,NA,NA,NA
2340,9,1954,53.5833,9.76667,"53.5833 9.76667",0,119,7,"apre",11.417692052487,NA,NA,NA,NA,NA,NA,NA,NA
1872,9,1955,53.5833,9.76667,"53.5833 9.76667",0,120,7,"apre",9.976043733062,NA,NA,NA,NA,NA,NA,NA,NA
2256,9,1956,53.5833,9.76667,"53.5833 9.76667",0,119,7,"apre",10.4128569101116,NA,NA,NA,NA,NA,NA,NA,NA
3036,9,1957,53.5833,9.76667,"53.5833 9.76667",0,95,7,"apre",11.3251645820277,NA,NA,NA,NA,NA,NA,NA,NA
2112,9,1958,53.5833,9.76667,"53.5833 9.76667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2496,9,1959,53.5833,9.76667,"53.5833 9.76667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2592,9,1960,53.5833,9.76667,"53.5833 9.76667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2100,10,1950,49.3167,12.85,"49.3167 12.85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,10,1951,49.3167,12.85,"49.3167 12.85",0,122,9,"apre",10.9428568982652,NA,NA,NA,NA,NA,NA,NA,NA
1848,10,1952,49.3167,12.85,"49.3167 12.85",0,108,9,"apre",11.8926370968162,NA,NA,NA,NA,NA,NA,NA,NA
1860,10,1953,49.3167,12.85,"49.3167 12.85",0,106,9,"apre",12.0451645659344,NA,NA,NA,NA,NA,NA,NA,NA
1824,10,1954,49.3167,12.85,"49.3167 12.85",0,127,9,"apre",10.3801096580964,NA,NA,NA,NA,NA,NA,NA,NA
1608,10,1955,49.3167,12.85,"49.3167 12.85",0,116,9,"apre",9.80714263793613,NA,NA,NA,NA,NA,NA,NA,NA
1668,10,1956,49.3167,12.85,"49.3167 12.85",0,125,9,"apre",9.73912066143456,NA,NA,NA,NA,NA,NA,NA,NA
2424,10,1957,49.3167,12.85,"49.3167 12.85",0,110,9,"apre",10.5912085544768,NA,NA,NA,NA,NA,NA,NA,NA
1740,10,1958,49.3167,12.85,"49.3167 12.85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2304,10,1959,49.3167,12.85,"49.3167 12.85",0,113,9,"apre",11.7519777593008,NA,NA,NA,NA,NA,NA,NA,NA
2304,10,1960,49.3167,12.85,"49.3167 12.85",0,119,9,"apre",11.2889008465745,NA,NA,NA,NA,NA,NA,NA,NA
2076,11,1950,47.7,10.35,"47.7 10.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,11,1951,47.7,10.35,"47.7 10.35",0,121,7,"apre",9.47901077713858,NA,NA,NA,NA,NA,NA,NA,NA
1968,11,1952,47.7,10.35,"47.7 10.35",0,150,7,"apre",10.8282415162117,NA,NA,NA,NA,NA,NA,NA,NA
2040,11,1953,47.7,10.35,"47.7 10.35",0,123,7,"apre",10.2745052648524,NA,NA,NA,NA,NA,NA,NA,NA
2148,11,1954,47.7,10.35,"47.7 10.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2028,11,1955,47.7,10.35,"47.7 10.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1548,11,1956,47.7,10.35,"47.7 10.35",0,123,7,"apre",8.30384596824073,NA,NA,NA,NA,NA,NA,NA,NA
2592,11,1957,47.7,10.35,"47.7 10.35",0,114,7,"apre",8.63219760925315,NA,NA,NA,NA,NA,NA,NA,NA
1668,11,1958,47.7,10.35,"47.7 10.35",0,139,7,"apre",9.30120858331057,NA,NA,NA,NA,NA,NA,NA,NA
2220,11,1959,47.7,10.35,"47.7 10.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2496,11,1960,47.7,10.35,"47.7 10.35",0,129,7,"apre",10.0364832921506,NA,NA,NA,NA,NA,NA,NA,NA
2712,12,1950,51.6667,8.35,"51.6667 8.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3204,12,1951,51.6667,8.35,"51.6667 8.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2640,12,1952,51.6667,8.35,"51.6667 8.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2724,12,1953,51.6667,8.35,"51.6667 8.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2688,12,1954,51.6667,8.35,"51.6667 8.35",0,123,5,"apre",11.42098875571,NA,NA,NA,NA,NA,NA,NA,NA
2004,12,1955,51.6667,8.35,"51.6667 8.35",0,118,5,"apre",10.906593162812,NA,NA,NA,NA,NA,NA,NA,NA
2160,12,1956,51.6667,8.35,"51.6667 8.35",0,123,5,"apre",10.5563733904203,NA,NA,NA,NA,NA,NA,NA,NA
3132,12,1957,51.6667,8.35,"51.6667 8.35",0,100,5,"apre",11.5375821596974,NA,NA,NA,NA,NA,NA,NA,NA
2292,12,1958,51.6667,8.35,"51.6667 8.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2676,12,1959,51.6667,8.35,"51.6667 8.35",0,100,5,"apre",12.963955754189,NA,NA,NA,NA,NA,NA,NA,NA
2652,12,1960,51.6667,8.35,"51.6667 8.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2328,13,1950,48.0333,11.9,"48.0333 11.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2052,13,1951,48.0333,11.9,"48.0333 11.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2172,13,1952,48.0333,11.9,"48.0333 11.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1608,13,1953,48.0333,11.9,"48.0333 11.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,13,1954,48.0333,11.9,"48.0333 11.9",0,93,6,"apre",10.6264832789631,NA,NA,NA,NA,NA,NA,NA,NA
1752,13,1955,48.0333,11.9,"48.0333 11.9",0,139,6,"apre",10.7726371218502,NA,NA,NA,NA,NA,NA,NA,NA
1860,13,1956,48.0333,11.9,"48.0333 11.9",0,132,6,"apre",10.3412085600648,NA,NA,NA,NA,NA,NA,NA,NA
2616,13,1957,48.0333,11.9,"48.0333 11.9",0,139,6,"apre",10.9217579976379,NA,NA,NA,NA,NA,NA,NA,NA
1872,13,1958,48.0333,11.9,"48.0333 11.9",0,144,6,"apre",11.5425272145319,NA,NA,NA,NA,NA,NA,NA,NA
2256,13,1959,48.0333,11.9,"48.0333 11.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2340,13,1960,48.0333,11.9,"48.0333 11.9",0,98,6,"apre",12.06076896119,NA,NA,NA,NA,NA,NA,NA,NA
2436,14,1950,49.0333,8,"49.0333 8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3036,14,1951,49.0333,8,"49.0333 8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2580,14,1952,49.0333,8,"49.0333 8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2172,14,1953,49.0333,8,"49.0333 8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2520,14,1954,49.0333,8,"49.0333 8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,14,1955,49.0333,8,"49.0333 8",0,125,5,"apre",13.1437359699509,NA,NA,NA,NA,NA,NA,NA,NA
1992,14,1956,49.0333,8,"49.0333 8",0,120,5,"apre",12.6843953208773,NA,NA,NA,NA,NA,NA,NA,NA
2724,14,1957,49.0333,8,"49.0333 8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2256,14,1958,49.0333,8,"49.0333 8",0,122,5,"apre",13.0573623455078,NA,NA,NA,NA,NA,NA,NA,NA
2292,14,1959,49.0333,8,"49.0333 8",0,117,5,"apre",14.816922745739,NA,NA,NA,NA,NA,NA,NA,NA
2760,14,1960,49.0333,8,"49.0333 8",0,101,5,"apre",14.4894502255861,NA,NA,NA,NA,NA,NA,NA,NA
3000,1,2000,49.75,9.31667,"49.75 9.31667",0,99,7,"post",13.9809886984896,NA,NA,NA,NA,NA,NA,NA,NA
2352,1,2001,49.75,9.31667,"49.75 9.31667",0,96,7,"post",12.1479118163851,NA,NA,NA,NA,NA,NA,NA,NA
3024,1,2002,49.75,9.31667,"49.75 9.31667",0,89,7,"post",13.1479117940334,NA,NA,NA,NA,NA,NA,NA,NA
2388,1,2003,49.75,9.31667,"49.75 9.31667",0,106,7,"post",14.4790106653799,NA,NA,NA,NA,NA,NA,NA,NA
1932,1,2004,49.75,9.31667,"49.75 9.31667",0,99,7,"post",12.1175821467333,NA,NA,NA,NA,NA,NA,NA,NA
1668,1,2005,49.75,9.31667,"49.75 9.31667",0,99,7,"post",13.0947249820354,NA,NA,NA,NA,NA,NA,NA,NA
1560,1,2006,49.75,9.31667,"49.75 9.31667",0,109,7,"post",12.6091205972851,NA,NA,NA,NA,NA,NA,NA,NA
3252,1,2007,49.75,9.31667,"49.75 9.31667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2832,1,2008,49.75,9.31667,"49.75 9.31667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2232,1,2009,49.75,9.31667,"49.75 9.31667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1824,1,2010,49.75,9.31667,"49.75 9.31667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3036,2,2000,49.9833,7.96667,"49.9833 7.96667",0,85,11,"post",14.7342853849488,NA,NA,NA,NA,NA,NA,NA,NA
2652,2,2001,49.9833,7.96667,"49.9833 7.96667",0,96,11,"post",13.5206590384491,NA,NA,NA,NA,NA,NA,NA,NA
3072,2,2002,49.9833,7.96667,"49.9833 7.96667",0,78,11,"post",14.1354941895416,NA,NA,NA,NA,NA,NA,NA,NA
2556,2,2003,49.9833,7.96667,"49.9833 7.96667",0,89,11,"post",15.4919776757053,NA,NA,NA,NA,NA,NA,NA,NA
2136,2,2004,49.9833,7.96667,"49.9833 7.96667",0,91,11,"post",13.4589007980712,NA,NA,NA,NA,NA,NA,NA,NA
1824,2,2005,49.9833,7.96667,"49.9833 7.96667",0,94,11,"post",14.6665930787695,NA,NA,NA,NA,NA,NA,NA,NA
1464,2,2006,49.9833,7.96667,"49.9833 7.96667",0,104,11,"post",14.2421974838599,NA,NA,NA,NA,NA,NA,NA,NA
3228,2,2007,49.9833,7.96667,"49.9833 7.96667",0,92,11,"post",16.0251644769745,NA,NA,NA,NA,NA,NA,NA,NA
2868,2,2008,49.9833,7.96667,"49.9833 7.96667",0,88,11,"post",14.6531864856626,NA,NA,NA,NA,NA,NA,NA,NA
2448,2,2009,49.9833,7.96667,"49.9833 7.96667",0,93,11,"post",15.0740655971343,NA,NA,NA,NA,NA,NA,NA,NA
1764,2,2010,49.9833,7.96667,"49.9833 7.96667",0,89,11,"post",13.4041755245691,NA,NA,NA,NA,NA,NA,NA,NA
2940,3,2000,50,8.71667,"50 8.71667",0,100,11,"post",15.4880216318377,NA,NA,NA,NA,NA,NA,NA,NA
2412,3,2001,50,8.71667,"50 8.71667",0,101,11,"post",13.9480216662594,NA,NA,NA,NA,NA,NA,NA,NA
2892,3,2002,50,8.71667,"50 8.71667",0,92,11,"post",14.7132963744289,NA,NA,NA,NA,NA,NA,NA,NA
2556,3,2003,50,8.71667,"50 8.71667",0,104,11,"post",15.8965930512769,NA,NA,NA,NA,NA,NA,NA,NA
1956,3,2004,50,8.71667,"50 8.71667",0,94,11,"post",13.9404392488465,NA,NA,NA,NA,NA,NA,NA,NA
1752,3,2005,50,8.71667,"50 8.71667",0,94,11,"post",14.7638458238485,NA,NA,NA,NA,NA,NA,NA,NA
1440,3,2006,50,8.71667,"50 8.71667",0,107,11,"post",14.3092304493945,NA,NA,NA,NA,NA,NA,NA,NA
3216,3,2007,50,8.71667,"50 8.71667",0,98,11,"post",16.006812829033,NA,NA,NA,NA,NA,NA,NA,NA
2880,3,2008,50,8.71667,"50 8.71667",0,102,11,"post",14.8030765922024,NA,NA,NA,NA,NA,NA,NA,NA
2292,3,2009,50,8.71667,"50 8.71667",0,95,11,"post",15.1883513088655,NA,NA,NA,NA,NA,NA,NA,NA
1752,3,2010,50,8.71667,"50 8.71667",0,98,11,"post",13.4220876120809,NA,NA,NA,NA,NA,NA,NA,NA
2784,4,2000,49.5,10.8,"49.5 10.8",0,101,11,"post",14.3693403381609,NA,NA,NA,NA,NA,NA,NA,NA
2292,4,2001,49.5,10.8,"49.5 10.8",0,103,11,"post",12.4670326883731,NA,NA,NA,NA,NA,NA,NA,NA
3072,4,2002,49.5,10.8,"49.5 10.8",0,86,11,"post",13.4799996986985,NA,NA,NA,NA,NA,NA,NA,NA
2328,4,2003,49.5,10.8,"49.5 10.8",0,103,11,"post",14.8524172504402,NA,NA,NA,NA,NA,NA,NA,NA
1836,4,2004,49.5,10.8,"49.5 10.8",0,92,11,"post",12.3246151091388,NA,NA,NA,NA,NA,NA,NA,NA
1632,4,2005,49.5,10.8,"49.5 10.8",0,104,11,"post",13.4445051939974,NA,NA,NA,NA,NA,NA,NA,NA
1416,4,2006,49.5,10.8,"49.5 10.8",0,109,11,"post",13.0241755330628,NA,NA,NA,NA,NA,NA,NA,NA
3228,4,2007,49.5,10.8,"49.5 10.8",0,97,11,"post",14.8614282392498,NA,NA,NA,NA,NA,NA,NA,NA
2688,4,2008,49.5,10.8,"49.5 10.8",0,102,11,"post",13.6387909039405,NA,NA,NA,NA,NA,NA,NA,NA
2100,4,2009,49.5,10.8,"49.5 10.8",0,101,11,"post",13.7374722204161,NA,NA,NA,NA,NA,NA,NA,NA
1860,4,2010,49.5,10.8,"49.5 10.8",0,106,11,"post",12.3157140104366,NA,NA,NA,NA,NA,NA,NA,NA
2928,5,2000,49.8833,10.0333,"49.8833 10.0333",0,102,11,"post",14.7425271430063,NA,NA,NA,NA,NA,NA,NA,NA
2268,5,2001,49.8833,10.0333,"49.8833 10.0333",0,109,11,"post",13.0127469618897,NA,NA,NA,NA,NA,NA,NA,NA
3108,5,2002,49.8833,10.0333,"49.8833 10.0333",0,94,11,"post",13.7319777150444,NA,NA,NA,NA,NA,NA,NA,NA
2520,5,2003,49.8833,10.0333,"49.8833 10.0333",0,104,11,"post",15.2271425167897,NA,NA,NA,NA,NA,NA,NA,NA
1944,5,2004,49.8833,10.0333,"49.8833 10.0333",0,105,11,"post",12.652417299614,NA,NA,NA,NA,NA,NA,NA,NA
1692,5,2005,49.8833,10.0333,"49.8833 10.0333",0,106,11,"post",13.4952744236318,NA,NA,NA,NA,NA,NA,NA,NA
