"long","lat","year","lat.long","mat","lo","num.years","cc"
9.61667,49.3667,1960,"49.3667 9.61667",4.89077766846038,100,5,"apre"
6.18333,51.6333,1960,"51.6333 6.18333",6.6471109625366,110,5,"apre"
9.35,50.5667,1960,"50.5667 9.35",3.92711102333334,116,9,"apre"
8.48333,53.3333,1960,"53.3333 8.48333",4.70488878372643,108,10,"apre"
9.7,49.3833,1960,"49.3833 9.7",4.89077766846038,96,9,"apre"
10.2333,52.2333,1960,"52.2333 10.2333",4.39244434626566,112,6,"apre"
10.05,54.1667,1960,"54.1667 10.05",3.21911103915837,118,9,"apre"
8.86667,48.8667,1960,"48.8667 8.86667",5.11244433017241,107,6,"apre"
6.26667,50.5667,1960,"50.5667 6.26667",4.50933323254188,114,9,"apre"
10.4167,48.4333,1960,"48.4333 10.4167",4.30244434827732,120,10,"apre"
10.1667,50.1667,1960,"50.1667 10.1667",4.97944433314519,104,8,"apre"
6.18333,51.6333,2000,"51.6333 6.18333",7.69155538363589,102,11,"post"
9.35,50.5667,2000,"50.5667 9.35",5.77333320428928,109,6,"post"
8.48333,53.3333,2000,"53.3333 8.48333",7.08599984161556,93,11,"post"
9.51667,51.3833,2000,"51.3833 9.51667",6.13677764061011,96,11,"post"
9.7,49.3833,2000,"49.3833 9.7",6.6728887397382,113,11,"post"
10.2333,52.2333,2000,"52.2333 10.2333",7.14266650701563,107,9,"post"
10.05,54.1667,2000,"54.1667 10.05",6.15022208475404,120,5,"post"
8.86667,48.8667,2000,"48.8667 8.86667",6.96722206649267,94,11,"post"
6.26667,50.5667,2000,"50.5667 6.26667",5.83288875851366,117,11,"post"
10.4167,48.4333,2000,"48.4333 10.4167",5.91344431226866,113,11,"post"
10.1667,50.1667,2000,"50.1667 10.1667",6.49577763258583,112,10,"post"
9.61667,49.3667,2001,"49.3667 9.61667",5.52921335955851,87,8,"post"
6.18333,51.6333,2001,"51.6333 6.18333",6.2008987378036,109,11,"post"
9.35,50.5667,2001,"50.5667 9.35",4.19134822092281,116,6,"post"
8.48333,53.3333,2001,"53.3333 8.48333",4.74505607371501,104,11,"post"
9.51667,51.3833,2001,"51.3833 9.51667",4.10764035762528,113,11,"post"
9.7,49.3833,2001,"49.3833 9.7",5.52921335955851,113,11,"post"
10.2333,52.2333,2001,"52.2333 10.2333",4.86044932956274,113,9,"post"
8.86667,48.8667,2001,"48.8667 8.86667",5.87460661026534,94,11,"post"
6.26667,50.5667,2001,"50.5667 6.26667",4.56550551593053,127,11,"post"
10.4167,48.4333,2001,"48.4333 10.4167",5.06808977435981,119,11,"post"
10.1667,50.1667,2001,"50.1667 10.1667",5.06168528012094,105,10,"post"
9.61667,49.3667,2002,"49.3667 9.61667",6.63719086288318,80,8,"post"
6.18333,51.6333,2002,"51.6333 6.18333",7.85910094793091,103,11,"post"
9.35,50.5667,2002,"50.5667 9.35",5.5385392020467,106,6,"post"
8.48333,53.3333,2002,"53.3333 8.48333",7.06921332513683,100,11,"post"
9.51667,51.3833,2002,"51.3833 9.51667",5.65359537925027,94,11,"post"
9.7,49.3833,2002,"49.3833 9.7",6.63719086288318,107,11,"post"
10.2333,52.2333,2002,"52.2333 10.2333",6.65853917701275,97,9,"post"
8.86667,48.8667,2002,"48.8667 8.86667",7.14831444696429,85,11,"post"
6.26667,50.5667,2002,"50.5667 6.26667",6.10539312196079,114,11,"post"
10.4167,48.4333,2002,"48.4333 10.4167",5.89629200303906,106,11,"post"
10.1667,50.1667,2002,"50.1667 10.1667",6.42078637333817,89,10,"post"
9.61667,49.3667,2003,"49.3667 9.61667",4.76674146648873,78,8,"post"
6.18333,51.6333,2003,"51.6333 6.18333",6.75505602878801,96,11,"post"
8.48333,53.3333,2003,"53.3333 8.48333",5.13426954816148,109,11,"post"
9.51667,51.3833,2003,"51.3833 9.51667",4.05696620145457,107,11,"post"
9.7,49.3833,2003,"49.3833 9.7",4.76674146648873,116,11,"post"
10.2333,52.2333,2003,"52.2333 10.2333",4.54865158372297,110,9,"post"
8.86667,48.8667,2003,"48.8667 8.86667",5.21449426546944,94,11,"post"
6.26667,50.5667,2003,"50.5667 6.26667",5.14820213211972,116,11,"post"
10.4167,48.4333,2003,"48.4333 10.4167",3.30550554409372,121,11,"post"
10.1667,50.1667,2003,"50.1667 10.1667",4.59146057153016,105,10,"post"
9.61667,49.3667,2004,"49.3667 9.61667",5.51055543238504,88,8,"post"
6.18333,51.6333,2004,"51.6333 6.18333",7.10522206340813,110,11,"post"
9.35,50.5667,2004,"50.5667 9.35",4.69544433949308,111,6,"post"
8.48333,53.3333,2004,"53.3333 8.48333",6.53455540949686,101,11,"post"
9.51667,51.3833,2004,"51.3833 9.51667",5.02444433213936,101,11,"post"
9.7,49.3833,2004,"49.3833 9.7",5.51055543238504,112,11,"post"
10.2333,52.2333,2004,"52.2333 10.2333",6.1407776405207,107,9,"post"
8.86667,48.8667,2004,"48.8667 8.86667",5.63466654072205,102,11,"post"
6.26667,50.5667,2004,"50.5667 6.26667",5.05477766479469,114,11,"post"
10.4167,48.4333,2004,"48.4333 10.4167",4.4888887885544,115,11,"post"
10.1667,50.1667,2004,"50.1667 10.1667",5.40433321253707,105,10,"post"
9.61667,49.3667,2005,"49.3667 9.61667",4.10674148124088,92,8,"post"
6.18333,51.6333,2005,"51.6333 6.18333",6.5997751333824,108,11,"post"
9.35,50.5667,2005,"50.5667 9.35",3.77910103912601,118,6,"post"
8.48333,53.3333,2005,"53.3333 8.48333",5.46168527118025,100,11,"post"
9.51667,51.3833,2005,"51.3833 9.51667",4.12831451446655,100,11,"post"
9.7,49.3833,2005,"49.3833 9.7",4.10674148124088,112,11,"post"
10.2333,52.2333,2005,"52.2333 10.2333",4.97404483264166,108,9,"post"
8.86667,48.8667,2005,"48.8667 8.86667",4.22303361347301,98,11,"post"
6.26667,50.5667,2005,"50.5667 6.26667",4.48910102325628,114,11,"post"
10.4167,48.4333,2005,"48.4333 10.4167",3.1919100410148,115,11,"post"
10.1667,50.1667,2005,"50.1667 10.1667",3.90741564299953,104,10,"post"
9.61667,49.3667,2006,"49.3667 9.61667",3.61685385174128,93,8,"post"
6.18333,51.6333,2006,"51.6333 6.18333",5.08044932464535,109,11,"post"
9.35,50.5667,2006,"50.5667 9.35",2.49359544988177,119,6,"post"
8.48333,53.3333,2006,"53.3333 8.48333",4.0664044034908,114,11,"post"
9.51667,51.3833,2006,"51.3833 9.51667",2.57235949306508,114,11,"post"
9.7,49.3833,2006,"49.3833 9.7",3.61685385174128,114,11,"post"
10.2333,52.2333,2006,"52.2333 10.2333",3.67089879435351,115,9,"post"
8.86667,48.8667,2006,"48.8667 8.86667",3.67595497401578,110,11,"post"
6.26667,50.5667,2006,"50.5667 6.26667",3.00370779803044,124,11,"post"
10.4167,48.4333,2006,"48.4333 10.4167",2.88348308161655,116,11,"post"
10.1667,50.1667,2006,"50.1667 10.1667",3.23370779288954,133,10,"post"
9.61667,49.3667,2007,"49.3667 9.61667",7.65707848053635,81,8,"post"
6.18333,51.6333,2007,"51.6333 6.18333",9.19966271571982,101,11,"post"
8.48333,53.3333,2007,"53.3333 8.48333",8.10471891996901,96,11,"post"
9.51667,51.3833,2007,"51.3833 9.51667",7.0434829886333,99,11,"post"
9.7,49.3833,2007,"49.3833 9.7",7.65707848053635,107,11,"post"
10.2333,52.2333,2007,"52.2333 10.2333",7.95685375473473,98,9,"post"
10.05,54.1667,2007,"54.1667 10.05",6.9361796202452,97,5,"post"
8.86667,48.8667,2007,"48.8667 8.86667",7.59505601001255,102,11,"post"
6.26667,50.5667,2007,"50.5667 6.26667",7.5030335401593,109,11,"post"
10.4167,48.4333,2007,"48.4333 10.4167",6.70280883894459,108,11,"post"
10.1667,50.1667,2007,"50.1667 10.1667",7.47595488907916,97,10,"post"
9.61667,49.3667,2008,"49.3667 9.61667",5.37477765764213,85,8,"post"
6.18333,51.6333,2008,"51.6333 6.18333",6.62544429635422,116,11,"post"
8.48333,53.3333,2008,"53.3333 8.48333",6.08888875279162,99,11,"post"
9.51667,51.3833,2008,"51.3833 9.51667",4.60055545272513,103,11,"post"
9.7,49.3833,2008,"49.3833 9.7",5.37477765764213,106,11,"post"
10.2333,52.2333,2008,"52.2333 10.2333",5.84844431372152,112,9,"post"
10.05,54.1667,2008,"54.1667 10.05",5.51044432127641,110,5,"post"
8.86667,48.8667,2008,"48.8667 8.86667",5.45111098926928,102,11,"post"
6.26667,50.5667,2008,"50.5667 6.26667",4.75255544932766,125,11,"post"
10.4167,48.4333,2008,"48.4333 10.4167",4.82977766982383,112,11,"post"
10.1667,50.1667,2008,"50.1667 10.1667",5.06022210911744,120,10,"post"
6.18333,51.6333,2009,"51.6333 6.18333",7.44674140658606,102,11,"post"
8.48333,53.3333,2009,"53.3333 8.48333",6.82044928575332,101,11,"post"
9.51667,51.3833,2009,"51.3833 9.51667",5.50449425898743,97,11,"post"
9.7,49.3833,2009,"49.3833 9.7",5.68707852456928,100,11,"post"
10.05,54.1667,2009,"54.1667 10.05",5.59247178511087,103,5,"post"
8.86667,48.8667,2009,"48.8667 8.86667",5.69370773790425,110,11,"post"
6.26667,50.5667,2009,"50.5667 6.26667",5.50224706802643,106,11,"post"
10.4167,48.4333,2009,"48.4333 10.4167",4.5728088865538,104,11,"post"
10.1667,50.1667,2009,"50.1667 10.1667",5.83831447624507,100,10,"post"
6.18333,51.6333,2010,"51.6333 6.18333",5.97033694520425,103,11,"post"
8.48333,53.3333,2010,"53.3333 8.48333",4.7878650615222,96,11,"post"
9.51667,51.3833,2010,"51.3833 9.51667",3.85146058807045,96,11,"post"
9.7,49.3833,2010,"49.3833 9.7",4.83224708300209,117,11,"post"
10.05,54.1667,2010,"54.1667 10.05",3.87168530671951,106,5,"post"
8.86667,48.8667,2010,"48.8667 8.86667",4.95258415896404,104,11,"post"
6.26667,50.5667,2010,"50.5667 6.26667",4.16764035628418,121,11,"post"
10.4167,48.4333,2010,"48.4333 10.4167",3.84483137473548,120,11,"post"
