"","C_UTM","X","Y","AREA","BetPen","FagSyl"
"175","30TWK3",-2.11760225944,40.399415159,2465.1564465,0,0
"176","30SWK4",-2.12452738914,39.9487472166,2446.16118255,0,0
"177","30SWJ3",-2.13146308562,39.4999144521,2448.60695296,0,0
"178","30SWJ4",-2.1395271733,39.0518996046,2493.95687802,0,0
"179","30SWH3",-2.14606761284,38.6044013644,2484.53893919,0,0
"180","30SWH4",-2.14998021502,38.154647926,2505.57688025,0,0
"181","30SWG3",-2.15786684264,37.7061573215,2464.90401297,0,0
"182","30SWG4",-2.16514547124,37.2585954117,2481.71476331,0,0
"183","30TXP2",-1.45353095792,43.5383705939,1602.12949075,1,1
"184","30TXN1",-1.46764715202,43.0865857536,2535.2343573,1,1
"185","30TXN2",-1.47766624817,42.6370688222,2472.53007842,1,1
"186","30TXM1",-1.4874074057,42.1891888991,2539.49531285,0,0
"187","30TXM2",-1.49750712331,41.7376900701,2464.13912716,0,0
"188","30TXL1",-1.51053463321,41.2885632783,2544.36220989,0,0
"189","30TXL2",-1.52092057699,40.8374329399,2487.48459078,0,0
"190","30TXK1",-1.53335674269,40.3886318207,2487.59586935,0,0
"191","30SXK2",-1.5442969563,39.942298612,2501.78316136,0,0
"192","30SKJ1",-1.55509120063,39.4916837829,2495.78236848,0,0
"193","30SKJ2",-1.56432020856,39.0428815557,2480.69960113,0,0
"194","30SKH1",-1.57279139789,38.5978647599,2432.78476301,0,0
"195","30SKH2",-1.58175014954,38.1508364232,2494.97421775,0,0
"196","30SKG1",-1.59258020375,37.6990172867,2418.69161182,0,0
"197","30TXP4",-0.83811213424,43.5256066069,2517.02589191,1,1
"198","30TXN3",-0.85270076799,43.0727808298,2480.73123866,1,1
"199","30TXN4",-0.8667746205,42.625419713,2465.94409479,1,1
"200","30TXM3",-0.88283115686,42.1764996451,2509.7627451,0,1
"201","30TXM4",-0.89861768274,41.7276165218,2466.22178693,0,0
"202","30TXL3",-0.91342744993,41.2786480546,2500.58250165,0,0
"203","30TXL4",-0.93006773938,40.8272463645,2492.75525009,0,0
"204","30TXK3",-0.94340992886,40.3798698691,2480.40926744,0,0
"205","30SXK4",-0.95884410149,39.9307769814,2480.41205008,0,0
"206","30SXJ3",-0.97358963583,39.4829834612,2516.3600736,0,0
"207","30SXJ4",-0.98617075196,39.0344449797,2477.38083995,0,0
"208","30SXH3",-0.99930633934,38.5885515458,2484.14967675,0,0
"209","30SXH4",-1.01647147053,38.1406174508,2477.58484799,0,0
"210","30SXG3",-1.0282913098,37.6904205813,1737.91960217,0,0
"211","30TYP2",-0.26805741409,43.5129387997,2117.28902191,1,1
"212","30TYN1",-0.27863024859,43.0635708793,2199.18813542,1,1
"213","30TYN2",-0.28412688882,42.6153248308,2294.245844,1,1
"214","30TYM1",-0.29333384652,42.1636746966,2375.80546073,0,1
"215","30TYM2",-0.30125135964,41.7132055429,2478.20704658,0,0
"216","30TYL1",-0.310337405,41.2616671827,2580.61255539,0,0
"217","30TYL2",-0.31927427197,40.8122337042,2627.35446915,0,0
"218","30TYK1",-0.32966527043,40.3652362234,2720.15527104,0,0
"219","30SYK2",-0.33538642643,39.9150515496,2593.62315372,0,0
"220","30SYJ1",-0.34462775591,39.4637471,1657.35211494,0,0
"221","30SYJ2",-0.35304694541,39.0171337907,2365.35762625,0,0
"222","30SYH1",-0.36336178758,38.5698348325,2350.61295412,0,0
"223","31TBJ4",0.25108750433,43.5136297545,2106.43951501999,1,1
"224","31YBH3",0.26514144451,43.0635286671,2196.5059818,1,1
"225","31TBH4",0.27052011777,42.6127526248,2265.68804675,1,1
"226","31TBG3",0.28200098513,42.1631447606,2394.4491541,0,1
"227","31TBG4",0.29077888917,41.7115531929,2471.48999327,0,0
"231","31TCJ2",0.82307285484,43.5264698132,2494.89869662,0,1
"232","31TCH1",0.83767282464,43.074041519,2545.2436472,1,1
"233","31TCH2",0.85697859189,42.6234432801,2488.22889956,1,1
"234","31TCG1",0.8723562648,42.1766699649,2511.07478857,1,1
"235","31TCG2",0.8880325552,41.7250991878,2499.49825985,0,0
"236","31TCF1",0.90218026768,41.2762582776,2448.46537545,0,0
"237","31TCJ4",1.44203462191,43.5343957689,2503.96578634,1,1
"238","31TCH3",1.45499881977,43.0856456977,2507.05739627,1,1
"239","31TCH4",1.46847771626,42.636514199,2498.0210775,1,1
"240","31TCG3",1.48172576229,42.1857815827,2528.13772012,1,1
"241","31TCG4",1.49002438951,41.7346113749,2529.00386949,0,0
"242","31TCF3",1.50067666408,41.2836548346,1895.51999621,0,0
"243","31TDJ2",2.06517125824,43.5394780407,2497.98893874,1,1
"244","31TDH1",2.07053337349,43.0914309926,2492.3008,1,1
"245","31TDH2",2.07833466155,42.6420847932,2501.0116898,1,1
"246","31TDG1",2.0844341644,42.1915316002,2477.10143647,1,1
"247","31TDG2",2.09346122514,41.7400306522,2505.80595586,0,0
"248","31TDJ4",2.68215507089,43.5437178173,2487.18464226,1,1
"249","31TDH3",2.68640388923,43.0930521336,2506.8439452,0,1
"250","31TDH4",2.6843662542,42.645407133,2455.07823525,1,1
"251","31TDG3",2.69008833148,42.1980190105,2492.84708272,1,1
"252","31TDG4",2.69015826,41.7458450233,1930.00816455,1,1
"253","31TEJ2",3.29961306362,43.5477930227,2486.31991721,0,1
"254","30VVK3",-3.43399339365,58.4063371255,1931.65223374,1,0
"255","30VVK1",-4.29251614214,58.4027715009,2037.84015669,1,0
"257","30VVK2",-4.28090442935,57.952727597,2264.77270764,1,0
"259","30VUJ3",-5.10490594367,57.4928816884,2462.61947664,1,0
"260","30VUJ4",-5.08141977841,57.0442931942,2502.8485623,1,0
"261","30VVJ1",-4.26763498952,57.5035537657,2100.66901902,1,0
"262","30VVJ2",-4.25753629698,57.0545181824,2543.22183715,1,0
"263","30VVJ3",-3.43407212922,57.5052591474,2158.35850109,1,0
"264","30VVJ4",-3.42970541901,57.0563102228,2553.80065338,1,0
"265","30VWJ1",-2.59611787559,57.4997105053,2221.58626779,1,0
"266","30VWJ2",-2.60810929424,57.0544230466,2509.73614046,1,0
"267","30VUH3",-5.05915912,56.5947592505,2257.08203206,1,0
"268","30VUH4",-5.04006346813,56.1456379903,2295.81922407,1,0
"269","30VVH1",-4.24485786344,56.6028034563,2492.2595631,1,0
"270","30VVH2",-4.23291967218,56.1501305759,2529.0432239,1,0
"271","30VVH3",-3.42959080027,56.6052267334,2434.68365039,1,0
"272","30VVH4",-3.429064735,56.1547949029,2135.9692831,1,0
"273","30VWH1",-2.61470589883,56.6026846395,1362.37833544,1,0
"274","30UVG1",-4.22402035155,55.6978713085,2502.94974666,1,0
"275","30UVG2",-4.21123857876,55.2516085467,2481.50825313,1,0
"276","30UVG3",-3.42567283381,55.704475559,2480.44422371,1,0
"277","30UVG4",-3.42174044617,55.2572471747,2502.50340409,1,0
"278","30UWG1",-2.62895401646,55.7035844059,2512.00618537,1,0
"279","30UWG2",-2.63637298961,55.2545684387,2487.70047374,1,0
"280","30UWG4",-1.84474755506,55.2459879401,2220.97044987,1,0
"281","30UVF1",-4.1985899578,54.8012405373,1403.79418531,1,0
"282","30UVF3",-3.42367985067,54.8072740919,1613.99471468,1,0
"283","30UVF4",-3.41986492407,54.3549736674,1387.76716047,1,0
"284","30UWF1",-2.64115168606,54.8047641654,2531.55146738,1,0
"285","30UWF2",-2.6490939225,54.3534101374,2487.78047356,1,0
"286","30UWF3",-1.86150145903,54.7951161151,2531.49210912,1,0
"287","30UWF4",-1.8799167538,54.3454826389,2479.96555365,1,0
"288","30UXF2",-1.10725954625,54.3322921984,2457.2865832,1,0
"289","30UWE1",-2.65335393084,53.9027560333,2235.87979737,1,0
"290","30UWE2",-2.65688523697,53.4522239091,2430.83816602,1,0
"291","30UWE3",-1.89168461151,53.8987018914,2486.39368726,1,0
"292","30UWE4",-1.90290976433,53.4474790431,2521.39938412,1,0
"293","30UXE1",-1.13248447722,53.8879755208,2498.88201184,1,0
"294","30UXE2",-1.15023142773,53.4393384052,2524.7336881,1,0
"295","30UXE3",-0.38494903615,53.8664551278,1983.13597917,1,0
"296","30UXE4",-0.40162628962,53.4166809385,2397.59442191,1,0
"297","30UVD1",-4.15029391778,53.0036175677,1747.61417769,1,0
"298","30UVD3",-3.40386173932,53.0034833805,2497.95365597,1,0
"299","30UVD4",-3.40043697592,52.5553550593,2512.8301012,1,0
"300","30UWD1",-2.66060720435,53.0035901179,2459.91021888,1,0
"301","30UWD2",-2.66239294998,52.5575028633,2490.81496877,1,0
"302","30UWD3",-1.91250540862,53.0015516446,2451.65363046,1,0
"303","30UWD4",-1.92659861383,52.5528475891,2547.81933307,1,0
"304","30UXD1",-1.16738234797,52.9902356994,2487.32057083,1,0
"305","30UXD2",-1.18722499294,52.542018806,2534.80002958,1,0
"306","30UXD3",-0.4108905134,52.9696883709,2556.94532083,1,0
"307","30UXD4",-0.4223499875,52.5189002617,2708.48890763,1,0
"308","31UCU1",0.35659633358,52.9695054125,1351.66611004,1,0
"309","31UCU2",0.365661343,52.5195481904,2667.84884556,1,0
"310","31UCU4",1.1273658052,52.5393719304,2479.45216297,1,0
"311","30UVC1",-4.1267310032,52.1011049475,2247.32363406,1,0
"312","30UVC2",-4.11403850725,51.6486160601,1345.93441356,1,0
"313","30UVC3",-3.39649883956,52.1069579851,2491.42361463,1,0
"314","30UVC4",-3.39173592904,51.6551189215,2416.43753605,1,1
"315","30UWC1",-2.66628923876,52.1080339339,2465.69978075,1,0
"316","30UWC2",-2.66889011646,51.6578339516,2201.4858572,1,1
"317","30UWC3",-1.93786135964,52.1010962349,2524.00241435,1,0
"318","30UWC4",-1.94653985626,51.6491177032,2525.9708529,1,1
"319","30UXC1",-1.20529558948,52.0900141138,2505.20854818,1,0
"320","30UXC2",-1.22309674638,51.6383469766,2518.9490125,1,1
"321","30UXC3",-0.43475464525,52.0682912697,2774.26708298,1,1
"322","30UXC4",-0.44494465618,51.6185848221,2924.60872082,1,1
"323","31UCT1",0.37719244999,52.0712783865,2782.2835818,1,0
"324","31UCT2",0.39237017111,51.6196765772,2679.0412072,1,0
"325","31UCT3",1.15005472298,52.090009004,2242.61166106,1,0
"326","30UVB2",-4.09057988437,50.7479521191,2466.31538436,1,1
"327","30UVB3",-3.38814514535,51.2014888808,1422.95717956,1,1
"328","30UVB4",-3.37913533962,50.7509695992,2020.54930805,1,1
"329","30UWB1",-2.66963931451,51.2037146364,2431.89687679,1,1
"330","30UWB2",-2.67039400389,50.7502720049,1703.92737801,1,1
"331","30UWB3",-1.95599092123,51.1956481092,2529.06461849,1,1
"332","30UWB4",-1.964533118,50.7437197354,1634.52376939,1,1
"333","30UXB1",-1.24156617912,51.1849811781,2523.90012998,1,1
"334","30UXB3",-0.45803063447,51.168909893,2981.92847947,1,1
"335","31UCS1",0.40353910467,51.1694707156,2915.90171152,1,1
"336","31UCS3",1.18744041111,51.191055582,1399.34597968,1,1
"337","31UDS2",1.906201243,50.7433991864,2302.15715262,1,1
"338","31UDS4",2.61878675925,50.7446967828,2461.95314217,1,1
"340","31UCR2",0.54475476507,49.8205140142,1259.99729954,1,1
"341","31UCR4",1.23731081885,49.8369503427,2122.05658195,1,1
"342","31UDR1",1.92014072106,50.2968197859,2480.18106457,1,1
"343","31UDR2",1.93028617737,49.8429605045,2571.49765697,1,1
"344","31UDR3",2.62232493803,50.2982909169,2530.52154483,1,1
"345","31UDR4",2.62710379821,49.8443651083,2540.09466247,1,1
"346","35WMU2",24.8185478926,70.484670386,2169.01357892,0,0
"347","35WMU4",26.2992766867,70.4964939282,1669.8019143,0,0
"348","35WNU1",27.635484847,70.9542402225,1315.65190327,0,0
"349","35WNU2",27.6161875237,70.4981585594,2094.94826361,0,0
"350","35WNU4",29.1081275098,70.4858578061,2815.21270131,0,0
"351","36WVD2",30.7627294129,70.4870178969,1317.80689585,0,0
"352","34WDC2",19.1468233459,69.5886750962,1497.45836223,0,0
"353","34WDC4",20.4111977498,69.5940358817,2001.84403302,0,0
"354","34WEC1",21.6943479953,70.055055656,1614.02268568,0,0
"355","34WEC2",21.6736577764,69.6012717573,2438.82839572,0,0
"356","34WEC3",23.170388986,70.0420635863,2498.79146827,0,0
"357","34WEC4",22.9402016305,69.5937002969,2523.9330521,0,0
"358","35WMT1",24.8255424473,70.0339816661,2942.31830485,0,0
"359","35WMT2",25.0513231354,69.5836601144,2528.68250256,0,0
"360","35WMT3",26.3114352656,70.048945336,2415.74755579,0,0
"361","35WMT4",26.3246042215,69.6051770383,2474.81364966,0,0
"362","35WNT1",27.6170747085,70.0501578001,2445.25203066,0,0
"363","35WNT2",27.6031465037,69.6060906433,2446.41240268,0,0
"364","35WNT3",29.1002049471,70.0406024576,2508.44345396,0,0
"365","35WNT4",28.8835760091,69.5910981968,2525.29867856,0,0
"368","33WXS2",18.0761598428,68.6730126582,2074.84330732,0,0
"369","34WDB1",19.1716669625,69.1423103263,2298.43823871,0,0
"370","34WDB2",19.2023208695,68.6880414834,2501.75184065,0,0
"371","34WDB3",20.4158941012,69.144156735,2415.31743212,0,0
"372","34WDB4",20.4236820639,68.6956973208,2504.61658638,0,0
"373","34WEB1",21.6619751401,69.1475121896,2476.43273489,0,0
"374","34WEB2",21.6427176092,68.6966610896,2477.93078187,0,0
"375","34WEB3",22.8919436397,69.1375375303,2500.02566155,0,0
"376","34WEB4",22.8557404595,68.68657425,2452.5101747,0,0
"377","34WFB2",23.9873741542,68.6674436978,2150.42899739,0,0
"378","35WMS1",25.0918176094,69.1322741982,2489.47093153,0,0
"379","35WMS2",25.1267068987,68.685128943,2488.83464051,0,0
"380","35WMS3",26.3468407372,69.1528154129,2558.66763267,1,0
"381","35WMS4",26.3630897891,68.7002643652,2493.26234821,1,0
"382","35WNS1",27.5931791783,69.1537697232,2537.81154939,1,0
"383","35WNS2",27.5866258956,68.6984639961,2488.31282262,1,0
"384","35WNS3",28.8379769996,69.1398500958,2501.65016027,1,0
"385","35WNS4",28.8070844469,68.6885822708,2477.45151639,1,0
"386","33WWR2",15.6859825603,67.7986665842,1773.22730598,0,0
"387","33WWR3",16.8992419468,68.2420401181,1834.25118495,0,0
"388","33WWR4",16.8538016626,67.7931443861,2406.89719554,0,0
"389","33WXR1",18.0639542568,68.2240930939,2336.50345287,0,0
"390","33WXR2",18.051707559,67.7758284918,2646.20722436,0,0
"391","34WDA1",19.2307238801,68.236920566,2474.36212485,0,0
"392","34WDA2",19.2604226292,67.7903234758,2451.37469054,0,0
"393","34WDA3",20.4298105591,68.2446185268,2498.44608445,0,0
"394","34WDA4",20.4344366443,67.7980233265,2455.45061206,1,0
"395","34WEA1",21.6258871129,68.2455146013,2485.38061482,1,0
"396","34WEA2",21.6117531059,67.7973925822,2452.46046097,1,0
"397","34WEA3",22.814754862,68.2375628021,2471.01079813,1,0
"398","34WEA4",22.7800460421,67.7901478558,2435.54755913,1,0
"399","34WFA1",23.9776644149,68.2219942755,2337.30576161,0,0
"400","34WFA2",23.9838443516,67.7767810252,2641.80892557,1,0
"401","35WMR1",25.1662023532,68.245013956,2446.12954119,1,0
"402","35WMR2",25.1969138652,67.7986930761,2549.60827351,1,0
"403","35WMR3",26.3735551343,68.25304595,2485.8082711,1,0
"404","35WMR4",26.3785820633,67.8027819839,2525.64804469,1,0
"405","35WNR1",27.5710272081,68.2512206252,2450.89992088,1,0
"406","35WNR2",27.5687104427,67.8009761298,2541.83296865,1,0
"407","35WNR3",28.7775896783,68.2432588778,2462.28101077,1,0
"408","35WNR4",28.741908752,67.7967762452,2513.09525194,1,0
"410","33WVQ4",14.5276070975,66.9085601742,2237.12698885,0,0
"411","33WWQ1",15.6693425053,67.3569991652,2081.46246612,1,0
"412","33WWQ2",15.64907406,66.9071117353,2511.78896859,1,0
"413","33WWQ3",16.8129979263,67.3459868293,2462.32936948,0,0
"414","33WWQ4",16.7754685668,66.896821176,2490.84517112,0,0
"415","33WXQ1",18.0510210448,67.32488881,2860.4789946,0,0
