"rowname","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","continent","climparam"
"sigmapheno_y",15.1298637023781,0.0034363028784841,0.279891481451582,14.6068103478731,14.934980076158,15.1225038079196,15.3095184131586,15.7026153931163,6634.32113638395,1.00143798466291,"Europe","stv"
"muForceSp",-5.51676917188824,0.0328769720827545,1.45560294203684,-8.3396759342467,-6.46164776689848,-5.48711495015238,-4.59643940953274,-2.59104674914739,1960.20829949068,1.00220474146057,"N. America","stv"
"sigmaForceSp",3.99611601904452,0.0373145891429211,1.32104122689087,1.73202069151538,3.07729098201614,3.86329622654089,4.76298281141371,6.9421694771169,1253.35879884874,1.00062267534564,"N. America","stv"
"muPhotoSp",-2.97455864844799,0.0508038448692142,1.69694279231337,-6.51516600428522,-4.03964236688593,-2.92767819598099,-1.84202264788176,0.183841200606508,1115.68409173474,1.00045614953259,"N. America","stv"
"sigmaPhotoSp",2.98796085959215,0.0868257844649497,1.6424764324728,0.489108519020607,1.74219160953355,2.79489057060919,4.00251345805808,6.68556146805229,357.849868304945,1.00383372707126,"N. America","stv"
"muChillSp",-12.6380122141301,0.0777790972355868,4.81865392889144,-21.9562354756854,-15.7231591977339,-12.6822132215424,-9.62410256815519,-2.3938849238528,3838.1829992248,1.00075736955064,"N. America","stv"
"sigmaChillSp",19.9447362073585,0.0632792959134111,3.53222030073053,14.1064991573899,17.4304915543395,19.6069647453106,22.0929075687363,28.0005035163484,3115.81947797809,0.999740730338166,"N. America","stv"
"muPhenoSp",24.69151749352,0.0811733365635513,4.76447388597544,15.2593685975177,21.5734809248424,24.690339757641,27.8373254769511,33.9882778223551,3445.11010597153,1.00008842416392,"N. America","stv"
"sigmaPhenoSp",17.5451655737108,0.0804058319914626,4.23174697821221,11.1075520917616,14.5238755806217,16.9278102276718,19.9025943657534,27.5942926825671,2769.9012437348,1.00043622365545,"N. America","stv"
"betaTraitxForcing",-1.23952794649183,0.0211994936906185,0.954163352890117,-3.12457970021125,-1.86864069196042,-1.23020620295012,-0.615062578113241,0.632497673537156,2025.79029941363,0.999468181679431,"N. America","stv"
"betaTraitxPhoto",-0.322155347025672,0.0256291129072856,1.21387636913943,-2.85185317856179,-1.10226188395022,-0.285058534200624,0.513051113604147,1.9483030317288,2243.27112009494,1.00007247683304,"N. America","stv"
"betaTraitxChill",0.930004025846118,0.0896446580728574,2.97588133796561,-5.15231524355871,-0.930677712525282,0.990748072608455,2.84921078463386,6.76900074587442,1102.00201776732,1.00358421889008,"N. America","stv"
"sigmapheno_y",16.0112199041552,0.00628184648832546,0.42783765401304,15.1897603529296,15.7189643462036,16.0034904292734,16.29315424391,16.8865559525718,4638.56204460114,1.00076154753585,"N. America","stv"
"muForceSp",-3.17560845369478,0.190871132825616,3.83569722349317,-10.7165534283739,-5.67284130569699,-3.08851566049176,-0.573651977515435,4.14480561507702,403.838885060815,1.00375111841907,"Europe","gdd2lf"
"sigmaForceSp",5.82068346931359,0.0195069115960219,1.1428594902629,3.85990190260561,4.99794729075019,5.71450071875294,6.50916587575143,8.38212524959833,3432.48498745513,0.999253988289492,"Europe","gdd2lf"
"muPhotoSp",-0.258400569528691,0.195658657473777,4.04105832449082,-7.90895502734365,-3.17575495398678,-0.271171786897403,2.48581264636204,7.78090406939847,426.571758017343,1.00523113364176,"Europe","gdd2lf"
"sigmaPhotoSp",5.44035018117063,0.0224710475007518,1.17734202738538,3.50447076848683,4.61176525265513,5.32114797410789,6.12469994004721,8.05194760474718,2745.10309166776,1.00004991702477,"Europe","gdd2lf"
"muChillSp",-6.06156391698064,0.206624754939708,5.33498853289467,-16.4454180755947,-9.70271358305632,-6.07555071565313,-2.36324270271151,4.41697862860507,666.656745087475,1.00860125972437,"Europe","gdd2lf"
"sigmaChillSp",10.9103853210367,0.0792750594386994,3.11597755891768,5.81455983165342,8.64401158754674,10.6077398840915,12.7464197857702,17.8038730947705,1544.95377493505,1.00008721771082,"Europe","gdd2lf"
"muPhenoSp",32.8884074075416,0.0525407940921338,3.34633326591664,26.5905808509109,30.6864348400405,32.7891779167547,34.9426905537646,39.8646492653608,4056.4405627092,0.999643498824359,"Europe","gdd2lf"
"sigmaPhenoSp",14.1149267919154,0.0644611155829627,3.20772953134286,9.08291551154808,11.7547007124833,13.7022039522267,16.0185007577752,21.5446854168062,2476.2805715593,0.999184801268673,"Europe","gdd2lf"
"betaTraitxForcing",7.45906141882854,0.340857758088714,6.57647072531579,-5.23616973673604,3.02253057173141,7.48935550891141,12.0525933365119,20.176200282659,372.254036815324,1.00395907972416,"Europe","gdd2lf"
"betaTraitxPhoto",0.615993959634057,0.352714290510956,7.03004156131823,-12.6487359308784,-4.34458181446618,0.610836069021785,5.51921545899619,14.5143142534992,397.255275660985,1.00504030185047,"Europe","gdd2lf"
"betaTraitxChill",2.75132076824372,0.355321022923529,8.56973427825499,-13.9415552333624,-3.01933227517197,2.66256287267245,8.71202428331443,19.1655261713197,581.691750200406,1.00958452016558,"Europe","gdd2lf"
"sigmapheno_y",15.1287557755806,0.00353696181684394,0.285713410890667,14.5827178029256,14.9312165274004,15.1255386766882,15.317100310692,15.7004000299322,6525.30038776576,0.999983678206315,"Europe","gdd2lf"
"muForceSp",-2.49663932353316,0.0819630110412591,1.83337818741606,-6.10737723967751,-3.70933882194971,-2.44721472969062,-1.24824090253851,0.987585896660909,500.343556250057,1.0064696341252,"N. America","gdd2lf"
"sigmaForceSp",3.16689970602679,0.0571792883363073,1.37006796662328,0.852835068035861,2.21981752662465,3.07648191148513,3.91200133341661,6.37703674855534,574.125363019975,1.00308948168129,"N. America","gdd2lf"
"muPhotoSp",-2.15501620868003,0.0931825613462076,2.2311977193821,-6.63974296228548,-3.68184869863986,-2.1251416617212,-0.567089608160144,2.07710214410796,573.332851079291,1.00979308853731,"N. America","gdd2lf"
"sigmaPhotoSp",2.58350638642213,0.174929496409675,1.73740157939864,0.106160447131859,1.19280814311189,2.43238805477097,3.66688737586281,6.51912462358244,98.644830789082,1.04015461145865,"N. America","gdd2lf"
"muChillSp",-7.72703598137124,0.400438825428278,6.15881379657758,-19.3804014646491,-11.9801916592438,-7.92635159214466,-3.79871393994637,4.81810590319752,236.549367045571,1.01740524256512,"N. America","gdd2lf"
"sigmaChillSp",19.0444234337371,0.0619607191667403,3.33151750473393,13.2510557230366,16.6682136267992,18.8748019286117,21.0225694206416,26.2670870422604,2891.02135218061,1.00244352347346,"N. America","gdd2lf"
"muPhenoSp",24.56377127756,0.119371739509584,4.57429515762525,15.8307390650684,21.3710458859094,24.4245604910151,27.467368255492,33.5595338498651,1468.40320318007,1.00470566812146,"N. America","gdd2lf"
"sigmaPhenoSp",17.0789569640924,0.0841598515262208,4.06900263159495,10.974802712979,14.1428692234532,16.4010030720673,19.2016825835959,26.7335678360825,2337.57750978972,1.00125593491323,"N. America","gdd2lf"
"betaTraitxForcing",-2.98088239694664,0.0566528735065715,1.45281899450863,-5.74438245318217,-3.98103699790812,-3.00838133454254,-1.95181673109521,-0.1163626680964,657.626239103679,1.00433916823983,"N. America","gdd2lf"
"betaTraitxPhoto",-0.610492522341962,0.061217754791716,1.73978850615501,-4.17055594792471,-1.69806803089282,-0.574091330134665,0.539262679447774,2.61586386642165,807.677751386263,1.00404427403901,"N. America","gdd2lf"
"betaTraitxChill",-5.95820249260368,0.188815484087745,4.47850188714694,-15.1422212447539,-9.03647870249296,-5.86702361610319,-2.89443459927809,2.63436018953989,562.587800422904,1.00681686300008,"N. America","gdd2lf"
"sigmapheno_y",16.0342848699951,0.00716412354564747,0.43267887398829,15.2229943574293,15.7321713757241,16.0204127441593,16.3260559174087,16.9254084076967,3647.58354879612,1.00112680016368,"N. America","gdd2lf"
