"diffbefore.after","precc.sens","postcc.sens","var.lo.precc","var.lo.postcc","degwarm"
6.7510286096926,-0.395835594965928,-7.14686420465853,2.5,4.4,1
1.25288864579135,-3.04912357845013,-4.30201222424149,4.9,3.6,1
-0.780158852139712,-4.17994210562826,-3.39978325348855,6.4,3.6,1
-0.732991350832209,-2.10416975760672,-1.37117840677451,2.4,2.1,1
-3.04680175918003,-4.29260538148005,-1.24580362230002,8,6,1
-1.52839946762224,-4.48371211059771,-2.95531264297547,10.1,4.5,1
2.56591495832987,0.0489332244367416,-2.51698173389313,4.1,3.6,1
-5.87827950463338,-5.62503491339072,0.253244591242659,8.5,2.4,2
-11.4723564712269,-6.98350123936483,4.48885523186211,10.5,2.5,2
-1.42574053306573,-4.61262797298628,-3.18688743992055,8.5,4.5,2
-1.47188070136667,-5.88961535254444,-4.41773465117777,8.1,4.4,2
-0.982679479943188,-1.51021089555957,-0.527531415616385,4.1,2.5,2
-3.74864304466812,-4.06433731643194,-0.315694271763822,4.1,2.5,2
-0.49542400905928,-3.77515372016227,-3.27972971110299,4.4,4.4,2
-1.30487330702765,-4.10487198442624,-2.79999867739859,10.4,4.4,2
-0.481030111143348,-2.600360288253,-2.11933017710965,6.1,2.1,2
-7.40685399027663,-9.09486891295348,-1.68801492267685,9.6,2.9,2
-3.97958130490325,-5.91225073265041,-1.93266942774717,10.1,4.4,2
-0.007151160890432,-3.69673857584809,-3.68958741495766,4.9,2.4,2
1.02269783152806,-1.72470242571645,-2.74740025724451,2.9,4.1,2
-0.610432674526659,-4.2889670805891,-3.67853440606244,6,4.4,2
-3.06119061768098,-3.96183130928942,-0.900640691608441,4.4,1.6,2
-2.9683163064156,-2.74539852092603,0.222917785489565,4.4,2.4,2
-1.43533887104769,-4.0901426724585,-2.65480380141081,5.6,2.1,2
-0.496496401105543,-2.76400145531781,-2.26750505421226,3.6,3.6,2
-0.381037202976569,-2.55261777835027,-2.1715805753737,4.1,4.4,2
-4.18341921926107,-5.07374043728462,-0.890321218023543,10.1,2.1,2
2.14395594424366,-4.06344860380976,-6.20740454805341,4.9,4.9,2
2.92632092171777,-1.74285999437127,-4.66918091608904,1.6,2.4,2
-5.09386477335223,-6.56764064714995,-1.47377587379772,6.4,2.1,2
-1.65785351194684,-3.1593597521442,-1.50150624019735,6.5,2.9,2
-2.97652581172695,-4.73840410381527,-1.76187829208833,8.4,2.5,2
-0.175414562106389,-3.10039205261488,-2.92497749050849,4.1,1.6,2
-3.67148476533251,-3.97452749397775,-0.303042728645244,8.4,4.4,2
2.14364742078079,-3.28820268342166,-5.43185010420244,6.4,4.4,2
-0.418605426428322,-2.9671728873772,-2.54856746094887,6.1,2.1,2
-4.83107665529561,-5.50863036293629,-0.677553707640683,8.9,4.4,2
-0.897589381661528,-5.33067867320831,-4.43308929154679,8.5,4.5,2
-6.2061185808985,-4.68593946011028,1.52017912078821,6.5,2.4,2
-2.45581017220373,-5.66420635047077,-3.20839617826703,6.5,4.5,2
-0.242126548373851,-5.68549305930563,-5.44336651093178,11.6,6.1,2
-1.58630534353782,-4.53252842719495,-2.94622308365713,6.9,6.4,2
-1.70964638963067,-2.9375204419791,-1.22787405234843,2.4,1.6,2
-4.66646241323183,-4.86877223953485,-0.202309826303022,8.1,2.1,2
-3.68021076547068,-6.23038914149672,-2.55017837602604,8.5,2.9,2
-1.68673519999497,-5.04541737877025,-3.35868217877528,4.5,7.6,2
-4.06466723754223,-5.19162657683207,-1.12695933928985,8.1,2.9,2
1.575144069966,1.07263424222648,-0.502509827739519,7.6,4.4,2
2.91069869211076,0.749251658836479,-2.16144703327428,2.4,3.6,2
2.64889736043422,-2.08505766147559,-4.73395502190981,2.5,7.6,2
-3.41237538658439,-6.15497703674348,-2.74260165015909,4.1,3.6,2
-1.24202282063663,-2.61904628849754,-1.37702346786091,6.4,3.6,2
0.170930340693483,-3.54464386994227,-3.71557421063576,7.6,2.4,3
-1.97959759714821,-3.59799000747582,-1.61839241032762,2.9,1.6,3
-2.53850069116209,-4.42755005127798,-1.88904936011588,6.9,2.1,3
-2.69846452988331,-6.49820593417532,-3.79974140429201,8.5,2.1,3
-3.39990263150464,-5.28702597374343,-1.88712334223879,8.1,2.1,3
-1.82329155563643,-1.90533189175474,-0.082040336118307,4.5,2,3
-1.88061616138668,-5.08529594586059,-3.20467978447391,6.4,2.5,3
-1.02376352576969,-3.22444838879638,-2.20068486302669,5.6,1.6,3
-2.66061873450146,-4.45529927609952,-1.79468054159806,6.1,4,3
-4.70978808297234,-6.34317005951399,-1.63338197654165,10.4,1.6,3
-3.16956814770343,-6.24524483386917,-3.07567668616574,8.1,8,3
-6.00296596419416,-7.68412777472231,-1.68116181052815,12.9,2.1,3
