"Lat","Lon","MeanDateLeaf","lodoy","daylength"
42.55,-8.43,94.9,94,12.8141799792006
42.72,-8.43,95.1,95,12.866430400925
42.88,-8.43,95.1,95,12.8708552878339
43.05,-8.43,96.1,96,12.923902527637
43.21,-8.43,98,98,13.0254942919007
43.38,-8.43,98,98,13.0311558609123
51.84,-8.43,98.3,98,13.3654533343814
52.01,-8.43,99.4,99,13.4397059821471
52.18,-8.43,101.2,101,13.5810866258913
52.34,-8.43,101.4,101,13.5899627630167
52.51,-8.43,100.5,100,13.5322815626153
52.67,-8.43,99.1,99,13.4731578151521
52.84,-8.43,99.3,99,13.4819469243089
53.01,-8.43,97.9,97,13.3532026010801
53.17,-8.43,100.3,100,13.5682400791772
53.34,-8.43,98.8,98,13.4386226782828
53.51,-8.43,99.1,99,13.5173050502634
53.67,-8.43,99.4,99,13.5259232682942
53.84,-8.43,101,101,13.6766202624694
54,-8.43,104,104,13.8986296660182
54.17,-8.43,105.6,105,13.9812767173115
54.34,-8.43,107.9,107,14.1358105627197
54.5,-8.43,107.5,107,14.1483902519372
54.67,-8.43,112.8,112,14.5183245593818
54.83,-8.43,115.7,115,14.7455551750287
37.24,-8.26,99.3,99,12.8843016515956
37.4,-8.26,97.8,97,12.8105211611542
37.57,-8.26,96.6,96,12.7753672552469
37.73,-8.26,95.5,95,12.739406725645
37.9,-8.26,96.9,96,12.783618186681
38.07,-8.26,98.3,98,12.8684800827236
38.23,-8.26,98.3,98,12.8729981699214
38.4,-8.26,98.9,98,12.8778220378208
38.56,-8.26,98.7,98,12.8823844008591
38.73,-8.26,98.3,98,12.8872558050948
38.9,-8.26,98.7,98,12.8921520885106
39.06,-8.26,99.7,99,12.9383675603374
39.23,-8.26,99.9,99,12.9435686208006
39.4,-8.26,99.3,99,12.9487966700577
39.56,-8.26,99.2,99,12.9537421061697
39.73,-8.26,98.6,98,12.9164237555093
39.89,-8.26,97.7,97,12.8782089742993
40.06,-8.26,96.7,96,12.8396783117557
40.23,-8.26,96.4,96,12.8442504642822
40.39,-8.26,96.7,96,12.8485761484023
40.56,-8.26,96.2,96,12.8531963335359
40.72,-8.26,96.3,96,12.8575677104699
40.89,-8.26,95.2,95,12.8174829485919
41.05,-8.26,95.2,95,12.8216453827434
41.22,-8.26,95.3,95,12.8260917561599
41.39,-8.26,94.8,94,12.7849032074117
41.55,-8.26,95.2,95,12.8347939289211
41.72,-8.26,95,95,12.8393139704322
41.88,-8.26,94.9,94,12.7971313312572
42.05,-8.26,95.1,95,12.8481615195487
42.22,-8.26,95.1,95,12.8527576973647
42.38,-8.26,95.5,95,12.8571076838538
42.55,-8.26,96.7,96,12.9092265816516
42.72,-8.26,96.3,96,12.9141881488976
42.88,-8.26,95.5,95,12.8708552878339
43.05,-8.26,96.5,96,12.923902527637
43.21,-8.26,97.5,97,12.9771333612085
43.38,-8.26,97.9,97,12.9825023198837
51.84,-8.26,97.8,97,13.2995206644775
52.01,-8.26,98.5,98,13.3734854043107
52.18,-8.26,100.8,100,13.5147267310018
52.34,-8.26,99.6,99,13.4563004450222
52.51,-8.26,100.7,100,13.5322815626153
52.67,-8.26,98.3,98,13.4052879244922
52.84,-8.26,98,98,13.4136434625447
53.01,-8.26,98.6,98,13.4220680730656
53.17,-8.26,98.8,98,13.4300611116777
53.34,-8.26,99.1,99,13.5082229584284
53.51,-8.26,100.1,100,13.5872228324048
53.67,-8.26,101.7,101,13.6664728162101
53.84,-8.26,103.4,103,13.8174963997011
54,-8.26,104.7,104,13.8986296660182
54.17,-8.26,106.5,106,14.0520165170018
54.34,-8.26,108.1,108,14.2066225795205
54.5,-8.26,112.4,112,14.5023967392489
54.67,-8.26,109.6,109,14.3051599664079
54.83,-8.26,112.3,112,14.5334499226403
55,-8.26,109.2,109,14.3336026062927
71.1,-8.26,171.8,171,24
37.24,-8.1,98.9,98,12.8453770469184
37.4,-8.1,98,98,12.8497877508686
37.57,-8.1,95.7,95,12.7356478262949
37.73,-8.1,96.2,96,12.7793578200323
37.9,-8.1,97.4,97,12.8237146678142
38.07,-8.1,98,98,12.8684800827236
38.23,-8.1,98.4,98,12.8729981699214
38.4,-8.1,98.8,98,12.8778220378208
38.56,-8.1,98.1,98,12.8823844008591
38.73,-8.1,97.6,97,12.8460470704915
38.9,-8.1,98.1,98,12.8921520885106
39.06,-8.1,99.5,99,12.9383675603374
39.23,-8.1,99.3,99,12.9435686208006
39.4,-8.1,98.3,98,12.90669971537
39.56,-8.1,98.7,98,12.9114020536153
39.73,-8.1,97.7,97,12.8737043844488
39.89,-8.1,97.1,97,12.8782089742993
40.06,-8.1,96.2,96,12.8396783117557
