"Lat","Lon","MeanFitness","pres"
41.72,-7.93,0.438,1
41.88,-7.93,0.416,1
42.05,-7.93,0.523,1
42.22,-7.93,0.491,1
42.38,-7.93,0.499,1
42.55,-7.93,0.399,1
42.72,-7.93,0.537,1
42.88,-7.93,0.787,1
43.05,-7.93,0.794,1
43.21,-7.93,0.742,1
43.38,-7.93,0.649,1
43.55,-7.93,0.599,1
43.71,-7.93,0.549,1
52.01,-7.93,0.848,1
52.18,-7.93,0.998,1
52.34,-7.93,0.993,1
52.51,-7.93,0.995,1
52.67,-7.93,0.997,1
52.84,-7.93,0.992,1
53.01,-7.93,0.996,1
53.17,-7.93,0.943,1
53.34,-7.93,0.939,1
53.51,-7.93,0.997,1
53.67,-7.93,0.948,1
53.84,-7.93,0.947,1
54,-7.93,0.995,1
54.17,-7.93,0.949,1
54.34,-7.93,0.699,1
54.5,-7.93,0.776,1
54.67,-7.93,0.48,1
54.83,-7.93,0.304,1
55,-7.93,0.35,1
55.16,-7.93,0.443,1
71.1,-7.93,0,0
37.24,-7.76,0.005,0
37.4,-7.76,0,0
37.57,-7.76,0,0
37.73,-7.76,0,0
37.9,-7.76,0,0
38.07,-7.76,0,0
38.23,-7.76,0,0
38.4,-7.76,0,0
38.56,-7.76,0,0
38.73,-7.76,0,0
38.9,-7.76,0,0
39.06,-7.76,0,0
39.23,-7.76,0,0
39.4,-7.76,0,0
39.56,-7.76,0,0
39.73,-7.76,0,0
39.89,-7.76,0,0
40.06,-7.76,0,0
40.23,-7.76,0,0
40.39,-7.76,0,0
40.56,-7.76,0,0
40.72,-7.76,0,0
40.89,-7.76,0,0
41.05,-7.76,0.1,0
41.22,-7.76,0.199,1
41.39,-7.76,0.2,1
41.55,-7.76,0.299,1
41.72,-7.76,0.15,1
41.88,-7.76,0.242,1
42.05,-7.76,0.515,1
42.22,-7.76,0.533,1
42.38,-7.76,0.374,1
42.55,-7.76,0.299,1
42.72,-7.76,0.298,1
42.88,-7.76,0.73,1
43.05,-7.76,0.795,1
43.21,-7.76,0.796,1
43.38,-7.76,0.797,1
43.55,-7.76,0.799,1
43.71,-7.76,0.749,1
43.88,-7.76,0.849,1
52.01,-7.76,0.996,1
52.18,-7.76,0.984,1
52.34,-7.76,0.949,1
52.51,-7.76,0.998,1
52.67,-7.76,0.942,1
52.84,-7.76,0.947,1
53.01,-7.76,0.946,1
53.17,-7.76,0.947,1
53.34,-7.76,0.947,1
53.51,-7.76,0.942,1
53.67,-7.76,0.947,1
53.84,-7.76,0.992,1
54,-7.76,0.99,1
54.17,-7.76,0.743,1
54.34,-7.76,0.693,1
54.5,-7.76,0.725,1
54.67,-7.76,0.609,1
54.83,-7.76,0.409,1
55,-7.76,0.514,1
55.16,-7.76,0.777,1
37.24,-7.6,0,0
37.4,-7.6,0,0
37.57,-7.6,0,0
37.73,-7.6,0,0
37.9,-7.6,0,0
38.07,-7.6,0,0
38.23,-7.6,0,0
38.4,-7.6,0,0
38.56,-7.6,0,0
38.73,-7.6,0,0
38.9,-7.6,0,0
39.06,-7.6,0,0
39.23,-7.6,0,0
39.4,-7.6,0,0
39.56,-7.6,0,0
39.73,-7.6,0,0
39.89,-7.6,0,0
40.06,-7.6,0,0
40.23,-7.6,0,0
40.39,-7.6,0,0
40.56,-7.6,0,0
40.72,-7.6,0,0
40.89,-7.6,0,0
41.05,-7.6,0.05,0
41.22,-7.6,0.2,1
41.39,-7.6,0.15,1
41.55,-7.6,0,0
41.72,-7.6,0.294,1
41.88,-7.6,0.05,0
42.05,-7.6,0.195,1
42.22,-7.6,0.499,1
42.38,-7.6,0.249,1
42.55,-7.6,0.299,1
42.72,-7.6,0.349,1
42.88,-7.6,0.498,1
43.05,-7.6,0.698,1
43.21,-7.6,0.749,1
43.38,-7.6,0.694,1
43.55,-7.6,0.798,1
43.71,-7.6,0.848,1
43.88,-7.6,0.849,1
52.01,-7.6,0.989,1
52.18,-7.6,0.956,1
52.34,-7.6,0.937,1
52.51,-7.6,0.998,1
52.67,-7.6,0.948,1
52.84,-7.6,0.947,1
53.01,-7.6,0.947,1
53.17,-7.6,0.941,1
53.34,-7.6,0.848,1
53.51,-7.6,0.892,1
53.67,-7.6,0.947,1
53.84,-7.6,0.937,1
54,-7.6,0.99,1
54.17,-7.6,0.919,1
54.34,-7.6,0.663,1
54.5,-7.6,0.876,1
54.67,-7.6,0.729,1
54.83,-7.6,0.815,1
55,-7.6,0.855,1
55.16,-7.6,0.878,1
55.33,-7.6,0.962,1
37.4,-7.43,0,0
37.57,-7.43,0,0
37.73,-7.43,0,0
37.9,-7.43,0,0
38.07,-7.43,0,0
38.23,-7.43,0,0
38.4,-7.43,0,0
38.56,-7.43,0,0
38.73,-7.43,0,0
38.9,-7.43,0,0
39.06,-7.43,0,0
39.23,-7.43,0,0
39.4,-7.43,0,0
39.56,-7.43,0,0
39.73,-7.43,0,0
39.89,-7.43,0,0
40.06,-7.43,0,0
40.23,-7.43,0,0
40.39,-7.43,0,0
40.56,-7.43,0,0
40.72,-7.43,0.15,1
40.89,-7.43,0,0
41.05,-7.43,0,0
41.22,-7.43,0.1,0
41.39,-7.43,0.1,0
41.55,-7.43,0,0
41.72,-7.43,0.2,1
41.88,-7.43,0.05,0
42.05,-7.43,0.049,0
42.22,-7.43,0.15,1
42.38,-7.43,0.1,0
42.55,-7.43,0.337,1
42.72,-7.43,0.299,1
42.88,-7.43,0.299,1
43.05,-7.43,0.444,1
43.21,-7.43,0.511,1
43.38,-7.43,0.549,1
43.55,-7.43,0.798,1
43.71,-7.43,0.848,1
43.88,-7.43,0.849,1
52.18,-7.43,0.983,1
52.34,-7.43,0.89,1
52.51,-7.43,0.997,1
52.67,-7.43,0.947,1
52.84,-7.43,0.947,1
53.01,-7.43,0.947,1
53.17,-7.43,0.947,1
53.34,-7.43,0.898,1
53.51,-7.43,0.997,1
53.67,-7.43,0.997,1
53.84,-7.43,0.947,1
54,-7.43,0.996,1
54.17,-7.43,0.966,1
54.34,-7.43,0.902,1
54.5,-7.43,0.835,1
54.67,-7.43,0.67,1
54.83,-7.43,0.89,1
55,-7.43,0.972,1
55.16,-7.43,0.982,1
55.33,-7.43,0.977,1
37.4,-7.26,0,0
37.57,-7.26,0,0
37.73,-7.26,0,0
37.9,-7.26,0,0
38.07,-7.26,0,0
38.23,-7.26,0,0
38.4,-7.26,0,0
38.56,-7.26,0,0
38.73,-7.26,0,0
38.9,-7.26,0,0
39.06,-7.26,0,0
39.23,-7.26,0,0
39.4,-7.26,0,0
39.56,-7.26,0,0
39.73,-7.26,0,0
39.89,-7.26,0,0
40.06,-7.26,0,0
40.23,-7.26,0,0
40.39,-7.26,0,0
40.56,-7.26,0,0
40.72,-7.26,0,0
40.89,-7.26,0,0
41.05,-7.26,0,0
41.22,-7.26,0.1,0
41.39,-7.26,0,0
41.55,-7.26,0,0
41.72,-7.26,0,0
41.88,-7.26,0,0
42.05,-7.26,0,0
42.22,-7.26,0,0
42.38,-7.26,0,0
42.55,-7.26,0.449,1
42.72,-7.26,0.299,1
42.88,-7.26,0.15,1
43.05,-7.26,0.399,1
43.21,-7.26,0.499,1
43.38,-7.26,0.549,1
43.55,-7.26,0.749,1
43.71,-7.26,0.699,1
52.34,-7.26,0.848,1
52.51,-7.26,0.997,1
52.67,-7.26,0.947,1
52.84,-7.26,0.947,1
53.01,-7.26,0.897,1
53.17,-7.26,0.897,1
53.34,-7.26,0.897,1
53.51,-7.26,0.898,1
53.67,-7.26,0.997,1
53.84,-7.26,0.897,1
54,-7.26,0.997,1
54.17,-7.26,0.997,1
54.34,-7.26,0.991,1
54.5,-7.26,0.931,1
54.67,-7.26,0.947,1
54.83,-7.26,0.904,1
55,-7.26,0.99,1
55.16,-7.26,0.985,1
55.33,-7.26,0.86,1
57.32,-7.26,0.633,1
57.49,-7.26,0.717,1
57.66,-7.26,0.538,1
62.14,-7.26,0,0
37.4,-7.1,0,0
37.57,-7.1,0,0
37.73,-7.1,0,0
37.9,-7.1,0,0
38.07,-7.1,0,0
38.23,-7.1,0,0
38.4,-7.1,0,0
38.56,-7.1,0,0
38.73,-7.1,0,0
38.9,-7.1,0,0
39.06,-7.1,0,0
39.23,-7.1,0,0
39.4,-7.1,0,0
39.56,-7.1,0,0
39.73,-7.1,0,0
39.89,-7.1,0,0
40.06,-7.1,0,0
40.23,-7.1,0,0
40.39,-7.1,0,0
40.56,-7.1,0,0
40.72,-7.1,0,0
40.89,-7.1,0,0
41.05,-7.1,0,0
41.22,-7.1,0,0
41.39,-7.1,0,0
41.55,-7.1,0,0
41.72,-7.1,0,0
41.88,-7.1,0,0
42.05,-7.1,0,0
42.22,-7.1,0,0
42.38,-7.1,0,0
42.55,-7.1,0.399,1
42.72,-7.1,0,0
42.88,-7.1,0.199,1
43.05,-7.1,0.499,1
43.21,-7.1,0.499,1
43.38,-7.1,0.549,1
43.55,-7.1,0.599,1
43.71,-7.1,0.599,1
52.34,-7.1,0.748,1
