Lat	Lon	MeanFitness
38.4000	-8.1000	 0.000
38.5600	-8.1000	 0.000
38.7300	-8.1000	 0.000
38.9000	-8.1000	 0.000
39.0600	-8.1000	 0.000
39.2300	-8.1000	 0.000
39.4000	-8.1000	 0.000
39.5600	-8.1000	 0.000
39.7300	-8.1000	 0.000
39.8900	-8.1000	 0.100
40.0600	-8.1000	 0.399
40.2300	-8.1000	 0.496
40.3900	-8.1000	 0.449
40.5600	-8.1000	 0.449
40.7200	-8.1000	 0.541
40.8900	-8.1000	 0.690
41.0500	-8.1000	 0.731
41.2200	-8.1000	 0.847
41.3900	-8.1000	 0.696
41.5500	-8.1000	 0.842
41.7200	-8.1000	 0.835
41.8800	-8.1000	 0.763
42.0500	-8.1000	 0.287
42.2200	-8.1000	 0.637
42.3800	-8.1000	 0.541
42.5500	-8.1000	 0.550
42.7200	-8.1000	 0.535
42.8800	-8.1000	 0.785
43.0500	-8.1000	 0.795
43.2100	-8.1000	 0.821
43.3800	-8.1000	 0.749
43.5500	-8.1000	 0.599
43.7100	-8.1000	 0.649
52.0100	-8.1000	 0.948
52.1800	-8.1000	 0.998
52.3400	-8.1000	 0.998
52.5100	-8.1000	 0.845
52.6700	-8.1000	 0.895
52.8400	-8.1000	 0.838
53.0100	-8.1000	 0.997
53.1700	-8.1000	 0.897
53.3400	-8.1000	 0.996
53.5100	-8.1000	 0.896
53.6700	-8.1000	 0.990
53.8400	-8.1000	 0.946
54.0000	-8.1000	 0.946
54.1700	-8.1000	 0.523
54.3400	-8.1000	 0.494
54.5000	-8.1000	 0.170
54.6700	-8.1000	 0.523
54.8300	-8.1000	 0.128
55.0000	-8.1000	 0.098
55.1600	-8.1000	 0.325
71.1000	-8.1000	 0.001
37.2400	-7.9300	 0.338
37.4000	-7.9300	 0.000
37.5700	-7.9300	 0.000
37.7300	-7.9300	 0.000
37.9000	-7.9300	 0.000
38.0700	-7.9300	 0.000
38.2300	-7.9300	 0.000
38.4000	-7.9300	 0.000
38.5600	-7.9300	 0.000
38.7300	-7.9300	 0.000
38.9000	-7.9300	 0.000
39.0600	-7.9300	 0.000
39.2300	-7.9300	 0.000
39.4000	-7.9300	 0.000
39.5600	-7.9300	 0.000
39.7300	-7.9300	 0.000
39.8900	-7.9300	 0.050
40.0600	-7.9300	 0.397
40.2300	-7.9300	 0.443
40.3900	-7.9300	 0.449
40.5600	-7.9300	 0.349
40.7200	-7.9300	 0.496
40.8900	-7.9300	 0.545
41.0500	-7.9300	 0.679
41.2200	-7.9300	 0.793
41.3900	-7.9300	 0.749
41.5500	-7.9300	 0.736
41.7200	-7.9300	 0.806
41.8800	-7.9300	 0.679
42.0500	-7.9300	 0.865
42.2200	-7.9300	 0.697
42.3800	-7.9300	 0.897
42.5500	-7.9300	 0.837
42.7200	-7.9300	 0.767
42.8800	-7.9300	 0.907
43.0500	-7.9300	 0.930
43.2100	-7.9300	 0.869
43.3800	-7.9300	 0.941
43.5500	-7.9300	 0.898
43.7100	-7.9300	 0.899
52.0100	-7.9300	 0.998
52.1800	-7.9300	 0.998
52.3400	-7.9300	 0.994
52.5100	-7.9300	 0.994
52.6700	-7.9300	 0.944
52.8400	-7.9300	 0.843
53.0100	-7.9300	 0.987
53.1700	-7.9300	 0.946
53.3400	-7.9300	 0.941
53.5100	-7.9300	 0.996
53.6700	-7.9300	 0.897
53.8400	-7.9300	 0.896
54.0000	-7.9300	 0.896
54.1700	-7.9300	 0.629
54.3400	-7.9300	 0.186
