"datasetID","study","genus","species","prov.lat","prov.long","field.sample","force","photo","chill","chilltime","spp"
"zohner16","Exp1","Heptacodium","miconioides",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Hibiscus","syriacus",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Hydrangea","arborescens",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Hydrangea","involucrata",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Hydrangea","serrata",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Larix","gmelinii",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Larix","kaempferi",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Ligustrum","tschonoskii",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Liquidambar","orientalis",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Liquidambar","styraciflua",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Liriodendron","tulipifera",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Lonicera","alpigena",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Lonicera","caerulea",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Lonicera","maximowiczii",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Metasequoia","glyptostroboides",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Nothofagus","antarctica",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Oemleria","cerasiformis",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Orixa","japonica",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Ostrya","carpinifolia",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Ostrya","virginiana",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Paeonia","rockii",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Parrotia","persica",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Parrotiopsis","jaquemontiana",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Photinia","villosa",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Picea","abies",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Populus","koreana",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Prinsepia","sinensis",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Prinsepia","uniflora",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Prunus","cerasifera",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Prunus","padus",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Prunus","serrulata",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Prunus","tenella",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Ptelea","trifoliata",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Pyrus","elaeagnifolia",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Pyrus","pyrifolia",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Pyrus","ussuriensis",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Quercus","robur",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Quercus","shumardii",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Rhamnus","alpina",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Rhamnus","cathartica",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Rhododendron","canadense",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Rhododendron","dauricum",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Rhododendron","mucronulatum",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Ribes","alpinum",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Ribes","divaricatum",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Ribes","glaciale",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Rosa","hugonis",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Rosa","majalis",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Salix","gracilistyla",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Salix","repens",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Sambucus","nigra",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Sambucus","pubens",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Sambucus","tigranii",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Sinowilsonia","henryi",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Sorbus","aria",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Sorbus","commixta",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Sorbus","decora",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Spiraea","canescens",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Spiraea","chamaedryfolia",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Spiraea","japonica",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Stachyurus","praecox",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Stachyurus","sinensis",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Syringa","josikaea",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Syringa","reticulata",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Syringa","villosa",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Tilia","dasystyla",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Tilia","japonica",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Tilia","platyphyllos",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Toona","sinensis",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Ulmus","americana",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Ulmus","laevis",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Viburnum","betulifolium",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Viburnum","buddleifolium",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Viburnum","carlesii",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Viburnum","opulus",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Viburnum","plicatum",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Weigela","coraeensis",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Weigela","florida",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Weigela","maximowiczii",1,1,"3","1","2","1","1","130"
