,datasetID,study,response,n,error.type,resp_error,figure.table..if.applicable.
1104,laube14a,exp1,timeonly,,,,fig 2
1105,laube14a,exp1,timeonly,,,,fig 2
1106,laube14a,exp1,timeonly,,,,fig 2
1107,laube14a,exp1,timeonly,,,,fig 2
1108,laube14a,exp1,timeonly,,,,fig 2
1109,laube14a,exp1,timeonly,,,,fig 2
1110,laube14a,exp1,timeonly,,,,fig 2
1111,laube14a,exp1,timeonly,,,,fig 2
1112,laube14a,exp1,timeonly,,,,fig 2
1113,laube14a,exp1,timeonly,,,,fig 2
1114,laube14a,exp1,timeonly,,,,fig 2
1115,laube14a,exp1,timeonly,,,,fig 2
1116,laube14a,exp1,timeonly,,,,fig 2
1117,laube14a,exp1,timeonly,,,,fig 2
1118,laube14a,exp1,timeonly,,,,fig 2
1119,laube14a,exp1,timeonly,,,,fig 2
1120,laube14a,exp1,timeonly,,,,fig 2
1121,laube14a,exp1,timeonly,,,,fig 2
1122,laube14a,exp1,timeonly,,,,fig 2
1123,laube14a,exp1,timeonly,,,,fig 2
1124,laube14a,exp1,timeonly,,,,fig 2
1125,laube14a,exp1,timeonly,,,,fig 2
1126,laube14a,exp1,timeonly,,,,fig 2
1127,laube14a,exp1,timeonly,,,,fig 2
1128,laube14a,exp1,timeonly,,,,fig 2
1129,laube14a,exp1,timeonly,,,,fig 2
1130,laube14a,exp1,timeonly,,,,fig 2
1131,laube14a,exp1,timeonly,,,,fig 2
1132,laube14a,exp1,timeonly,,,,fig 2
1133,laube14a,exp1,timeonly,,,,fig 2
1134,laube14a,exp1,timeonly,,,,fig 2
1135,laube14a,exp1,timeonly,,,,fig 2
1136,laube14a,exp1,timeonly,,,,fig 2
1137,laube14a,exp1,timeonly,,,,fig 2
1138,laube14a,exp1,timeonly,,,,fig 2
1139,laube14a,exp1,timeonly,,,,fig 2
1140,laube14a,exp1,timeonly,,,,fig 2
1141,laube14a,exp1,timeonly,,,,fig 2
1142,laube14a,exp1,timeonly,,,,fig 2
1143,laube14a,exp1,timeonly,,,,fig 2
1144,laube14a,exp1,timeonly,,,,fig 2
1145,laube14a,exp1,timeonly,,,,fig 2
1146,laube14a,exp1,timeonly,,,,fig 2
1147,laube14a,exp1,timeonly,,,,fig 2
1148,laube14a,exp1,timeonly,,,,fig 2
1149,laube14a,exp1,timeonly,,,,fig 2
1150,laube14a,exp1,timeonly,,,,fig 2
