"","sprtemp.-6","sprtemp.-5","sprtemp.-4","sprtemp.-3","sprtemp.-2","sprtemp.-1","sprtemp.0","sprtemp.1","sprtemp.2","sprtemp.3","sprtemp.4","sprtemp.5","sprtemp.6","sprtemp.7","sprtemp.8","sprtemp.9","sprtemp.10","sprtemp.11","sprtemp.12","sprtemp.13","sprtemp.14","sprtemp.15","sprtemp.16","sprtemp.17","sprtemp.18","sprtemp.19","sprtemp.20","sprtemp.21","sprtemp.22","sprtemp.23","sprtemp.24","sprtemp.25","sprtemp.26","sprtemp.27","sprtemp.28","sprtemp.29","sprtemp.30","sprtemp.31","sprtemp.32"
"wintemp.4",36.060413971854,35.2603789185427,34.4603438652314,33.6603088119201,32.8602737586088,32.0602387052974,31.2602036519861,30.4601685986748,29.6601335453635,28.8600984920521,28.0600634387408,27.2600283854295,26.4599933321182,25.6599582788069,24.8599232254955,24.0598881721842,23.2598531188729,22.4598180655616,21.6597830122503,20.8597479589389,20.0597129056276,19.2596778523163,18.459642799005,17.6596077456936,16.8595726923823,16.059537639071,15.2595025857597,14.4594675324484,13.659432479137,12.8593974258257,12.0593623725144,11.2593273192031,10.4592922658918,9.65925721258043,8.85922215926911,8.05918710595778,7.25915205264646,6.45911699933514,5.65908194602382
"wintemp.5",34.1332626299553,33.3332275766439,32.5331925233326,31.7331574700213,30.93312241671,30.1330873633987,29.3330523100873,28.533017256776,27.7329822034647,26.9329471501534,26.132912096842,25.3328770435307,24.5328419902194,23.7328069369081,22.9327718835968,22.1327368302854,21.3327017769741,20.5326667236628,19.7326316703515,18.9325966170402,18.1325615637288,17.3325265104175,16.5324914571062,15.7324564037949,14.9324213504835,14.1323862971722,13.3323512438609,12.5323161905496,11.7322811372383,10.9322460839269,10.1322110306156,9.33217597730429,8.53214092399297,7.73210587068165,6.93207081737033,6.132035764059,5.33200071074768,4.53196565743636,3.73193060412504
"wintemp.6",32.9401872885404,32.1401522352291,31.3401171819177,30.5400821286064,29.7400470752951,28.9400120219838,28.1399769686725,27.3399419153611,26.5399068620498,25.7398718087385,24.9398367554272,24.1398017021159,23.3397666488045,22.5397315954932,21.7396965421819,20.9396614888706,20.1396264355592,19.3395913822479,18.5395563289366,17.7395212756253,16.939486222314,16.1394511690026,15.3394161156913,14.53938106238,13.7393460090687,12.9393109557573,12.139275902446,11.3392408491347,10.5392057958234,9.73917074251206,8.93913568920074,8.13910063588941,7.33906558257809,6.53903052926677,5.73899547595545,4.93896042264413,4.13892536933281,3.33889031602149,2.53885526271016
"wintemp.7",32.5348574079436,31.7348223546323,30.934787301321,30.1347522480097,29.3347171946983,28.534682141387,27.7346470880757,26.9346120347644,26.134576981453,25.3345419281417,24.5345068748304,23.7344718215191,22.9344367682078,22.1344017148964,21.3343666615851,20.5343316082738,19.7342965549625,18.9342615016512,18.1342264483398,17.3341913950285,16.5341563417172,15.7341212884059,14.9340862350945,14.1340511817832,13.3340161284719,12.5339810751606,11.7339460218493,10.9339109685379,10.1338759152266,9.33384086191529,8.53380580860397,7.73377075529265,6.93373570198132,6.13370064867,5.33366559535868,4.53363054204736,3.73359548873604,2.93356043542472,2.13352538211339
"wintemp.8",32.535132718112,31.7350976648007,30.9350626114894,30.1350275581781,29.3349925048667,28.5349574515554,27.7349223982441,26.9348873449328,26.1348522916214,25.3348172383101,24.5347821849988,23.7347471316875,22.9347120783762,22.1346770250648,21.3346419717535,20.5346069184422,19.7345718651309,18.9345368118196,18.1345017585082,17.3344667051969,16.5344316518856,15.7343965985743,14.9343615452629,14.1343264919516,13.3342914386403,12.534256385329,11.7342213320177,10.9341862787063,10.134151225395,9.33411617208369,8.53408111877237,7.73404606546105,6.93401101214973,6.13397595883841,5.33394090552708,4.53390585221576,3.73387079890444,2.93383574559312,2.1338006922818
"wintemp.9",33.0550534024455,32.2550183491342,31.4549832958228,30.6549482425115,29.8549131892002,29.0548781358889,28.2548430825776,27.4548080292662,26.6547729759549,25.8547379226436,25.0547028693323,24.2546678160209,23.4546327627096,22.6545977093983,21.854562656087,21.0545276027757,20.2544925494643,19.454457496153,18.6544224428417,17.8543873895304,17.054352336219,16.2543172829077,15.4542822295964,14.6542471762851,13.8542121229738,13.0541770696624,12.2541420163511,11.4541069630398,10.6540719097285,9.85403685641715,9.05400180310583,8.25396674979451,7.45393169648319,6.65389664317186,5.85386158986054,5.05382653654922,4.2537914832379,3.45375642992658,2.65372137661526
"wintemp.10",33.9765902993048,33.1765552459935,32.3765201926821,31.5764851393708,30.7764500860595,29.9764150327482,29.1763799794369,28.3763449261255,27.5763098728142,26.7762748195029,25.9762397661916,25.1762047128802,24.3761696595689,23.5761346062576,22.7760995529463,21.976064499635,21.1760294463236,20.3759943930123,19.575959339701,18.7759242863897,17.9758892330784,17.175854179767,16.3758191264557,15.5757840731444,14.7757490198331,13.9757139665217,13.1756789132104,12.3756438598991,11.5756088065878,10.7755737532765,9.97553869996514,9.17550364665381,8.37546859334249,7.57543354003117,6.77539848671985,5.97536343340853,5.17532838009721,4.37529332678588,3.57525827347456
"wintemp.11",35.1102583025004,34.3102232491891,33.5101881958777,32.7101531425664,31.9101180892551,31.1100830359438,30.3100479826324,29.5100129293211,28.7099778760098,27.9099428226985,27.1099077693872,26.3098727160758,25.5098376627645,24.7098026094532,23.9097675561419,23.1097325028305,22.3096974495192,21.5096623962079,20.7096273428966,19.9095922895853,19.1095572362739,18.3095221829626,17.5094871296513,16.70945207634,15.9094170230287,15.1093819697173,14.309346916406,13.5093118630947,12.7092768097834,11.909241756472,11.1092067031607,10.3091716498494,9.50913659653808,8.70910154322675,7.90906648991543,7.10903143660411,6.30899638329279,5.50896132998147,4.70892627667015
"wintemp.12",37.323415832596,36.5233807792847,35.7233457259734,34.923310672662,34.1232756193507,33.3232405660394,32.5232055127281,31.7231704594168,30.9231354061054,30.1231003527941,29.3230652994828,28.5230302461715,27.7229951928601,26.9229601395488,26.1229250862375,25.3228900329262,24.5228549796149,23.7228199263035,22.9227848729922,22.1227498196809,21.3227147663696,20.5226797130582,19.7226446597469,18.9226096064356,18.1225745531243,17.322539499813,16.5225044465016,15.7224693931903,14.922434339879,14.1223992865677,13.3223642332564,12.522329179945,11.7222941266337,10.9222590733224,10.1222240200111,9.32218896669974,8.52215391338842,7.7221188600771,6.92208380676578
"wintemp.13",39.9010692558232,39.1010342025118,38.3009991492005,37.5009640958892,36.7009290425779,35.9008939892665,35.1008589359552,34.3008238826439,33.5007888293326,32.7007537760213,31.9007187227099,31.1006836693986,30.3006486160873,29.500613562776,28.7005785094646,27.9005434561533,27.100508402842,26.3004733495307,25.5004382962194,24.700403242908,23.9003681895967,23.1003331362854,22.3002980829741,21.5002630296628,20.7002279763514,19.9001929230401,19.1001578697288,18.3001228164175,17.5000877631061,16.7000527097948,15.9000176564835,15.0999826031722,14.2999475498609,13.4999124965495,12.6998774432382,11.8998423899269,11.0998073366156,10.2997722833042,9.49973722999293
