"name","datasets","force","photo","chill","field.sample","prov.lat"
"Cercidiphyllum_japonicum","1","1","2","1","3",1
"Cercidiphyllum_magnificum","1","1","2","1","3",1
"Cercis_canadensis","1","1","2","1","3",1
"Cercis_chinensis","1","1","2","1","3",1
"Cladrastis_lutea","1","1","2","1","3",1
"Cornus_kousa","1","1","2","1","3",1
"Corylopsis_sinensis","1","1","2","1","3",1
"Corylopsis_spicata","1","1","2","1","3",1
"Corylus_heterophylla","1","1","2","1","3",1
"Corylus_sieboldiana","1","1","2","1","3",1
"Decaisnea_fargesii","1","1","2","1","3",1
"Deutzia_gracilis","1","1","2","1","3",1
"Deutzia_scabra","1","1","2","1","3",1
"Elaeagnus_ebbingei","1","1","2","1","3",1
"Eleutherococcus_senticosus","1","1","2","1","3",1
"Eleutherococcus_setchuenensis","1","1","2","1","3",1
"Eleutherococcus_sieboldianus","1","1","2","1","3",1
"Fagus_orientalis","1","1","2","1","3",1
"Forsythia_ovata","1","1","2","1","3",1
"Forsythia_suspensa","1","1","2","1","3",1
"Fraxinus_latifolia","1","1","2","1","3",1
"Fraxinus_ornus","1","1","2","1","3",1
"Hibiscus_syriacus","1","1","2","1","3",1
"Hydrangea_arborescens","1","1","2","1","3",1
"Hydrangea_involucrata","1","1","2","1","3",1
"Hydrangea_serrata","1","1","2","1","3",1
"Larix_gmelinii","1","1","2","1","3",1
"Oemleria_cerasiformis","1","1","2","1","3",1
"Orixa_japonica","1","1","2","1","3",1
"Ostrya_carpinifolia","1","1","2","1","3",1
"Ostrya_virginiana","1","1","2","1","3",1
"Paeonia_rockii","1","1","2","1","3",1
"Parrotia_persica","1","1","2","1","3",1
"Parrotiopsis_jaquemontiana","1","1","2","1","3",1
"Photinia_villosa","1","1","2","1","3",1
"Populus_koreana","1","1","2","1","3",1
"Prinsepia_sinensis","1","1","2","1","3",1
"Prinsepia_uniflora","1","1","2","1","3",1
"Prunus_cerasifera","1","1","2","1","3",1
"Prunus_serrulata","1","1","2","1","3",1
"Prunus_tenella","1","1","2","1","3",1
"Rhododendron_canadense","1","1","2","1","3",1
"Rhododendron_dauricum","1","1","2","1","3",1
"Rhododendron_mucronulatum","1","1","2","1","3",1
"Ribes_alpinum","1","1","2","1","3",1
"Ribes_divaricatum","1","1","2","1","3",1
"Ribes_glaciale","1","1","2","1","3",1
"Rosa_hugonis","1","1","2","1","3",1
"Rosa_majalis","1","1","2","1","3",1
"Tilia_platyphyllos","1","1","2","1","3",1
"Toona_sinensis","1","1","2","1","3",1
"Ulmus_americana","1","1","2","1","3",1
"Ptelea_trifoliata","1","1","2","1","3",1
"Pyrus_elaeagnifolia","1","1","2","1","3",1
"Sorbus_decora","1","1","2","1","3",1
"Spiraea_canescens","1","1","2","1","3",1
"Spiraea_chamaedryfolia","1","1","2","1","3",1
"Salix_repens","1","1","2","1","3",1
"Sambucus_nigra","1","1","2","1","3",1
"Sambucus_pubens","1","1","2","1","3",1
"Sambucus_tigranii","1","1","2","1","3",1
"Sinowilsonia_henryi","1","1","2","1","3",1
"Sorbus_aria","1","1","2","1","3",1
"Lonicera_caerulea","1","1","2","1","3",1
"Lonicera_maximowiczii","1","1","2","1","3",1
"Metasequoia_glyptostroboides","1","1","2","1","3",1
"Nothofagus_antarctica","1","1","2","1","3",1
"Ginkgo_biloba","1","1","2","1","3",1
"Pyrus_ussuriensis","1","1","2","1","3",1
"Quercus_shumardii","1","1","2","1","3",1
"Rhamnus_alpina","1","1","2","1","3",1
"Rhamnus_cathartica","1","1","2","1","3",1
"Spiraea_japonica","1","1","2","1","3",1
"Stachyurus_praecox","1","1","2","1","3",1
"Stachyurus_sinensis","1","1","2","1","3",1
"Syringa_josikaea","1","1","2","1","3",1
"Syringa_reticulata","1","1","2","1","3",1
"Syringa_villosa","1","1","2","1","3",1
"Tilia_dasystyla","1","1","2","1","3",1
"Tilia_japonica","1","1","2","1","3",1
"Fagus_crenata","1","1","2","1","3",1
"Fagus_engleriana","1","1","2","1","3",1
"Euonymus_europaeus","1","1","2","1","3",1
"Euonymus_latifolius","1","1","2","1","3",1
"Hamamelis_japonica","1","1","2","1","3",1
"Hamamelis_vernalis","1","1","2","1","3",1
"Heptacodium_miconioides","1","1","2","1","3",1
"Larix_kaempferi","1","1","2","1","3",1
"Ligustrum_tschonoskii","1","1","2","1","3",1
"Liquidambar_orientalis","1","1","2","1","3",1
"Liquidambar_styraciflua","1","1","2","1","3",1
"Liriodendron_tulipifera","1","1","2","1","3",1
"Lonicera_alpigena","1","1","2","1","3",1
