"datasetID","genus","species","study","prov.lat","prov.long","field.sample","force","photo","chill","chilltime","spp","wein","gen.spa"
"caffarra11a","Betula","pubescens","exp2",1,1,"0","5","1","1","1","4",0,"Betula_pubescens"
"caffarra11a","Salix","smithiana","exp2",1,1,"0","5","1","1","1","4",0,"Salix_smithiana"
"caffarra11a","Fagus","sylvatica","exp2",1,1,"0","5","1","1","1","4",0,"Fagus_sylvatica"
"caffarra11a","Tilia","cordata","exp2",1,1,"0","5","1","1","1","4",0,"Tilia_cordata"
"caffarra11b","Betula","pubescens","exp2",1,1,"4","1","4","0","0","1",1,"Betula_pubescens"
"caffarra11b","Betula","pubescens","exp2",1,1,"4","1","4","0","4","1",1,"Betula_pubescens"
"caffarra11b","Betula","pubescens","exp3",1,1,"1","1","1","2","2","1",1,"Betula_pubescens"
"caffarra11b","Betula","pubescens","exp3",1,1,"1","1","1","2","0","1",1,"Betula_pubescens"
"calme94","Quercus","rubra","exp1",1,1,"7","1","1","0","0","3",1,"Quercus_rubra"
"calme94","Acer","saccharum","exp1",1,1,"7","1","1","0","0","3",1,"Acer_saccharum"
"calme94","Betula","alleghaniensis","exp1",1,1,"9","1","1","0","0","3",1,"Betula_alleghaniensis"
"campbell75","Pseudotsuga","menziesii","exp1",2,2,"1","1","1","3","4","1",0,"Pseudotsuga_menziesii"
"campbell75","Pseudotsuga","menziesii","exp3",4,4,"1","4","1","1","3","1",0,"Pseudotsuga_menziesii"
"cannell83","Picea","sitchensis","exp1",1,1,"0","0","1","0","12","1",0,"Picea_sitchensis"
"cannell83","Picea","sitchensis","exp2",1,1,"0","0","1","0","18","1",0,"Picea_sitchensis"
"charrier11","Juglans","spp","exp2",1,0,"1","5","1","0","0","1",0,"Juglans_spp"
"charrier11","Juglans","spp","exp1",2,2,"0","1","1","0","1","1",0,"Juglans_spp"
"cook00b","Malus","domestica","exp1",2,2,"22","1","1","0","86","1",1,"Malus_domestica"
"cook05","Malus","domestica","exp1",2,2,"2","1","1","0","0","1",0,"Malus_domestica"
"cook05","Malus","domestica","exp1",2,2,"0","1","1","0","0","1",0,"Malus_domestica"
"cronje03","Malus","domestica","exp1",1,1,"1","1","1","1","42","1",0,"Malus_domestica"
"gansert02","Betula","ermanii","exp1",1,1,"12","0","1","0","0","1",1,"Betula_ermanii"
"gansert02","Betula","ermanii","exp2",1,1,"9","0","1","0","0","1",1,"Betula_ermanii"
"ghelardini10","Ulmus","pumila","exp1",1,1,"6","1","2","0","0","6",1,"Ulmus_pumila"
"ghelardini10","Ulmus","parvifolia","exp1",1,1,"6","1","2","0","0","6",1,"Ulmus_parvifolia"
"ghelardini10","Ulmus","macrocarpa","exp1",1,1,"6","1","2","0","0","6",1,"Ulmus_macrocarpa"
"ghelardini10","Ulmus","villosa","exp1",1,1,"6","1","2","0","0","6",1,"Ulmus_villosa"
"ghelardini10","Ulmus","glabra","exp1",1,1,"6","1","2","0","0","6",1,"Ulmus_glabra"
"ghelardini10","Ulmus","minor","exp1",1,1,"6","1","2","0","0","6",1,"Ulmus_minor"
"ghelardini10","Ulmus","pumila","exp2",1,1,"6","2","1","0","0","4",1,"Ulmus_pumila"
"ghelardini10","Ulmus","parvifolia","exp2",1,1,"6","2","1","0","0","4",1,"Ulmus_parvifolia"
"ghelardini10","Ulmus","villosa","exp2",1,1,"6","2","1","0","0","4",1,"Ulmus_villosa"
"ghelardini10","Ulmus","minor","exp2",1,1,"6","2","1","0","0","4",1,"Ulmus_minor"
"gianfagna85","Malus","domestica","exp1",1,1,"4","3","4","0","0","1",1,"Malus_domestica"
"gomory15","Picea","abies","exp1",1,1,"2","2","2","0","0","2",0,"Picea_abies"
"gomory15","Larix","decidua","exp1",1,1,"2","2","2","0","0","2",1,"Larix_decidua"
"granhus09","Picea","abies","exp1",1,1,"0","1","1","1","1","1",0,"Picea_abies"
"guerriero90","Actinidia","deliciosa","exp3",1,1,"6","1","1","0","0","1",1,"Actinidia_deliciosa"
"guerriero90","Actinidia","deliciosa","exp2",1,1,"1","1","1","1","1","1",1,"Actinidia_deliciosa"
"guerriero90","Actinidia","deliciosa","exp1",1,1,"1","1","1","1","1","1",1,"Actinidia_deliciosa"
"Heide03","Betula","pubescens","exp1",1,1,"0","1","1","1","4","3",0,"Betula_pubescens"
"Heide03","Alnus","glutinosa","exp1",1,1,"0","1","1","1","4","3",0,"Alnus_glutinosa"
"Heide03","Betula","pendula","exp1",1,1,"0","1","1","1","4","3",0,"Betula_pendula"
"heide05","Malus","pumila","exp1",1,1,"0","4","2","0","0","2",0,"Malus_pumila"
