"datasetID","study","genus.species","woody","ID_fieldsample.date","fieldsample.date","Exp_Chilling_Hours","photoperiod_day","photoperiod_night","Total_Chilling_Hours","respvar.simple","response.time","forcetemp","provenance.lat","provenance.long","samplingdates.count","species.count","photoperiods.count","forcetemps.count","expchill.count","latitude.count","longitude.count"
"boyer","exp1","Pinus.taeda","yes","boyer.1983-09-15","9/15/83",240,"14","10",240,"percentbudburst","18","ambient",32,-81,5,1,1,1,6,3,5
"caffarra11a","exp1","Betula.pubescens","yes","caffarra11a.",NA,NA,"16","8",NA,"daystobudburst","1.77","22",52.32,-6.934,NA,4,2,6,5,1,1
"caffarra11a","exp1","Salix.smithiana","yes","caffarra11a.",NA,NA,"16","8",NA,"daystobudburst","3.75","22",52.32,-6.934,NA,4,2,6,5,1,1
"caffarra11a","exp1","Fagus.sylvatica","yes","caffarra11a.",NA,NA,"16","8",NA,"daystobudburst","3.99","22",52.32,-6.934,NA,4,2,6,5,1,1
"caffarra11a","exp1","Tilia.cordata","yes","caffarra11a.",NA,NA,"16","8",NA,"daystobudburst","7.78","22",52.32,-6.934,NA,4,2,6,5,1,1
"caffarra11a","exp3","Fagus.sylvatica","yes","caffarra11a.",NA,NA,"16","8",NA,"daystobudburst","57.4","18",52.32,-6.934,NA,4,2,6,5,1,1
"caffarra11a","exp3","Betula.pubescens","yes","caffarra11a.",NA,NA,"16","8",NA,"daystobudburst","38.43","18",52.32,-6.934,NA,4,2,6,5,1,1
"caffarra11a","exp3","Tilia.cordata","yes","caffarra11a.",NA,2520,"8","16",2520,"daystobudburst","6.05","18",52.32,-6.934,NA,4,2,6,5,1,1
"caffarra11a","exp3","Salix.smithiana","yes","caffarra11a.",NA,2520,"16","8",2520,"daystobudburst","1.6","18",52.32,-6.934,NA,4,2,6,5,1,1
"caffarra11a","exp2","Fagus.sylvatica","yes","caffarra11a.",NA,384,"16","8",384,"daystobudburst","28.99","6",52.32,-6.934,NA,4,2,6,5,1,1
"caffarra11a","exp2","Tilia.cordata","yes","caffarra11a.",NA,384,"16","8",384,"daystobudburst","2.94","24",52.32,-6.934,NA,4,2,6,5,1,1
"caffarra11a","exp2","Betula.pubescens","yes","caffarra11a.",NA,384,"16","8",384,"daystobudburst","7.7","12",52.32,-6.934,NA,4,2,6,5,1,1
"caffarra11a","exp2","Salix.smithiana","yes","caffarra11a.",NA,384,"16","8",384,"daystobudburst","15.72","6",52.32,-6.934,NA,4,2,6,5,1,1
"caffarra11b","exp2","Betula.pubescens","yes","caffarra11b.2004-06-01","6/1/04",NA,"10","14",NA,"daystobudburst","","22",52.32,-6.934,1,1,4,2,1,1,1
"caffarra11b","exp2","Betula.pubescens","yes","caffarra11b.2004-06-01","6/1/04",NA,"10","14",NA,"percentbudburst","270","22",52.32,-6.934,1,1,4,2,1,1,1
"caffarra11b","exp3","Betula.pubescens","yes","caffarra11b.2004-06-01","6/1/04",0,"16","8",0,"daystobudburst","26.03","20",52.32,-6.934,1,1,4,2,1,1,1
"caffarra11b","exp3","Betula.pubescens","yes","caffarra11b.2004-06-01","6/1/04",0,"16","8",0,"percentbudburst","50","20",52.32,-6.934,1,1,4,2,1,1,1
"calme94","exp1","Betula.alleghaniensis","yes","calme94.1992-10-05","10/5/92",NA,"16","8",213,"daystobudburst","23.1","24.4",46.5,-78.833,9,3,1,1,NA,3,3
"calme94","exp1","Acer.saccharum","yes","calme94.1992-10-05","10/5/92",NA,"16","8",213,"daystobudburst","35.3","24.4",46.133,-70.633,9,3,1,1,NA,3,3
"calme94","exp1","Quercus.rubra","yes","calme94.1992-10-05","10/5/92",NA,"16","8",213,"daystobudburst","32.3","24.4",45.633,-73.25,9,3,1,1,NA,3,3
"campbell75","exp1","Pseduotsuga.menziesii","yes","campbell75.1973-09-01","9/1/73",0,"16","8",0,"daystobudburst","60.9","18-27 (20 average)",45.37,-124.5,1,1,1,5,8,6,6
"campbell75","exp3","Pseduotsuga.menziesii","yes","campbell75.1973-09-01","9/1/73",432,"16","8",432,NA,"1.439","18",48.2,-123.25,1,1,1,5,8,6,6
"cannell83","exp1","Picea.sitchensis","yes","cannell83.",NA,NA,"ambient","ambient",3473,"growth","","ambient",55.333,-3.44,NA,1,1,1,NA,2,2
"cannell83","exp2","Picea.sitchensis","yes","cannell83.",NA,NA,"ambient","ambient",3473,"growth","","ambient",57.683,-3.497,NA,1,1,1,NA,2,2
"cannell83","exp1","Picea.sitchensis","yes","cannell83.",NA,NA,"ambient","ambient",3473,"phenstage","","ambient",55.333,-3.44,NA,1,1,1,NA,2,2
"charrier11","exp2","Juglans.spp","yes","charrier11.",NA,NA,"16","8",2493,"daystobudburst","175.88","5",45.7722,NA,NA,1,2,6,NA,2,2
"charrier11","exp1","Juglans.spp","yes","charrier11.",NA,NA,"ambient","ambient",2493,"daystobudburst","117","ambient",45.7722,3.14722,NA,1,2,6,NA,2,2
"chavarria09","exp2","Prunus.persica","yes","chavarria09.2004-05-01","5/1/04",0,"ambient","ambient",0,"percentbudburst","21","20",31.683,-52.35,2,1,1,1,5,1,1
"chavarria09","exp1","Prunus.persica","yes","chavarria09.2004-06-01","6/1/04",0,"ambient","ambient",0,"percentbudburst","28","20",31.683,-52.35,2,1,1,1,5,1,1
"cook00b","exp1","Malus.domestica","yes","cook00b.1995-04-12","4/12/95",NA,"24","0",NA,"daystobudburst","7.034","25",-33.08,19.41,22,1,1,1,NA,2,2
"cook05","exp1","Malus.domestica","yes","cook05.",NA,NA,"24","0",NA,"daystobudburst",NA,"25",-34.076,18.8418,NA,1,1,1,NA,2,2
"cronje03","exp1","Malus.domestica","yes","cronje03.2001-05-01","5/1/01",2400,"constant","",2400,"daystobudburst","3.703703704",NA,-33.08,19.402,1,1,1,NA,31,1,1
"dantec14","exp2","Quercus.petraea","yes","dantec14.2010-10-15","10/15/10",NA,"16","8",36,"percentbudburst","","25",43.75,0.22,1,2,1,1,NA,3,3
"dantec14","exp2","Fagus.sylvatica","yes","dantec14.2010-10-15","10/15/10",NA,"16","8",36,"percentbudburst","","25",43.75,0.22,1,2,1,1,NA,3,3
"devries82","exp1","Rosa.spp","yes","devries82.",NA,NA,"constant","",NA,"growth","","16",51.984,5.664,NA,1,2,4,NA,1,1
"devries82","exp1","Rosa.spp","yes","devries82.",NA,NA,"8","16",NA,"percentbudburst","","8",51.984,5.664,NA,1,2,4,NA,1,1
"devries82","exp1","Rosa.spp","yes","devries82.",NA,NA,"8","16",NA,"daystoflower","51.37","24",51.984,5.664,NA,1,2,4,NA,1,1
"falusi03","exp1","Fagus.sylvatica","yes","falusi03.1996-09-18","9/18/96",NA,"12","12",NA,"percentbudburst","60","15",43.732105,11.557416,6,1,1,2,NA,1,1
"falusi90","exp1","Fagus.sylvatica","yes","falusi90.",NA,NA,"9","15",NA,"daystobudburst","0","24",46.03333,10.75,NA,1,2,1,NA,1,1
"falusi90","exp1","Fagus.sylvatica","yes","falusi90.",NA,NA,"9","15",NA,"percentbudburst","21","24",46.03333,10.75,NA,1,2,1,NA,1,1
"falusi90","exp1","Fagus.sylvatica","yes","falusi90.",NA,NA,"9","15",NA,"growth","0","24",46.03333,10.75,NA,1,2,1,NA,1,1
"falusi96","exp1","Fagus.sylvatica L","yes","falusi96.",NA,NA,"ambient","ambient",NA,"percentbudburst","1.86","ambient",43.81666667,11.964,NA,1,3,2,NA,5,4
"falusi96","exp2","Fagus.sylvatica L","yes","falusi96.",NA,NA,NA,"",NA,"percentbudburst","5.72",NA,43.8,11.81,NA,1,3,2,NA,5,4
"falusi96","exp3","Fagus.sylvatica L","yes","falusi96.",NA,NA,"9","15",NA,"percentbudburst","23.55","24",38.2666,15.988,NA,1,3,2,NA,5,4
"falusi97","exp1","Fagus.sylvatica","yes","falusi97.1993-09-18","9/18/93",NA,"12","12",0,"percentbudburst","120","15",43.82,11.96,5,1,1,2,NA,3,3
"falusi97","exp2","Fagus.sylvatica","yes","falusi97.1994-09-18","9/18/94",NA,"12","12",0,"percentbudburst","60","15",43.8,11.82,5,1,1,2,NA,3,3
"fu13","exp1","Fagus.sylvatica","yes","fu13.2010-12-01","12/1/10",NA,"ambient","ambient",429,"daystobudburst","122.485","ambient",51.317,4.35,2,3,1,7,NA,1,1
"fu13","exp1","Betula .pendula","yes","fu13.2010-12-01","12/1/10",NA,"ambient","ambient",429,"daystobudburst","90.896","ambient",51.317,4.35,2,3,1,7,NA,1,1
"fu13","exp1","Quercus.robur","yes","fu13.2010-12-01","12/1/10",NA,"ambient","ambient",429,"daystobudburst","117.552","ambient",51.317,4.35,2,3,1,7,NA,1,1
"gansert02","exp1","Betula.ermanii","yes","gansert02.1997-03-25","3/25/97",NA,"ambient","",NA,"phenstage","145.74",NA,35.3583,138.7296,21,1,1,NA,NA,1,1
"gansert02","exp2","Betula.ermanii","yes","gansert02.1998-03-25","3/25/98",NA,"ambient","",NA,"phenstage","146.05",NA,35.3583,138.7296,21,1,1,NA,NA,1,1
"ghelardini10","","Ulmus.minor","yes","ghelardini10.",NA,NA,NA,"",2141,NA,"104.167",NA,49,0.5,NA,6,2,3,NA,3,3
"ghelardini10","exp1","Ulmus.pumila","yes","ghelardini10.",NA,NA,"8","16",2141,"percentbudburst","15","21",43.71667,11.36667,NA,6,2,3,NA,3,3
"ghelardini10","exp1","Ulmus.parvifolia","yes","ghelardini10.",NA,NA,"8","16",2141,"percentbudburst","15","21",43.71667,11.36667,NA,6,2,3,NA,3,3
"ghelardini10","exp1","Ulmus.macrocarpa","yes","ghelardini10.",NA,NA,"8","16",2141,"percentbudburst","15","21",43.71667,11.36667,NA,6,2,3,NA,3,3
"ghelardini10","exp1","Ulmus.villosa","yes","ghelardini10.",NA,NA,"8","16",2141,"percentbudburst","15","21",43.71667,11.36667,NA,6,2,3,NA,3,3
"ghelardini10","exp1","Ulmus.glabra","yes","ghelardini10.",NA,NA,"8","16",2141,"percentbudburst","15","21",43.71667,11.36667,NA,6,2,3,NA,3,3
"ghelardini10","exp1","Ulmus.minor","yes","ghelardini10.",NA,NA,"8","16",2141,"percentbudburst","15","21",43.71667,11.36667,NA,6,2,3,NA,3,3
"ghelardini10","exp1","Ulmus.pumila","yes","ghelardini10.",NA,NA,"8","16",2141,"thermaltime","15","21",43.71667,11.36667,NA,6,2,3,NA,3,3
"ghelardini10","exp1","Ulmus.parvifolia","yes","ghelardini10.",NA,NA,"8","16",2141,"thermaltime","15","21",43.71667,11.36667,NA,6,2,3,NA,3,3
"ghelardini10","exp1","Ulmus.macrocarpa","yes","ghelardini10.",NA,NA,"8","16",2141,"thermaltime","15","21",43.71667,11.36667,NA,6,2,3,NA,3,3
"ghelardini10","exp1","Ulmus.villosa","yes","ghelardini10.",NA,NA,"8","16",2141,"thermaltime","15","21",43.71667,11.36667,NA,6,2,3,NA,3,3
"ghelardini10","exp1","Ulmus.glabra","yes","ghelardini10.",NA,NA,"8","16",2141,"thermaltime","15","21",43.71667,11.36667,NA,6,2,3,NA,3,3
"ghelardini10","exp1","Ulmus.minor","yes","ghelardini10.",NA,NA,"8","16",2141,"thermaltime","15","21",43.71667,11.36667,NA,6,2,3,NA,3,3
"ghelardini10","exp2","Ulmus.pumila","yes","ghelardini10.",NA,NA,"16","8",2141,"percentbudburst","15","14",43.71667,11.36667,NA,6,2,3,NA,3,3
"ghelardini10","exp2","Ulmus.pumila","yes","ghelardini10.",NA,NA,"16","8",2141,"thermaltime","15","14",43.71667,11.36667,NA,6,2,3,NA,3,3
"ghelardini10","exp2","Ulmus.parvifolia","yes","ghelardini10.",NA,NA,"16","8",2141,"percentbudburst","15","14",43.71667,11.36667,NA,6,2,3,NA,3,3
"ghelardini10","exp2","Ulmus.parvifolia","yes","ghelardini10.",NA,NA,"16","8",2141,"thermaltime","15","14",43.71667,11.36667,NA,6,2,3,NA,3,3
"ghelardini10","exp2","Ulmus.villosa","yes","ghelardini10.",NA,NA,"16","8",2141,"percentbudburst","15","14",43.71667,11.36667,NA,6,2,3,NA,3,3
"ghelardini10","exp2","Ulmus.villosa","yes","ghelardini10.",NA,NA,"16","8",2141,"thermaltime","15","14",43.71667,11.36667,NA,6,2,3,NA,3,3
"ghelardini10","exp2","Ulmus.minor","yes","ghelardini10.",NA,NA,"16","8",2141,"percentbudburst","15","14",43.71667,11.36667,NA,6,2,3,NA,3,3
"ghelardini10","exp2","Ulmus.minor","yes","ghelardini10.",NA,NA,"16","8",2141,"thermaltime","15","14",43.71667,11.36667,NA,6,2,3,NA,3,3
"gianfagna85","exp1","Malus.domestica","yes","gianfagna85.1984-03-13","3/13/84",NA,NA,"",1288,"daystobudburst","10.9","20",40.133,-74.524,4,1,NA,3,NA,1,1
"gomory15","exp1","Picea.abies","yes","gomory15.2011-04-10","4/10/11",NA,"ambient","ambient",1937,"daystobudburst","119.028","ambient",48.8877,19.5282,3,2,1,1,NA,1,1
"gomory15","exp1","Larix.decidua","yes","gomory15.2011-03-01","3/1/11",NA,"ambient","ambient",1516,"daystobudburst","105.297","ambient",48.8877,19.5282,3,2,1,1,NA,1,1
"granhus09","exp1","Picea.abies","yes","granhus09.",NA,NA,"24","0",1703,"daystobudburst","116.678","12",60.58,11,NA,1,1,1,NA,1,1
"guak98","exp1","Pseudotsuga.menziesii","yes","guak98.1995-06-07","6/7/95",NA,"ambient","ambient",2530,"percentbudburst","0","ambient",45.224,-122.756,1,1,1,2,NA,1,1
"guerriero90","exp3","Actinidia.deliciosa","yes","guerriero90.1989-12-05","12/5/89",NA,"12","12",356,"daystobudburst","35.734",NA,43.706,10.331,6,1,1,1,6,1,1
"guerriero90","exp3","Actinidia.deliciosa","yes","guerriero90.1989-12-05","12/5/89",NA,"12","12",356,"percentbudburst","28",NA,43.706,10.331,6,1,1,1,6,1,1
"guerriero90","exp3","Actinidia.deliciosa","yes","guerriero90.1989-12-05","12/5/89",NA,"12","12",356,"phenstageper.probonestudy","28","23",43.706,10.331,6,1,1,1,6,1,1
"guerriero90","exp3","Actinidia.deliciosa","yes","guerriero90.1989-12-05","12/5/89",NA,"12","12",356,"otherpercents","28","23",43.706,10.331,6,1,1,1,6,1,1
"guerriero90","exp3","Actinidia.deliciosa","yes","guerriero90.1989-12-05","12/5/89",NA,"12","12",356,"growth","28","23",43.706,10.331,6,1,1,1,6,1,1
"guerriero90","exp3","Actinidia.deliciosa","yes","guerriero90.1989-12-05","12/5/89",NA,"12","12",356,"othernums","28","23",43.706,10.331,6,1,1,1,6,1,1
"guerriero90","exp2","Actinidia.deliciosa","yes","guerriero90.1989-12-05","12/5/89",NA,"12","12",356,"growth","28","23",43.706,10.331,6,1,1,1,6,1,1
"guerriero90","exp2","Actinidia.deliciosa","yes","guerriero90.1989-12-05","12/5/89",NA,"12","12",356,"otherpercents","28","23",43.706,10.331,6,1,1,1,6,1,1
"guerriero90","exp2","Actinidia.deliciosa","yes","guerriero90.1989-12-05","12/5/89",NA,"12","12",356,"othernums","28","23",43.706,10.331,6,1,1,1,6,1,1
"guerriero90","exp2","Actinidia.deliciosa","yes","guerriero90.1989-12-05","12/5/89",NA,"12","12",356,"phenstageper.probonestudy","28","23",43.706,10.331,6,1,1,1,6,1,1
"guerriero90","exp1","Actinidia.deliciosa","yes","guerriero90.1989-12-05","12/5/89",840,"12","12",1196,"phenstageper.probonestudy","28","23",43.706,10.331,6,1,1,1,6,1,1
"guerriero90","exp1","Actinidia.deliciosa","yes","guerriero90.1989-12-05","12/5/89",840,"12","12",1196,"percentbudburst","28","23",43.706,10.331,6,1,1,1,6,1,1
"guerriero90","exp2","Actinidia.deliciosa","yes","guerriero90.1989-12-05","12/5/89",840,"12","12",1196,"percentbudburst","28","23",43.706,10.331,6,1,1,1,6,1,1
"guerriero90","exp1","Actinidia.deliciosa","yes","guerriero90.1989-12-05","12/5/89",840,"12","12",1196,"otherpercents","28","23",43.706,10.331,6,1,1,1,6,1,1
"guerriero90","exp1","Actinidia.deliciosa","yes","guerriero90.1989-12-05","12/5/89",840,"12","12",1196,"daystobudburst","18.741","23",43.706,10.331,6,1,1,1,6,1,1
"guerriero90","exp2","Actinidia.deliciosa","yes","guerriero90.1989-12-05","12/5/89",840,"12","12",1196,"daystobudburst","24.685","23",43.706,10.331,6,1,1,1,6,1,1
"gunderson12","exp1","Liquidambar.styrraciflua","yes","gunderson12.2004-03-01","3/1/04",NA,"ambient","ambient",1381,"daystobudburst","101.373","ambient",35.9,-84.33,1,4,1,3,NA,2,2
"gunderson12","exp1","Quercus.rubra","yes","gunderson12.2004-03-01","3/1/04",NA,"ambient","ambient",1381,"daystobudburst","124.118","ambient",35.9,-84.33,1,4,1,3,NA,2,2
"gunderson12","exp1","Populus.grandidentata","yes","gunderson12.2004-03-01","3/1/04",NA,"ambient","ambient",1381,"daystobudburst","117.451","ambient",42.279158,-83.744728,1,4,1,3,NA,2,2
"gunderson12","exp1","Betula.alleghaniensis","yes","gunderson12.2004-03-01","3/1/04",NA,"ambient","ambient",1381,"daystobudburst","118.627","ambient",35.9,-84.33,1,4,1,3,NA,2,2
"gunderson12","exp1","Liquidambar.styrraciflua","yes","gunderson12.2004-03-01","3/1/04",NA,"ambient","ambient",1381,"phenstage","76","ambient",35.9,-84.33,1,4,1,3,NA,2,2
"gunderson12","exp1","Quercus.rubra","yes","gunderson12.2004-03-01","3/1/04",NA,"ambient","ambient",1381,"phenstage","76","ambient",35.9,-84.33,1,4,1,3,NA,2,2
"gunderson12","exp1","Populus.grandidentata","yes","gunderson12.2004-03-01","3/1/04",NA,"ambient","ambient",1381,"phenstage","76","ambient",42.279158,-83.744728,1,4,1,3,NA,2,2
"gunderson12","exp1","Betula.alleghaniensis","yes","gunderson12.2004-03-01","3/1/04",NA,"ambient","ambient",1381,"phenstage","76","ambient",35.9,-84.33,1,4,1,3,NA,2,2
"hawerroth13","","Malus.domestica","yes","hawerroth13.",NA,NA,"0","24",NA,NA,"5.74","25",-31.68333333,-52.35,NA,1,1,1,NA,1,1
"hawkins12","","Betula.papyrifera","yes","hawkins12.1998-01-01","1/1/98",NA,"ambient","ambient",867,"daystobudburst","71.796",NA,49.25,117.17,1,1,1,NA,NA,17,18
"Heide03","exp1","Betula.pubescens","yes","Heide03.",NA,NA,"24","0",NA,"daystobudburst","11.43","15",60.5,7.7,NA,3,1,1,NA,1,1
"Heide03","exp1","Betula.pendula","yes","Heide03.",NA,NA,"24","0",NA,"daystobudburst","12.6","15",60.5,7.7,NA,3,1,1,NA,1,1
"Heide03","exp1","Alnus.glutinosa","yes","Heide03.",NA,NA,"24","0",NA,"daystobudburst","33.26","15",60.5,7.7,NA,3,1,1,NA,1,1
"heide05","exp1","Malus.pumila Mill.","yes","heide05.",NA,NA,"24","0",NA,"growth","0","12",56.176,-4.316,NA,2,2,4,NA,4,4
"heide05","exp1","Malus.pumila Mill.","yes","heide05.",NA,NA,"10","14",NA,"othernums","56","9",56.176,-4.316,NA,2,2,4,NA,4,4
"heide05","exp1","Pyrus.communis L.","yes","heide05.",NA,NA,"10","14",NA,"othernums","56","9",47.432,-122.07,NA,2,2,4,NA,4,4
"heide05","exp1","Pyrus.communis L.","yes","heide05.",NA,NA,"10","14",NA,"growth","0","21",47.432,-122.07,NA,2,2,4,NA,4,4
"heide05","exp2","Pyrus.communis L.","yes","heide05.",NA,NA,"10","14",NA,"growth","7","21",47.881,40.067,NA,2,2,4,NA,4,4
"heide08","exp1","Prunus.insititia","yes","heide08.2003-04-24","4/24/03",NA,"10","14",2308,"othernums","56","9",48.396,11.725,1,3,2,4,NA,4,4
