"","sprtemp.0","sprtemp.1","sprtemp.2","sprtemp.3","sprtemp.4","sprtemp.5","sprtemp.6","sprtemp.7","sprtemp.8","sprtemp.9","sprtemp.10","sprtemp.11","sprtemp.12","sprtemp.13","sprtemp.14","sprtemp.15","sprtemp.16","sprtemp.17","sprtemp.18","sprtemp.19","sprtemp.20","sprtemp.21","sprtemp.22","sprtemp.23","sprtemp.24","sprtemp.25","sprtemp.26","sprtemp.27","sprtemp.28","sprtemp.29","sprtemp.30","sprtemp.31","sprtemp.32"
"wintemp.14",62.868876749055,62.0143286450005,61.1597805409461,60.3052324368916,59.4506843328371,58.5961362287827,57.7415881247282,56.8870400206738,56.0324919166193,55.1779438125649,54.3233957085104,53.4688476044559,52.6142995004015,51.759751396347,50.9052032922926,50.0506551882381,49.1961070841837,48.3415589801292,47.4870108760747,46.6324627720203,45.7779146679658,44.9233665639114,44.0688184598569,43.2142703558025,42.359722251748,41.5051741476935,40.6506260436391,39.7960779395846,38.9415298355302,38.0869817314757,37.2324336274213,36.3778855233668,35.5233374193123
"wintemp.15",62.868876749055,62.0143286450005,61.1597805409461,60.3052324368916,59.4506843328371,58.5961362287827,57.7415881247282,56.8870400206738,56.0324919166193,55.1779438125649,54.3233957085104,53.4688476044559,52.6142995004015,51.759751396347,50.9052032922926,50.0506551882381,49.1961070841837,48.3415589801292,47.4870108760747,46.6324627720203,45.7779146679658,44.9233665639114,44.0688184598569,43.2142703558025,42.359722251748,41.5051741476935,40.6506260436391,39.7960779395846,38.9415298355302,38.0869817314757,37.2324336274213,36.3778855233668,35.5233374193123
"wintemp.16",62.868876749055,62.0143286450005,61.1597805409461,60.3052324368916,59.4506843328371,58.5961362287827,57.7415881247282,56.8870400206738,56.0324919166193,55.1779438125649,54.3233957085104,53.4688476044559,52.6142995004015,51.759751396347,50.9052032922926,50.0506551882381,49.1961070841837,48.3415589801292,47.4870108760747,46.6324627720203,45.7779146679658,44.9233665639114,44.0688184598569,43.2142703558025,42.359722251748,41.5051741476935,40.6506260436391,39.7960779395846,38.9415298355302,38.0869817314757,37.2324336274213,36.3778855233668,35.5233374193123
"wintemp.17",62.868876749055,62.0143286450005,61.1597805409461,60.3052324368916,59.4506843328371,58.5961362287827,57.7415881247282,56.8870400206738,56.0324919166193,55.1779438125649,54.3233957085104,53.4688476044559,52.6142995004015,51.759751396347,50.9052032922926,50.0506551882381,49.1961070841837,48.3415589801292,47.4870108760747,46.6324627720203,45.7779146679658,44.9233665639114,44.0688184598569,43.2142703558025,42.359722251748,41.5051741476935,40.6506260436391,39.7960779395846,38.9415298355302,38.0869817314757,37.2324336274213,36.3778855233668,35.5233374193123
"wintemp.18",62.868876749055,62.0143286450005,61.1597805409461,60.3052324368916,59.4506843328371,58.5961362287827,57.7415881247282,56.8870400206738,56.0324919166193,55.1779438125649,54.3233957085104,53.4688476044559,52.6142995004015,51.759751396347,50.9052032922926,50.0506551882381,49.1961070841837,48.3415589801292,47.4870108760747,46.6324627720203,45.7779146679658,44.9233665639114,44.0688184598569,43.2142703558025,42.359722251748,41.5051741476935,40.6506260436391,39.7960779395846,38.9415298355302,38.0869817314757,37.2324336274213,36.3778855233668,35.5233374193123
"wintemp.19",62.868876749055,62.0143286450005,61.1597805409461,60.3052324368916,59.4506843328371,58.5961362287827,57.7415881247282,56.8870400206738,56.0324919166193,55.1779438125649,54.3233957085104,53.4688476044559,52.6142995004015,51.759751396347,50.9052032922926,50.0506551882381,49.1961070841837,48.3415589801292,47.4870108760747,46.6324627720203,45.7779146679658,44.9233665639114,44.0688184598569,43.2142703558025,42.359722251748,41.5051741476935,40.6506260436391,39.7960779395846,38.9415298355302,38.0869817314757,37.2324336274213,36.3778855233668,35.5233374193123
"wintemp.20",62.868876749055,62.0143286450005,61.1597805409461,60.3052324368916,59.4506843328371,58.5961362287827,57.7415881247282,56.8870400206738,56.0324919166193,55.1779438125649,54.3233957085104,53.4688476044559,52.6142995004015,51.759751396347,50.9052032922926,50.0506551882381,49.1961070841837,48.3415589801292,47.4870108760747,46.6324627720203,45.7779146679658,44.9233665639114,44.0688184598569,43.2142703558025,42.359722251748,41.5051741476935,40.6506260436391,39.7960779395846,38.9415298355302,38.0869817314757,37.2324336274213,36.3778855233668,35.5233374193123
"wintemp.21",62.868876749055,62.0143286450005,61.1597805409461,60.3052324368916,59.4506843328371,58.5961362287827,57.7415881247282,56.8870400206738,56.0324919166193,55.1779438125649,54.3233957085104,53.4688476044559,52.6142995004015,51.759751396347,50.9052032922926,50.0506551882381,49.1961070841837,48.3415589801292,47.4870108760747,46.6324627720203,45.7779146679658,44.9233665639114,44.0688184598569,43.2142703558025,42.359722251748,41.5051741476935,40.6506260436391,39.7960779395846,38.9415298355302,38.0869817314757,37.2324336274213,36.3778855233668,35.5233374193123
"wintemp.22",62.868876749055,62.0143286450005,61.1597805409461,60.3052324368916,59.4506843328371,58.5961362287827,57.7415881247282,56.8870400206738,56.0324919166193,55.1779438125649,54.3233957085104,53.4688476044559,52.6142995004015,51.759751396347,50.9052032922926,50.0506551882381,49.1961070841837,48.3415589801292,47.4870108760747,46.6324627720203,45.7779146679658,44.9233665639114,44.0688184598569,43.2142703558025,42.359722251748,41.5051741476935,40.6506260436391,39.7960779395846,38.9415298355302,38.0869817314757,37.2324336274213,36.3778855233668,35.5233374193123
"wintemp.23",62.868876749055,62.0143286450005,61.1597805409461,60.3052324368916,59.4506843328371,58.5961362287827,57.7415881247282,56.8870400206738,56.0324919166193,55.1779438125649,54.3233957085104,53.4688476044559,52.6142995004015,51.759751396347,50.9052032922926,50.0506551882381,49.1961070841837,48.3415589801292,47.4870108760747,46.6324627720203,45.7779146679658,44.9233665639114,44.0688184598569,43.2142703558025,42.359722251748,41.5051741476935,40.6506260436391,39.7960779395846,38.9415298355302,38.0869817314757,37.2324336274213,36.3778855233668,35.5233374193123
"wintemp.24",62.868876749055,62.0143286450005,61.1597805409461,60.3052324368916,59.4506843328371,58.5961362287827,57.7415881247282,56.8870400206738,56.0324919166193,55.1779438125649,54.3233957085104,53.4688476044559,52.6142995004015,51.759751396347,50.9052032922926,50.0506551882381,49.1961070841837,48.3415589801292,47.4870108760747,46.6324627720203,45.7779146679658,44.9233665639114,44.0688184598569,43.2142703558025,42.359722251748,41.5051741476935,40.6506260436391,39.7960779395846,38.9415298355302,38.0869817314757,37.2324336274213,36.3778855233668,35.5233374193123
"wintemp.25",62.868876749055,62.0143286450005,61.1597805409461,60.3052324368916,59.4506843328371,58.5961362287827,57.7415881247282,56.8870400206738,56.0324919166193,55.1779438125649,54.3233957085104,53.4688476044559,52.6142995004015,51.759751396347,50.9052032922926,50.0506551882381,49.1961070841837,48.3415589801292,47.4870108760747,46.6324627720203,45.7779146679658,44.9233665639114,44.0688184598569,43.2142703558025,42.359722251748,41.5051741476935,40.6506260436391,39.7960779395846,38.9415298355302,38.0869817314757,37.2324336274213,36.3778855233668,35.5233374193123
"wintemp.26",62.868876749055,62.0143286450005,61.1597805409461,60.3052324368916,59.4506843328371,58.5961362287827,57.7415881247282,56.8870400206738,56.0324919166193,55.1779438125649,54.3233957085104,53.4688476044559,52.6142995004015,51.759751396347,50.9052032922926,50.0506551882381,49.1961070841837,48.3415589801292,47.4870108760747,46.6324627720203,45.7779146679658,44.9233665639114,44.0688184598569,43.2142703558025,42.359722251748,41.5051741476935,40.6506260436391,39.7960779395846,38.9415298355302,38.0869817314757,37.2324336274213,36.3778855233668,35.5233374193123
"wintemp.27",62.868876749055,62.0143286450005,61.1597805409461,60.3052324368916,59.4506843328371,58.5961362287827,57.7415881247282,56.8870400206738,56.0324919166193,55.1779438125649,54.3233957085104,53.4688476044559,52.6142995004015,51.759751396347,50.9052032922926,50.0506551882381,49.1961070841837,48.3415589801292,47.4870108760747,46.6324627720203,45.7779146679658,44.9233665639114,44.0688184598569,43.2142703558025,42.359722251748,41.5051741476935,40.6506260436391,39.7960779395846,38.9415298355302,38.0869817314757,37.2324336274213,36.3778855233668,35.5233374193123
"wintemp.28",62.868876749055,62.0143286450005,61.1597805409461,60.3052324368916,59.4506843328371,58.5961362287827,57.7415881247282,56.8870400206738,56.0324919166193,55.1779438125649,54.3233957085104,53.4688476044559,52.6142995004015,51.759751396347,50.9052032922926,50.0506551882381,49.1961070841837,48.3415589801292,47.4870108760747,46.6324627720203,45.7779146679658,44.9233665639114,44.0688184598569,43.2142703558025,42.359722251748,41.5051741476935,40.6506260436391,39.7960779395846,38.9415298355302,38.0869817314757,37.2324336274213,36.3778855233668,35.5233374193123
"wintemp.29",62.868876749055,62.0143286450005,61.1597805409461,60.3052324368916,59.4506843328371,58.5961362287827,57.7415881247282,56.8870400206738,56.0324919166193,55.1779438125649,54.3233957085104,53.4688476044559,52.6142995004015,51.759751396347,50.9052032922926,50.0506551882381,49.1961070841837,48.3415589801292,47.4870108760747,46.6324627720203,45.7779146679658,44.9233665639114,44.0688184598569,43.2142703558025,42.359722251748,41.5051741476935,40.6506260436391,39.7960779395846,38.9415298355302,38.0869817314757,37.2324336274213,36.3778855233668,35.5233374193123
"wintemp.30",62.868876749055,62.0143286450005,61.1597805409461,60.3052324368916,59.4506843328371,58.5961362287827,57.7415881247282,56.8870400206738,56.0324919166193,55.1779438125649,54.3233957085104,53.4688476044559,52.6142995004015,51.759751396347,50.9052032922926,50.0506551882381,49.1961070841837,48.3415589801292,47.4870108760747,46.6324627720203,45.7779146679658,44.9233665639114,44.0688184598569,43.2142703558025,42.359722251748,41.5051741476935,40.6506260436391,39.7960779395846,38.9415298355302,38.0869817314757,37.2324336274213,36.3778855233668,35.5233374193123
"wintemp.31",62.868876749055,62.0143286450005,61.1597805409461,60.3052324368916,59.4506843328371,58.5961362287827,57.7415881247282,56.8870400206738,56.0324919166193,55.1779438125649,54.3233957085104,53.4688476044559,52.6142995004015,51.759751396347,50.9052032922926,50.0506551882381,49.1961070841837,48.3415589801292,47.4870108760747,46.6324627720203,45.7779146679658,44.9233665639114,44.0688184598569,43.2142703558025,42.359722251748,41.5051741476935,40.6506260436391,39.7960779395846,38.9415298355302,38.0869817314757,37.2324336274213,36.3778855233668,35.5233374193123
"wintemp.32",62.868876749055,62.0143286450005,61.1597805409461,60.3052324368916,59.4506843328371,58.5961362287827,57.7415881247282,56.8870400206738,56.0324919166193,55.1779438125649,54.3233957085104,53.4688476044559,52.6142995004015,51.759751396347,50.9052032922926,50.0506551882381,49.1961070841837,48.3415589801292,47.4870108760747,46.6324627720203,45.7779146679658,44.9233665639114,44.0688184598569,43.2142703558025,42.359722251748,41.5051741476935,40.6506260436391,39.7960779395846,38.9415298355302,38.0869817314757,37.2324336274213,36.3778855233668,35.5233374193123
