datasetID,study,genus,species,cultivar code,varetc,population,material,temp_day,temp_night,temp_transfer,daylength_initial,increased by site characteristics,photoperiod_day,photoperiod_night,fieldchill temp,fieldchill days,number.longdays,irradiance,irradiance units,respvar,ADDED TO DETAILED
charrier11,exp1,Juglans,spp,Franquette,Mountain,Theix,"03¡01_00__E, 45¡43_10__N",,,ambient,,,ambient,ambient,ambient,ambient,,ambient,ambient,"daystobudburst, percentbudburst",added
charrier11,exp1,Juglans,spp,E-Hybrid,Mountain,Theix,"03¡01_00__E, 45¡43_10__N",,,ambient,,,ambient,ambient,ambient,ambient,,ambient,ambient,"daystobudburst, percentbudburst",added
charrier11,exp1,Juglans,spp,L-Hybrid,Mountain,Theix,"03¡01_00__E, 45¡43_10__N",,,ambient,,,ambient,ambient,ambient,ambient,,ambient,ambient,"daystobudburst, percentbudburst",added
charrier11,exp2,Juglans,spp,Serr,,,cuttings,5,5,,,,16,8,ambient,,,,,"daystobudburst, percentbudburst",added
charrier11,exp2,Juglans,spp,Serr,,,cuttings,10,10,,,,16,8,ambient,,,,,"daystobudburst, percentbudburst",added
charrier11,exp2,Juglans,spp,Serr,,,cuttings,15,15,,,,16,8,ambient,,,,,"daystobudburst, percentbudburst",added
charrier11,exp2,Juglans,spp,Serr,,,cuttings,20,20,,,,16,8,ambient,,,,,"daystobudburst, percentbudburst",added
charrier11,exp2,Juglans,spp,Serr,,,cuttings,25,25,,,,16,8,ambient,,,,,"daystobudburst, percentbudburst",added
charrier11,exp2,Juglans,spp,Chandler,,,cuttings,5,5,,,,16,8,ambient,,,,,"daystobudburst, percentbudburst",added
charrier11,exp2,Juglans,spp,Chandler,,,cuttings,10,10,,,,16,8,ambient,,,,,"daystobudburst, percentbudburst",added
charrier11,exp2,Juglans,spp,Chandler,,,cuttings,15,15,,,,16,8,ambient,,,,,"daystobudburst, percentbudburst",added
charrier11,exp2,Juglans,spp,Chandler,,,cuttings,20,20,,,,16,8,ambient,,,,,"daystobudburst, percentbudburst",added
charrier11,exp2,Juglans,spp,Chandler,,,cuttings,25,25,,,,16,8,ambient,,,,,"daystobudburst, percentbudburst",added
charrier11,exp2,Juglans,spp,Franquette,,,cuttings,5,5,,,,16,8,ambient,,,,,"daystobudburst, percentbudburst",added
charrier11,exp2,Juglans,spp,Franquette,,,cuttings,10,10,,,,16,8,ambient,,,,,"daystobudburst, percentbudburst",added
charrier11,exp2,Juglans,spp,Franquette,,,cuttings,15,15,,,,16,8,ambient,,,,,"daystobudburst, percentbudburst",added
charrier11,exp2,Juglans,spp,Franquette,,,cuttings,20,20,,,,16,8,ambient,,,,,"daystobudburst, percentbudburst",added
charrier11,exp2,Juglans,spp,Franquette,,,cuttings,25,25,,,,16,8,ambient,,,,,"daystobudburst, percentbudburst",added
charrier11,exp2,Juglans,spp,Lara,,,cuttings,5,5,,,,16,8,ambient,,,,,"daystobudburst, percentbudburst",added
charrier11,exp2,Juglans,spp,Lara,,,cuttings,10,10,,,,16,8,ambient,,,,,"daystobudburst, percentbudburst",added
charrier11,exp2,Juglans,spp,Lara,,,cuttings,15,15,,,,16,8,ambient,,,,,"daystobudburst, percentbudburst",added
charrier11,exp2,Juglans,spp,Lara,,,cuttings,20,20,,,,16,8,ambient,,,,,"daystobudburst, percentbudburst",added
charrier11,exp2,Juglans,spp,Lara,,,cuttings,25,25,,,,16,8,ambient,,,,,"daystobudburst, percentbudburst",added
charrier11,exp2,Juglans,spp,E-Hybrid,,,cuttings,5,5,,,,16,8,ambient,,,,,"daystobudburst, percentbudburst",added
charrier11,exp2,Juglans,spp,E-Hybrid,,,cuttings,10,10,,,,16,8,ambient,,,,,"daystobudburst, percentbudburst",added
charrier11,exp2,Juglans,spp,E-Hybrid,,,cuttings,15,15,,,,16,8,ambient,,,,,"daystobudburst, percentbudburst",added
charrier11,exp2,Juglans,spp,E-Hybrid,,,cuttings,20,20,,,,16,8,ambient,,,,,"daystobudburst, percentbudburst",added
charrier11,exp2,Juglans,spp,E-Hybrid,,,cuttings,25,25,,,,16,8,ambient,,,,,"daystobudburst, percentbudburst",added
charrier11,exp2,Juglans,spp,L-Hybrid,,,cuttings,5,5,,,,16,8,ambient,,,,,"daystobudburst, percentbudburst",added
charrier11,exp2,Juglans,spp,L-Hybrid,,,cuttings,10,10,,,,16,8,ambient,,,,,"daystobudburst, percentbudburst",added
charrier11,exp2,Juglans,spp,L-Hybrid,,,cuttings,15,15,,,,16,8,ambient,,,,,"daystobudburst, percentbudburst",added
charrier11,exp2,Juglans,spp,L-Hybrid,,,cuttings,20,20,,,,16,8,ambient,,,,,"daystobudburst, percentbudburst",added
charrier11,exp2,Juglans,spp,L-Hybrid,,,cuttings,25,25,,,,16,8,ambient,,,,,"daystobudburst, percentbudburst",added
falusi90,exp1,Fagus,sylvatica,"apical, lateral buds",,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,"daystobudburst, percentbudburst",added
falusi90,exp1,Fagus,sylvatica,"apical, lateral buds",,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,"daystobudburst, percentbudburst",added
falusi90,exp1,Fagus,sylvatica,"apical, lateral buds",,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,"daystobudburst, percentbudburst",added
falusi90,exp1,Fagus,sylvatica,"apical, lateral buds",,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,"daystobudburst, percentbudburst",added
falusi90,exp1,Fagus,sylvatica,"apical, lateral buds",,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,"daystobudburst, percentbudburst",added
falusi90,exp1,Fagus,sylvatica,"apical, lateral buds",,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,"daystobudburst, percentbudburst",added
falusi90,exp1,Fagus,sylvatica,"apical, lateral buds",,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,"daystobudburst, percentbudburst",added
falusi90,exp1,Fagus,sylvatica,"apical, lateral buds",,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,"daystobudburst, percentbudburst",added
falusi90,exp1,Fagus,sylvatica,basal buds,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,"daystobudburst, percentbudburst",added
falusi90,exp1,Fagus,sylvatica,basal buds,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,"daystobudburst, percentbudburst",added
falusi90,exp1,Fagus,sylvatica,basal buds,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,"daystobudburst, percentbudburst",added
falusi90,exp1,Fagus,sylvatica,basal buds,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,"daystobudburst, percentbudburst",added
falusi90,exp1,Fagus,sylvatica,basal buds,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,"daystobudburst, percentbudburst",added
falusi90,exp1,Fagus,sylvatica,basal buds,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,"daystobudburst, percentbudburst",added
falusi90,exp1,Fagus,sylvatica,basal buds,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,"daystobudburst, percentbudburst",added
falusi90,exp1,Fagus,sylvatica,basal buds,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,"daystobudburst, percentbudburst",added
falusi90,exp1,Fagus,sylvatica,cotyledons and first node,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,percentbudburst,added
falusi90,exp1,Fagus,sylvatica,cotyledons and first node,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,cotyledons and first node,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,cotyledons and first node,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,cotyledons and first node,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,cotyledons and first node,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,cotyledons and first node,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,cotyledons and first node,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,first-year shoot,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,first-year shoot,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,first-year shoot,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,first-year shoot,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,first-year shoot,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,first-year shoot,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,first-year shoot,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,first-year shoot,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,second-year shoot,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,second-year shoot,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,second-year shoot,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,second-year shoot,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,second-year shoot,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,second-year shoot,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,second-year shoot,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,second-year shoot,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,leader apical bud,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,leader apical bud,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,leader apical bud,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,leader apical bud,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,leader apical bud,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,leader apical bud,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,leader apical bud,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,leader apical bud,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,mean,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,mean,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,mean,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,mean,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,mean,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,mean,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,mean,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,mean,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,cotyledons and first node,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,cotyledons and first node,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,cotyledons and first node,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,cotyledons and first node,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,cotyledons and first node,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,cotyledons and first node,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,cotyledons and first node,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,cotyledons and first node,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,first-year shoot,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,first-year shoot,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,first-year shoot,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,first-year shoot,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,first-year shoot,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,first-year shoot,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,first-year shoot,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,first-year shoot,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,second-year shoot,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,second-year shoot,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,second-year shoot,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,second-year shoot,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,second-year shoot,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,second-year shoot,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,second-year shoot,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,second-year shoot,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,leader apical bud,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,leader apical bud,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,leader apical bud,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,leader apical bud,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,leader apical bud,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,leader apical bud,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,leader apical bud,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,leader apical bud,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,mean,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,mean,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,mean,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,mean,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,mean,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,mean,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,mean,,,seedlings,24,13,,,,13,11,unchilled,unchilled,,32,Wm_2,shootelongation,added
falusi90,exp1,Fagus,sylvatica,mean,,,seedlings,24,13,,,,9,15,unchilled,unchilled,,32,Wm_2,shootelongation,added
