"","uniqueid","trayloc","substrate","germdate","doy","daysfromstart","sp","strat","temp","individual","location","origin","germinated","treatment","uniqind"
"2182","3f6Soil","3f6","Soil",NA,NA,NA,"PLALAN",60,20.7,"US27","USA--Arnold Arboretum ","USA",0,"20.7_60","PLALAN_US27"
"2255","4a5Soil","4a5","Soil",2015-12-09,343,16,"PLALAN",60,25.3,"US05","USA--Walden","USA",1,"25.3_60","PLALAN_US05"
"2256","4a6Soil","4a6","Soil",2016-01-11,11,49,"PLALAN",60,25.3,"US25","USA--Arnold Arboretum ","USA",1,"25.3_60","PLALAN_US25"
"2258","4a7Soil","4a7","Soil",NA,NA,NA,"PLALAN",60,25.3,"US27","USA--Arnold Arboretum ","USA",0,"25.3_60","PLALAN_US27"
"2282","4b5Soil","4b5","Soil",NA,NA,NA,"PLALAN",60,25.3,"US20","USA--Arnold Arboretum ","USA",0,"25.3_60","PLALAN_US20"
"2283","4b6Soil","4b6","Soil",2015-11-29,333,6,"PLALAN",60,25.3,"US25","USA--Arnold Arboretum ","USA",1,"25.3_60","PLALAN_US25"
"2285","4b7Soil","4b7","Soil",NA,NA,NA,"PLALAN",60,25.3,"US27","USA--Arnold Arboretum ","USA",0,"25.3_60","PLALAN_US27"
"2310","4c4Soil","4c4","Soil",NA,NA,NA,"PLALAN",60,25.3,"US01","USA--Walden","USA",0,"25.3_60","PLALAN_US01"
"2311","4c5Soil","4c5","Soil",2015-12-09,343,16,"PLALAN",60,25.3,"US21","USA--Arnold Arboretum ","USA",1,"25.3_60","PLALAN_US21"
"2313","4c6Soil","4c6","Soil",2015-12-03,337,10,"PLALAN",60,25.3,"US25","USA--Arnold Arboretum ","USA",1,"25.3_60","PLALAN_US25"
"2315","4c7Soil","4c7","Soil",2015-12-05,339,12,"PLALAN",60,25.3,"US27","USA--Arnold Arboretum ","USA",1,"25.3_60","PLALAN_US27"
"2340","4d4Soil","4d4","Soil",NA,NA,NA,"PLALAN",60,25.3,"US02","USA--Walden","USA",0,"25.3_60","PLALAN_US02"
"2341","4d5Soil","4d5","Soil",2015-12-01,335,8,"PLALAN",60,25.3,"US24","USA--Arnold Arboretum ","USA",1,"25.3_60","PLALAN_US24"
"2343","4d6Soil","4d6","Soil",NA,NA,NA,"PLALAN",60,25.3,"US25","USA--Arnold Arboretum ","USA",0,"25.3_60","PLALAN_US25"
"2345","4d7Soil","4d7","Soil",NA,NA,NA,"PLALAN",60,25.3,"US27","USA--Arnold Arboretum ","USA",0,"25.3_60","PLALAN_US27"
"2369","4e4Soil","4e4","Soil",2015-11-29,333,6,"PLALAN",60,25.3,"US03","USA--Walden","USA",1,"25.3_60","PLALAN_US03"
"2370","4e5Soil","4e5","Soil",2015-11-29,333,6,"PLALAN",60,25.3,"US25","USA--Arnold Arboretum ","USA",1,"25.3_60","PLALAN_US25"
