"","uniqueid","trayloc","substrate","germdate","doy","daysfromstart","sp","strat","temp","individual","location","origin","germinated","treatment","uniqind"
"637","16d8Soil","16d8","Soil",2015-12-01,335,8,"TAROFF",30,25.3,"US02","USA--Harvard Forest","USA",1,"25.3_30","TAROFF_US02"
"638","16d9Soil","16d9","Soil",2015-11-27,331,4,"TAROFF",30,25.3,"US21","USA--Arnold Arboretum ","USA",1,"25.3_30","TAROFF_US21"
"639","16e10Soil","16e10","Soil",2015-11-27,331,4,"TAROFF",30,25.3,"US21","USA--Arnold Arboretum ","USA",1,"25.3_30","TAROFF_US21"
"640","16e12Soil","16e12","Soil",2015-11-27,331,4,"CAPBUR",30,25.3,"EU07","Europe--Leer, Germany","Europe",1,"25.3_30","CAPBUR_EU07"
"641","16e1Soil","16e1","Soil",NA,NA,NA,"PLALAN",30,25.3,"EU60","Europe--Divaca Kras, Slovenia","Europe",0,"25.3_30","PLALAN_EU60"
"642","16e2Soil","16e2","Soil",2015-11-29,333,6,"PLALAN",30,25.3,"EU62","Europe--Schaan, Liechtenstein","Europe",1,"25.3_30","PLALAN_EU62"
"643","16e3Soil","16e3","Soil",2015-11-27,331,4,"PLALAN",30,25.3,"EU74","Europe--Le Tretien, Switzerland","Europe",1,"25.3_30","PLALAN_EU74"
"644","16e4Soil","16e4","Soil",2015-11-29,333,6,"PLALAN",30,25.3,"EU80","Europe--Grenoble, France","Europe",1,"25.3_30","PLALAN_EU80"
"645","16e5Soil","16e5","Soil",2015-12-07,341,14,"CHEMAJ",30,25.3,"US20","USA--Arnold Arboretum ","USA",1,"25.3_30","CHEMAJ_US20"
"646","16e6Soil","16e6","Soil",2015-11-29,333,6,"RUMCRI",30,25.3,"US01","USA--Walden","USA",1,"25.3_30","RUMCRI_US01"
"647","16e7Soil","16e7","Soil",2015-12-05,339,12,"RUMCRI",30,25.3,"US24","USA--Arnold Arboretum ","USA",1,"25.3_30","RUMCRI_US24"
"648","16e8Soil","16e8","Soil",2015-12-05,339,12,"TAROFF",30,25.3,"US02","USA--Harvard Forest","USA",1,"25.3_30","TAROFF_US02"
"649","16e9.1Soil","16e9.1","Soil",2015-11-27,331,4,"TAROFF",30,25.3,"US21","USA--Arnold Arboretum ","USA",1,"25.3_30","TAROFF_US21"
"650","16e9.2Soil","16e9.2","Soil",2015-11-27,331,4,"DACGLO",30,25.3,"US01","USA--Harvard Forest","USA",1,"25.3_30","DACGLO_US01"
"651","16f1Soil","16f1","Soil",2016-01-29,29,67,"PLALAN",30,25.3,"EU60","Europe--Divaca Kras, Slovenia","Europe",1,"25.3_30","PLALAN_EU60"
"652","16f2Soil","16f2","Soil",NA,NA,NA,"PLALAN",30,25.3,"EU63","Europe--Schaan, Liechtenstein","Europe",0,"25.3_30","PLALAN_EU63"
"653","16f3Soil","16f3","Soil",2015-11-27,331,4,"PLALAN",30,25.3,"EU75","Europe--Le Tretien, Switzerland","Europe",1,"25.3_30","PLALAN_EU75"
"654","16f4Soil","16f4","Soil",2015-12-05,339,12,"CHEMAJ",30,25.3,"US06","USA--Walden","USA",1,"25.3_30","CHEMAJ_US06"
"655","16f5Soil","16f5","Soil",2015-12-11,345,18,"CHEMAJ",30,25.3,"US20","USA--Arnold Arboretum ","USA",1,"25.3_30","CHEMAJ_US20"
"656","16f6Soil","16f6","Soil",2015-12-05,339,12,"RUMCRI",30,25.3,"US01","USA--Walden","USA",1,"25.3_30","RUMCRI_US01"
"657","16f7Soil","16f7","Soil",2015-12-05,339,12,"RUMCRI",30,25.3,"US24","USA--Arnold Arboretum ","USA",1,"25.3_30","RUMCRI_US24"
"658","16f8Soil","16f8","Soil",2015-12-03,337,10,"TAROFF",30,25.3,"US02","USA--Harvard Forest","USA",1,"25.3_30","TAROFF_US02"
"659","16f9Soil","16f9","Soil",2015-11-27,331,4,"DACGLO",30,25.3,"US01","USA--Harvard Forest","USA",1,"25.3_30","DACGLO_US01"
"660","17a10Soil","17a10","Soil",2015-12-01,335,8,"TAROFF",60,11.3,"US02","USA--Harvard Forest","USA",1,"11.3_60","TAROFF_US02"
"661","17a11Soil","17a11","Soil",2015-12-03,337,10,"TAROFF",60,11.3,"US21","USA--Arnold Arboretum ","USA",1,"11.3_60","TAROFF_US21"
"662","17a12Soil","17a12","Soil",2015-12-11,345,18,"DACGLO",60,11.3,"US01","USA--Harvard Forest","USA",1,"11.3_60","DACGLO_US01"
"663","17a5Soil","17a5","Soil",NA,NA,NA,"CAPBUR",60,11.3,"US01","USA--Harvard Forest","USA",0,"11.3_60","CAPBUR_US01"
"664","17a6Soil","17a6","Soil",NA,NA,NA,"CAPBUR",60,11.3,"US02","USA--Harvard Forest","USA",0,"11.3_60","CAPBUR_US02"
"665","17a7Soil","17a7","Soil",2016-01-11,11,49,"CHEMAJ",60,11.3,"US06","USA--Walden","USA",1,"11.3_60","CHEMAJ_US06"
"666","17a8Soil","17a8","Soil",NA,NA,NA,"CHEMAJ",60,11.3,"US20","USA--Arnold Arboretum ","USA",0,"11.3_60","CHEMAJ_US20"
"667","17a9Soil","17a9","Soil",2015-12-07,341,14,"RUMCRI",60,11.3,"US24","USA--Arnold Arboretum ","USA",1,"11.3_60","RUMCRI_US24"
"668","17b10Soil","17b10","Soil",2015-11-29,333,6,"TAROFF",60,11.3,"US02","USA--Harvard Forest","USA",1,"11.3_60","TAROFF_US02"
"669","17b11Soil","17b11","Soil",2015-12-03,337,10,"TAROFF",60,11.3,"US21","USA--Arnold Arboretum ","USA",1,"11.3_60","TAROFF_US21"
"670","17b12Soil","17b12","Soil",2015-12-01,335,8,"DACGLO",60,11.3,"US01","USA--Harvard Forest","USA",1,"11.3_60","DACGLO_US01"
"671","17b5Soil","17b5","Soil",NA,NA,NA,"CAPBUR",60,11.3,"US01","USA--Harvard Forest","USA",0,"11.3_60","CAPBUR_US01"
"672","17b6Soil","17b6","Soil",NA,NA,NA,"CAPBUR",60,11.3,"US02","USA--Harvard Forest","USA",0,"11.3_60","CAPBUR_US02"
"673","17b7Soil","17b7","Soil",2015-01-11,11,49,"CHEMAJ",60,11.3,"US06","USA--Walden","USA",1,"11.3_60","CHEMAJ_US06"
"674","17b8Soil","17b8","Soil",2015-12-05,339,12,"RUMCRI",60,11.3,"US01","USA--Walden","USA",1,"11.3_60","RUMCRI_US01"
"675","17b9Soil","17b9","Soil",2015-12-05,339,12,"RUMCRI",60,11.3,"US24","USA--Arnold Arboretum ","USA",1,"11.3_60","RUMCRI_US24"
"676","17c10Soil","17c10","Soil",2015-11-29,333,6,"TAROFF",60,11.3,"US02","USA--Harvard Forest","USA",1,"11.3_60","TAROFF_US02"
"677","17c11Soil","17c11","Soil",2015-12-01,335,8,"TAROFF",60,11.3,"US21","USA--Arnold Arboretum ","USA",1,"11.3_60","TAROFF_US21"
"678","17c5Soil","17c5","Soil",NA,NA,NA,"CAPBUR",60,11.3,"US01","USA--Harvard Forest","USA",0,"11.3_60","CAPBUR_US01"
"679","17c6Soil","17c6","Soil",NA,NA,NA,"CAPBUR",60,11.3,"US02","USA--Harvard Forest","USA",0,"11.3_60","CAPBUR_US02"
"680","17c7Soil","17c7","Soil",NA,NA,NA,"CHEMAJ",60,11.3,"US20","USA--Arnold Arboretum ","USA",0,"11.3_60","CHEMAJ_US20"
"681","17c8Soil","17c8","Soil",NA,NA,NA,"RUMCRI",60,11.3,"US01","USA--Walden","USA",0,"11.3_60","RUMCRI_US01"
"682","17c9Soil","17c9","Soil",2015-12-07,341,14,"RUMCRI",60,11.3,"US24","USA--Arnold Arboretum ","USA",1,"11.3_60","RUMCRI_US24"
"683","17d10Soil","17d10","Soil",2015-11-29,333,6,"TAROFF",60,11.3,"US02","USA--Harvard Forest","USA",1,"11.3_60","TAROFF_US02"
"684","17d11Soil","17d11","Soil",NA,NA,NA,"DACGLO",60,11.3,"US01","USA--Harvard Forest","USA",0,"11.3_60","DACGLO_US01"
"685","17d5Soil","17d5","Soil",NA,NA,NA,"CAPBUR",60,11.3,"US01","USA--Harvard Forest","USA",0,"11.3_60","CAPBUR_US01"
"686","17d6Soil","17d6","Soil",NA,NA,NA,"CAPBUR",60,11.3,"US02","USA--Harvard Forest","USA",0,"11.3_60","CAPBUR_US02"
"687","17d7Soil","17d7","Soil",NA,NA,NA,"CHEMAJ",60,11.3,"US20","USA--Arnold Arboretum ","USA",0,"11.3_60","CHEMAJ_US20"
"688","17d8Soil","17d8","Soil",2015-12-03,337,10,"RUMCRI",60,11.3,"US01","USA--Walden","USA",1,"11.3_60","RUMCRI_US01"
"689","17d9Soil","17d9","Soil",2015-12-05,339,12,"RUMCRI",60,11.3,"US24","USA--Arnold Arboretum ","USA",1,"11.3_60","RUMCRI_US24"
"690","17e10Soil","17e10","Soil",2015-12-03,337,10,"TAROFF",60,11.3,"US21","USA--Arnold Arboretum ","USA",1,"11.3_60","TAROFF_US21"
"691","17e11Soil","17e11","Soil",NA,NA,NA,"DACGLO",60,11.3,"US01","USA--Harvard Forest","USA",0,"11.3_60","DACGLO_US01"
"692","17e5Soil","17e5","Soil",NA,NA,NA,"CAPBUR",60,11.3,"US01","USA--Harvard Forest","USA",0,"11.3_60","CAPBUR_US01"
"693","17e6Soil","17e6","Soil",2016-01-11,11,49,"CHEMAJ",60,11.3,"US06","USA--Walden","USA",1,"11.3_60","CHEMAJ_US06"
"694","17e7Soil","17e7","Soil",NA,NA,NA,"CHEMAJ",60,11.3,"US20","USA--Arnold Arboretum ","USA",0,"11.3_60","CHEMAJ_US20"
"695","17e8Soil","17e8","Soil",2015-12-03,337,10,"RUMCRI",60,11.3,"US01","USA--Walden","USA",1,"11.3_60","RUMCRI_US01"
"696","17e9Soil","17e9","Soil",2015-12-05,339,12,"RUMCRI",60,11.3,"US24","USA--Arnold Arboretum ","USA",1,"11.3_60","RUMCRI_US24"
"697","17f10Soil","17f10","Soil",2015-12-05,339,12,"TAROFF",60,11.3,"US21","USA--Arnold Arboretum ","USA",1,"11.3_60","TAROFF_US21"
"698","17f11Soil","17f11","Soil",2015-12-01,335,8,"DACGLO",60,11.3,"US01","USA--Harvard Forest","USA",1,"11.3_60","DACGLO_US01"
"699","17f5Soil","17f5","Soil",NA,NA,NA,"CAPBUR",60,11.3,"US02","USA--Harvard Forest","USA",0,"11.3_60","CAPBUR_US02"
"700","17f6Soil","17f6","Soil",2016-01-11,11,49,"CHEMAJ",60,11.3,"US06","USA--Walden","USA",1,"11.3_60","CHEMAJ_US06"
"701","17f7Soil","17f7","Soil",2016-01-11,11,49,"CHEMAJ",60,11.3,"US20","USA--Arnold Arboretum ","USA",1,"11.3_60","CHEMAJ_US20"
"702","17f8Soil","17f8","Soil",2015-12-11,345,18,"RUMCRI",60,11.3,"US01","USA--Walden","USA",1,"11.3_60","RUMCRI_US01"
"703","17f9Soil","17f9","Soil",2015-11-29,333,6,"TAROFF",60,11.3,"US02","USA--Harvard Forest","USA",1,"11.3_60","TAROFF_US02"
"704","18a10Soil","18a10","Soil",2015-11-27,331,4,"TAROFF",60,16,"US02","USA--Harvard Forest","USA",1,"16_60","TAROFF_US02"
"705","18a11Soil","18a11","Soil",NA,NA,NA,"TAROFF",60,16,"US21","USA--Arnold Arboretum ","USA",0,"16_60","TAROFF_US21"
"706","18a12Soil","18a12","Soil",2015-11-27,331,4,"DACGLO",60,16,"US01","USA--Harvard Forest","USA",1,"16_60","DACGLO_US01"
"707","18a5Soil","18a5","Soil",NA,NA,NA,"CAPBUR",60,16,"US01","USA--Harvard Forest","USA",0,"16_60","CAPBUR_US01"
"708","18a6Soil","18a6","Soil",2015-12-26,360,33,"CAPBUR",60,16,"US02","USA--Harvard Forest","USA",1,"16_60","CAPBUR_US02"
"709","18a7Soil","18a7","Soil",2015-12-09,343,16,"CHEMAJ",60,16,"US06","USA--Walden","USA",1,"16_60","CHEMAJ_US06"
"710","18a8Soil","18a8","Soil",2015-12-29,363,36,"CHEMAJ",60,16,"US20","USA--Arnold Arboretum ","USA",1,"16_60","CHEMAJ_US20"
"711","18a9Soil","18a9","Soil",NA,NA,NA,"RUMCRI",60,16,"US24","USA--Arnold Arboretum ","USA",0,"16_60","RUMCRI_US24"
"712","18b10Soil","18b10","Soil",2015-11-27,331,4,"TAROFF",60,16,"US02","USA--Harvard Forest","USA",1,"16_60","TAROFF_US02"
"713","18b11Soil","18b11","Soil",2015-11-29,333,6,"TAROFF",60,16,"US21","USA--Arnold Arboretum ","USA",1,"16_60","TAROFF_US21"
"714","18b12Soil","18b12","Soil",2015-11-27,331,4,"DACGLO",60,16,"US01","USA--Harvard Forest","USA",1,"16_60","DACGLO_US01"
"715","18b5Soil","18b5","Soil",2015-12-07,341,14,"CAPBUR",60,16,"US01","USA--Harvard Forest","USA",1,"16_60","CAPBUR_US01"
"716","18b6Soil","18b6","Soil",2015-12-15,349,22,"CAPBUR",60,16,"US02","USA--Harvard Forest","USA",1,"16_60","CAPBUR_US02"
"717","18b7Soil","18b7","Soil",2015-12-13,347,20,"CHEMAJ",60,16,"US06","USA--Walden","USA",1,"16_60","CHEMAJ_US06"
"718","18b8Soil","18b8","Soil",2015-12-07,341,14,"RUMCRI",60,16,"US01","USA--Walden","USA",1,"16_60","RUMCRI_US01"
"719","18b9Soil","18b9","Soil",2015-12-17,351,24,"RUMCRI",60,16,"US24","USA--Arnold Arboretum ","USA",1,"16_60","RUMCRI_US24"
"720","18c10Soil","18c10","Soil",2015-11-27,331,4,"TAROFF",60,16,"US02","USA--Harvard Forest","USA",1,"16_60","TAROFF_US02"
"721","18c11Soil","18c11","Soil",2015-11-29,333,6,"TAROFF",60,16,"US21","USA--Arnold Arboretum ","USA",1,"16_60","TAROFF_US21"
"722","18c5Soil","18c5","Soil",NA,NA,NA,"CAPBUR",60,16,"US01","USA--Harvard Forest","USA",0,"16_60","CAPBUR_US01"
"723","18c6Soil","18c6","Soil",NA,NA,NA,"CAPBUR",60,16,"US02","USA--Harvard Forest","USA",0,"16_60","CAPBUR_US02"
"724","18c7Soil","18c7","Soil",2015-12-11,345,18,"CHEMAJ",60,16,"US20","USA--Arnold Arboretum ","USA",1,"16_60","CHEMAJ_US20"
"725","18c8Soil","18c8","Soil",2015-12-13,347,20,"RUMCRI",60,16,"US01","USA--Walden","USA",1,"16_60","RUMCRI_US01"
"726","18c9Soil","18c9","Soil",2015-12-01,335,8,"RUMCRI",60,16,"US24","USA--Arnold Arboretum ","USA",1,"16_60","RUMCRI_US24"
"727","18d10Soil","18d10","Soil",2015-12-03,337,10,"TAROFF",60,16,"US02","USA--Harvard Forest","USA",1,"16_60","TAROFF_US02"
"728","18d11Soil","18d11","Soil",2015-11-27,331,4,"DACGLO",60,16,"US01","USA--Harvard Forest","USA",1,"16_60","DACGLO_US01"
"729","18d5Soil","18d5","Soil",NA,NA,NA,"CAPBUR",60,16,"US01","USA--Harvard Forest","USA",0,"16_60","CAPBUR_US01"
"730","18d6Soil","18d6","Soil",NA,NA,NA,"CAPBUR",60,16,"US02","USA--Harvard Forest","USA",0,"16_60","CAPBUR_US02"
"731","18d7Soil","18d7","Soil",2015-12-09,343,16,"CHEMAJ",60,16,"US20","USA--Arnold Arboretum ","USA",1,"16_60","CHEMAJ_US20"
"732","18d8Soil","18d8","Soil",2015-12-05,339,12,"RUMCRI",60,16,"US01","USA--Walden","USA",1,"16_60","RUMCRI_US01"
"733","18d9Soil","18d9","Soil",2015-12-05,339,12,"RUMCRI",60,16,"US24","USA--Arnold Arboretum ","USA",1,"16_60","RUMCRI_US24"
"734","18e10Soil","18e10","Soil",NA,NA,NA,"TAROFF",60,16,"US21","USA--Arnold Arboretum ","USA",0,"16_60","TAROFF_US21"
"735","18e11Soil","18e11","Soil",2015-11-27,331,4,"DACGLO",60,16,"US01","USA--Harvard Forest","USA",1,"16_60","DACGLO_US01"
"736","18e5Soil","18e5","Soil",NA,NA,NA,"CAPBUR",60,16,"US01","USA--Harvard Forest","USA",0,"16_60","CAPBUR_US01"
"737","18e6Soil","18e6","Soil",2015-12-11,345,18,"CHEMAJ",60,16,"US06","USA--Walden","USA",1,"16_60","CHEMAJ_US06"
"738","18e7Soil","18e7","Soil",NA,NA,NA,"CHEMAJ",60,16,"US20","USA--Arnold Arboretum ","USA",0,"16_60","CHEMAJ_US20"
"739","18e8Soil","18e8","Soil",2015-12-03,337,10,"RUMCRI",60,16,"US01","USA--Walden","USA",1,"16_60","RUMCRI_US01"
"740","18e9Soil","18e9","Soil",NA,NA,NA,"RUMCRI",60,16,"US24","USA--Arnold Arboretum ","USA",0,"16_60","RUMCRI_US24"
"741","18f10Soil","18f10","Soil",2015-12-01,335,8,"TAROFF",60,16,"US21","USA--Arnold Arboretum ","USA",1,"16_60","TAROFF_US21"
"742","18f11Soil","18f11","Soil",2015-11-27,331,4,"DACGLO",60,16,"US01","USA--Harvard Forest","USA",1,"16_60","DACGLO_US01"
"743","18f5Soil","18f5","Soil",NA,NA,NA,"CAPBUR",60,16,"US02","USA--Harvard Forest","USA",0,"16_60","CAPBUR_US02"
"744","18f6Soil","18f6","Soil",2015-12-11,345,18,"CHEMAJ",60,16,"US06","USA--Walden","USA",1,"16_60","CHEMAJ_US06"
"745","18f7Soil","18f7","Soil",2015-12-11,345,18,"CHEMAJ",60,16,"US20","USA--Arnold Arboretum ","USA",1,"16_60","CHEMAJ_US20"
"746","18f8Soil","18f8","Soil",2015-12-03,337,10,"RUMCRI",60,16,"US01","USA--Walden","USA",1,"16_60","RUMCRI_US01"
"747","18f9Soil","18f9","Soil",2015-11-29,333,6,"TAROFF",60,16,"US02","USA--Harvard Forest","USA",1,"16_60","TAROFF_US02"
"748","19a10Soil","19a10","Soil",2015-12-03,337,10,"TAROFF",60,20.7,"US02","USA--Harvard Forest","USA",1,"20.7_60","TAROFF_US02"
"749","19a11Soil","19a11","Soil",2015-12-03,337,10,"TAROFF",60,20.7,"US21","USA--Arnold Arboretum ","USA",1,"20.7_60","TAROFF_US21"
"750","19a12Soil","19a12","Soil",2015-11-29,333,6,"DACGLO",60,20.7,"US01","USA--Harvard Forest","USA",1,"20.7_60","DACGLO_US01"
"751","19a5Soil","19a5","Soil",2015-11-27,331,4,"CAPBUR",60,20.7,"US01","USA--Harvard Forest","USA",1,"20.7_60","CAPBUR_US01"
"752","19a6Soil","19a6","Soil",NA,NA,NA,"CAPBUR",60,20.7,"US02","USA--Harvard Forest","USA",0,"20.7_60","CAPBUR_US02"
"753","19a7Soil","19a7","Soil",2015-12-11,345,18,"CHEMAJ",60,20.7,"US06","USA--Walden","USA",1,"20.7_60","CHEMAJ_US06"
"754","19a8Soil","19a8","Soil",2015-12-05,339,12,"CHEMAJ",60,20.7,"US20","USA--Arnold Arboretum ","USA",1,"20.7_60","CHEMAJ_US20"
"755","19a9Soil","19a9","Soil",2015-12-03,337,10,"RUMCRI",60,20.7,"US24","USA--Arnold Arboretum ","USA",1,"20.7_60","RUMCRI_US24"
"756","19b10Soil","19b10","Soil",2015-11-29,333,6,"TAROFF",60,20.7,"US02","USA--Harvard Forest","USA",1,"20.7_60","TAROFF_US02"
"757","19b11Soil","19b11","Soil",2015-12-03,337,10,"TAROFF",60,20.7,"US21","USA--Arnold Arboretum ","USA",1,"20.7_60","TAROFF_US21"
"758","19b12Soil","19b12","Soil",2015-12-11,345,18,"DACGLO",60,20.7,"US01","USA--Harvard Forest","USA",1,"20.7_60","DACGLO_US01"
"759","19b5Soil","19b5","Soil",NA,NA,NA,"CAPBUR",60,20.7,"US01","USA--Harvard Forest","USA",0,"20.7_60","CAPBUR_US01"
"760","19b6Soil","19b6","Soil",2015-12-05,339,12,"CAPBUR",60,20.7,"US02","USA--Harvard Forest","USA",1,"20.7_60","CAPBUR_US02"
"761","19b7Soil","19b7","Soil",2015-12-11,345,18,"CHEMAJ",60,20.7,"US06","USA--Walden","USA",1,"20.7_60","CHEMAJ_US06"
"762","19b8Soil","19b8","Soil",2015-11-29,333,6,"RUMCRI",60,20.7,"US01","USA--Walden","USA",1,"20.7_60","RUMCRI_US01"
"763","19b9Soil","19b9","Soil",2015-12-01,335,8,"RUMCRI",60,20.7,"US24","USA--Arnold Arboretum ","USA",1,"20.7_60","RUMCRI_US24"
"764","19c10Soil","19c10","Soil",2015-11-27,331,4,"TAROFF",60,20.7,"US02","USA--Harvard Forest","USA",1,"20.7_60","TAROFF_US02"
"765","19c11Soil","19c11","Soil",NA,NA,NA,"TAROFF",60,20.7,"US21","USA--Arnold Arboretum ","USA",0,"20.7_60","TAROFF_US21"
"766","19c5Soil","19c5","Soil",NA,NA,NA,"CAPBUR",60,20.7,"US01","USA--Harvard Forest","USA",0,"20.7_60","CAPBUR_US01"
"767","19c6Soil","19c6","Soil",NA,NA,NA,"CAPBUR",60,20.7,"US02","USA--Harvard Forest","USA",0,"20.7_60","CAPBUR_US02"
"768","19c7Soil","19c7","Soil",2015-12-09,343,16,"CHEMAJ",60,20.7,"US20","USA--Arnold Arboretum ","USA",1,"20.7_60","CHEMAJ_US20"
"769","19c8Soil","19c8","Soil",2015-12-01,335,8,"RUMCRI",60,20.7,"US01","USA--Walden","USA",1,"20.7_60","RUMCRI_US01"
"770","19c9Soil","19c9","Soil",2015-11-29,333,6,"RUMCRI",60,20.7,"US24","USA--Arnold Arboretum ","USA",1,"20.7_60","RUMCRI_US24"
"771","19d10Soil","19d10","Soil",2015-11-29,333,6,"TAROFF",60,20.7,"US02","USA--Harvard Forest","USA",1,"20.7_60","TAROFF_US02"
"772","19d11Soil","19d11","Soil",2015-11-29,333,6,"DACGLO",60,20.7,"US01","USA--Harvard Forest","USA",1,"20.7_60","DACGLO_US01"
"773","19d5Soil","19d5","Soil",NA,NA,NA,"CAPBUR",60,20.7,"US01","USA--Harvard Forest","USA",0,"20.7_60","CAPBUR_US01"
"774","19d6Soil","19d6","Soil",NA,NA,NA,"CAPBUR",60,20.7,"US02","USA--Harvard Forest","USA",0,"20.7_60","CAPBUR_US02"
"775","19d7Soil","19d7","Soil",2015-12-07,341,14,"CHEMAJ",60,20.7,"US20","USA--Arnold Arboretum ","USA",1,"20.7_60","CHEMAJ_US20"
"776","19d8Soil","19d8","Soil",2015-12-01,335,8,"RUMCRI",60,20.7,"US01","USA--Walden","USA",1,"20.7_60","RUMCRI_US01"
"777","19d9Soil","19d9","Soil",2015-11-29,333,6,"RUMCRI",60,20.7,"US24","USA--Arnold Arboretum ","USA",1,"20.7_60","RUMCRI_US24"
"778","19e10Soil","19e10","Soil",2015-11-27,331,4,"TAROFF",60,20.7,"US21","USA--Arnold Arboretum ","USA",1,"20.7_60","TAROFF_US21"
"779","19e11Soil","19e11","Soil",2015-11-29,333,6,"DACGLO",60,20.7,"US01","USA--Harvard Forest","USA",1,"20.7_60","DACGLO_US01"
"780","19e5Soil","19e5","Soil",NA,NA,NA,"CAPBUR",60,20.7,"US01","USA--Harvard Forest","USA",0,"20.7_60","CAPBUR_US01"
"781","19e6Soil","19e6","Soil",2015-12-11,345,18,"CHEMAJ",60,20.7,"US06","USA--Walden","USA",1,"20.7_60","CHEMAJ_US06"
"782","19e7Soil","19e7","Soil",2015-12-07,341,14,"CHEMAJ",60,20.7,"US20","USA--Arnold Arboretum ","USA",1,"20.7_60","CHEMAJ_US20"
"783","19e8Soil","19e8","Soil",2015-12-01,335,8,"RUMCRI",60,20.7,"US01","USA--Walden","USA",1,"20.7_60","RUMCRI_US01"
"784","19e9Soil","19e9","Soil",2015-11-29,333,6,"RUMCRI",60,20.7,"US24","USA--Arnold Arboretum ","USA",1,"20.7_60","RUMCRI_US24"
"785","19f10Soil","19f10","Soil",2015-11-29,333,6,"TAROFF",60,20.7,"US21","USA--Arnold Arboretum ","USA",1,"20.7_60","TAROFF_US21"
"786","19f11Soil","19f11","Soil",2015-11-29,333,6,"DACGLO",60,20.7,"US01","USA--Harvard Forest","USA",1,"20.7_60","DACGLO_US01"
"787","19f5Soil","19f5","Soil",NA,NA,NA,"CAPBUR",60,20.7,"US02","USA--Harvard Forest","USA",0,"20.7_60","CAPBUR_US02"
"788","19f6Soil","19f6","Soil",NA,NA,NA,"CHEMAJ",60,20.7,"US06","USA--Walden","USA",0,"20.7_60","CHEMAJ_US06"
"789","19f7Soil","19f7","Soil",2015-12-05,339,12,"CHEMAJ",60,20.7,"US20","USA--Arnold Arboretum ","USA",1,"20.7_60","CHEMAJ_US20"
"790","19f8Soil","19f8","Soil",2015-12-03,337,10,"RUMCRI",60,20.7,"US01","USA--Walden","USA",1,"20.7_60","RUMCRI_US01"
"791","19f9Soil","19f9","Soil",2015-11-27,331,4,"TAROFF",60,20.7,"US02","USA--Harvard Forest","USA",1,"20.7_60","TAROFF_US02"
"813","1a5Soil","1a5","Soil",NA,NA,NA,"PLALAN",60,11.3,"US05","USA--Walden","USA",0,"11.3_60","PLALAN_US05"
"814","1a6Soil","1a6","Soil",2015-12-01,335,8,"PLALAN",60,11.3,"US25","USA--Arnold Arboretum ","USA",1,"11.3_60","PLALAN_US25"
"816","1a7Soil","1a7","Soil",2015-12-26,360,33,"PLALAN",60,11.3,"US27","USA--Arnold Arboretum ","USA",1,"11.3_60","PLALAN_US27"
"840","1b5Soil","1b5","Soil",NA,NA,NA,"PLALAN",60,11.3,"US20","USA--Arnold Arboretum ","USA",0,"11.3_60","PLALAN_US20"
"841","1b6Soil","1b6","Soil",2015-12-01,335,8,"PLALAN",60,11.3,"US25","USA--Arnold Arboretum ","USA",1,"11.3_60","PLALAN_US25"
"843","1b7Soil","1b7","Soil",2015-12-26,360,33,"PLALAN",60,11.3,"US27","USA--Arnold Arboretum ","USA",1,"11.3_60","PLALAN_US27"
"868","1c4Soil","1c4","Soil",2015-12-03,337,10,"PLALAN",60,11.3,"US01","USA--Walden","USA",1,"11.3_60","PLALAN_US01"
"869","1c5Soil","1c5","Soil",2015-12-01,335,8,"PLALAN",60,11.3,"US21","USA--Arnold Arboretum ","USA",1,"11.3_60","PLALAN_US21"
"871","1c6Soil","1c6","Soil",2015-12-01,335,8,"PLALAN",60,11.3,"US25","USA--Arnold Arboretum ","USA",1,"11.3_60","PLALAN_US25"
"873","1c7Soil","1c7","Soil",2015-12-01,335,8,"PLALAN",60,11.3,"US27","USA--Arnold Arboretum ","USA",1,"11.3_60","PLALAN_US27"
"901","1d4Soil","1d4","Soil",2015-12-03,337,10,"PLALAN",60,11.3,"US02","USA--Walden","USA",1,"11.3_60","PLALAN_US02"
"902","1d5Soil","1d5","Soil",NA,NA,NA,"PLALAN",60,11.3,"US24","USA--Arnold Arboretum ","USA",0,"11.3_60","PLALAN_US24"
"904","1d6Soil","1d6","Soil",2015-12-03,337,10,"PLALAN",60,11.3,"US25","USA--Arnold Arboretum ","USA",1,"11.3_60","PLALAN_US25"
"906","1d7Soil","1d7","Soil",2015-12-03,337,10,"PLALAN",60,11.3,"US27","USA--Arnold Arboretum ","USA",1,"11.3_60","PLALAN_US27"
"930","1e4Soil","1e4","Soil",2015-12-03,337,10,"PLALAN",60,11.3,"US03","USA--Walden","USA",1,"11.3_60","PLALAN_US03"
"931","1e5Soil","1e5","Soil",2015-12-05,339,12,"PLALAN",60,11.3,"US25","USA--Arnold Arboretum ","USA",1,"11.3_60","PLALAN_US25"
"933","1e6Soil","1e6","Soil",2015-12-03,337,10,"PLALAN",60,11.3,"US27","USA--Arnold Arboretum ","USA",1,"11.3_60","PLALAN_US27"
"957","1f4Soil","1f4","Soil",2015-12-13,347,20,"PLALAN",60,11.3,"US03","USA--Walden","USA",1,"11.3_60","PLALAN_US03"
"958","1f5Soil","1f5","Soil",NA,NA,NA,"PLALAN",60,11.3,"US25","USA--Arnold Arboretum ","USA",0,"11.3_60","PLALAN_US25"
