daysfromstart,sp,strat,temp,individual,location,origin,germinated,uniqind
4,PLALAN,30,20.7,EU46,"Europe--Podhom, Slovenia",Europe,1,PLALAN_EU46
30,CHEMAJ,30,20.7,EU29,"Europe--Grenoble, France",Europe,1,CHEMAJ_EU29
10,RUMCRI,30,20.7,EU03,"Europe--Grenoble, France",Europe,1,RUMCRI_EU03
12,RUMCRI,30,20.7,EU05,"Europe--Grenoble, France",Europe,1,RUMCRI_EU05
10,TAROFF,30,20.7,EU11,"Europe--Arna, Norway",Europe,1,TAROFF_EU11
6,PLAMAJ,30,20.7,US25,USA--Walden,USA,1,PLAMAJ_US25
6,PLAMAJ,30,20.7,US205,USA--Arnold Arboretum ,USA,1,PLAMAJ_US205
6,PLAMAJ,30,20.7,EU01,"Europe--Schaan, Liechtenstein",Europe,1,PLAMAJ_EU01
NA,PLALAN,30,20.7,EU28,"Europe--Zell Am See, Austria",Europe,0,PLALAN_EU28
6,PLALAN,30,20.7,EU39,"Europe--Just below Enzianhutte, above Zell Am See, Austria",Europe,1,PLALAN_EU39
6,PLALAN,30,20.7,EU22,"Europe--Copenhagen, Denmark",Europe,1,PLALAN_EU22
6,PLALAN,30,20.7,EU49,"Europe--Podhom, Slovenia",Europe,1,PLALAN_EU49
NA,CHEMAJ,30,20.7,EU29,"Europe--Grenoble, France",Europe,0,CHEMAJ_EU29
10,RUMCRI,30,20.7,EU03,"Europe--Grenoble, France",Europe,1,RUMCRI_EU03
12,TAROFF,30,20.7,EU01,"Europe--Grenoble, France",Europe,1,TAROFF_EU01
10,TAROFF,30,20.7,EU11,"Europe--Arna, Norway",Europe,1,TAROFF_EU11
6,PLAMAJ,30,20.7,US25,USA--Walden,USA,1,PLAMAJ_US25
6,PLAMAJ,30,20.7,US205,USA--Arnold Arboretum ,USA,1,PLAMAJ_US205
NA,PLALAN,30,20.7,EU29,"Europe--Zell Am See, Austria",Europe,0,PLALAN_EU29
4,PLALAN,30,20.7,EU40,"Europe--Just below Enzianhutte, above Zell Am See, Austria",Europe,1,PLALAN_EU40
8,PLALAN,30,20.7,EU22,"Europe--Copenhagen, Denmark",Europe,1,PLALAN_EU22
NA,PLALAN,30,20.7,EU52,"Europe--Podhom, Slovenia",Europe,0,PLALAN_EU52
NA,CHEMAJ,30,20.7,EU29,"Europe--Grenoble, France",Europe,0,CHEMAJ_EU29
30,RUMCRI,30,20.7,EU05,"Europe--Grenoble, France",Europe,1,RUMCRI_EU05
NA,TAROFF,30,20.7,EU01,"Europe--Grenoble, France",Europe,0,TAROFF_EU01
6,TAROFF,30,20.7,EU11,"Europe--Arna, Norway",Europe,1,TAROFF_EU11
6,PLAMAJ,30,20.7,US25,USA--Walden,USA,1,PLAMAJ_US25
6,PLAMAJ,30,20.7,EU01,"Europe--Schaan, Liechtenstein",Europe,1,PLAMAJ_EU01
NA,PLALAN,30,20.7,EU34,"Europe--Zell Am See, Austria",Europe,0,PLALAN_EU34
4,PLALAN,30,20.7,EU41,"Europe--Just below Enzianhutte, above Zell Am See, Austria",Europe,1,PLALAN_EU41
6,PLALAN,30,20.7,EU42,"Europe--Just below Enzianhutte, above Zell Am See, Austria",Europe,1,PLALAN_EU42
4,PLALAN,30,20.7,EU53,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU53
NA,RUMCRI,30,20.7,EU03,"Europe--Grenoble, France",Europe,0,RUMCRI_EU03
10,RUMCRI,30,20.7,EU05,"Europe--Grenoble, France",Europe,1,RUMCRI_EU05
10,TAROFF,30,20.7,EU01,"Europe--Grenoble, France",Europe,1,TAROFF_EU01
NA,TAROFF,30,20.7,EU11,"Europe--Arna, Norway",Europe,0,TAROFF_EU11
8,PLAMAJ,30,20.7,US25,USA--Walden,USA,1,PLAMAJ_US25
6,PLAMAJ,30,25.3,US205,USA--Arnold Arboretum ,USA,1,PLAMAJ_US205
10,PLAMAJ,30,25.3,EU01,"Europe--Schaan, Liechtenstein",Europe,1,PLAMAJ_EU01
NA,PLALAN,30,25.3,EU20,"Europe--Copenhagen, Denmark",Europe,0,PLALAN_EU20
NA,PLALAN,30,25.3,EU35,"Europe--Zell Am See, Austria",Europe,0,PLALAN_EU35
