daysfromstart,sp,strat,temp,individual,location,origin,germinated,uniqind
4,TAROFF,60,20.7,US02,USA--Harvard Forest,USA,1,TAROFF_US02
NA,PLALAN,60,11.3,US05,USA--Walden,USA,0,PLALAN_US05
8,PLALAN,60,11.3,US25,USA--Arnold Arboretum ,USA,1,PLALAN_US25
33,PLALAN,60,11.3,US27,USA--Arnold Arboretum ,USA,1,PLALAN_US27
NA,PLALAN,60,11.3,US20,USA--Arnold Arboretum ,USA,0,PLALAN_US20
8,PLALAN,60,11.3,US25,USA--Arnold Arboretum ,USA,1,PLALAN_US25
33,PLALAN,60,11.3,US27,USA--Arnold Arboretum ,USA,1,PLALAN_US27
10,PLALAN,60,11.3,US01,USA--Walden,USA,1,PLALAN_US01
8,PLALAN,60,11.3,US21,USA--Arnold Arboretum ,USA,1,PLALAN_US21
8,PLALAN,60,11.3,US25,USA--Arnold Arboretum ,USA,1,PLALAN_US25
8,PLALAN,60,11.3,US27,USA--Arnold Arboretum ,USA,1,PLALAN_US27
10,PLALAN,60,11.3,US02,USA--Walden,USA,1,PLALAN_US02
NA,PLALAN,60,11.3,US24,USA--Arnold Arboretum ,USA,0,PLALAN_US24
10,PLALAN,60,11.3,US25,USA--Arnold Arboretum ,USA,1,PLALAN_US25
10,PLALAN,60,11.3,US27,USA--Arnold Arboretum ,USA,1,PLALAN_US27
10,PLALAN,60,11.3,US03,USA--Walden,USA,1,PLALAN_US03
12,PLALAN,60,11.3,US25,USA--Arnold Arboretum ,USA,1,PLALAN_US25
10,PLALAN,60,11.3,US27,USA--Arnold Arboretum ,USA,1,PLALAN_US27
20,PLALAN,60,11.3,US03,USA--Walden,USA,1,PLALAN_US03
NA,PLALAN,60,11.3,US25,USA--Arnold Arboretum ,USA,0,PLALAN_US25
11,PLALAN,60,11.3,US27,USA--Arnold Arboretum ,USA,1,PLALAN_US27
12,TAROFF,60,25.3,US02,USA--Harvard Forest,USA,1,TAROFF_US02
8,TAROFF,60,25.3,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
4,DACGLO,60,25.3,US01,USA--Harvard Forest,USA,1,DACGLO_US01
NA,CAPBUR,60,25.3,US01,USA--Harvard Forest,USA,0,CAPBUR_US01
NA,CAPBUR,60,25.3,US02,USA--Harvard Forest,USA,0,CAPBUR_US02
30,CHEMAJ,60,25.3,US06,USA--Walden,USA,1,CHEMAJ_US06
14,CHEMAJ,60,25.3,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
12,RUMCRI,60,25.3,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
6,TAROFF,60,25.3,US02,USA--Harvard Forest,USA,1,TAROFF_US02
8,TAROFF,60,25.3,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
6,DACGLO,60,25.3,US01,USA--Harvard Forest,USA,1,DACGLO_US01
NA,CAPBUR,60,25.3,US01,USA--Harvard Forest,USA,0,CAPBUR_US01
NA,CAPBUR,60,25.3,US02,USA--Harvard Forest,USA,0,CAPBUR_US02
22,CHEMAJ,60,25.3,US06,USA--Walden,USA,1,CHEMAJ_US06
14,RUMCRI,60,25.3,US01,USA--Walden,USA,1,RUMCRI_US01
10,RUMCRI,60,25.3,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
8,TAROFF,60,25.3,US02,USA--Harvard Forest,USA,1,TAROFF_US02
6,TAROFF,60,25.3,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
NA,CAPBUR,60,25.3,US01,USA--Harvard Forest,USA,0,CAPBUR_US01
NA,CAPBUR,60,25.3,US02,USA--Harvard Forest,USA,0,CAPBUR_US02
49,CHEMAJ,60,25.3,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
36,RUMCRI,60,25.3,US01,USA--Walden,USA,1,RUMCRI_US01
8,RUMCRI,60,25.3,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
10,TAROFF,60,25.3,US02,USA--Harvard Forest,USA,1,TAROFF_US02
6,DACGLO,60,25.3,US01,USA--Harvard Forest,USA,1,DACGLO_US01
NA,CAPBUR,60,25.3,US01,USA--Harvard Forest,USA,0,CAPBUR_US01
NA,CAPBUR,60,25.3,US02,USA--Harvard Forest,USA,0,CAPBUR_US02
24,CHEMAJ,60,25.3,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
36,RUMCRI,60,25.3,US01,USA--Walden,USA,1,RUMCRI_US01
12,RUMCRI,60,25.3,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
10,TAROFF,60,25.3,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
6,DACGLO,60,25.3,US01,USA--Harvard Forest,USA,1,DACGLO_US01
8,CAPBUR,60,25.3,US01,USA--Harvard Forest,USA,1,CAPBUR_US01
24,CHEMAJ,60,25.3,US06,USA--Walden,USA,1,CHEMAJ_US06
16,CHEMAJ,60,25.3,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
6,RUMCRI,60,25.3,US01,USA--Walden,USA,1,RUMCRI_US01
10,RUMCRI,60,25.3,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
12,TAROFF,60,25.3,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
6,DACGLO,60,25.3,US01,USA--Harvard Forest,USA,1,DACGLO_US01
NA,CAPBUR,60,25.3,US02,USA--Harvard Forest,USA,0,CAPBUR_US02
30,CHEMAJ,60,25.3,US06,USA--Walden,USA,1,CHEMAJ_US06
30,CHEMAJ,60,25.3,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
30,RUMCRI,60,25.3,US01,USA--Walden,USA,1,RUMCRI_US01
6,TAROFF,60,25.3,US02,USA--Harvard Forest,USA,1,TAROFF_US02
10,DACGLO,30,11.3,EU06,"Europe--Bois de Boulogne, Paris, France",Europe,1,DACGLO_EU06
NA,PLALAN,30,11.3,EU04,"Europe--Bois de Boulogne, Paris, France",Europe,0,PLALAN_EU04
16,PLALAN,30,11.3,EU11,"Europe--Vlieland, The Netherlands",Europe,1,PLALAN_EU11
28,PLALAN,30,11.3,EU19,"Europe--Copenhagen, Denmark",Europe,1,PLALAN_EU19
22,PLAMED,30,11.3,EU05,"Europe--Le Tretien, Switzerland",Europe,1,PLAMED_EU05
NA,PLAMED,30,11.3,EU12,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU12
6,TAROFF,60,11.3,EU11,"Europe--Arna, Norway",Europe,1,TAROFF_EU11
NA,CAPBUR,30,11.3,EU13,"Europe--Copenhagen, Denmark",Europe,0,CAPBUR_EU13
6,PLACOR,30,11.3,EU01,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU01
10,DACGLO,30,11.3,EU06,"Europe--Bois de Boulogne, Paris, France",Europe,1,DACGLO_EU06
10,PLALAN,30,11.3,EU05,"Europe--Bois de Boulogne, Paris, France",Europe,1,PLALAN_EU05
NA,PLALAN,30,11.3,EU13,"Europe--Leer, Germany",Europe,0,PLALAN_EU13
12,PLAMAJ,30,11.3,EU08,"Europe--Grenoble, France",Europe,1,PLAMAJ_EU08
NA,PLAMED,30,11.3,EU05,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU05
NA,PLAMED,30,11.3,EU12,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU12
NA,TAROFF,60,11.3,EU11,"Europe--Arna, Norway",Europe,0,TAROFF_EU11
NA,CAPBUR,30,11.3,EU13,"Europe--Copenhagen, Denmark",Europe,0,CAPBUR_EU13
12,PLACOR,30,11.3,EU04,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU04
NA,DACGLO,30,11.3,EU06,"Europe--Bois de Boulogne, Paris, France",Europe,0,DACGLO_EU06
16,PLALAN,30,11.3,EU06,"Europe--Vlieland, The Netherlands",Europe,1,PLALAN_EU06
NA,PLALAN,30,11.3,EU14,"Europe--Leer, Germany",Europe,0,PLALAN_EU14
12,PLAMAJ,30,11.3,EU08,"Europe--Grenoble, France",Europe,1,PLAMAJ_EU08
NA,PLAMED,30,11.3,EU05,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU05
NA,PLAMED,30,11.3,EU12,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU12
NA,TAROFF,60,11.3,EU11,"Europe--Arna, Norway",Europe,0,TAROFF_EU11
6,PLACOR,30,11.3,EU01,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU01
8,PLACOR,30,11.3,EU04,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU04
NA,DACGLO,30,11.3,EU06,"Europe--Bois de Boulogne, Paris, France",Europe,0,DACGLO_EU06
NA,PLALAN,30,11.3,EU01,"Europe--Bois de Boulogne, Paris, France",Europe,0,PLALAN_EU01
NA,PLALAN,30,11.3,EU07,"Europe--Vlieland, The Netherlands",Europe,0,PLALAN_EU07
NA,PLALAN,30,11.3,EU15,"Europe--Leer, Germany",Europe,0,PLALAN_EU15
12,PLAMAJ,30,11.3,EU08,"Europe--Grenoble, France",Europe,1,PLAMAJ_EU08
NA,PLAMED,30,11.3,EU05,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU05
67,PLAMED,30,11.3,EU12,"Europe--Le Tretien, Switzerland",Europe,1,PLAMED_EU12
NA,CAPBUR,30,11.3,EU13,"Europe--Copenhagen, Denmark",Europe,0,CAPBUR_EU13
6,PLACOR,30,11.3,EU01,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU01
12,PLACOR,30,11.3,EU04,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU04
4,DACGLO,30,11.3,EU06,"Europe--Bois de Boulogne, Paris, France",Europe,1,DACGLO_EU06
10,PLALAN,30,11.3,EU02,"Europe--Bois de Boulogne, Paris, France",Europe,1,PLALAN_EU02
14,PLALAN,30,11.3,EU08,"Europe--Vlieland, The Netherlands",Europe,1,PLALAN_EU08
12,PLALAN,30,11.3,EU17,"Europe--Leer, Germany",Europe,1,PLALAN_EU17
12,PLAMAJ,30,11.3,EU08,"Europe--Grenoble, France",Europe,1,PLAMAJ_EU08
NA,PLAMED,30,11.3,EU05,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU05
4,TAROFF,60,11.3,EU11,"Europe--Arna, Norway",Europe,1,TAROFF_EU11
NA,CAPBUR,30,11.3,EU13,"Europe--Copenhagen, Denmark",Europe,0,CAPBUR_EU13
6,PLACOR,30,11.3,EU01,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU01
NA,PLACOR,30,11.3,EU04,"Europe--Vlieland, The Netherlands",Europe,0,PLACOR_EU04
14,PLALAN,30,11.3,EU03,"Europe--Bois de Boulogne, Paris, France",Europe,1,PLALAN_EU03
NA,PLALAN,30,11.3,EU09,"Europe--Vlieland, The Netherlands",Europe,0,PLALAN_EU09
49,PLALAN,30,11.3,EU18,"Europe--Copenhagen, Denmark",Europe,1,PLALAN_EU18
10,PLAMAJ,30,11.3,EU08,"Europe--Grenoble, France",Europe,1,PLAMAJ_EU08
NA,PLAMED,30,11.3,EU12,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU12
4,TAROFF,60,11.3,EU11,"Europe--Arna, Norway",Europe,1,TAROFF_EU11
NA,CAPBUR,30,11.3,EU13,"Europe--Copenhagen, Denmark",Europe,0,CAPBUR_EU13
4,PLACOR,30,11.3,EU01,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU01
8,PLACOR,30,11.3,EU04,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU04
6,DACGLO,30,16,EU06,"Europe--Bois de Boulogne, Paris, France",Europe,1,DACGLO_EU06
NA,PLALAN,30,16,EU04,"Europe--Bois de Boulogne, Paris, France",Europe,0,PLALAN_EU04
10,PLALAN,30,16,EU11,"Europe--Vlieland, The Netherlands",Europe,1,PLALAN_EU11
16,PLALAN,30,16,EU19,"Europe--Copenhagen, Denmark",Europe,1,PLALAN_EU19
NA,PLAMED,30,16,EU05,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU05
24,PLAMED,30,16,EU12,"Europe--Le Tretien, Switzerland",Europe,1,PLAMED_EU12
6,TAROFF,60,16,EU11,"Europe--Arna, Norway",Europe,1,TAROFF_EU11
NA,CAPBUR,30,16,EU13,"Europe--Copenhagen, Denmark",Europe,0,CAPBUR_EU13
12,PLACOR,30,16,EU01,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU01
10,DACGLO,30,16,EU06,"Europe--Bois de Boulogne, Paris, France",Europe,1,DACGLO_EU06
10,PLALAN,30,16,EU05,"Europe--Bois de Boulogne, Paris, France",Europe,1,PLALAN_EU05
NA,PLALAN,30,16,EU13,"Europe--Leer, Germany",Europe,0,PLALAN_EU13
8,PLAMAJ,30,16,EU08,"Europe--Grenoble, France",Europe,1,PLAMAJ_EU08
NA,PLAMED,30,16,EU05,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU05
NA,PLAMED,30,16,EU12,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU12
10,TAROFF,60,16,EU11,"Europe--Arna, Norway",Europe,1,TAROFF_EU11
NA,CAPBUR,30,16,EU13,"Europe--Copenhagen, Denmark",Europe,0,CAPBUR_EU13
8,PLACOR,30,16,EU04,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU04
10,DACGLO,30,16,EU06,"Europe--Bois de Boulogne, Paris, France",Europe,1,DACGLO_EU06
8,PLALAN,30,16,EU06,"Europe--Vlieland, The Netherlands",Europe,1,PLALAN_EU06
NA,PLALAN,30,16,EU14,"Europe--Leer, Germany",Europe,0,PLALAN_EU14
8,PLAMAJ,30,16,EU08,"Europe--Grenoble, France",Europe,1,PLAMAJ_EU08
NA,PLAMED,30,16,EU05,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU05
24,PLAMED,30,16,EU12,"Europe--Le Tretien, Switzerland",Europe,1,PLAMED_EU12
29,TAROFF,60,16,EU11,"Europe--Arna, Norway",Europe,1,TAROFF_EU11
6,PLACOR,30,16,EU01,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU01
6,PLACOR,30,16,EU04,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU04
6,DACGLO,30,16,EU06,"Europe--Bois de Boulogne, Paris, France",Europe,1,DACGLO_EU06
NA,PLALAN,30,16,EU01,"Europe--Bois de Boulogne, Paris, France",Europe,0,PLALAN_EU01
10,PLALAN,30,16,EU07,"Europe--Vlieland, The Netherlands",Europe,1,PLALAN_EU07
22,PLALAN,30,16,EU15,"Europe--Leer, Germany",Europe,1,PLALAN_EU15
10,PLAMAJ,30,16,EU08,"Europe--Grenoble, France",Europe,1,PLAMAJ_EU08
NA,PLAMED,30,16,EU05,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU05
NA,PLAMED,30,16,EU12,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU12
NA,CAPBUR,30,16,EU13,"Europe--Copenhagen, Denmark",Europe,0,CAPBUR_EU13
4,PLACOR,30,16,EU01,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU01
6,PLACOR,30,16,EU04,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU04
10,DACGLO,30,16,EU06,"Europe--Bois de Boulogne, Paris, France",Europe,1,DACGLO_EU06
14,PLALAN,30,16,EU02,"Europe--Bois de Boulogne, Paris, France",Europe,1,PLALAN_EU02
12,PLALAN,30,16,EU08,"Europe--Vlieland, The Netherlands",Europe,1,PLALAN_EU08
NA,PLALAN,30,16,EU17,"Europe--Leer, Germany",Europe,0,PLALAN_EU17
8,PLAMAJ,30,16,EU08,"Europe--Grenoble, France",Europe,1,PLAMAJ_EU08
NA,PLAMED,30,16,EU05,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU05
NA,TAROFF,60,16,EU11,"Europe--Arna, Norway",Europe,0,TAROFF_EU11
NA,CAPBUR,30,16,EU13,"Europe--Copenhagen, Denmark",Europe,0,CAPBUR_EU13
4,PLACOR,30,16,EU01,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU01
6,PLACOR,30,16,EU04,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU04
12,PLALAN,30,16,EU03,"Europe--Bois de Boulogne, Paris, France",Europe,1,PLALAN_EU03
12,PLALAN,30,16,EU09,"Europe--Vlieland, The Netherlands",Europe,1,PLALAN_EU09
NA,PLALAN,30,16,EU18,"Europe--Copenhagen, Denmark",Europe,0,PLALAN_EU18
10,PLAMAJ,30,16,EU08,"Europe--Grenoble, France",Europe,1,PLAMAJ_EU08
NA,PLAMED,30,16,EU12,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU12
8,TAROFF,60,16,EU11,"Europe--Arna, Norway",Europe,1,TAROFF_EU11
16,CAPBUR,30,16,EU13,"Europe--Copenhagen, Denmark",Europe,1,CAPBUR_EU13
6,PLACOR,30,16,EU01,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU01
6,PLACOR,30,16,EU04,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU04
NA,DACGLO,30,20.7,EU06,"Europe--Bois de Boulogne, Paris, France",Europe,0,DACGLO_EU06
NA,PLALAN,30,20.7,EU04,"Europe--Bois de Boulogne, Paris, France",Europe,0,PLALAN_EU04
NA,PLALAN,30,20.7,EU11,"Europe--Vlieland, The Netherlands",Europe,0,PLALAN_EU11
NA,PLALAN,30,20.7,EU19,"Europe--Copenhagen, Denmark",Europe,0,PLALAN_EU19
NA,PLAMED,30,20.7,EU05,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU05
NA,PLAMED,30,20.7,EU12,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU12
10,TAROFF,60,20.7,EU11,"Europe--Arna, Norway",Europe,1,TAROFF_EU11
67,CAPBUR,30,20.7,EU13,"Europe--Copenhagen, Denmark",Europe,1,CAPBUR_EU13
67,PLACOR,30,20.7,EU01,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU01
6,DACGLO,30,20.7,EU06,"Europe--Bois de Boulogne, Paris, France",Europe,1,DACGLO_EU06
6,PLALAN,30,20.7,EU05,"Europe--Bois de Boulogne, Paris, France",Europe,1,PLALAN_EU05
NA,PLALAN,30,20.7,EU13,"Europe--Leer, Germany",Europe,0,PLALAN_EU13
6,PLAMAJ,30,20.7,EU08,"Europe--Grenoble, France",Europe,1,PLAMAJ_EU08
NA,PLAMED,30,20.7,EU05,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU05
NA,PLAMED,30,20.7,EU12,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU12
8,TAROFF,60,20.7,EU11,"Europe--Arna, Norway",Europe,1,TAROFF_EU11
6,CAPBUR,30,20.7,EU13,"Europe--Copenhagen, Denmark",Europe,1,CAPBUR_EU13
NA,PLACOR,30,20.7,EU04,"Europe--Vlieland, The Netherlands",Europe,0,PLACOR_EU04
10,DACGLO,30,20.7,EU06,"Europe--Bois de Boulogne, Paris, France",Europe,1,DACGLO_EU06
6,PLALAN,30,20.7,EU06,"Europe--Vlieland, The Netherlands",Europe,1,PLALAN_EU06
NA,PLALAN,30,20.7,EU14,"Europe--Leer, Germany",Europe,0,PLALAN_EU14
6,PLAMAJ,30,20.7,EU08,"Europe--Grenoble, France",Europe,1,PLAMAJ_EU08
NA,PLAMED,30,20.7,EU05,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU05
NA,PLAMED,30,20.7,EU12,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU12
6,TAROFF,60,20.7,EU11,"Europe--Arna, Norway",Europe,1,TAROFF_EU11
12,PLACOR,30,20.7,EU01,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU01
NA,PLACOR,30,20.7,EU04,"Europe--Vlieland, The Netherlands",Europe,0,PLACOR_EU04
6,DACGLO,30,20.7,EU06,"Europe--Bois de Boulogne, Paris, France",Europe,1,DACGLO_EU06
NA,PLALAN,30,20.7,EU01,"Europe--Bois de Boulogne, Paris, France",Europe,0,PLALAN_EU01
6,PLALAN,30,20.7,EU07,"Europe--Vlieland, The Netherlands",Europe,1,PLALAN_EU07
NA,PLALAN,30,20.7,EU15,"Europe--Leer, Germany",Europe,0,PLALAN_EU15
6,PLAMAJ,30,20.7,EU08,"Europe--Grenoble, France",Europe,1,PLAMAJ_EU08
NA,PLAMED,30,20.7,EU05,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU05
NA,PLAMED,30,20.7,EU12,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU12
67,CAPBUR,30,20.7,EU13,"Europe--Copenhagen, Denmark",Europe,1,CAPBUR_EU13
6,PLACOR,30,20.7,EU01,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU01
8,PLACOR,30,20.7,EU04,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU04
NA,DACGLO,30,20.7,EU06,"Europe--Bois de Boulogne, Paris, France",Europe,0,DACGLO_EU06
10,PLALAN,30,20.7,EU02,"Europe--Bois de Boulogne, Paris, France",Europe,1,PLALAN_EU02
11,PLALAN,30,20.7,EU08,"Europe--Vlieland, The Netherlands",Europe,1,PLALAN_EU08
12,PLALAN,30,20.7,EU17,"Europe--Leer, Germany",Europe,1,PLALAN_EU17
6,PLAMAJ,30,20.7,EU08,"Europe--Grenoble, France",Europe,1,PLAMAJ_EU08
NA,PLAMED,30,20.7,EU05,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU05
NA,TAROFF,60,20.7,EU11,"Europe--Arna, Norway",Europe,0,TAROFF_EU11
NA,CAPBUR,30,20.7,EU13,"Europe--Copenhagen, Denmark",Europe,0,CAPBUR_EU13
6,PLACOR,30,20.7,EU01,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU01
8,PLACOR,30,20.7,EU04,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU04
NA,PLALAN,30,20.7,EU03,"Europe--Bois de Boulogne, Paris, France",Europe,0,PLALAN_EU03
10,PLALAN,30,20.7,EU09,"Europe--Vlieland, The Netherlands",Europe,1,PLALAN_EU09
8,PLALAN,30,20.7,EU18,"Europe--Copenhagen, Denmark",Europe,1,PLALAN_EU18
8,PLAMAJ,30,20.7,EU08,"Europe--Grenoble, France",Europe,1,PLAMAJ_EU08
NA,PLAMED,30,20.7,EU12,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU12
6,TAROFF,60,20.7,EU11,"Europe--Arna, Norway",Europe,1,TAROFF_EU11
4,CAPBUR,30,20.7,EU13,"Europe--Copenhagen, Denmark",Europe,1,CAPBUR_EU13
10,PLACOR,30,20.7,EU01,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU01
12,PLACOR,30,20.7,EU04,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU04
NA,DACGLO,30,25.3,EU06,"Europe--Bois de Boulogne, Paris, France",Europe,0,DACGLO_EU06
NA,PLALAN,30,25.3,EU04,"Europe--Bois de Boulogne, Paris, France",Europe,0,PLALAN_EU04
6,PLALAN,30,25.3,EU11,"Europe--Vlieland, The Netherlands",Europe,1,PLALAN_EU11
6,PLALAN,30,25.3,EU19,"Europe--Copenhagen, Denmark",Europe,1,PLALAN_EU19
NA,PLAMED,30,25.3,EU05,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU05
NA,PLAMED,30,25.3,EU12,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU12
4,TAROFF,60,25.3,EU11,"Europe--Arna, Norway",Europe,1,TAROFF_EU11
10,CAPBUR,30,25.3,EU13,"Europe--Copenhagen, Denmark",Europe,1,CAPBUR_EU13
6,PLACOR,30,25.3,EU01,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU01
6,DACGLO,30,25.3,EU06,"Europe--Bois de Boulogne, Paris, France",Europe,1,DACGLO_EU06
4,PLALAN,30,25.3,EU05,"Europe--Bois de Boulogne, Paris, France",Europe,1,PLALAN_EU05
NA,PLALAN,30,25.3,EU13,"Europe--Leer, Germany",Europe,0,PLALAN_EU13
6,PLAMAJ,30,25.3,EU08,"Europe--Grenoble, France",Europe,1,PLAMAJ_EU08
NA,PLAMED,30,25.3,EU05,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU05
NA,PLAMED,30,25.3,EU12,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU12
4,TAROFF,60,25.3,EU11,"Europe--Arna, Norway",Europe,1,TAROFF_EU11
49,CAPBUR,30,25.3,EU13,"Europe--Copenhagen, Denmark",Europe,1,CAPBUR_EU13
4,PLACOR,30,25.3,EU04,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU04
NA,DACGLO,30,25.3,EU06,"Europe--Bois de Boulogne, Paris, France",Europe,0,DACGLO_EU06
6,PLALAN,30,25.3,EU06,"Europe--Vlieland, The Netherlands",Europe,1,PLALAN_EU06
NA,PLALAN,30,25.3,EU14,"Europe--Leer, Germany",Europe,0,PLALAN_EU14
8,PLAMAJ,30,25.3,EU08,"Europe--Grenoble, France",Europe,1,PLAMAJ_EU08
NA,PLAMED,30,25.3,EU05,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU05
NA,PLAMED,30,25.3,EU12,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU12
4,TAROFF,60,25.3,EU11,"Europe--Arna, Norway",Europe,1,TAROFF_EU11
NA,PLACOR,30,25.3,EU01,"Europe--Vlieland, The Netherlands",Europe,0,PLACOR_EU01
6,PLACOR,30,25.3,EU04,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU04
6,DACGLO,30,25.3,EU06,"Europe--Bois de Boulogne, Paris, France",Europe,1,DACGLO_EU06
NA,PLALAN,30,25.3,EU01,"Europe--Bois de Boulogne, Paris, France",Europe,0,PLALAN_EU01
NA,PLALAN,30,25.3,EU07,"Europe--Vlieland, The Netherlands",Europe,0,PLALAN_EU07
10,PLALAN,30,25.3,EU15,"Europe--Leer, Germany",Europe,1,PLALAN_EU15
6,PLAMAJ,30,25.3,EU08,"Europe--Grenoble, France",Europe,1,PLAMAJ_EU08
NA,PLAMED,30,25.3,EU05,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU05
NA,PLAMED,30,25.3,EU12,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU12
NA,CAPBUR,30,25.3,EU13,"Europe--Copenhagen, Denmark",Europe,0,CAPBUR_EU13
NA,PLACOR,30,25.3,EU01,"Europe--Vlieland, The Netherlands",Europe,0,PLACOR_EU01
6,PLACOR,30,25.3,EU04,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU04
6,DACGLO,30,25.3,EU06,"Europe--Bois de Boulogne, Paris, France",Europe,1,DACGLO_EU06
NA,PLALAN,30,25.3,EU02,"Europe--Bois de Boulogne, Paris, France",Europe,0,PLALAN_EU02
6,PLALAN,30,25.3,EU08,"Europe--Vlieland, The Netherlands",Europe,1,PLALAN_EU08
NA,PLALAN,30,25.3,EU17,"Europe--Leer, Germany",Europe,0,PLALAN_EU17
6,PLAMAJ,30,25.3,EU08,"Europe--Grenoble, France",Europe,1,PLAMAJ_EU08
NA,PLAMED,30,25.3,EU05,"Europe--Le Tretien, Switzerland",Europe,0,PLAMED_EU05
NA,TAROFF,60,25.3,EU11,"Europe--Arna, Norway",Europe,0,TAROFF_EU11
NA,CAPBUR,30,25.3,EU13,"Europe--Copenhagen, Denmark",Europe,0,CAPBUR_EU13
4,PLACOR,30,25.3,EU01,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU01
6,PLACOR,30,25.3,EU04,"Europe--Vlieland, The Netherlands",Europe,1,PLACOR_EU04
