species,collection,Source,day_length_sensitivity,degree days 8h day length,degree days 16h day length
Pinus wallichiana,C3,Laube et al. 2014,Low,275,260
Populus koreana,C1,This study,None,332.291,287
Populus koreana,C2,This study,None,299.351,287
Populus koreana,C3,This study,None,,
Populus tremula,C1,Laube et al. 2014,Low,580,460
Populus tremula,C2,Laube et al. 2014,Low,430,430
Populus tremula,C3,Laube et al. 2014,Low,305,305
Prinsepia sinensis,C1,This study,None,80,73
Prinsepia sinensis,C2,This study,None,,
Prinsepia sinensis,C3,This study,None,,
Prinsepia uniflora,C1,This study,None,142,141
Prinsepia uniflora,C2,This study,None,157,162
Prinsepia uniflora,C3,This study,None,,
Prunus avium,C1,Laube et al. 2014,Low,460,365
Prunus avium,C2,Laube et al. 2014,Low,230,240
Prunus avium,C3,Laube et al. 2014,Low,195,205
Prunus cerasifera,C1,This study,None,224.273,227
Prunus cerasifera,C2,This study,None,299.351,301
Prunus cerasifera,C3,This study,None,,
Prunus padus,C1,This study,None,350.315,347
Prunus padus,C2,This study,None,356.74,332
Prunus padus,C3,This study,None,,
Prunus serotina,C1,Laube et al. 2014,None,510,460
Prunus serotina,C2,Laube et al. 2014,None,225,200
Prunus serotina,C3,Laube et al. 2014,None,195,205
Prunus serrulata,C1,This study,None,492.406,508
Prunus serrulata,C2,This study,None,429.342,466
Prunus serrulata,C3,This study,None,,
Prunus tenella,C1,This study,None,350.315,307
Prunus tenella,C2,This study,None,429.342,393
Prunus tenella,C3,This study,None,,
Pseudotsuga menziesii,C1,Laube et al. 2014,None,590,570
Pseudotsuga menziesii,C2,Laube et al. 2014,None,355,395
Pseudotsuga menziesii,C3,Laube et al. 2014,None,360,360
Ptelea trifoliata,C1,This study,None,670.72,663
Ptelea trifoliata,C2,This study,None,579.864,542
Ptelea trifoliata,C3,This study,None,660.987,622
Pyrus elaeagnifolia,C1,This study,None,629,601
Pyrus elaeagnifolia,C2,This study,None,366,335
Pyrus elaeagnifolia,C3,This study,None,353,344
Pyrus pyrifolia,C1,This study,Low,421.379,287
Pyrus pyrifolia,C2,This study,Low,443.275,423
Pyrus pyrifolia,C3,This study,Low,,
Pyrus ussuriensis,C1,This study,None,269,267
Pyrus ussuriensis,C2,This study,None,214,209
Pyrus ussuriensis,C3,This study,None,,
Quercus bicolor,C1,Laube et al. 2014,Low,670,510
Quercus bicolor,C2,Laube et al. 2014,Low,475,440
Quercus bicolor,C3,Laube et al. 2014,Low,305,310
Quercus robur,C1,This study,Low,728.27,625.842
Quercus robur,C2,This study,Low,725,683.349
Quercus robur,C3,This study,Low,660.987,638.256
Quercus rubra,C1,Laube et al. 2014,High,0,0
Quercus rubra,C2,Laube et al. 2014,High,630,560
Quercus rubra,C3,Laube et al. 2014,High,350,340
Quercus shumardii,C1,This study,Low,1129.412,985
Quercus shumardii,C2,This study,Low,622.453,604
Quercus shumardii,C3,This study,Low,564.19,549
Rhamnus alpina,C1,This study,None,949,1040
Rhamnus alpina,C2,This study,None,612,623
Rhamnus alpina,C3,This study,None,455,427
Rhamnus cathartica,C1,This study,None,737,694
Rhamnus cathartica,C2,This study,None,474,461
Rhamnus cathartica,C3,This study,None,469,474
Rhododendron canadense,C1,This study,None,457.095,428
Rhododendron canadense,C2,This study,None,471.117,496
Rhododendron canadense,C3,This study,None,579.86,604
Rhododendron dauricum,C1,This study,None,350.315,448
Rhododendron dauricum,C2,This study,None,429.342,496
Rhododendron dauricum,C3,This study,None,,
Rhododendron mucronulatum,C1,This study,None,142,141
Rhododendron mucronulatum,C2,This study,None,171,194
Rhododendron mucronulatum,C3,This study,None,,
Ribes alpinum,C1,This study,None,389,345
Ribes alpinum,C2,This study,None,171,162
Ribes alpinum,C3,This study,None,,
Ribes divaricatum,C1,This study,Low,868,663
Ribes divaricatum,C2,This study,Low,244,256
Ribes divaricatum,C3,This study,Low,,
Ribes glaciale,C1,This study,None,184,167
Ribes glaciale,C2,This study,None,157,162
Ribes glaciale,C3,This study,None,147,147
Robinia pseudoacacia,C1,Laube et al. 2014,None,440,440
Robinia pseudoacacia,C2,Laube et al. 2014,None,260,250
Robinia pseudoacacia,C3,Laube et al. 2014,None,280,300
Rosa hugonis,C1,This study,None,255,224
Rosa hugonis,C2,This study,None,200,209
Rosa hugonis,C3,This study,None,,
Rosa majalis,C1,This study,None,198,195
Rosa majalis,C2,This study,None,214,209
Rosa majalis,C3,This study,None,265,266
Salix gracilistyla,C1,This study,None,277.665,307
Salix gracilistyla,C2,This study,None,299.351,287
Salix gracilistyla,C3,This study,None,,
Salix repens,C1,This study,None,825,820
Salix repens,C2,This study,None,585,557
Salix repens,C3,This study,None,400,377
Sambucus nigra,C1,This study,None,332.291,327
Sambucus nigra,C2,This study,None,226.374,242
Sambucus nigra,C3,This study,None,,
Sambucus pubens,C1,This study,None,464,450
Sambucus pubens,C2,This study,None,214,209
Sambucus pubens,C3,This study,None,,
Sambucus tigranii,C1,This study,None,464,450
Sambucus tigranii,C2,This study,None,228,225
Sambucus tigranii,C3,This study,None,,
Sinowilsonia henryi,C1,This study,Low,562.687,428
Sinowilsonia henryi,C2,This study,Low,429.342,393
Sinowilsonia henryi,C3,This study,Low,490.292,498
Sorbus aria,C1,This study,None,1061,1087
Sorbus aria,C2,This study,None,669,638
Sorbus aria,C3,This study,None,532,509
Sorbus commixta,C1,This study,None,449,420
Sorbus commixta,C2,This study,None,324,302
Sorbus commixta,C3,This study,None,309,311
Sorbus decora,C1,This study,None,647,632
Sorbus decora,C2,This study,None,420,382
Sorbus decora,C3,This study,None,427,410
Spiraea canescens,C1,This study,None,329,300
Spiraea canescens,C2,This study,None,244,225
Spiraea canescens,C3,This study,None,,
Spiraea chamaedryfolia,C1,This study,None,314,330
Spiraea chamaedryfolia,C2,This study,None,185,194
Spiraea chamaedryfolia,C3,This study,None,309,297
Spiraea japonica,C1,This study,None,344,360
Spiraea japonica,C2,This study,None,278,303
Spiraea japonica,C3,This study,None,353,344
Stachyurus praecox,C1,This study,None,332.291,307
Stachyurus praecox,C2,This study,None,313.945,301
Stachyurus praecox,C3,This study,None,,
Stachyurus sinensis,C1,This study,Low,NL,773
Stachyurus sinensis,C2,This study,Low,608.071,573
Stachyurus sinensis,C3,This study,Low,548.97,585
Symphoricarpos albus,C1,Laube et al. 2014,None,475,425
Symphoricarpos albus,C2,Laube et al. 2014,None,200,190
Symphoricarpos albus,C3,Laube et al. 2014,None,190,190
Syringa josikaea,C1,This study,None,314.035,287
Syringa josikaea,C2,This study,None,399.549,378
Syringa josikaea,C3,This study,None,,
Syringa reticulata,C1,This study,None,206.356,227
Syringa reticulata,C2,This study,None,299.351,287
Syringa reticulata,C3,This study,None,,
Syringa villosa,C1,This study,None,224.273,227
Syringa villosa,C2,This study,None,226.374,227
Syringa villosa,C3,This study,None,,
Syringa vulgaris,C1,Laube et al. 2014,Low,250,190
Syringa vulgaris,C2,Laube et al. 2014,Low,165,165
Syringa vulgaris,C3,Laube et al. 2014,Low,200,190
Tilia dasystyla,C1,This study,None,825,836
Tilia dasystyla,C2,This study,None,501,509
Tilia dasystyla,C3,This study,None,383,392
Tilia japonica,C1,This study,None,404.048,388
Tilia japonica,C2,This study,None,370.644,409
Tilia japonica,C3,This study,None,463.638,468
Tilia platyphyllos,C1,This study,None,544.879,587
Tilia platyphyllos,C2,This study,None,429.342,437
Tilia platyphyllos,C3,This study,None,476.713,468
Toona sinensis,C1,This study,Low,616.29,488
Toona sinensis,C2,This study,Low,637.172,635
Toona sinensis,C3,This study,Low,595.198,585
Ulmus amerciana,C1,This study,None,665,617
Ulmus amerciana,C2,This study,None,461,461
Ulmus amerciana,C3,This study,None,338,328
Ulmus laevis,C1,This study,None,1038,1040
Ulmus laevis,C2,This study,None,768,735
Ulmus laevis,C3,This study,None,383,377
Viburnum betulifolium,C1,This study,Low,765.866,587
Viburnum betulifolium,C2,This study,Low,484.873,481
Viburnum betulifolium,C3,This study,Low,,
Viburnum buddleifolium,C1,This study,Low,NL,1313
Viburnum buddleifolium,C2,This study,Low,414.419,466
Viburnum buddleifolium,C3,This study,Low,,
Viburnum carlesii,C1,This study,Low,474.67,347
Viburnum carlesii,C2,This study,Low,313.945,301
Viburnum carlesii,C3,This study,Low,,
Viburnum opulus,C1,This study,None,651.656,663
Viburnum opulus,C2,This study,None,525.763,496
Viburnum opulus,C3,This study,None,534.198,514
Viburnum plicatum,C1,This study,Low,NL,1059
Viburnum plicatum,C2,This study,Low,484.873,466
Viburnum plicatum,C3,This study,Low,,
Weigela coraeensis,C1,This study,None,389,375
Weigela coraeensis,C2,This study,None,295,287
Weigela coraeensis,C3,This study,None,324,328
Weigela florida,C1,This study,None,314.035,327
Weigela florida,C2,This study,None,328.393,316
Weigela florida,C3,This study,None,,
Weigela maximowiczii,C1,This study,None,584,632
Weigela maximowiczii,C2,This study,None,410,382
Weigela maximowiczii,C3,This study,None,368,377
