Species_name,genus,species,Family,GF
Cinnamomum_verum,Cinnamomum,verum,Lauraceae,woody
Citrullus_lanatus,Citrullus,lanatus,Cucurbitaceae,herb
Citrus_aurantiifolia,Citrus,aurantiifolia,Rutaceae,woody
Citrus_aurantium,Citrus,aurantium,Rutaceae,woody
Citrus_hystrix,Citrus,hystrix,Rutaceae,woody
Citrus_jambhiri,Citrus,jambhiri,Rutaceae,woody
Citrus_japonica,Citrus,japonica,Rutaceae,woody
Citrus_limon,Citrus,limon,Rutaceae,woody
Citrus_maxima,Citrus,maxima,Rutaceae,woody
Citrus_medica,Citrus,medica,Rutaceae,woody
Citrus_mitis,Citrus,mitis,Rutaceae,woody
Citrus_paradisi,Citrus,paradisi,Rutaceae,woody
Citrus_reticulata,Citrus,reticulata,Rutaceae,woody
Citrus_sinensis,Citrus,sinensis,Rutaceae,woody
Clausena_dentata,Clausena,dentata,Rutaceae,woody
Clausena_lansium,Clausena,lansium,Rutaceae,woody
Claytonia_perfoliata,Claytonia,perfoliata,Montiaceae,herb
Cnidoscolus_aconitifolius,Cnidoscolus,aconitifolius,Euphorbiaceae,woody
Coccoloba_uvifera,Coccoloba,uvifera,Polygonaceae,woody
Cocos_nucifera,Cocos,nucifera,Arecaceae,woody
Coffea_arabica,Coffea,arabica,Rubiaceae,woody
Coffea_canephora,Coffea,canephora,Rubiaceae,woody
Coffea_congensis,Coffea,congensis,Rubiaceae,woody
Coffea_eugenioides,Coffea,eugenioides,Rubiaceae,woody
Coffea_liberica,Coffea,liberica,Rubiaceae,woody
Colocasia_esculenta,Colocasia,esculenta,Araceae,herb
Combretum_indicum,Combretum,indicum,Combretaceae,woody
Corchorus_trilocularis,Corchorus,trilocularis,Malvaceae,herb
Cordia_dodecandra,Cordia,dodecandra,Boraginaceae,woody
Cordyline_fruticosa,Cordyline,fruticosa,Asparagaceae,woody
Corylus_avellana,Corylus,avellana,Betulaceae,woody
Corylus_chinensis,Corylus,chinensis,Betulaceae,woody
Corylus_heterophylla,Corylus,heterophylla,Betulaceae,woody
Corylus_sieboldiana,Corylus,sieboldiana,Betulaceae,woody
Crambe_maritima,Crambe,maritima,Brassicaceae,herb
Crataegus_azarolus,Crataegus,azarolus,Rosaceae,woody
Crataegus_orientalis,Crataegus,orientalis,Rosaceae,woody
Crotalaria_longirostrata,Crotalaria,longirostrata,Fabaceae,woody
Croton_tiglium,Croton,tiglium,Euphorbiaceae,woody
Cucumis_melo,Cucumis,melo,Cucurbitaceae,herb
Cucumis_sativus,Cucumis,sativus,Cucurbitaceae,herb
Cucurbita_argyrosperma,Cucurbita,argyrosperma,Cucurbitaceae,herb
Cucurbita_ficifolia,Cucurbita,ficifolia,Cucurbitaceae,herb
Cucurbita_maxima,Cucurbita,maxima,Cucurbitaceae,herb
Cucurbita_moschata,Cucurbita,moschata,Cucurbitaceae,herb
Cucurbita_pepo,Cucurbita,pepo,Cucurbitaceae,herb
Curcuma_heyneana,Curcuma,heyneana,Zingiberaceae,herb
Curcuma_pierreana,Curcuma,pierreana,Zingiberaceae,herb
Curcuma_zanthorrhiza,Curcuma,zanthorrhiza,Zingiberaceae,herb
Cyamopsis_tetragonoloba,Cyamopsis,tetragonoloba,Fabaceae,herb
Cyclanthera_pedata,Cyclanthera,pedata,Cucurbitaceae,herb
Cyperus_articulatus,Cyperus,articulatus,Cyperaceae,graminoid
Cyperus_cyperoides,Cyperus,cyperoides,Cyperaceae,graminoid
Cyperus_esculentus,Cyperus,esculentus,Cyperaceae,graminoid
Cyphomandra_betacea,Cyphomandra,betacea,Solanaceae,woody
Cyphomandra_crassifolia,Cyphomandra,crassifolia,Solanaceae,woody
Cyrtosperma_merkusii,Cyrtosperma,merkusii,Arecaceae,herb
Dahlia_pinnata,Dahlia,pinnata,Asteraceae,herb
Daucus_carota,Daucus,carota,Apiaceae,herb
Dendrocalamus_asper,Dendrocalamus,asper,Poaceae,graminoid
Dendrocalamus_latiflorus,Dendrocalamus,latiflorus,Poaceae,graminoid
Desmodium_discolor,Desmodium,discolor,Fabaceae,woody
Desmodium_intortum,Desmodium,intortum,Fabaceae,herb
Desmodium_uncinatum,Desmodium,uncinatum,Fabaceae,herb
Digitaria_sanguinalis,Digitaria,sanguinalis,Poaceae,graminoid
Dioscorea_alata,Dioscorea,alata,Dioscoreaceae,herb
Dioscorea_bulbifera,Dioscorea,bulbifera,Dioscoreaceae,herb
Dioscorea_esculenta,Dioscorea,esculenta,Dioscoreaceae,herb
Dioscorea_flabellifolia,Dioscorea,flabellifolia,Dioscoreaceae,herb
Dioscorea_japonica,Dioscorea,japonica,Dioscoreaceae,herb
Dioscorea_nummularia,Dioscorea,nummularia,Dioscoreaceae,herb
Dioscorea_oppositifolia,Dioscorea,oppositifolia,Dioscoreaceae,herb
Dioscorea_pentaphylla,Dioscorea,pentaphylla,Dioscoreaceae,herb
Dioscorea_piperifolia,Dioscorea,piperifolia,Dioscoreaceae,herb
Dioscorea_quartiniana,Dioscorea,quartiniana,Dioscoreaceae,herb
Dioscorea_trifida,Dioscorea,trifida,Dioscoreaceae,herb
Diospyros_discolor,Diospyros,discolor,Ebenaceae,woody
Diospyros_ebenum,Diospyros,ebenum,Ebenaceae,woody
Diospyros_kaki,Diospyros,kaki,Ebenaceae,woody
Diospyros_lotus,Diospyros,lotus,Ebenaceae,woody
Diospyros_major,Diospyros,major,Ebenaceae,woody
Diospyros_virginiana,Diospyros,virginiana,Ebenaceae,woody
Dipteryx_odorata,Dipteryx,odorata,Fabaceae,woody
Dovyalis_hebecarpa,Dovyalis,hebecarpa,Salicaceae,woody
Durio_oxleyanus,Durio,oxleyanus,Malvaceae,woody
Durio_zibethinus,Durio,zibethinus,Malvaceae,woody
Dysphania_ambrosioides,Dysphania,ambrosioides,Amaranthaceae,herb
Echinochloa_colona,Echinochloa,colona,Poaceae,graminoid
Echinochloa_crus-pavonis,Echinochloa,crus-pavonis,Poaceae,graminoid
Echinochloa_esculenta,Echinochloa,esculenta,Poaceae,graminoid
Echinochloa_frumentacea,Echinochloa,frumentacea,Poaceae,graminoid
Elaeagnus_multiflora,Elaeagnus,multiflora,Elaeagnaceae,woody
Elaeagnus_pungens,Elaeagnus,pungens,Elaeagnaceae,woody
Elaeagnus_umbellata,Elaeagnus,umbellata,Elaeagnaceae,woody
Elaeis_guineensis,Elaeis,guineensis,Arecaceae,woody
Elaeocarpus_floribundus,Elaeocarpus,floribundus,Elaeocarpaceae,woody
Eleocharis_dulcis,Eleocharis,dulcis,Cyperaceae,graminoid
Elettariopsis_cardamomum,Elettariopsis,cardamomum,Zingiberaceae,herb
Eleusine_coracana,Eleusine,coracana,Poaceae,graminoid
Elymus_repens,Elymus,repens,Poaceae,graminoid
Enydra_fluctuans,Enydra,fluctuans,Asteraceae,herb
Erioglossum_rubiginosum,Erioglossum,rubiginosum,Sapindaceae,woody
Eruca_vesicaria,Eruca,vesicaria,Brassicaceae,herb
Etlingera_elatior,Etlingera,elatior,Zingiberaceae,herb
Eugenia_pyriformis,Eugenia,pyriformis,Myrtaceae,woody
Eugenia_uniflora,Eugenia,uniflora,Myrtaceae,woody
Euryale_ferox,Euryale,ferox,Nymphaeaceae,herb
Eutrema_japonicum,Eutrema,japonicum,Brassicaceae,herb
Feronia_limonia,Feronia,limonia,Rutaceae,woody
Ficus_auriculata,Ficus,auriculata,Moraceae,woody
Flacourtia_indica,Flacourtia,indica,Salicaceae,woody
Flacourtia_rukam,Flacourtia,rukam,Salicaceae,woody
Fragaria_ananassa,Fragaria,ananassa,Rosaceae,herb
Fragaria_chiloensis,Fragaria,chiloensis,Rosaceae,herb
Fragaria_moschata,Fragaria,moschata,Rosaceae,herb
Fragaria_virginiana,Fragaria,virginiana,Rosaceae,herb
Fragaria_viridis,Fragaria,viridis,Rosaceae,herb
Galega_officinalis,Galega,officinalis,Fabaceae,herb
Garcinia_cochinchinensis,Garcinia,cochinchinensis,Clusiaceae,woody
Garcinia_dulcis,Garcinia,dulcis,Clusiaceae,woody
Garcinia_indica,Garcinia,indica,Clusiaceae,woody
Garcinia_mangostana,Garcinia,mangostana,Clusiaceae,woody
Garcinia_multiflora,Garcinia,multiflora,Clusiaceae,woody
Garcinia_pedunculata,Garcinia,pedunculata,Clusiaceae,woody
Garcinia_xanthochymus,Garcinia,xanthochymus,Clusiaceae,woody
Gigantochloa_ligulata,Gigantochloa,ligulata,Poaceae,graminoid
Glebionis_coronaria,Glebionis,coronaria,Asteraceae,herb
Glebionis_segetum,Glebionis,segetum,Asteraceae,herb
Gleditsia_japonica,Gleditsia,japonica,Fabaceae,woody
Glycine_max,Glycine,max,Fabaceae,herb
Glycyrrhiza_echinata,Glycyrrhiza,echinata,Fabaceae,herb
Glycyrrhiza_glabra,Glycyrrhiza,glabra,Fabaceae,herb
Glycyrrhiza_uralensis,Glycyrrhiza,uralensis,Fabaceae,herb
Grewia_asiatica,Grewia,asiatica,Malvaceae,woody
Gymnema_inodorum,Gymnema,inodorum,Apocynaceae,woody
Helianthus_annuus,Helianthus,annuus,Asteraceae,herb
Helianthus_tuberosus,Helianthus,tuberosus,Asteraceae,herb
Hibiscus_radiatus,Hibiscus,radiatus,Malvaceae,herb
Hordeum_vulgare,Hordeum,vulgare,Poaceae,graminoid
Houttuynia_cordata,Houttuynia,cordata,Saururaceae,herb
Humulus_lupulus,Humulus,lupulus,Cannabaceae,herb
Hydrolea_zeylanica,Hydrolea,zeylanica,Hydroleaceae,herb
Hyptis_suaveolens,Hyptis,suaveolens,Lamiaceae,herb
Ilex_paraguariensis,Ilex,paraguariensis,Aquifoliaceae,woody
Ilex_paraguayensis,Ilex,paraguayensis,Aquifoliaceae,woody
Inga_edulis,Inga,edulis,Fabaceae,woody
Inga_feuilleei,Inga,feuilleei,Fabaceae,woody
Inga_laurina,Inga,laurina,Fabaceae,woody
Inocarpus_fagifer,Inocarpus,fagifer,Fabaceae,woody
Inula_racemosa,Inula,racemosa,Asteraceae,herb
Ipomoea_aquatica,Ipomoea,aquatica,Convolvulaceae,herb
Ipomoea_batatas,Ipomoea,batatas,Convolvulaceae,herb
Ipomoea_eriocarpa,Ipomoea,eriocarpa,Convolvulaceae,herb
Ipomoea_mammosa,Ipomoea,mammosa,Convolvulaceae,herb
Jasminum_sambac,Jasminum,sambac,Oleaceae,woody
Juglans_ailanthifolia,Juglans,ailanthifolia,Juglandaceae,woody
Juglans_mollis,Juglans,mollis,Juglandaceae,woody
Juglans_regia,Juglans,regia,Juglandaceae,woody
Kaempferia_galanga,Kaempferia,galanga,Zingiberaceae,herb
Kaempferia_rotunda,Kaempferia,rotunda,Zingiberaceae,herb
Lactuca_angustana,Lactuca,angustana,Asteraceae,herb
Lactuca_indica,Lactuca,indica,Asteraceae,herb
Lactuca_sativa,Lactuca,sativa,Asteraceae,herb
Lathyrus_sylvestris,Lathyrus,sylvestris,Fabaceae,herb
Lathyrus_tuberosus,Lathyrus,tuberosus,Fabaceae,herb
Launaea_taraxacifolia,Launaea,taraxacifolia,Asteraceae,herb
Lepidium_meyenii,Lepidium,meyenii,Brassicaceae,herb
Lepidium_sativum,Lepidium,sativum,Brassicaceae,herb
Leptospermum_laevigatum,Leptospermum,laevigatum,Myrtaceae,woody
Leucaena_leucocephala,Leucaena,leucocephala,Fabaceae,woody
Levisticum_officinale,Levisticum,officinale,Apiaceae,herb
Lilium_auratum,Lilium,auratum,Liliaceae,herb
Lilium_lancifolium,Lilium,lancifolium,Liliaceae,herb
Lilium_leichtlinii,Lilium,leichtlinii,Liliaceae,herb
Linaria_japonica,Linaria,japonica,Plantaginaceae,herb
Linum_usitatissimum,Linum,usitatissimum,Linaceae,herb
Lippia_adoensis,Lippia,adoensis,Verbenaceae,woody
Litchi_chinensis,Litchi,chinensis,Sapindaceae,woody
Litsea_calophylla,Litsea,calophylla,Lauraceae,woody
Lupinus_ananeanus,Lupinus,ananeanus,Fabaceae,woody
Lupinus_cosentinii,Lupinus,cosentinii,Fabaceae,herb
Lupinus_mutabilis,Lupinus,mutabilis,Fabaceae,herb
Lupinus_tauris,Lupinus,tauris,Fabaceae,woody
Lycium_chinense,Lycium,chinense,Solanaceae,woody
Lysiloma_latisiliquum,Lysiloma,latisiliquum,Fabaceae,woody
Macadamia_integrifolia,Macadamia,integrifolia,Proteaceae,woody
Macrotyloma_uniflorum,Macrotyloma,uniflorum,Fabaceae,herb
Malpighia_glabra,Malpighia,glabra,Malpighiaceae,woody
Malpighia_urens,Malpighia,urens,Malpighiaceae,woody
Malus_prunifolia,Malus,prunifolia,Rosaceae,woody
Malus_pumila,Malus,pumila,Rosaceae,woody
Malus_turkmenorum,Malus,turkmenorum,Rosaceae,woody
Malva_sylvestris,Malva,sylvestris,Malvaceae,herb
Malva_verticillata,Malva,verticillata,Malvaceae,herb
Mangifera_caesia,Mangifera,caesia,Anacardiaceae,woody
Mangifera_foetida,Mangifera,foetida,Anacardiaceae,woody
Mangifera_indica,Mangifera,indica,Anacardiaceae,woody
Mangifera_odorata,Mangifera,odorata,Anacardiaceae,woody
Manihot_esculenta,Manihot,esculenta,Euphorbiaceae,woody
Manilkara_zapota,Manilkara,zapota,Sapotaceae,woody
Maranta_arundinacea,Maranta,arundinacea,Marantaceae,herb
Melicoccus_bijugatus,Melicoccus,bijugatus,Sapindaceae,woody
Melilotus_macrorhizus,Melilotus,macrorhizus,Fabaceae,herb
Mentha_suaveolens,Mentha,suaveolens,Lamiaceae,herb
Mesua_ferrea,Mesua,ferrea,Calophyllaceae,woody
Metroxylon_sagu,Metroxylon,sagu,Arecaceae,woody
Miscanthus_sacchariflorus,Miscanthus,sacchariflorus,Poaceae,graminoid
Momordica_charantia,Momordica,charantia,Cucurbitaceae,herb
Moringa_oleifera,Moringa,oleifera,Moringaceae,woody
Morus_alba,Morus,alba,Moraceae,woody
Mucuna_pachylobia,Mucuna,pachylobia,Fabaceae,woody
Mucuna_pruriens,Mucuna,pruriens,Fabaceae,woody
Mukia_maderaspatana,Mukia,maderaspatana,Cucurbitaceae,herb
Muntingia_calabura,Muntingia,calabura,Muntingiaceae,woody
Murraya_koenigii,Murraya,koenigii,Rutaceae,woody
Musa_acuminata,Musa,acuminata,Musaceae,herb
Musa_balbisiana,Musa,balbisiana,Musaceae,herb
Myrceugenia_lanceolata,Myrceugenia,lanceolata,Myrtaceae,woody
Myrica_rubra,Myrica,rubra,Myricaceae,woody
Myristica_fragrans,Myristica,fragrans,Myristicaceae,woody
Myrrhis_odorata,Myrrhis,odorata,Apiaceae,herb
Nasturtium_officinale,Nasturtium,officinale,Brassicaceae,herb
Nephelium_lappaceum,Nephelium,lappaceum,Sapindaceae,woody
Nephelium_mutabile,Nephelium,mutabile,Sapindaceae,woody
Nigella_sativa,Nigella,sativa,Ranunculaceae,herb
Oenanthe_javanica,Oenanthe,javanica,Apiaceae,herb
Olea_europaea,Olea,europaea,Oleaceae,woody
Opuntia_boldinghii,Opuntia,boldinghii,Cactaceae,woody
Opuntia_crystalenia,Opuntia,crystalenia,Cactaceae,woody
Opuntia_dillenii,Opuntia,dillenii,Cactaceae,woody
Opuntia_elatior,Opuntia,elatior,Cactaceae,woody
Opuntia_engelmannii,Opuntia,engelmannii,Cactaceae,woody
Opuntia_ficus-indica,Opuntia,ficus-indica,Cactaceae,woody
Opuntia_fusicaulis,Opuntia,fusicaulis,Cactaceae,woody
Opuntia_hyptiacantha,Opuntia,hyptiacantha,Cactaceae,woody
Opuntia_leucotricha,Opuntia,leucotricha,Cactaceae,woody
Opuntia_robusta,Opuntia,robusta,Cactaceae,woody
Opuntia_undulata,Opuntia,undulata,Cactaceae,woody
Origanum_majorana,Origanum,majorana,Lamiaceae,woody
Origanum_vulgare,Origanum,vulgare,Lamiaceae,herb
Oryza_glaberrima,Oryza,glaberrima,Poaceae,graminoid
Oryza_meyeriana,Oryza,meyeriana,Poaceae,graminoid
Oryza_minuta,Oryza,minuta,Poaceae,graminoid
Oryza_sativa,Oryza,sativa,Poaceae,graminoid
Osmanthus_fragrans,Osmanthus,fragrans,Oleaceae,woody
Oxalis_deppei,Oxalis,deppei,Oxalidaceae,herb
Oxalis_tuberosa,Oxalis,tuberosa,Oxalidaceae,herb
Pachyrhizus_ahipa,Pachyrhizus,ahipa,Fabaceae,herb
Pachyrhizus_erosus,Pachyrhizus,erosus,Fabaceae,herb
Pachyrhizus_tuberosus,Pachyrhizus,tuberosus,Fabaceae,herb
Pandanus_amaryllifolius,Pandanus,amaryllifolius,Pandanaceae,woody
Pandanus_brosimos,Pandanus,brosimos,Pandanaceae,woody
Pandanus_tectorius,Pandanus,tectorius,Pandanaceae,woody
Pangium_edule,Pangium,edule,Achariaceae,woody
Panicum_antidotale,Panicum,antidotale,Poaceae,graminoid
Panicum_hirticaule,Panicum,hirticaule,Poaceae,graminoid
Panicum_miliaceum,Panicum,miliaceum,Poaceae,graminoid
Paspalum_distichum,Paspalum,distichum,Poaceae,graminoid
Paspalum_scrobiculatum,Paspalum,scrobiculatum,Poaceae,graminoid
Passiflora_alata,Passiflora,alata,Passifloraceae,woody
Passiflora_antioquiensis,Passiflora,antioquiensis,Passifloraceae,woody
Passiflora_caerulea,Passiflora,caerulea,Passifloraceae,woody
Passiflora_edulis,Passiflora,edulis,Passifloraceae,woody
Passiflora_laurifolia,Passiflora,laurifolia,Passifloraceae,woody
Passiflora_ligularis,Passiflora,ligularis,Passifloraceae,woody
Passiflora_maliformis,Passiflora,maliformis,Passifloraceae,woody
Passiflora_mollissima,Passiflora,mollissima,Passifloraceae,woody
Passiflora_pinnatistipula,Passiflora,pinnatistipula,Passifloraceae,woody
Passiflora_quadrangularis,Passiflora,quadrangularis,Passifloraceae,woody
Pastinaca_sativa,Pastinaca,sativa,Apiaceae,herb
Paullinia_cupana,Paullinia,cupana,Sapindaceae,woody
Peperomia_pellucida,Peperomia,pellucida,Piperaceae,herb
