name,genus,datasetID,worthy,Complex
Larix_kaempferi,Larix,zohner16,N,
Ligustrum_tschonoskii,Ligustrum,zohner16,N,
Liquidambar_orientalis,Liquidambar,zohner16,N,
Liriodendron_tulipifera,Liriodendron,zohner16,N,
Lonicera_alpigena,Lonicera,zohner16,N,
Lonicera_caerulea,Lonicera,zohner16,N,
Lonicera_maximowiczii,Lonicera,zohner16,N,
Malus_pumila,Malus,heide05,N,
Metasequoia_glyptostroboides,Metasequoia,zohner16,N,
,,,,
Nothofagus_antarctica,Nothofagus,zohner16,N,
Oemleria_cerasiformis,Oemleria,zohner16,N,
Olea_europaea,Olea,ramos99,N,
Orixa_japonica,Orixa,zohner16,N,
Ostrya_carpinifolia,Ostrya,zohner16,N,
Ostrya_virginiana,Ostrya,zohner16,N,
Paeonia_rockii,Paeonia,zohner16,N,
Parrotia_persica,Parrotia,zohner16,N,
Parrotiopsis_jaquemontiana,Parrotiopsis,zohner16,N,
Photinia_villosa,Photinia,zohner16,N,
Picea_breweriana,Picea,nienstaedt66,Y,
Picea_engelmannii,Picea,nienstaedt66,Y,
Picea_glehnii,Picea,nienstaedt66,Y,
Picea_jezoensis,Picea,nienstaedt66,Y,
Picea_pungens,Picea,nienstaedt66,Y,
Picea_sitchensis,Picea,cannell83,Y,
Pieris_japonica,Pieris,ruesink98,N,
Pinus_nigra,Pinus,laube14a,Y,
Pinus_strobus,Pinus,laube14a,Y,
Pinus_sylvestris,Pinus,laube14a,Y,
Pinus_taeda,Pinus,boyer,Y,
Pinus_wallichiana,Pinus,laube14a,Y,
Populus_deltoides,Populus,thielges75,Y,
Populus_grandidentata,Populus,gunderson12,Y,
Populus_koreana,Populus,zohner16,Y,
Populus_trichocarpa,Populus,howe95,Y,
Prinsepia_sinensis,Prinsepia,zohner16,N,
Prinsepia_uniflora,Prinsepia,zohner16,N,
Prunus_cerasifera,Prunus,zohner16,Y,
Prunus_cerasus,Prunus,heide08,Y,
Prunus_insititia,Prunus,heide08,Y,
Prunus_serotina,Prunus,laube14a,Y,
Prunus_serrulata,Prunus,zohner16,Y,
Prunus_tenella,Prunus,zohner16,Y,
Ptelea_trifoliata,Ptelea,zohner16,N,
Pyrus_communis L.,Pyrus,heide05,Y,
Pyrus_elaeagnifolia,Pyrus,zohner16,Y,
Pyrus_ussuriensis,Pyrus,zohner16,Y,
Quercus_bicolor,Quercus,laube14a,Y,
Quercus_coccifera,Quercus,sanzperez10,Y,
Quercus_patraea,Quercus,basler12,Y,
Quercus_pubescens,Quercus,morin10,Y,
Quercus_shumardii,Quercus,zohner16,Y,
Rhamnus_alpina,Rhamnus,zohner16,N,
Rhamnus_cathartica,Rhamnus,zohner16,N,
Rhododendron_canadense,Rhododendron,zohner16,Y,
Rhododendron_dauricum,Rhododendron,zohner16,Y,
Rhododendron_mucronulatum,Rhododendron,zohner16,Y,
Rhododendron_simsii,Rhododendron,pettersen71,Y,
Ribes_alpinum,Ribes,zohner16,N,
Ribes_divaricatum,Ribes,zohner16,N,
Ribes_glaciale,Ribes,zohner16,N,
Rosa_hugonis,Rosa,zohner16,N,
Rosa_majalis,Rosa,zohner16,N,
Salix_gracilistyla,Salix,zohner16,Y,
Salix_pulchra,Salix,pop2000,Y,
Salix_repens,Salix,zohner16,Y,
Salix_smithiana,Salix,caffarra11a,Y,
Sambucus_nigra,Sambucus,zohner16,N,
Sambucus_pubens,Sambucus,zohner16,N,
Sambucus_tigranii,Sambucus,zohner16,N,
Sinowilsonia_henryi,Sinowilsonia,zohner16,N,
Sorbus_aria,Sorbus,zohner16,Y,
Sorbus_decora,Sorbus,zohner16,Y,
Sorbus_intermedia,Sorbus,heide11,Y,
Spiraea_canescens,Spiraea,zohner16,N,
Spiraea_chamaedryfolia,Spiraea,zohner16,N,
Spiraea_japonica,Spiraea,zohner16,N,
Stachyurus_praecox,Stachyurus,zohner16,N,
Stachyurus_sinensis,Stachyurus,zohner16,N,
Syringa_josikaea,Syringa,zohner16,N,
Syringa_reticulata,Syringa,zohner16,N,
Syringa_villosa,Syringa,zohner16,N,
Tilia_americana,Tilia,ashby62,Y,
Tilia_dasystyla,Tilia,zohner16,Y,
Tilia_japonica,Tilia,zohner16,Y,
Tilia_platyphyllos,Tilia,zohner16,Y,
Toona_sinensis,Toona,zohner16,N,
Ulmus_americana,Ulmus,zohner16,Y,
Ulmus_glabra,Ulmus,ghelardini10,Y,
Ulmus_laevis,Ulmus,zohner16,Y,
Ulmus_macrocarpa,Ulmus,ghelardini10,Y,
Ulmus_minor,Ulmus,ghelardini10,Y,
Ulmus_parvifolia,Ulmus,ghelardini10,Y,
Ulmus_pumila,Ulmus,ghelardini10,Y,
Ulmus_villosa,Ulmus,ghelardini10,Y,
Vaccinium_ashei,Vaccinium,spiers74,Y,
Vaccinium_corymbosum,Vaccinium,spann04,Y,
Viburnum_betulifolium,Viburnum,zohner16,N,
Viburnum_buddleifolium,Viburnum,zohner16,N,
Viburnum_carlesii,Viburnum,zohner16,N,
Viburnum_opulus,Viburnum,zohner16,N,
Viburnum_plicatum,Viburnum,zohner16,N,
Weigela_coraeensis,Weigela,zohner16,N,
Weigela_florida,Weigela,zohner16,N,
Weigela_maximowiczii,Weigela,zohner16,N,
