"datasetid","authornum","fullname","author"
"guerriero90","aut3"," Grazzini, G."," Grazzini"
"gunderson12","aut3"," Walker, Ashley V."," Walker"
"gutterman88","aut3","",""
"hawerroth13","aut3"," Petri, Jose Luiz"," Petri"
"hawkins12","aut3","",""
"heide03","aut3","",""
"heide01","aut3","",""
"heide93","aut3","",""
"heide93a","aut3","",""
"heide05","aut3","",""
"heide11","aut3","",""
"heide08","aut3","",""
"heide77","aut3","",""
"heide12","aut3","",""
"heide07","aut3","",""
"heide15","aut3","",""
"howe95","aut3"," Furnier, Glenn R. "," Furnier"
"jones12","aut3"," Gordon, S. L. "," Gordon"
"junttila12","aut3","",""
"karlsson03","aut3"," Neuvonen, S."," Neuvonen"
"kinet93","aut3","",""
"lamb37","aut3","",""
"laube14a","aut3"," Estrella, Nicole"," Estrella"
"laube14b","aut3"," Estrella, Nicole "," Estrella"
"li05","aut3"," Puhakainen, Tuula"," Puhakainen"
"linkosalo06","aut3","",""
"lyndon77","aut3","",""
"man10","aut3","",""
"manson91","aut3","",""
"morin10","aut3"," Sonie, Laurette "," Sonie"
"myking98","aut3","",""
"myking97","aut3","",""
"myking95","aut3","",""
"nerd95","aut3","",""
"nienstaedt66","aut3","",""
"nishimoto95","aut3","",""
"okie11","aut3","",""
"pagter15","aut3"," Andersen, Lillie"," Andersen"
"partanen05","aut3"," HanninenR, R."," HanninenR"
"partanen98","aut3"," HanninenH, Heikki"," HanninenH"
"partanen01","aut3"," Repo, Tapani"," Repo"
"pettersen71","aut3","",""
"pop2000","aut3"," Starr, Gregory"," Starr"
"runger81","aut3","",""
"ramos99","aut3","",""
"rinne97","aut3"," Kaikuranta,  P."," Kaikuranta"
"rinne94","aut3"," Junttila, Olavi"," Junttila"
"ruesink98","aut3","",""
"sogaard08","aut3"," Nilsen, Jarle "," Nilsen"
"sonsteby13","aut3","",""
"sonsteby14","aut3","",""
"sonsteby06","aut3","",""
"sonsteby09a","aut3","sonsteby09a","sonsteby09a"
"sanzperez10","aut3","",""
"sanzperez09","aut3"," Valladares, F."," Valladares"
"schnabel87","aut3","",""
"skre08","aut3"," Taulavuori, Erja"," Taulavuori"
"skuterud94","aut3"," others"," others"
"smeets82","aut3","",""
"smeets80","aut3","",""
"spann04","aut3"," Darnell, Rebecca L."," Darnell"
"spiers74","aut3","",""
"swartz81","aut3","",""
"takimoto64","aut3","",""
"thielges75","aut3","",""
"verheul07","aut3"," Grimstad, Svein O."," Grimstad"
"viheraaarnio06","aut3"," Junttila, Olavi"," Junttila"
"webb78","aut3","",""
"worrall67","aut3","",""
"yazdaniha64","aut3","",""
"zohner16","aut3","Svenning, J. C.","Svenning"
"ashby62","aut4","",""
"basler14","aut4","",""
"basler12","aut4","",""
"bernier81","aut4"," Petitjean, Anne "," Petitjean"
"biasi12","aut4","",""
"biran73","aut4","",""
"boyer","aut4","",""
"bradford10","aut4","",""
"caffarra11a","aut4","",""
"caffarra11b","aut4"," Jones, Mike B."," Jones"
"calme94","aut4"," Hebert, Carole"," Hebert"
"campbell75","aut4","",""
"cannell83","aut4","",""
"cannell83","aut4","",""
"charrier11","aut4"," Ameglio, Thierry"," Ameglio"
"chavarria09","aut4"," Rodrigues, Alexandre Couto"," Rodrigues"
"cook00b","aut4","",""
"cook05","aut4"," De Wit, Inge"," De Wit"
"cronje03","aut4"," Cook, N. C."," Cook"
"dantec14","aut4"," Louvet, Jean-Marc"," Louvet"
"devries82","aut4","",""
"durner84","aut4","",""
"falusi03","aut4","",""
"falusi97","aut4","",""
"falusi96","aut4","",""
"falusi90","aut4","",""
"fu13","aut4"," Janssens, Ivan A."," Janssens"
"gomory15","aut4"," Krajmerova, D."," Krajmerova"
"gansert02","aut4","",""
"ghelardini10","aut4"," Myking, Tor "," Myking"
"gianfagna85","aut4","",""
"granhus09","aut4","",""
"guak98","aut4"," Tingey, David T."," Tingey"
"guerriero90","aut4","",""
"gunderson12","aut4"," OHara, Keiran H."," OHara"
"gutterman88","aut4","",""
"hawerroth13","aut4"," Marafon, Anderson Carlos "," Marafon"
"hawkins12","aut4","",""
"heide03","aut4","",""
"heide01","aut4","",""
"heide93","aut4","",""
"heide93a","aut4","",""
"heide05","aut4","",""
"heide11","aut4","",""
"heide08","aut4","",""
"heide77","aut4","",""
"heide12","aut4","",""
"heide07","aut4","",""
"heide15","aut4","",""
"howe95","aut4"," Klevorn, Richard E."," Klevorn"
"jones12","aut4"," Brennan, R. M."," Brennan"
"junttila12","aut4","",""
"karlsson03","aut4"," Heino, S. "," Heino"
"kinet93","aut4","",""
"lamb37","aut4","",""
"laube14a","aut4"," Hofler,  Josef"," Hofler"
"laube14b","aut4"," Menzel, Annette"," Menzel"
"li05","aut4"," Vihera-Aarnio"," Vihera-Aarnio"
"linkosalo06","aut4","",""
"lyndon77","aut4","",""
"man10","aut4","",""
"manson91","aut4","",""
"morin10","aut4"," Chuine, Isabelle"," Chuine"
"myking98","aut4","",""
"myking97","aut4","",""
"myking95","aut4","",""
"nerd95","aut4","",""
"nienstaedt66","aut4","",""
"nishimoto95","aut4","",""
"okie11","aut4","",""
"pagter15","aut4","",""
"partanen05","aut4","",""
"partanen98","aut4","",""
"partanen01","aut4","",""
"pettersen71","aut4","",""
"pop2000","aut4","",""
"runger81","aut4","",""
"ramos99","aut4","",""
"rinne97","aut4"," Jalonen,  J. E. "," Jalonen"
"rinne94","aut4","",""
"ruesink98","aut4","",""
"sogaard08","aut4"," Junttila, Olavi"," Junttila"
"sonsteby13","aut4","",""
"sonsteby14","aut4","",""
"sonsteby06","aut4","",""
"sonsteby09a","aut4","sonsteby09a","sonsteby09a"
"sanzperez10","aut4","",""
"sanzperez09","aut4","",""
"schnabel87","aut4","",""
"skre08","aut4"," Nilsen, Jarle"," Nilsen"
"skuterud94","aut4","",""
"smeets82","aut4","",""
"smeets80","aut4","",""
"spann04","aut4","",""
"spiers74","aut4","",""
"swartz81","aut4","",""
"takimoto64","aut4","",""
"thielges75","aut4","",""
"verheul07","aut4","",""
"viheraaarnio06","aut4","",""
"webb78","aut4","",""
"worrall67","aut4","",""
"yazdaniha64","aut4","",""
"zohner16","aut4"," Renner, S. S."," Renner"
"ashby62","aut5","",""
"basler14","aut5","",""
"basler12","aut5","",""
"bernier81","aut5"," Lejeune, Pierre"," Lejeune"
"biasi12","aut5","",""
"biran73","aut5","",""
"boyer","aut5","",""
"bradford10","aut5","",""
"caffarra11a","aut5","",""
"caffarra11b","aut5","",""
"calme94","aut5","",""
"campbell75","aut5","",""
"cannell83","aut5","",""
"cannell83","aut5","",""
"charrier11","aut5","",""
"chavarria09","aut5"," Reisser, Carlos "," Reisser"
"cook00b","aut5","",""
"cook05","aut5"," Keulemans, Wannes"," Keulemans"
"cronje03","aut5","",""
"dantec14","aut5"," Kremer, Antoine "," Kremer"
"devries82","aut5","",""
"durner84","aut5","",""
"falusi03","aut5","",""
"falusi97","aut5","",""
"falusi96","aut5","",""
"falusi90","aut5","",""
"fu13","aut5","",""
"gomory15","aut5","",""
"gansert02","aut5","",""
"ghelardini10","aut5"," Falusi, Mauro"," Falusi"
"gianfagna85","aut5","",""
"granhus09","aut5","",""
"guak98","aut5","",""
"guerriero90","aut5","",""
"gunderson12","aut5"," Campion, Christina M. "," Campion"
"gutterman88","aut5","",""
"hawerroth13","aut5"," Leonetti, Jeison Furtado"," Leonetti"
"hawkins12","aut5","",""
"heide03","aut5","",""
"heide01","aut5","",""
"heide93","aut5","",""
"heide93a","aut5","",""
"heide05","aut5","",""
"heide11","aut5","",""
"heide08","aut5","",""
"heide77","aut5","",""
"heide12","aut5","",""
"heide07","aut5","",""
"heide15","aut5","",""
"howe95","aut5","",""
"jones12","aut5","",""
"junttila12","aut5","",""
"karlsson03","aut5"," Tjus, M."," Tjus"
"kinet93","aut5","",""
"lamb37","aut5","",""
"laube14a","aut5"," Ankerst, Donna P. "," Ankerst"
"laube14b","aut5","",""
"li05","aut5","",""
"linkosalo06","aut5","",""
"lyndon77","aut5","",""
"man10","aut5","",""
"manson91","aut5","",""
"morin10","aut5","",""
"myking98","aut5","",""
"myking97","aut5","",""
"myking95","aut5","",""
"nerd95","aut5","",""
"nienstaedt66","aut5","",""
"nishimoto95","aut5","",""
"okie11","aut5","",""
"pagter15","aut5","",""
"partanen05","aut5","",""
"partanen98","aut5","",""
"partanen01","aut5","",""
"pettersen71","aut5","",""
"pop2000","aut5","",""
"runger81","aut5","",""
"ramos99","aut5","",""
"rinne97","aut5"," Repo, T."," Repo"
"rinne94","aut5","",""
"ruesink98","aut5","",""
"sogaard08","aut5","",""
"sonsteby13","aut5","",""
"sonsteby14","aut5","",""
"sonsteby06","aut5","",""
"sonsteby09a","aut5","sonsteby09a","sonsteby09a"
"sanzperez10","aut5","",""
"sanzperez09","aut5","",""
"schnabel87","aut5","",""
"skre08","aut5"," Igeland, Bernt "," Igeland"
"skuterud94","aut5","",""
"smeets82","aut5","",""
"smeets80","aut5","",""
"spann04","aut5","",""
"spiers74","aut5","",""
"swartz81","aut5","",""
"takimoto64","aut5","",""
"thielges75","aut5","",""
"verheul07","aut5","",""
"viheraaarnio06","aut5","",""
"webb78","aut5","",""
"worrall67","aut5","",""
"yazdaniha64","aut5","",""
"zohner16","aut5","",""
"ashby62","aut6","",""
"basler14","aut6","",""
"basler12","aut6","",""
"bernier81","aut6","",""
"biasi12","aut6","",""
"biran73","aut6","",""
"boyer","aut6","",""
"bradford10","aut6","",""
"caffarra11a","aut6","",""
"caffarra11b","aut6","",""
"calme94","aut6","",""
"campbell75","aut6","",""
"cannell83","aut6","",""
"cannell83","aut6","",""
"charrier11","aut6","",""
"chavarria09","aut6"," Silva, Jo~ao Baptista da"," Silva"
"cook00b","aut6","",""
"cook05","aut6"," Van den Putte, An "," Van den Putte"
"cronje03","aut6","",""
"dantec14","aut6"," Delzon, Sylvain"," Delzon"
"devries82","aut6","",""
"durner84","aut6","",""
"falusi03","aut6","",""
"falusi97","aut6","",""
"falusi96","aut6","",""
"falusi90","aut6","",""
"fu13","aut6","",""
"gomory15","aut6","",""
"gansert02","aut6","",""
"ghelardini10","aut6","",""
"gianfagna85","aut6","",""
"granhus09","aut6","",""
"guak98","aut6","",""
"guerriero90","aut6","",""
"gunderson12","aut6"," Hanson, Paul J."," Hanson"
"gutterman88","aut6","",""
"hawerroth13","aut6","",""
"hawkins12","aut6","",""
"heide03","aut6","",""
"heide01","aut6","",""
"heide93","aut6","",""
"heide93a","aut6","",""
"heide05","aut6","",""
"heide11","aut6","",""
"heide08","aut6","",""
"heide77","aut6","",""
"heide12","aut6","",""
"heide07","aut6","",""
"heide15","aut6","",""
"howe95","aut6","",""
"jones12","aut6","",""
"junttila12","aut6","",""
"karlsson03","aut6","",""
"kinet93","aut6","",""
"lamb37","aut6","",""
"laube14a","aut6"," Menzel, Annette"," Menzel"
"laube14b","aut6","",""
"li05","aut6","",""
"linkosalo06","aut6","",""
"lyndon77","aut6","",""
"man10","aut6","",""
"manson91","aut6","",""
"morin10","aut6","",""
"myking98","aut6","",""
"myking97","aut6","",""
"myking95","aut6","",""
"nerd95","aut6","",""
"nienstaedt66","aut6","",""
"nishimoto95","aut6","",""
"okie11","aut6","",""
"pagter15","aut6","",""
"partanen05","aut6","",""
"partanen98","aut6","",""
"partanen01","aut6","",""
"pettersen71","aut6","",""
"pop2000","aut6","",""
"runger81","aut6","",""
"ramos99","aut6","",""
"rinne97","aut6","",""
"rinne94","aut6","",""
"ruesink98","aut6","",""
"sogaard08","aut6","",""
"sonsteby13","aut6","",""
"sonsteby14","aut6","",""
"sonsteby06","aut6","",""
"sonsteby09a","aut6","sonsteby09a","sonsteby09a"
"sanzperez10","aut6","",""
"sanzperez09","aut6","",""
"schnabel87","aut6","",""
"skre08","aut6"," Laine, Kari"," Laine"
"skuterud94","aut6","",""
"smeets82","aut6","",""
"smeets80","aut6","",""
"spann04","aut6","",""
"spiers74","aut6","",""
"swartz81","aut6","",""
"takimoto64","aut6","",""
"thielges75","aut6","",""
"verheul07","aut6","",""
"viheraaarnio06","aut6","",""
"webb78","aut6","",""
"worrall67","aut6","",""
"yazdaniha64","aut6","",""
"zohner16","aut6","",""
"ashby62","aut7","",""
"basler14","aut7","",""
"basler12","aut7","",""
"bernier81","aut7","",""
"biasi12","aut7","",""
"biran73","aut7","",""
"boyer","aut7","",""
"bradford10","aut7","",""
"caffarra11a","aut7","",""
"caffarra11b","aut7","",""
"calme94","aut7","",""
"campbell75","aut7","",""
"cannell83","aut7","",""
"cannell83","aut7","",""
"charrier11","aut7","",""
"chavarria09","aut7","",""
"cook00b","aut7","",""
"cook05","aut7"," Steyn, Wiehann"," Steyn"
"cronje03","aut7","",""
"dantec14","aut7","",""
"devries82","aut7","",""
"durner84","aut7","",""
"falusi03","aut7","",""
"falusi97","aut7","",""
"falusi96","aut7","",""
"falusi90","aut7","",""
"fu13","aut7","",""
"gomory15","aut7","",""
"gansert02","aut7","",""
"ghelardini10","aut7","",""
"gianfagna85","aut7","",""
"granhus09","aut7","",""
"guak98","aut7","",""
"guerriero90","aut7","",""
"gunderson12","aut7","",""
"gutterman88","aut7","",""
"hawerroth13","aut7","",""
"hawkins12","aut7","",""
"heide03","aut7","",""
"heide01","aut7","",""
"heide93","aut7","",""
"heide93a","aut7","",""
"heide05","aut7","",""
"heide11","aut7","",""
"heide08","aut7","",""
"heide77","aut7","",""
"heide12","aut7","",""
"heide07","aut7","",""
"heide15","aut7","",""
"howe95","aut7","",""
"jones12","aut7","",""
"junttila12","aut7","",""
"karlsson03","aut7","",""
"kinet93","aut7","",""
"lamb37","aut7","",""
"laube14a","aut7","",""
"laube14b","aut7","",""
"li05","aut7","",""
"linkosalo06","aut7","",""
"lyndon77","aut7","",""
"man10","aut7","",""
"manson91","aut7","",""
"morin10","aut7","",""
"myking98","aut7","",""
"myking97","aut7","",""
"myking95","aut7","",""
"nerd95","aut7","",""
"nienstaedt66","aut7","",""
"nishimoto95","aut7","",""
"okie11","aut7","",""
"pagter15","aut7","",""
"partanen05","aut7","",""
"partanen98","aut7","",""
"partanen01","aut7","",""
"pettersen71","aut7","",""
"pop2000","aut7","",""
"runger81","aut7","",""
"ramos99","aut7","",""
"rinne97","aut7","",""
"rinne94","aut7","",""
"ruesink98","aut7","",""
"sogaard08","aut7","",""
"sonsteby13","aut7","",""
"sonsteby14","aut7","",""
"sonsteby06","aut7","",""
"sonsteby09a","aut7","sonsteby09a","sonsteby09a"
"sanzperez10","aut7","",""
"sanzperez09","aut7","",""
"schnabel87","aut7","",""
"skre08","aut7","",""
"skuterud94","aut7","",""
"smeets82","aut7","",""
"smeets80","aut7","",""
"spann04","aut7","",""
"spiers74","aut7","",""
"swartz81","aut7","",""
"takimoto64","aut7","",""
"thielges75","aut7","",""
"verheul07","aut7","",""
"viheraaarnio06","aut7","",""
"webb78","aut7","",""
"worrall67","aut7","",""
"yazdaniha64","aut7","",""
"zohner16","aut7","",""
