"key","freq","V1","V2"
"kremervitasse",1,"kremer","vitasse"
"lainenilsen",1,"laine","nilsen"
"laineskre",1,"laine","skre"
"lainetaulavuori",2,"laine","taulavuori"
"laubemenzel",2,"menzel","laube"
"laubesparks",2,"sparks","laube"
"lechowiczlinkosalo",1,"lechowicz","linkosalo"
"leinonenpartanen",1,"leinonen","partanen"
"leinonenrepo",1,"leinonen","repo"
"lejeunepetitjean",1,"lejeune","petitjean"
"leonettimarafon",1,"leonetti","marafon"
"leonettipetri",1,"leonetti","petri"
"lipuhakainen",1,"puhakainen","li"
"livihera-aarnio",1,"vihera-aarnio","li"
"liwelling",1,"welling","li"
"louvetvitasse",1,"louvet","vitasse"
"luman",1,"lu","man"
"mansonsnelgar",1,"snelgar","manson"
"marafonpetri",1,"marafon","petri"
"menzelsparks",2,"menzel","sparks"
"mergenworrall",1,"mergen","worrall"
"mizrahinerd",1,"mizrahi","nerd"
"morinroy",1,"roy","morin"
"morinsonie",1,"sonie","morin"
"mykingsantini",1,"myking","santini"
"myrheimopstad",1,"myrheim","opstad"
"myrheimrenner",1,"myrheim","renner"
"myrheimsonsteby",1,"myrheim","sonsteby"
"myrheimsvenning",1,"myrheim","svenning"
"myrheimzohner",1,"myrheim","zohner"
"neuvonentjus",1,"neuvonen","tjus"
"nilsenskre",1,"nilsen","skre"
"nilsensogaard",1,"nilsen","sogaard"
"nilsentaulavuori",2,"nilsen","taulavuori"
"oberbauerpop",1,"oberbauer","pop"
"oberbauerstarr",1,"oberbauer","starr"
"oharawalker",1,"ohara","walker"
"olsyzktingey",1,"olsyzk","tingey"
"opstadrenner",1,"opstad","renner"
"opstadsonsteby",1,"opstad","sonsteby"
"opstadsvenning",1,"opstad","svenning"
"opstadzohner",1,"opstad","zohner"
"othersskuterud",1,"others","skuterud"
"partanenrepo",1,"repo","partanen"
"popstarr",1,"starr","pop"
"puhakainenvihera-aarnio",1,"puhakainen","vihera-aarnio"
"puhakainenwelling",1,"puhakainen","welling"
"ralloramos",1,"rallo","ramos"
"raseirareisser",1,"raseira","reisser"
"raseirarodrigues",1,"raseira","rodrigues"
"raseirasilva",1,"raseira","silva"
"reisserrodrigues",1,"reisser","rodrigues"
"reissersilva",1,"reisser","silva"
"rennersonsteby",1,"renner","sonsteby"
"rennersvenning",1,"renner","svenning"
"rennerzohner",1,"renner","zohner"
"reporinne",1,"repo","rinne"
"rinnesaarelainen",1,"saarelainen","rinne"
"rodriguessilva",1,"rodrigues","silva"
"roysonie",1,"roy","sonie"
"sanz-perezvalladares",1,"valladares","sanz-perez"
"schnabelwample",1,"wample","schnabel"
"skretaulavuori",2,"taulavuori","skre"
"smithsmith",1,"smith","smith"
"sonstebysvenning",1,"sonsteby","svenning"
"sonstebyverheul",1,"sonsteby","verheul"
"sonstebyzohner",1,"sonsteby","zohner"
"spannwilliamson",1,"williamson","spann"
"svenningzohner",1,"svenning","zohner"
"taulavuoritaulavuori",1,"taulavuori","taulavuori"
"vihera-aarniowelling",1,"vihera-aarnio","welling"
