"","LastName","FirstName","DatasetID","Dataset","SpeciesName","ObservationID","Crown depth","Dataset reference (citation)","Latitude","Longitude","Mean annual temperature (MAT)","Plant height vegetative","Reference DOI (digital object identifier)","Stem diameter at base (basal diameter)","Stem diameter at breast height (1.3 m"
"31","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020083,"0.9","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","2.07","10.1007/s10342-008-0239-1","1.10E-02",NA
"32","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020084,"0.87","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","1.81","10.1007/s10342-008-0239-1","1.00E-02",NA
"33","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020085,"0.87","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","1.83","10.1007/s10342-008-0239-1","1.00E-02",NA
"34","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020086,"0.67","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","1.87","10.1007/s10342-008-0239-1","1.00E-02",NA
"35","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020087,"0.59","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","1.66","10.1007/s10342-008-0239-1","9.00E-03",NA
"36","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020088,"1.22","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","2.18","10.1007/s10342-008-0239-1","1.20E-02",NA
"37","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020089,"1.31","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","1.89","10.1007/s10342-008-0239-1","1.40E-02",NA
"38","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020090,"2.14","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","2.67","10.1007/s10342-008-0239-1","1.50E-02",NA
"39","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020091,"1.26","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","2.68","10.1007/s10342-008-0239-1","1.30E-02",NA
"40","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020092,"1.44","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","2.96","10.1007/s10342-008-0239-1","1.80E-02",NA
"41","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020093,"2.06","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","3.29","10.1007/s10342-008-0239-1","2.70E-02",NA
"42","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020094,"2.18","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","3.39","10.1007/s10342-008-0239-1","2.00E-02",NA
"43","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020095,"2.01","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","3.9","10.1007/s10342-008-0239-1","2.20E-02",NA
"44","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020096,"1.83","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","3.7","10.1007/s10342-008-0239-1","2.10E-02",NA
"45","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020097,"1.56","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","3.25","10.1007/s10342-008-0239-1","1.60E-02",NA
"46","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020098,"1.85","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","4.08","10.1007/s10342-008-0239-1","0.029000003",NA
"47","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020099,"2.21","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","4.34","10.1007/s10342-008-0239-1","2.50E-02",NA
"48","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020100,"1.99","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","3.18","10.1007/s10342-008-0239-1","1.70E-02",NA
"49","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020101,"2.06","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","4.2","10.1007/s10342-008-0239-1","2.20E-02",NA
"50","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020102,"1.41","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","4.15","10.1007/s10342-008-0239-1","2.60E-02",NA
"51","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020103,"2.33","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","4.75","10.1007/s10342-008-0239-1","2.80E-02",NA
"52","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020104,"2.6","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","5.34","10.1007/s10342-008-0239-1","3.30E-02",NA
"53","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020105,"2.12","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","4.44","10.1007/s10342-008-0239-1","3.00E-02",NA
"54","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020106,"1.78","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","4.9","10.1007/s10342-008-0239-1","2.40E-02",NA
"55","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020107,"1.71","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","4.8","10.1007/s10342-008-0239-1","2.50E-02",NA
"56","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020108,"2.11","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","4.36","10.1007/s10342-008-0239-1","3.10E-02",NA
"57","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020109,"2.62","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","5.55","10.1007/s10342-008-0239-1","3.20E-02",NA
"58","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer pseudoplatanus",3020110,"2.68","http://doi.org/10.1007/s10342-008-0239-1","51.57944","10.03639","7.8","5.97","10.1007/s10342-008-0239-1","0.037999917",NA
"59","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008126,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.039","10.1007/s00442-007-0722-2",NA,NA
"60","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008127,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.044","10.1007/s00442-007-0722-2",NA,NA
"61","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008128,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.042","10.1007/s00442-007-0722-2",NA,NA
"62","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008129,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.034","10.1007/s00442-007-0722-2",NA,NA
"63","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008130,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.048","10.1007/s00442-007-0722-2",NA,NA
"64","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008131,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.059","10.1007/s00442-007-0722-2",NA,NA
"65","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008132,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.023","10.1007/s00442-007-0722-2",NA,NA
"66","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008133,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.032","10.1007/s00442-007-0722-2",NA,NA
"67","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008135,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.058","10.1007/s00442-007-0722-2",NA,NA
"68","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008136,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.036","10.1007/s00442-007-0722-2",NA,NA
"69","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008137,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.043","10.1007/s00442-007-0722-2",NA,NA
"70","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008138,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.064","10.1007/s00442-007-0722-2",NA,NA
"71","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008139,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.026","10.1007/s00442-007-0722-2",NA,NA
"72","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008140,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.043","10.1007/s00442-007-0722-2",NA,NA
"73","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008141,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.056","10.1007/s00442-007-0722-2",NA,NA
"74","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008142,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.043","10.1007/s00442-007-0722-2",NA,NA
"75","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008143,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.054","10.1007/s00442-007-0722-2",NA,NA
"76","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008144,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.039","10.1007/s00442-007-0722-2",NA,NA
"77","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008145,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.03","10.1007/s00442-007-0722-2",NA,NA
"78","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008248,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.031","10.1007/s00442-007-0722-2","0.00108",NA
