"","LastName","FirstName","DatasetID","Dataset","SpeciesName","Maximum plant height","Plant height vegetative","Reference / source","Stem diameter at breast height (1.3 m","Wood density; stem specific density; wood specific gravity"
"22","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Betula pubescens",NA,"2700","Brzeziecki1994",NA,NA
"23","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Betula pubescens",NA,NA,"Brzeziecki1994",NA,"650"
"24","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Carpinus betulus",NA,NA,"Brzeziecki1994","WholePlant DMAX",NA
"25","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Carpinus betulus",NA,"2700","Brzeziecki1994",NA,NA
"26","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Carpinus betulus",NA,NA,"Brzeziecki1994",NA,"750"
"27","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Carpinus betulus","27",NA,"Bugman1996",NA,NA
"28","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Corylus avellana","10",NA,"Bugman1996",NA,NA
"29","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Fraxinus excelsior",NA,NA,"Brzeziecki1994","WholePlant DMAX",NA
"30","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Fraxinus excelsior",NA,"4300","Brzeziecki1994",NA,NA
"31","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Fraxinus excelsior",NA,NA,"Brzeziecki1994",NA,"650"
"32","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Fraxinus excelsior","42",NA,"Bugman1996",NA,NA
"33","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Larix decidua",NA,NA,"Brzeziecki1994","WholePlant DMAX",NA
"34","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Larix decidua",NA,"5100","Brzeziecki1994",NA,NA
"35","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Larix decidua",NA,NA,"Brzeziecki1994",NA,"550"
"36","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Larix decidua","52",NA,"Bugman1996",NA,NA
"37","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Picea abies",NA,NA,"Brzeziecki1994","WholePlant DMAX",NA
"38","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Picea abies",NA,"5100","Brzeziecki1994",NA,NA
"39","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Picea abies",NA,NA,"Brzeziecki1994",NA,"450"
"40","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Picea abies","58",NA,"Bugman1996",NA,NA
"41","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Populus tremula",NA,NA,"Brzeziecki1994","WholePlant DMAX",NA
"42","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Populus tremula",NA,"3500","Brzeziecki1994",NA,NA
"43","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Populus tremula",NA,NA,"Brzeziecki1994",NA,"450"
"44","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Populus tremula","30",NA,"Bugman1996",NA,NA
"45","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Prunus avium",NA,NA,"Brzeziecki1994","WholePlant DMAX",NA
"46","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Prunus avium",NA,"2700","Brzeziecki1994",NA,NA
"47","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Prunus avium",NA,NA,"Brzeziecki1994",NA,"550"
"48","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Prunus padus",NA,NA,"Brzeziecki1994","WholePlant DMAX",NA
"49","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Prunus padus",NA,"1900","Brzeziecki1994",NA,NA
"50","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Prunus padus",NA,NA,"Brzeziecki1994",NA,"350"
"51","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Quercus petraea",NA,NA,"Brzeziecki1994","WholePlant DMAX",NA
"52","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Quercus petraea",NA,"4300","Brzeziecki1994",NA,NA
"53","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Quercus petraea",NA,NA,"Brzeziecki1994",NA,"650"
"54","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Quercus petraea","45",NA,"Bugman1996",NA,NA
"55","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Quercus pubescens","25",NA,"Bugman1996",NA,NA
"56","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Sorbus aucuparia",NA,NA,"Brzeziecki1994","WholePlant DMAX",NA
"57","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Sorbus aucuparia",NA,"1900","Brzeziecki1994",NA,NA
"58","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Sorbus aucuparia",NA,NA,"Brzeziecki1994",NA,"750"
"59","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Sorbus aucuparia","19",NA,"Bugman1996",NA,NA
"60","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Tilia cordata",NA,NA,"Brzeziecki1994","WholePlant DMAX",NA
"61","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Tilia cordata",NA,"4300","Brzeziecki1994",NA,NA
"62","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Tilia cordata",NA,NA,"Brzeziecki1994",NA,"450"
"63","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Tilia cordata","30",NA,"Bugman1996",NA,NA
"64","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Ulmus minor",NA,NA,"Brzeziecki1994","WholePlant DMAX",NA
"65","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Ulmus minor",NA,"3500","Brzeziecki1994",NA,NA
"66","Kramer","Koen",191,"Baccara - Plant Traits of European Forests","Ulmus minor",NA,NA,"Brzeziecki1994",NA,"650"
