"LastName","FirstName","SpeciesName","ObservationID","DatasetID","Dataset","Altitude","Canopy position: sun vers. Shade leaf qualifier","Exposition","Latitude","Longitude","Plant developmental status / plant age / maturity / plant life stage","Trait","value"
"Lukes","Petr","Picea abies",2471503,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","170","Canopy position","natural environment","61.860709","24.308844","mature","Leaf carbon/nitrogen (C/N) ratio","52.49377441"
"Lukes","Petr","Picea abies",2471504,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","170","Canopy position","natural environment","61.860709","24.308844","juvenile","Leaf carbon/nitrogen (C/N) ratio","16.28837776"
"Lukes","Petr","Picea abies",2471505,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","170","Canopy position","natural environment","61.860709","24.308844","mature","Leaf carbon/nitrogen (C/N) ratio","38.95824051"
"Lukes","Petr","Picea abies",2471506,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","170","Canopy position","natural environment","61.860709","24.308844","mature","Leaf carbon/nitrogen (C/N) ratio","50.1975708"
"Lukes","Petr","Picea abies",2471507,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","170","Canopy position","natural environment","61.860709","24.308844","juvenile","Leaf carbon/nitrogen (C/N) ratio","20.82546425"
"Lukes","Petr","Picea abies",2471508,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","170","Canopy position","natural environment","61.860709","24.308844","mature","Leaf carbon/nitrogen (C/N) ratio","43.69911575"
"Lukes","Petr","Picea abies",2471509,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","170","Canopy position","natural environment","61.860709","24.308844","mature","Leaf carbon/nitrogen (C/N) ratio","56.03602219"
"Lukes","Petr","Picea abies",2471510,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","169","Canopy position","natural environment","61.861547","24.312136","juvenile","Leaf carbon/nitrogen (C/N) ratio",NA
"Lukes","Petr","Picea abies",2471511,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","169","Canopy position","natural environment","61.861547","24.312136","mature","Leaf carbon/nitrogen (C/N) ratio",NA
"Lukes","Petr","Picea abies",2471512,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","169","Canopy position","natural environment","61.861547","24.312136","mature","Leaf carbon/nitrogen (C/N) ratio","47.00600052"
"Lukes","Petr","Picea abies",2471513,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","169","Canopy position","natural environment","61.861547","24.312136","juvenile","Leaf carbon/nitrogen (C/N) ratio","24.94716454"
"Lukes","Petr","Picea abies",2471514,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","169","Canopy position","natural environment","61.861547","24.312136","mature","Leaf carbon/nitrogen (C/N) ratio","45.42710114"
"Lukes","Petr","Picea abies",2471515,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","169","Canopy position","natural environment","61.861547","24.312136","mature","Leaf carbon/nitrogen (C/N) ratio","43.88719559"
"Lukes","Petr","Picea abies",2471516,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","180","Canopy position","natural environment","61.851581","24.294763","juvenile","Leaf carbon/nitrogen (C/N) ratio","18.99934387"
"Lukes","Petr","Picea abies",2471517,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","180","Canopy position","natural environment","61.851581","24.294763","mature","Leaf carbon/nitrogen (C/N) ratio","31.66342735"
"Lukes","Petr","Picea abies",2471518,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","180","Canopy position","natural environment","61.851581","24.294763","mature","Leaf carbon/nitrogen (C/N) ratio","33.64188766"
"Lukes","Petr","Picea abies",2471519,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","180","Canopy position","natural environment","61.851581","24.294763","juvenile","Leaf carbon/nitrogen (C/N) ratio","20.60203934"
"Lukes","Petr","Picea abies",2471520,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","180","Canopy position","natural environment","61.851581","24.294763","mature","Leaf carbon/nitrogen (C/N) ratio","32.74054337"
"Lukes","Petr","Picea abies",2471521,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","180","Canopy position","natural environment","61.851581","24.294763","mature","Leaf carbon/nitrogen (C/N) ratio","38.3547821"
"Lukes","Petr","Picea abies",2471522,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","180","Canopy position","natural environment","61.851581","24.294763","juvenile","Leaf carbon/nitrogen (C/N) ratio","17.45319748"
"Lukes","Petr","Picea abies",2471523,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","180","Canopy position","natural environment","61.851581","24.294763","mature","Leaf carbon/nitrogen (C/N) ratio","31.40248299"
"Lukes","Petr","Picea abies",2471524,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","180","Canopy position","natural environment","61.851581","24.294763","mature","Leaf carbon/nitrogen (C/N) ratio","37.04199982"
"Lukes","Petr","Picea abies",2471525,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","169","Canopy position","natural environment","61.861547","24.312136","juvenile","Leaf carbon/nitrogen (C/N) ratio",NA
"Lukes","Petr","Picea abies",2471526,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","169","Canopy position","natural environment","61.861547","24.312136","mature","Leaf carbon/nitrogen (C/N) ratio",NA
"Lukes","Petr","Picea abies",2471527,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","169","Canopy position","natural environment","61.861547","24.312136","mature","Leaf carbon/nitrogen (C/N) ratio","44.32683945"
