Tray location,Species,Strat length (days),"Temp (from lowest to highest temperature treatments: LL, LM, HM, HH) ",individual,Collection location,Substrate
10d2,PLALAN,30,LM,EU39,"Just below Enzianhutte, above Zell Am See, Austria",Soil
10d3,PLALAN,30,LM,EU22,"Copenhagen, Denmark",Soil
10d4,PLALAN,30,LM,EU49,"Podhom, Slovenia",Soil
10d5,CHEMAJ,30,LM,EU29,"Grenoble, France",Soil
10d6,RUMCRI,30,LM,EU03,"Grenoble, France",Soil
10d7,TAROFF,30,LM,EU01,"Grenoble, France",Soil
10d8,TAROFF,30,LM,EU11,"Arna, Norway",Soil
10d9,PLAMAJ,30,LM,US25,Walden,Soil
10e1,PLALAN,30,LM,EU29,"Zell Am See, Austria",Soil
10e10,PLAMAJ,30,LM,US205,Arnold Arboretum ,Soil
10e2,PLALAN,30,LM,EU40,"Just below Enzianhutte, above Zell Am See, Austria",Soil
10e3,PLALAN,30,LM,EU22,"Copenhagen, Denmark",Soil
10e4,PLALAN,30,LM,EU52,"Podhom, Slovenia",Soil
10e5,CHEMAJ,30,LM,EU29,"Grenoble, France",Soil
10e6,RUMCRI,30,LM,EU05,"Grenoble, France",Soil
10e7,TAROFF,30,LM,EU01,"Grenoble, France",Soil
10e8,TAROFF,30,LM,EU11,"Arna, Norway",Soil
10e9,PLAMAJ,30,LM,US25,Walden,Soil
10f1,PLALAN,30,LM,EU34,"Zell Am See, Austria",Soil
10f10,PLAMAJ,30,LM,EU01,"Schaan, Liechtenstein",Soil
10f2,PLALAN,30,LM,EU41,"Just below Enzianhutte, above Zell Am See, Austria",Soil
10f3,PLALAN,30,LM,EU42,"Just below Enzianhutte, above Zell Am See, Austria",Soil
10f4,PLALAN,30,LM,EU53,"Divaca Kras, Slovenia",Soil
10f5,RUMCRI,30,LM,EU03,"Grenoble, France",Soil
10f6,RUMCRI,30,LM,EU05,"Grenoble, France",Soil
10f7,TAROFF,30,LM,EU01,"Grenoble, France",Soil
10f8,TAROFF,30,LM,EU11,"Arna, Norway",Soil
10f9,PLAMAJ,30,LM,US25,Walden,Soil
11a1,PLALAN,30,HM,EU20,"Copenhagen, Denmark",Soil
11a10,PLAMAJ,30,HM,US205,Arnold Arboretum ,Soil
11a11,PLAMAJ,30,HM,EU01,"Schaan, Liechtenstein",Soil
11a2,PLALAN,30,HM,EU35,"Zell Am See, Austria",Soil
11a3,PLALAN,30,HM,EU22,"Copenhagen, Denmark",Soil
11a4,PLALAN,30,HM,EU44,"Podhom, Slovenia",Soil
11a5,CHEMAJ,30,HM,EU29,"Grenoble, France",Soil
11a6,RUMCRI,30,HM,EU03,"Grenoble, France",Soil
11a7,RUMCRI,30,HM,EU05,"Grenoble, France",Soil
11a8,TAROFF,30,HM,EU01,"Grenoble, France",Soil
11a9,TAROFF,30,HM,EU11,"Arna, Norway",Soil
11b1,PLALAN,30,HM,EU21,"Copenhagen, Denmark",Soil
11b10,PLAMAJ,30,HM,US205,Arnold Arboretum ,Soil
11b11,PLAMAJ,30,HM,EU01,"Schaan, Liechtenstein",Soil
11b2,PLALAN,30,HM,EU37,"Zell Am See, Austria",Soil
11b3,PLALAN,30,HM,EU22,"Copenhagen, Denmark",Soil
11b4,PLALAN,30,HM,EU45,"Podhom, Slovenia",Soil
11b5,CHEMAJ,30,HM,EU29,"Grenoble, France",Soil
11b6,RUMCRI,30,HM,EU03,"Grenoble, France",Soil
11b7,RUMCRI,30,HM,EU05,"Grenoble, France",Soil
11b8,TAROFF,30,HM,EU01,"Grenoble, France",Soil
11b9,PLAMAJ,30,HM,US25,Walden,Soil
11c1,PLALAN,30,HM,EU22,"Copenhagen, Denmark",Soil
11c10,PLAMAJ,30,HM,US205,Arnold Arboretum ,Soil
11c11,PLAMAJ,30,HM,EU01,"Schaan, Liechtenstein",Soil
11c2,PLALAN,30,HM,EU38,"Just below Enzianhutte, above Zell Am See, Austria",Soil
11c3,PLALAN,30,HM,EU22,"Copenhagen, Denmark",Soil
11c4,PLALAN,30,HM,EU46,"Podhom, Slovenia",Soil
11c5,CHEMAJ,30,HM,EU29,"Grenoble, France",Soil
11c6,RUMCRI,30,HM,EU03,"Grenoble, France",Soil
11c7,RUMCRI,30,HM,EU05,"Grenoble, France",Soil
11c8,TAROFF,30,HM,EU11,"Arna, Norway",Soil
11c9,PLAMAJ,30,HM,US25,Walden,Soil
11d1,PLALAN,30,HM,EU28,"Zell Am See, Austria",Soil
11d10,PLAMAJ,30,HM,US205,Arnold Arboretum ,Soil
11d11,PLAMAJ,30,HM,EU01,"Schaan, Liechtenstein",Soil
11d2,PLALAN,30,HM,EU39,"Just below Enzianhutte, above Zell Am See, Austria",Soil
11d3,PLALAN,30,HM,EU22,"Copenhagen, Denmark",Soil
11d4,PLALAN,30,HM,EU49,"Podhom, Slovenia",Soil
11d5,CHEMAJ,30,HM,EU29,"Grenoble, France",Soil
11d6,RUMCRI,30,HM,EU03,"Grenoble, France",Soil
11d7,TAROFF,30,HM,EU01,"Grenoble, France",Soil
11d8,TAROFF,30,HM,EU11,"Arna, Norway",Soil
11d9,PLAMAJ,30,HM,US25,Walden,Soil
11e1,PLALAN,30,HM,EU29,"Zell Am See, Austria",Soil
11e10,PLAMAJ,30,HM,US205,Arnold Arboretum ,Soil
11e2,PLALAN,30,HM,EU40,"Just below Enzianhutte, above Zell Am See, Austria",Soil
11e3,PLALAN,30,HM,EU22,"Copenhagen, Denmark",Soil
11e4,PLALAN,30,HM,EU52,"Podhom, Slovenia",Soil
11e5,CHEMAJ,30,HM,EU29,"Grenoble, France",Soil
11e6,RUMCRI,30,HM,EU05,"Grenoble, France",Soil
11e7,TAROFF,30,HM,EU01,"Grenoble, France",Soil
11e8,TAROFF,30,HM,EU11,"Arna, Norway",Soil
11e9,PLAMAJ,30,HM,US25,Walden,Soil
11f1,PLALAN,30,HM,EU34,"Zell Am See, Austria",Soil
11f10,PLAMAJ,30,HM,EU01,"Schaan, Liechtenstein",Soil
11f2,PLALAN,30,HM,EU41,"Just below Enzianhutte, above Zell Am See, Austria",Soil
11f3,PLALAN,30,HM,EU42,"Just below Enzianhutte, above Zell Am See, Austria",Soil
11f4,PLALAN,30,HM,EU53,"Divaca Kras, Slovenia",Soil
11f5,RUMCRI,30,HM,EU03,"Grenoble, France",Soil
11f6,RUMCRI,30,HM,EU05,"Grenoble, France",Soil
11f7,TAROFF,30,HM,EU01,"Grenoble, France",Soil
11f8,TAROFF,30,HM,EU11,"Arna, Norway",Soil
11f9,PLAMAJ,30,HM,US25,Walden,Soil
12a1,PLALAN,30,HH,EU20,"Copenhagen, Denmark",Soil
12a10,PLAMAJ,30,HH,US205,Arnold Arboretum ,Soil
12a11,PLAMAJ,30,HH,EU01,"Schaan, Liechtenstein",Soil
12a2,PLALAN,30,HH,EU35,"Zell Am See, Austria",Soil
12a3,PLALAN,30,HH,EU22,"Copenhagen, Denmark",Soil
12a4,PLALAN,30,HH,EU44,"Podhom, Slovenia",Soil
12a5,CHEMAJ,30,HH,EU29,"Grenoble, France",Soil
12a6,RUMCRI,30,HH,EU03,"Grenoble, France",Soil
12a7,RUMCRI,30,HH,EU05,"Grenoble, France",Soil
12a8,TAROFF,30,HH,EU01,"Grenoble, France",Soil
12a9,TAROFF,30,HH,EU11,"Arna, Norway",Soil
12b1,PLALAN,30,HH,EU21,"Copenhagen, Denmark",Soil
12b10,PLAMAJ,30,HH,US205,Arnold Arboretum ,Soil
12b11,PLAMAJ,30,HH,EU01,"Schaan, Liechtenstein",Soil
12b2,PLALAN,30,HH,EU37,"Zell Am See, Austria",Soil
12b3,PLALAN,30,HH,EU22,"Copenhagen, Denmark",Soil
12b4,PLALAN,30,HH,EU45,"Podhom, Slovenia",Soil
12b5,CHEMAJ,30,HH,EU29,"Grenoble, France",Soil
12b6,RUMCRI,30,HH,EU03,"Grenoble, France",Soil
12b7,RUMCRI,30,HH,EU05,"Grenoble, France",Soil
12b8,TAROFF,30,HH,EU01,"Grenoble, France",Soil
12b9,PLAMAJ,30,HH,US25,Walden,Soil
12c1,PLALAN,30,HH,EU22,"Copenhagen, Denmark",Soil
12c10,PLAMAJ,30,HH,US205,Arnold Arboretum ,Soil
12c11,PLAMAJ,30,HH,EU01,"Schaan, Liechtenstein",Soil
12c2,PLALAN,30,HH,EU38,"Just below Enzianhutte, above Zell Am See, Austria",Soil
12c3,PLALAN,30,HH,EU22,"Copenhagen, Denmark",Soil
12c4,PLALAN,30,HH,EU46,"Podhom, Slovenia",Soil
12c5,CHEMAJ,30,HH,EU29,"Grenoble, France",Soil
12c6,RUMCRI,30,HH,EU03,"Grenoble, France",Soil
12c7,RUMCRI,30,HH,EU05,"Grenoble, France",Soil
12c8,TAROFF,30,HH,EU11,"Arna, Norway",Soil
12c9,PLAMAJ,30,HH,US25,Walden,Soil
12d1,PLALAN,30,HH,EU28,"Zell Am See, Austria",Soil
12d10,PLAMAJ,30,HH,US205,Arnold Arboretum ,Soil
12d11,PLAMAJ,30,HH,EU01,"Schaan, Liechtenstein",Soil
12d2,PLALAN,30,HH,EU39,"Just below Enzianhutte, above Zell Am See, Austria",Soil
12d3,PLALAN,30,HH,EU22,"Copenhagen, Denmark",Soil
12d4,PLALAN,30,HH,EU49,"Podhom, Slovenia",Soil
12d5,CHEMAJ,30,HH,EU29,"Grenoble, France",Soil
12d6,RUMCRI,30,HH,EU03,"Grenoble, France",Soil
12d7,TAROFF,30,HH,EU01,"Grenoble, France",Soil
12d8,TAROFF,30,HH,EU11,"Arna, Norway",Soil
12d9,PLAMAJ,30,HH,US25,Walden,Soil
12e1,PLALAN,30,HH,EU29,"Zell Am See, Austria",Soil
12e10,PLAMAJ,30,HH,US205,Arnold Arboretum ,Soil
12e2,PLALAN,30,HH,EU40,"Just below Enzianhutte, above Zell Am See, Austria",Soil
12e3,PLALAN,30,HH,EU22,"Copenhagen, Denmark",Soil
12e4,PLALAN,30,HH,EU52,"Podhom, Slovenia",Soil
12e5,CHEMAJ,30,HH,EU29,"Grenoble, France",Soil
12e6,RUMCRI,30,HH,EU05,"Grenoble, France",Soil
12e7,TAROFF,30,HH,EU01,"Grenoble, France",Soil
12e8,TAROFF,30,HH,EU11,"Arna, Norway",Soil
12e9,PLAMAJ,30,HH,US25,Walden,Soil
12f1,PLALAN,30,HH,EU34,"Zell Am See, Austria",Soil
12f10,PLAMAJ,30,HH,EU01,"Schaan, Liechtenstein",Soil
12f2,PLALAN,30,HH,EU41,"Just below Enzianhutte, above Zell Am See, Austria",Soil
12f3,PLALAN,30,HH,EU42,"Just below Enzianhutte, above Zell Am See, Austria",Soil
12f4,PLALAN,30,HH,EU53,"Divaca Kras, Slovenia",Soil
12f5,RUMCRI,30,HH,EU03,"Grenoble, France",Soil
12f6,RUMCRI,30,HH,EU05,"Grenoble, France",Soil
12f7,TAROFF,30,HH,EU01,"Grenoble, France",Soil
12f8,TAROFF,30,HH,EU11,"Arna, Norway",Soil
12f9,PLAMAJ,30,HH,US25,Walden,Soil
13a1,PLALAN,30,LL,EU54,"Divaca Kras, Slovenia",Soil
13a10,DACGLO,30,LL,US01,Harvard Forest,Soil
13a11,DACGLO,30,LL,US22,Arnold Arboretum ,Soil
13a12,CAPBUR,30,LL,EU07,"Leer, Germany",Soil
13a2,PLALAN,30,LL,EU60,"Divaca Kras, Slovenia",Soil
13a3,PLALAN,30,LL,EU64,"Schaan, Liechtenstein",Soil
13a4,PLALAN,30,LL,EU76,"Le Tretien, Switzerland",Soil
13a5,CHEMAJ,30,LL,US06,Walden,Soil
13a6,CHEMAJ,30,LL,US20,Arnold Arboretum ,Soil
13a7,RUMCRI,30,LL,US01,Walden,Soil
13a8,RUMCRI,30,LL,US24,Arnold Arboretum ,Soil
13a9,TAROFF,30,LL,US21,Arnold Arboretum ,Soil
13b1,PLALAN,30,LL,EU57,"Divaca Kras, Slovenia",Soil
13b10,DACGLO,30,LL,US01,Harvard Forest,Soil
13b11,DACGLO,30,LL,US22,Arnold Arboretum ,Soil
13b12,CAPBUR,30,LL,EU07,"Leer, Germany",Soil
13b2,PLALAN,30,LL,EU60,"Divaca Kras, Slovenia",Soil
13b3,PLALAN,30,LL,EU70,"Schaan, Liechtenstein",Soil
13b4,PLALAN,30,LL,EU77,"Grenoble, France",Soil
13b5,CHEMAJ,30,LL,US06,Walden,Soil
13b6,CHEMAJ,30,LL,US20,Arnold Arboretum ,Soil
13b7,RUMCRI,30,LL,US01,Walden,Soil
13b8,TAROFF,30,LL,US02,Harvard Forest,Soil
13b9,TAROFF,30,LL,US21,Arnold Arboretum ,Soil
13c1,PLALAN,30,LL,EU60,"Divaca Kras, Slovenia",Soil
13c10,DACGLO,30,LL,US01,Harvard Forest,Soil
13c11,DACGLO,30,LL,US22,Arnold Arboretum ,Soil
13c12,CAPBUR,30,LL,EU07,"Leer, Germany",Soil
13c2,PLALAN,30,LL,EU61,"Divaca Kras, Slovenia",Soil
13c3,PLALAN,30,LL,EU73,"Le Tretien, Switzerland",Soil
13c4,PLALAN,30,LL,EU78,"Grenoble, France",Soil
13c5,CHEMAJ,30,LL,US06,Walden,Soil
13c6,CHEMAJ,30,LL,US20,Arnold Arboretum ,Soil
13c7,RUMCRI,30,LL,US24,Arnold Arboretum ,Soil
13c8,TAROFF,30,LL,US02,Harvard Forest,Soil
13c9,TAROFF,30,LL,US21,Arnold Arboretum ,Soil
13d1,PLALAN,30,LL,EU60,"Divaca Kras, Slovenia",Soil
13d10,DACGLO,30,LL,US01,Harvard Forest,Soil
13d12,CAPBUR,30,LL,EU07,"Leer, Germany",Soil
13d2,PLALAN,30,LL,EU61,"Schaan, Liechtenstein",Soil
13d3,PLALAN,30,LL,EU74,"Le Tretien, Switzerland",Soil
13d4,PLALAN,30,LL,EU79,"Grenoble, France",Soil
13d5,CHEMAJ,30,LL,US06,Walden,Soil
13d6,RUMCRI,30,LL,US01,Walden,Soil
13d7,RUMCRI,30,LL,US24,Arnold Arboretum ,Soil
13d8,TAROFF,30,LL,US02,Harvard Forest,Soil
13d9,TAROFF,30,LL,US21,Arnold Arboretum ,Soil
13e1,PLALAN,30,LL,EU60,"Divaca Kras, Slovenia",Soil
13e10,TAROFF,30,LL,US21,Arnold Arboretum ,Soil
13e12,CAPBUR,30,LL,EU07,"Leer, Germany",Soil
13e2,PLALAN,30,LL,EU62,"Schaan, Liechtenstein",Soil
13e3,PLALAN,30,LL,EU74,"Le Tretien, Switzerland",Soil
13e4,PLALAN,30,LL,EU80,"Grenoble, France",Soil
13e5,CHEMAJ,30,LL,US20,Arnold Arboretum ,Soil
13e6,RUMCRI,30,LL,US01,Walden,Soil
13e7,RUMCRI,30,LL,US24,Arnold Arboretum ,Soil
13e8,TAROFF,30,LL,US02,Harvard Forest,Soil
13e9,DACGLO,30,LL,US01,Harvard Forest,Soil
13f1,PLALAN,30,LL,EU60,"Divaca Kras, Slovenia",Soil
13f2,PLALAN,30,LL,EU63,"Schaan, Liechtenstein",Soil
13f3,PLALAN,30,LL,EU75,"Le Tretien, Switzerland",Soil
13f4,CHEMAJ,30,LL,US06,Walden,Soil
13f5,CHEMAJ,30,LL,US20,Arnold Arboretum ,Soil
13f6,RUMCRI,30,LL,US01,Walden,Soil
13f7,RUMCRI,30,LL,US24,Arnold Arboretum ,Soil
13f8,TAROFF,30,LL,US02,Harvard Forest,Soil
13f9,DACGLO,30,LL,US01,Harvard Forest,Soil
14a1,PLALAN,30,LM,EU54,"Divaca Kras, Slovenia",Soil
14a10,DACGLO,30,LM,US01,Harvard Forest,Soil
14a11,DACGLO,30,LM,US22,Arnold Arboretum ,Soil
14a12,CAPBUR,30,LM,EU07,"Leer, Germany",Soil
14a2,PLALAN,30,LM,EU60,"Divaca Kras, Slovenia",Soil
14a3,PLALAN,30,LM,EU64,"Schaan, Liechtenstein",Soil
14a4,PLALAN,30,LM,EU76,"Le Tretien, Switzerland",Soil
14a5,CHEMAJ,30,LM,US06,Walden,Soil
14a6,CHEMAJ,30,LM,US20,Arnold Arboretum ,Soil
14a7,RUMCRI,30,LM,US01,Walden,Soil
14a8,RUMCRI,30,LM,US24,Arnold Arboretum ,Soil
14a9,TAROFF,30,LM,US21,Arnold Arboretum ,Soil
14b1,PLALAN,30,LM,EU57,"Divaca Kras, Slovenia",Soil
14b10,DACGLO,30,LM,US01,Harvard Forest,Soil
14b11,DACGLO,30,LM,US22,Arnold Arboretum ,Soil
14b12,CAPBUR,30,LM,EU07,"Leer, Germany",Soil
14b2,PLALAN,30,LM,EU60,"Divaca Kras, Slovenia",Soil
14b3,PLALAN,30,LM,EU70,"Schaan, Liechtenstein",Soil
14b4,PLALAN,30,LM,EU77,"Grenoble, France",Soil
14b5,CHEMAJ,30,LM,US06,Walden,Soil
14b6,CHEMAJ,30,LM,US20,Arnold Arboretum ,Soil
14b7,RUMCRI,30,LM,US01,Walden,Soil
14b8,TAROFF,30,LM,US02,Harvard Forest,Soil
14b9,TAROFF,30,LM,US21,Arnold Arboretum ,Soil
14c1,PLALAN,30,LM,EU60,"Divaca Kras, Slovenia",Soil
14c10,DACGLO,30,LM,US01,Harvard Forest,Soil
14c12,CAPBUR,30,LM,EU07,"Leer, Germany",Soil
14c2,PLALAN,30,LM,EU61,"Divaca Kras, Slovenia",Soil
14c3,PLALAN,30,LM,EU73,"Le Tretien, Switzerland",Soil
14c4,PLALAN,30,LM,EU78,"Grenoble, France",Soil
14c5,CHEMAJ,30,LM,US06,Walden,Soil
14c6,CHEMAJ,30,LM,US20,Arnold Arboretum ,Soil
14c7,RUMCRI,30,LM,US24,Arnold Arboretum ,Soil
14c8,TAROFF,30,LM,US02,Harvard Forest,Soil
14c9,TAROFF,30,LM,US21,Arnold Arboretum ,Soil
14d1,PLALAN,30,LM,EU60,"Divaca Kras, Slovenia",Soil
14d10,DACGLO,30,LM,US01,Harvard Forest,Soil
14d12,CAPBUR,30,LM,EU07,"Leer, Germany",Soil
14d2,PLALAN,30,LM,EU61,"Schaan, Liechtenstein",Soil
14d3,PLALAN,30,LM,EU74,"Le Tretien, Switzerland",Soil
14d4,PLALAN,30,LM,EU79,"Grenoble, France",Soil
14d5,CHEMAJ,30,LM,US06,Walden,Soil
14d6,RUMCRI,30,LM,US01,Walden,Soil
14d7,RUMCRI,30,LM,US24,Arnold Arboretum ,Soil
14d8,TAROFF,30,LM,US02,Harvard Forest,Soil
14d9,TAROFF,30,LM,US21,Arnold Arboretum ,Soil
14e1,PLALAN,30,LM,EU60,"Divaca Kras, Slovenia",Soil
14e10,TAROFF,30,LM,US21,Arnold Arboretum ,Soil
14e12,CAPBUR,30,LM,EU07,"Leer, Germany",Soil
14e2,PLALAN,30,LM,EU62,"Schaan, Liechtenstein",Soil
14e3,PLALAN,30,LM,EU74,"Le Tretien, Switzerland",Soil
14e4,PLALAN,30,LM,EU80,"Grenoble, France",Soil
14e5,CHEMAJ,30,LM,US20,Arnold Arboretum ,Soil
14e6,RUMCRI,30,LM,US01,Walden,Soil
14e7,RUMCRI,30,LM,US24,Arnold Arboretum ,Soil
14e8,TAROFF,30,LM,US02,Harvard Forest,Soil
14e9,TAROFF,30,LM,US21,Arnold Arboretum ,Soil
14f1,PLALAN,30,LM,EU60,"Divaca Kras, Slovenia",Soil
14f2,PLALAN,30,LM,EU63,"Schaan, Liechtenstein",Soil
14f3,PLALAN,30,LM,EU75,"Le Tretien, Switzerland",Soil
14f4,CHEMAJ,30,LM,US06,Walden,Soil
14f5,CHEMAJ,30,LM,US20,Arnold Arboretum ,Soil
14f6,RUMCRI,30,LM,US01,Walden,Soil
14f7,RUMCRI,30,LM,US24,Arnold Arboretum ,Soil
14f8,TAROFF,30,LM,US02,Harvard Forest,Soil
14f9,DACGLO,30,LM,US01,Harvard Forest,Soil
15a1,PLALAN,30,HM,EU54,"Divaca Kras, Slovenia",Soil
15a10,DACGLO,30,HM,US01,Harvard Forest,Soil
15a11,DACGLO,30,HM,US22,Arnold Arboretum ,Soil
15a12,CAPBUR,30,HM,EU07,"Leer, Germany",Soil
15a2,PLALAN,30,HM,EU60,"Divaca Kras, Slovenia",Soil
15a3,PLALAN,30,HM,EU64,"Schaan, Liechtenstein",Soil
15a4,PLALAN,30,HM,EU76,"Le Tretien, Switzerland",Soil
15a5,CHEMAJ,30,HM,US06,Walden,Soil
15a6,CHEMAJ,30,HM,US20,Arnold Arboretum ,Soil
15a7,RUMCRI,30,HM,US01,Walden,Soil
15a8,RUMCRI,30,HM,US24,Arnold Arboretum ,Soil
15a9,TAROFF,30,HM,US21,Arnold Arboretum ,Soil
15b1,PLALAN,30,HM,EU57,"Divaca Kras, Slovenia",Soil
15b10,DACGLO,30,HM,US01,Harvard Forest,Soil
15b11,DACGLO,30,HM,US22,Arnold Arboretum ,Soil
15b12,CAPBUR,30,HM,EU07,"Leer, Germany",Soil
15b2,PLALAN,30,HM,EU60,"Divaca Kras, Slovenia",Soil
15b3,PLALAN,30,HM,EU70,"Schaan, Liechtenstein",Soil
15b4,PLALAN,30,HM,EU77,"Grenoble, France",Soil
15b5,CHEMAJ,30,HM,US06,Walden,Soil
15b6,CHEMAJ,30,HM,US20,Arnold Arboretum ,Soil
15b7,RUMCRI,30,HM,US01,Walden,Soil
15b8,TAROFF,30,HM,US02,Harvard Forest,Soil
15b9,TAROFF,30,HM,US21,Arnold Arboretum ,Soil
15c1,PLALAN,30,HM,EU60,"Divaca Kras, Slovenia",Soil
15c10,DACGLO,30,HM,US01,Harvard Forest,Soil
15c12,CAPBUR,30,HM,EU07,"Leer, Germany",Soil
15c2,PLALAN,30,HM,EU61,"Divaca Kras, Slovenia",Soil
15c3,PLALAN,30,HM,EU73,"Le Tretien, Switzerland",Soil
15c4,PLALAN,30,HM,EU78,"Grenoble, France",Soil
15c5,CHEMAJ,30,HM,US06,Walden,Soil
15c6,CHEMAJ,30,HM,US20,Arnold Arboretum ,Soil
15c7,RUMCRI,30,HM,US24,Arnold Arboretum ,Soil
15c8,TAROFF,30,HM,US02,Harvard Forest,Soil
15c9,TAROFF,30,HM,US21,Arnold Arboretum ,Soil
15d1,PLALAN,30,HM,EU60,"Divaca Kras, Slovenia",Soil
15d10,DACGLO,30,HM,US01,Harvard Forest,Soil
15d12,CAPBUR,30,HM,EU07,"Leer, Germany",Soil
15d2,PLALAN,30,HM,EU61,"Schaan, Liechtenstein",Soil
15d3,PLALAN,30,HM,EU74,"Le Tretien, Switzerland",Soil
15d4,PLALAN,30,HM,EU79,"Grenoble, France",Soil
15d5,CHEMAJ,30,HM,US06,Walden,Soil
15d6,RUMCRI,30,HM,US01,Walden,Soil
15d7,RUMCRI,30,HM,US24,Arnold Arboretum ,Soil
15d8,TAROFF,30,HM,US02,Harvard Forest,Soil
15d9,TAROFF,30,HM,US21,Arnold Arboretum ,Soil
15e1,PLALAN,30,HM,EU60,"Divaca Kras, Slovenia",Soil
15e10,TAROFF,30,HM,US21,Arnold Arboretum ,Soil
15e12,CAPBUR,30,HM,EU07,"Leer, Germany",Soil
15e2,PLALAN,30,HM,EU62,"Schaan, Liechtenstein",Soil
15e3,PLALAN,30,HM,EU74,"Le Tretien, Switzerland",Soil
15e4,PLALAN,30,HM,EU80,"Grenoble, France",Soil
15e5,CHEMAJ,30,HM,US20,Arnold Arboretum ,Soil
15e6,RUMCRI,30,HM,US01,Walden,Soil
15e7,RUMCRI,30,HM,US24,Arnold Arboretum ,Soil
15e8,TAROFF,30,HM,US02,Harvard Forest,Soil
15e9,DACGLO,30,HM,US01,Harvard Forest,Soil
15f1,PLALAN,30,HM,EU60,"Divaca Kras, Slovenia",Soil
15f2,PLALAN,30,HM,EU63,"Schaan, Liechtenstein",Soil
15f3,PLALAN,30,HM,EU75,"Le Tretien, Switzerland",Soil
15f4,CHEMAJ,30,HM,US06,Walden,Soil
15f5,CHEMAJ,30,HM,US20,Arnold Arboretum ,Soil
15f6,RUMCRI,30,HM,US01,Walden,Soil
15f7,RUMCRI,30,HM,US24,Arnold Arboretum ,Soil
15f8,TAROFF,30,HM,US02,Harvard Forest,Soil
15f9,DACGLO,30,HM,US01,Harvard Forest,Soil
16a1,PLALAN,30,HH,EU54,"Divaca Kras, Slovenia",Soil
16a10,DACGLO,30,HH,US01,Harvard Forest,Soil
16a11,DACGLO,30,HH,US22,Arnold Arboretum ,Soil
16a12,CAPBUR,30,HH,EU07,"Leer, Germany",Soil
16a2,PLALAN,30,HH,EU60,"Divaca Kras, Slovenia",Soil
16a3,PLALAN,30,HH,EU64,"Schaan, Liechtenstein",Soil
16a4,PLALAN,30,HH,EU76,"Le Tretien, Switzerland",Soil
16a5,CHEMAJ,30,HH,US06,Walden,Soil
16a6,CHEMAJ,30,HH,US20,Arnold Arboretum ,Soil
16a7,RUMCRI,30,HH,US01,Walden,Soil
16a8,RUMCRI,30,HH,US24,Arnold Arboretum ,Soil
16a9,TAROFF,30,HH,US21,Arnold Arboretum ,Soil
16b1,PLALAN,30,HH,EU57,"Divaca Kras, Slovenia",Soil
16b10,DACGLO,30,HH,US01,Harvard Forest,Soil
16b11,DACGLO,30,HH,US22,Arnold Arboretum ,Soil
16b12,CAPBUR,30,HH,EU07,"Leer, Germany",Soil
