Tray location,Substrate,Date of measurement,Height (cm)
11b6,soil,12/7/2015,1.5
11b7,soil,12/7/2015,NA
11b8,soil,12/7/2015,1.5
11b9,soil,12/7/2015,1.0
11c1,soil,12/7/2015,NA
11c10,soil,12/7/2015,NA
11c11,soil,12/7/2015,0.5
11c2,soil,12/7/2015,4.0
11c3,soil,12/7/2015,1.0
11c4,soil,12/7/2015,6.0
11c5,soil,12/7/2015,NA
11c6,soil,12/7/2015,1.5
11c7,soil,12/7/2015,1.5
11c8,soil,12/7/2015,0.5
11c9,soil,12/7/2015,0.5
11d1,soil,12/7/2015,NA
11d10,soil,12/7/2015,1.0
11d11,soil,12/7/2015,0.5
11d2,soil,12/7/2015,6.0
11d3,soil,12/7/2015,3.0
11d4,soil,12/7/2015,6.0
11d5,soil,12/7/2015,NA
11d6,soil,12/7/2015,NA
11d7,soil,12/7/2015,1.0
11d8,soil,12/7/2015,NA
11d9,soil,12/7/2015,1.0
11e1,soil,12/7/2015,NA
11e10,soil,12/7/2015,1.0
11e2,soil,12/7/2015,4.0
11e3,soil,12/7/2015,2.0
11e4,soil,12/7/2015,NA
11e5,soil,12/7/2015,NA
11e6,soil,12/7/2015,NA
11e7,soil,12/7/2015,NA
11e8,soil,12/7/2015,2.0
11e9,soil,12/7/2015,0.5
11f1,soil,12/7/2015,NA
11f10,soil,12/7/2015,1.0
11f2,soil,12/7/2015,5.0
11f3,soil,12/7/2015,4.0
11f4,soil,12/7/2015,4.5
11f5,soil,12/7/2015,NA
11f6,soil,12/7/2015,1.0
11f7,soil,12/7/2015,1.5
11f8,soil,12/7/2015,NA
11f9,soil,12/7/2015,0.5
12a1,soil,12/7/2015,NA
12a10,soil,12/7/2015,0.5
12a11,soil,12/7/2015,1.0
12a2,soil,12/7/2015,NA
12a3,soil,12/7/2015,2.5
12a4,soil,12/7/2015,NA
12a5,soil,12/7/2015,NA
12a6,soil,12/7/2015,NA
12a7,soil,12/7/2015,1.0
12a8,soil,12/7/2015,1.5
12a9,soil,12/7/2015,1.0
12b1,soil,12/7/2015,NA
12b10,soil,12/7/2015,0.5
12b11,soil,12/7/2015,0.5
12b2,soil,12/7/2015,NA
12b3,soil,12/7/2015,2.5
12b4,soil,12/7/2015,5.0
12b5,soil,12/7/2015,NA
12b6,soil,12/7/2015,1.0
12b7,soil,12/7/2015,1.0
12b8,soil,12/7/2015,2.0
12b9,soil,12/7/2015,NA
12c1,soil,12/7/2015,2.0
12c10,soil,12/7/2015,0.5
12c11,soil,12/7/2015,1.0
12c2,soil,12/7/2015,NA
12c3,soil,12/7/2015,2.5
12c4,soil,12/7/2015,NA
12c5,soil,12/7/2015,NA
12c6,soil,12/7/2015,NA
12c7,soil,12/7/2015,1.0
12c8,soil,12/7/2015,1.5
12c9,soil,12/7/2015,1.0
12d1,soil,12/7/2015,2.0
12d10,soil,12/7/2015,0.5
12d11,soil,12/7/2015,NA
12d2,soil,12/7/2015,5.5
12d3,soil,12/7/2015,NA
12d4,soil,12/7/2015,6.0
12d5,soil,12/7/2015,NA
12d6,soil,12/7/2015,0.5
12d7,soil,12/7/2015,0.5
12d8,soil,12/7/2015,NA
12d9,soil,12/7/2015,1.0
12e1,soil,12/7/2015,1.5
12e10,soil,12/7/2015,0.5
12e2,soil,12/7/2015,3.5
12e3,soil,12/7/2015,2.5
12e4,soil,12/7/2015,6.0
12e5,soil,12/7/2015,NA
12e6,soil,12/7/2015,NA
12e7,soil,12/7/2015,1.0
12e8,soil,12/7/2015,0.5
12e9,soil,12/7/2015,1.0
12f1,soil,12/7/2015,NA
12f10,soil,12/7/2015,1.0
12f2,soil,12/7/2015,4.0
12f3,soil,12/7/2015,0.5
12f4,soil,12/7/2015,3.0
12f5,soil,12/7/2015,NA
12f6,soil,12/7/2015,NA
12f7,soil,12/7/2015,0.0
12f8,soil,12/7/2015,0.0
12f9,soil,12/7/2015,0.5
13a1,soil,12/7/2015,1.0
13a10,soil,12/7/2015,2.5
13a11,soil,12/7/2015,NA
13a12,soil,12/7/2015,0.5
13a2,soil,12/7/2015,1.0
13a3,soil,12/7/2015,2.4
13a4,soil,12/7/2015,NA
13a5,soil,12/7/2015,NA
13a6,soil,12/7/2015,NA
13a7,soil,12/7/2015,0.5
13a8,soil,12/7/2015,0.5
13a9,soil,12/7/2015,0.5
13b1,soil,12/7/2015,NA
13b10,soil,12/7/2015,3.0
13b11,soil,12/7/2015,NA
13b12,soil,12/7/2015,0.5
13b2,soil,12/7/2015,NA
13b3,soil,12/7/2015,0.5
13b4,soil,12/7/2015,3.0
13b5,soil,12/7/2015,NA
13b6,soil,12/7/2015,NA
13b7,soil,12/7/2015,0.5
13b8,soil,12/7/2015,0.5
13b9,soil,12/7/2015,NA
13c1,soil,12/7/2015,1.0
13c10,soil,12/7/2015,2.5
13c11,soil,12/7/2015,1.5
13c12,soil,12/7/2015,0.5
13c2,soil,12/7/2015,2.5
13c3,soil,12/7/2015,NA
13c4,soil,12/7/2015,NA
13c5,soil,12/7/2015,NA
13c6,soil,12/7/2015,NA
13c7,soil,12/7/2015,0.0
13c8,soil,12/7/2015,0.5
13c9,soil,12/7/2015,0.5
13d1,soil,12/7/2015,1.0
13d10,soil,12/7/2015,2.5
13d12,soil,12/7/2015,1.0
13d2,soil,12/7/2015,3.0
13d3,soil,12/7/2015,2.0
13d4,soil,12/7/2015,0.5
13d5,soil,12/7/2015,NA
13d6,soil,12/7/2015,0.5
13d7,soil,12/7/2015,1.0
13d8,soil,12/7/2015,0.5
13d9,soil,12/7/2015,0.5
13e1,soil,12/7/2015,1.5
13e10,soil,12/7/2015,0.5
13e12,soil,12/7/2015,1.0
13e2,soil,12/7/2015,3.0
13e3,soil,12/7/2015,2.0
13e4,soil,12/7/2015,0.0
13e5,soil,12/7/2015,NA
13e6,soil,12/7/2015,0.5
13e7,soil,12/7/2015,1.0
13e8,soil,12/7/2015,0.5
13e9,soil,12/7/2015,2.5
13f1,soil,12/7/2015,NA
13f2,soil,12/7/2015,NA
13f3,soil,12/7/2015,1.5
13f4,soil,12/7/2015,NA
13f5,soil,12/7/2015,NA
13f6,soil,12/7/2015,0.5
13f7,soil,12/7/2015,0.5
13f8,soil,12/7/2015,0.5
13f9,soil,12/7/2015,4.0
14a1,soil,12/7/2015,1.5
14a10,soil,12/7/2015,7.0
14a11,soil,12/7/2015,6.0
14a12,soil,12/7/2015,1.5
14a2,soil,12/7/2015,4.0
14a3,soil,12/7/2015,4.5
14a4,soil,12/7/2015,5.0
14a5,soil,12/7/2015,2.0
14a6,soil,12/7/2015,NA
14a7,soil,12/7/2015,1.0
14a8,soil,12/7/2015,0.5
14a9,soil,12/7/2015,0.5
14b1,soil,12/7/2015,4.0
14b10,soil,12/7/2015,NA
14b11,soil,12/7/2015,5.0
14b12,soil,12/7/2015,2.0
14b2,soil,12/7/2015,2.0
14b3,soil,12/7/2015,2.0
14b4,soil,12/7/2015,2.0
14b5,soil,12/7/2015,5.0
14b6,soil,12/7/2015,NA
14b7,soil,12/7/2015,1.5
14b8,soil,12/7/2015,1.0
14b9,soil,12/7/2015,NA
14c1,soil,12/7/2015,NA
14c10,soil,12/7/2015,5.0
14c12,soil,12/7/2015,0.5
14c2,soil,12/7/2015,5.0
14c3,soil,12/7/2015,2.0
14c4,soil,12/7/2015,2.0
14c5,soil,12/7/2015,4.0
14c6,soil,12/7/2015,NA
14c7,soil,12/7/2015,1.5
14c8,soil,12/7/2015,NA
14c9,soil,12/7/2015,NA
14d1,soil,12/7/2015,NA
14d10,soil,12/7/2015,4.0
14d12,soil,12/7/2015,1.5
14d2,soil,12/7/2015,3.5
14d3,soil,12/7/2015,4.0
14d4,soil,12/7/2015,4.0
14d5,soil,12/7/2015,NA
14d6,soil,12/7/2015,1.5
14d7,soil,12/7/2015,2.0
14d8,soil,12/7/2015,NA
14d9,soil,12/7/2015,0.5
14e1,soil,12/7/2015,5.0
14e10,soil,12/7/2015,1.0
14e12,soil,12/7/2015,NA
14e2,soil,12/7/2015,NA
14e3,soil,12/7/2015,3.0
14e4,soil,12/7/2015,3.5
14e5,soil,12/7/2015,3.0
14e6,soil,12/7/2015,1.5
14e7,soil,12/7/2015,NA
14e8,soil,12/7/2015,0.5
14e9,soil,12/7/2015,0.5
14f1,soil,12/7/2015,3.0
14f2,soil,12/7/2015,NA
14f3,soil,12/7/2015,3.5
14f4,soil,12/7/2015,3.0
14f5,soil,12/7/2015,NA
14f6,soil,12/7/2015,1.0
14f7,soil,12/7/2015,1.0
14f8,soil,12/7/2015,1.0
14f9,soil,12/7/2015,6.0
15a1,soil,12/7/2015,4.0
15a10,soil,12/7/2015,6.5
15a11,soil,12/7/2015,7.0
15a12,soil,12/7/2015,1.0
15a2,soil,12/7/2015,4.0
15a3,soil,12/7/2015,4.5
15a4,soil,12/7/2015,3.5
15a5,soil,12/7/2015,NA
15a6,soil,12/7/2015,0.5
15a7,soil,12/7/2015,1.5
15a8,soil,12/7/2015,1.5
15a9,soil,12/7/2015,NA
15b1,soil,12/7/2015,3.5
15b10,soil,12/7/2015,7.5
15b11,soil,12/7/2015,7.0
15b12,soil,12/7/2015,2.5
15b2,soil,12/7/2015,3.0
15b3,soil,12/7/2015,NA
15b4,soil,12/7/2015,5.0
15b5,soil,12/7/2015,0.5
15b6,soil,12/7/2015,NA
15b7,soil,12/7/2015,1.5
15b8,soil,12/7/2015,0.5
15b9,soil,12/7/2015,0.5
15c1,soil,12/7/2015,4.5
15c10,soil,12/7/2015,7.0
15c12,soil,12/7/2015,2.0
15c2,soil,12/7/2015,7.0
15c3,soil,12/7/2015,3.5
15c4,soil,12/7/2015,4.0
15c5,soil,12/7/2015,NA
15c6,soil,12/7/2015,1.0
15c7,soil,12/7/2015,1.5
15c8,soil,12/7/2015,2.0
15c9,soil,12/7/2015,1.5
15d1,soil,12/7/2015,3.0
15d10,soil,12/7/2015,7.0
15d12,soil,12/7/2015,2.0
15d2,soil,12/7/2015,4.5
15d3,soil,12/7/2015,3.5
15d4,soil,12/7/2015,5.0
15d5,soil,12/7/2015,NA
15d6,soil,12/7/2015,1.0
15d7,soil,12/7/2015,2.0
15d8,soil,12/7/2015,1.0
15d9,soil,12/7/2015,2.0
15e1,soil,12/7/2015,2.0
15e10,soil,12/7/2015,1.0
15e12,soil,12/7/2015,2.5
15e2,soil,12/7/2015,2.5
15e3,soil,12/7/2015,2.5
15e4,soil,12/7/2015,0.5
15e5,soil,12/7/2015,0.5
15e6,soil,12/7/2015,1.5
15e7,soil,12/7/2015,2.0
15e8,soil,12/7/2015,1.0
15e9,soil,12/7/2015,5.0
15f1,soil,12/7/2015,4.0
15f2,soil,12/7/2015,NA
15f3,soil,12/7/2015,0.0
15f4,soil,12/7/2015,0.5
15f5,soil,12/7/2015,0.5
15f6,soil,12/7/2015,1.5
15f7,soil,12/7/2015,1.5
15f8,soil,12/7/2015,1.5
15f9,soil,12/7/2015,7.0
16a1,soil,12/7/2015,NA
16a10,soil,12/7/2015,7.0
16a11,soil,12/7/2015,7.0
16a12,soil,12/7/2015,2.0
16a2,soil,12/7/2015,2.0
16a3,soil,12/7/2015,3.5
16a4,soil,12/7/2015,5.0
16a5,soil,12/7/2015,NA
16a6,soil,12/7/2015,NA
16a7,soil,12/7/2015,1.5
16a8,soil,12/7/2015,2.0
16a9,soil,12/7/2015,1.0
16b1,soil,12/7/2015,3.5
16b10,soil,12/7/2015,9.5
16b11,soil,12/7/2015,8.0
16b12,soil,12/7/2015,1.5
16b2,soil,12/7/2015,3.5
16b3,soil,12/7/2015,NA
16b4,soil,12/7/2015,4.5
16b5,soil,12/7/2015,NA
16b6,soil,12/7/2015,NA
16b7,soil,12/7/2015,1.5
16b8,soil,12/7/2015,NA
16b9,soil,12/7/2015,1.0
16c1,soil,12/7/2015,NA
16c10,soil,12/7/2015,8.0
16c11,soil,12/7/2015,7.0
16c12,soil,12/7/2015,0.5
16c2,soil,12/7/2015,5.0
16c3,soil,12/7/2015,NA
16c4,soil,12/7/2015,4.5
16c5,soil,12/7/2015,NA
16c6,soil,12/7/2015,1.0
16c7,soil,12/7/2015,2.0
16c8,soil,12/7/2015,1.0
16c9,soil,12/7/2015,0.5
16d1,soil,12/7/2015,NA
16d10,soil,12/7/2015,8.0
16d12,soil,12/7/2015,2.0
16d2,soil,12/7/2015,2.0
16d3,soil,12/7/2015,4.5
16d4,soil,12/7/2015,4.5
16d5,soil,12/7/2015,1.0
16d6,soil,12/7/2015,1.5
16d7,soil,12/7/2015,NA
16d8,soil,12/7/2015,1.0
16d9,soil,12/7/2015,1.0
16e1,soil,12/7/2015,NA
16e10,soil,12/7/2015,2.5
16e12,soil,12/7/2015,2.0
16e2,soil,12/7/2015,1.0
16e3,soil,12/7/2015,3.5
16e4,soil,12/7/2015,5.0
16e5,soil,12/7/2015,NA
16e6,soil,12/7/2015,2.0
16e7,soil,12/7/2015,1.0
16e8,soil,12/7/2015,1.0
16e9.1,soil,12/7/2015,NA
16e9.2,soil,12/7/2015,10.0
16f1,soil,12/7/2015,NA
16f2,soil,12/7/2015,NA
16f3,soil,12/7/2015,3.5
16f4,soil,12/7/2015,1.0
16f5,soil,12/7/2015,NA
16f6,soil,12/7/2015,1.0
16f7,soil,12/7/2015,1.0
16f8,soil,12/7/2015,1.0
16f9,soil,12/7/2015,8.5
17a10,soil,12/7/2015,0.5
17a11,soil,12/7/2015,0.5
17a12,soil,12/7/2015,NA
17a5,soil,12/7/2015,NA
17a6,soil,12/7/2015,NA
17a7,soil,12/7/2015,NA
17a8,soil,12/7/2015,NA
17a9,soil,12/7/2015,0.0
17b10,soil,12/7/2015,1.0
17b11,soil,12/7/2015,0.5
17b12,soil,12/7/2015,4.0
17b5,soil,12/7/2015,NA
17b6,soil,12/7/2015,NA
17b7,soil,12/7/2015,NA
17b8,soil,12/7/2015,0.0
17b9,soil,12/7/2015,0.5
17c10,soil,12/7/2015,1.0
17c11,soil,12/7/2015,0.5
17c5,soil,12/7/2015,NA
17c6,soil,12/7/2015,NA
17c7,soil,12/7/2015,NA
17c8,soil,12/7/2015,NA
17c9,soil,12/7/2015,0.5
17d10,soil,12/7/2015,1.0
17d11,soil,12/7/2015,NA
17d5,soil,12/7/2015,NA
17d6,soil,12/7/2015,NA
17d7,soil,12/7/2015,NA
17d8,soil,12/7/2015,0.5
17d9,soil,12/7/2015,0.5
17e10,soil,12/7/2015,1.0
17e11,soil,12/7/2015,NA
17e5,soil,12/7/2015,NA
17e6,soil,12/7/2015,NA
17e7,soil,12/7/2015,NA
17e8,soil,12/7/2015,1.0
17e9,soil,12/7/2015,0.5
17f10,soil,12/7/2015,0.5
17f11,soil,12/7/2015,3.5
17f5,soil,12/7/2015,NA
17f6,soil,12/7/2015,NA
17f7,soil,12/7/2015,NA
17f8,soil,12/7/2015,NA
17f9,soil,12/7/2015,1.0
18a10,soil,12/7/2015,0.5
18a11,soil,12/7/2015,NA
18a12,soil,12/7/2015,7.5
18a5,soil,12/7/2015,NA
18a6,soil,12/7/2015,NA
18a7,soil,12/7/2015,NA
18a8,soil,12/7/2015,NA
18a9,soil,12/7/2015,NA
18b10,soil,12/7/2015,0.5
18b11,soil,12/7/2015,0.5
18b12,soil,12/7/2015,0.5
18b5,soil,12/7/2015,1.0
18b6,soil,12/7/2015,NA
18b7,soil,12/7/2015,NA
18b8,soil,12/7/2015,0.5
18b9,soil,12/7/2015,NA
18c10,soil,12/7/2015,0.5
18c11,soil,12/7/2015,1.0
18c5,soil,12/7/2015,NA
18c6,soil,12/7/2015,NA
18c7,soil,12/7/2015,NA
18c8,soil,12/7/2015,NA
18c9,soil,12/7/2015,NA
18d10,soil,12/7/2015,0.5
18d11,soil,12/7/2015,8.0
18d5,soil,12/7/2015,NA
18d6,soil,12/7/2015,NA
18d7,soil,12/7/2015,NA
18d8,soil,12/7/2015,1.5
18d9,soil,12/7/2015,1.5
18e10,soil,12/7/2015,NA
18e11,soil,12/7/2015,6.0
18e5,soil,12/7/2015,NA
18e6,soil,12/7/2015,NA
18e7,soil,12/7/2015,NA
18e8,soil,12/7/2015,1.5
18e9,soil,12/7/2015,NA
18f10,soil,12/7/2015,0.5
18f11,soil,12/7/2015,5.0
18f5,soil,12/7/2015,NA
18f6,soil,12/7/2015,NA
18f7,soil,12/7/2015,NA
18f8,soil,12/7/2015,1.5
18f9,soil,12/7/2015,NA
19a10,soil,12/7/2015,0.5
19a11,soil,12/7/2015,0.5
19a12,soil,12/7/2015,7.0
19a5,soil,12/7/2015,2.0
19a6,soil,12/7/2015,1.5
19a7,soil,12/7/2015,NA
19a8,soil,12/7/2015,0.5
19a9,soil,12/7/2015,1.5
19b10,soil,12/7/2015,0.5
19b11,soil,12/7/2015,0.5
19b12,soil,12/7/2015,NA
19b5,soil,12/7/2015,NA
19b6,soil,12/7/2015,NA
19b7,soil,12/7/2015,NA
19b8,soil,12/7/2015,1.5
19b9,soil,12/7/2015,2.0
19c10,soil,12/7/2015,0.5
19c11,soil,12/7/2015,NA
19c5,soil,12/7/2015,NA
19c6,soil,12/7/2015,NA
19c7,soil,12/7/2015,NA
19c8,soil,12/7/2015,1.5
19c9,soil,12/7/2015,2.0
19d10,soil,12/7/2015,1.0
19d11,soil,12/7/2015,7.0
19d5,soil,12/7/2015,NA
19d6,soil,12/7/2015,NA
19d7,soil,12/7/2015,0.5
19d8,soil,12/7/2015,1.5
19d9,soil,12/7/2015,2.0
19e10,soil,12/7/2015,0.5
19e11,soil,12/7/2015,7.5
19e5,soil,12/7/2015,NA
19e6,soil,12/7/2015,NA
19e7,soil,12/7/2015,0.5
19e8,soil,12/7/2015,2.0
19e9,soil,12/7/2015,2.0
19f10,soil,12/7/2015,0.5
19f11,soil,12/7/2015,6.5
19f5,soil,12/7/2015,NA
19f6,soil,12/7/2015,NA
19f7,soil,12/7/2015,1.0
19f8,soil,12/7/2015,1.5
19f9,soil,12/7/2015,2.0
1a5,soil,12/7/2015,NA
1a6,soil,12/7/2015,1.5
1a7,soil,12/7/2015,NA
1b5,soil,12/7/2015,NA
1b6,soil,12/7/2015,1.0
1b7,soil,12/7/2015,NA
1c4,soil,12/7/2015,1.5
1c5,soil,12/7/2015,1.0
1c6,soil,12/7/2015,1.5
1c7,soil,12/7/2015,0.5
1d4,soil,12/7/2015,1.5
1d5,soil,12/7/2015,NA
1d6,soil,12/7/2015,1.5
1d7,soil,12/7/2015,0.0
1e4,soil,12/7/2015,0.5
1e5,soil,12/7/2015,0.5
1e6,soil,12/7/2015,1.0
1f4,soil,12/7/2015,NA
1f5,soil,12/7/2015,NA
1f6,soil,12/7/2015,0.5
20a10,soil,12/7/2015,0.5
20a11,soil,12/7/2015,NA
20a12,soil,12/7/2015,6.5
20a5,soil,12/7/2015,NA
20a6,soil,12/7/2015,NA
20a7,soil,12/7/2015,NA
20a8,soil,12/7/2015,0.5
20a9,soil,12/7/2015,1.5
20b10,soil,12/7/2015,1.5
20b11,soil,12/7/2015,0.5
20b12,soil,12/7/2015,6.0
20b5,soil,12/7/2015,NA
20b6,soil,12/7/2015,NA
20b7,soil,12/7/2015,NA
20b8,soil,12/7/2015,1.0
20b9,soil,12/7/2015,1.0
20c10,soil,12/7/2015,1.0
20c11,soil,12/7/2015,1.0
20c5,soil,12/7/2015,NA
20c6,soil,12/7/2015,NA
20c7,soil,12/7/2015,NA
20c8,soil,12/7/2015,NA
20c9,soil,12/7/2015,1.5
20d10,soil,12/7/2015,0.5
20d11,soil,12/7/2015,7.0
20d5,soil,12/7/2015,NA
20d6,soil,12/7/2015,NA
20d7,soil,12/7/2015,NA
20d8,soil,12/7/2015,NA
20d9,soil,12/7/2015,1.0
20e10,soil,12/7/2015,1.0
20e11,soil,12/7/2015,6.5
20e5,soil,12/7/2015,1.5
20e6,soil,12/7/2015,NA
20e7,soil,12/7/2015,NA
20e8,soil,12/7/2015,1.0
20e9,soil,12/7/2015,1.5
20f10,soil,12/7/2015,0.5
20f11,soil,12/7/2015,7.5
20f5,soil,12/7/2015,NA
20f6,soil,12/7/2015,NA
20f7,soil,12/7/2015,NA
20f8,soil,12/7/2015,NA
20f9,soil,12/7/2015,0.5
21a10,soil,12/7/2015,NA
21a2,soil,12/7/2015,NA
21a3,soil,12/7/2015,NA
21a4,soil,12/7/2015,NA
21a5,soil,12/7/2015,NA
21a6,soil,12/7/2015,NA
21a7,soil,12/7/2015,0.5
21a8,soil,12/7/2015,NA
21a9,soil,12/7/2015,1.0
21b10,soil,12/7/2015,1.5
21b2,soil,12/7/2015,2.0
21b3,soil,12/7/2015,NA
21b4,soil,12/7/2015,0.5
21b5,soil,12/7/2015,NA
21b6,soil,12/7/2015,NA
21b7,soil,12/7/2015,NA
21b8,soil,12/7/2015,NA
21b9,soil,12/7/2015,0.5
21c10,soil,12/7/2015,NA
21c2,soil,12/7/2015,NA
21c3,soil,12/7/2015,NA
21c4,soil,12/7/2015,0.5
21c5,soil,12/7/2015,NA
21c6,soil,12/7/2015,NA
21c7,soil,12/7/2015,NA
21c8,soil,12/7/2015,1.0
21c9,soil,12/7/2015,0.5
21d1,soil,12/7/2015,NA
21d10,soil,12/7/2015,NA
21d2,soil,12/7/2015,NA
21d3,soil,12/7/2015,NA
21d4,soil,12/7/2015,0.5
21d5,soil,12/7/2015,NA
21d6,soil,12/7/2015,NA
21d7,soil,12/7/2015,NA
21d8,soil,12/7/2015,NA
21d9,soil,12/7/2015,0.5
21e1,soil,12/7/2015,0.5
21e10,soil,12/7/2015,3.0
21e2,soil,12/7/2015,0.5
21e3,soil,12/7/2015,1.0
21e4,soil,12/7/2015,0.5
21e5,soil,12/7/2015,NA
21e6,soil,12/7/2015,0.0
21e7,soil,12/7/2015,NA
21e8,soil,12/7/2015,1.0
21e9,soil,12/7/2015,NA
21f1,soil,12/7/2015,0.5
21f2,soil,12/7/2015,NA
21f3,soil,12/7/2015,NA
21f4,soil,12/7/2015,0.5
21f5,soil,12/7/2015,NA
21f6,soil,12/7/2015,1.5
21f7,soil,12/7/2015,NA
21f8,soil,12/7/2015,1.0
21f9,soil,12/7/2015,0.5
22a10,soil,12/7/2015,7.0
22a2,soil,12/7/2015,NA
22a3,soil,12/7/2015,1.5
22a4,soil,12/7/2015,NA
22a5,soil,12/7/2015,NA
22a6,soil,12/7/2015,NA
22a7,soil,12/7/2015,1.5
22a8,soil,12/7/2015,NA
22a9,soil,12/7/2015,0.5
22b10,soil,12/7/2015,4.0
22b2,soil,12/7/2015,3.0
22b3,soil,12/7/2015,NA
22b4,soil,12/7/2015,0.5
22b5,soil,12/7/2015,NA
22b6,soil,12/7/2015,NA
22b7,soil,12/7/2015,0.5
22b8,soil,12/7/2015,NA
22b9,soil,12/7/2015,0.5
22c10,soil,12/7/2015,4.0
22c2,soil,12/7/2015,3.5
22c3,soil,12/7/2015,NA
22c4,soil,12/7/2015,1.0
22c5,soil,12/7/2015,NA
22c6,soil,12/7/2015,NA
22c7,soil,12/7/2015,NA
22c8,soil,12/7/2015,1.0
22c9,soil,12/7/2015,0.5
22d1,soil,12/7/2015,NA
22d10,soil,12/7/2015,5.0
22d2,soil,12/7/2015,4.0
22d3,soil,12/7/2015,NA
22d4,soil,12/7/2015,1.0
22d5,soil,12/7/2015,NA
22d6,soil,12/7/2015,NA
22d7,soil,12/7/2015,NA
22d8,soil,12/7/2015,1.0
22d9,soil,12/7/2015,0.5
22e1,soil,12/7/2015,1.0
22e10,soil,12/7/2015,4.0
22e2,soil,12/7/2015,1.5
22e3,soil,12/7/2015,NA
22e4,soil,12/7/2015,1.0
22e5,soil,12/7/2015,NA
22e6,soil,12/7/2015,NA
22e7,soil,12/7/2015,NA
22e8,soil,12/7/2015,1.0
22e9,soil,12/7/2015,0.5
22f1,soil,12/7/2015,1.0
22f2,soil,12/7/2015,1.0
22f3,soil,12/7/2015,NA
22f4,soil,12/7/2015,0.5
22f5,soil,12/7/2015,NA
22f6,soil,12/7/2015,0.5
22f7,soil,12/7/2015,NA
22f8,soil,12/7/2015,1.0
22f9,soil,12/7/2015,5.0
23a10,soil,12/7/2015,NA
23a2,soil,12/7/2015,NA
23a3,soil,12/7/2015,NA
23a4,soil,12/7/2015,NA
23a5,soil,12/7/2015,NA
23a6,soil,12/7/2015,NA
23a7,soil,12/7/2015,1.0
23a8,soil,12/7/2015,NA
23a9,soil,12/7/2015,NA
23b10,soil,12/7/2015,6.0
23b2,soil,12/7/2015,3.0
23b3,soil,12/7/2015,NA
23b4,soil,12/7/2015,1.0
23b5,soil,12/7/2015,NA
23b6,soil,12/7/2015,NA
23b7,soil,12/7/2015,1.5
23b8,soil,12/7/2015,3.0
23b9,soil,12/7/2015,NA
23c10,soil,12/7/2015,4.0
23c2,soil,12/7/2015,4.5
23c3,soil,12/7/2015,NA
23c4,soil,12/7/2015,1.0
23c5,soil,12/7/2015,NA
23c6,soil,12/7/2015,NA
