"long","lat","winter","year","lat.long","mat","lo","num.years","cc"
10.2333,49.55,"winter",1954,"49.55 10.2333",3.29685385889384,114,8,"apre"
9.21667,50.6167,"winter",1954,"50.6167 9.21667",2.61797746957353,115,6,"apre"
9.93333,51.5333,"winter",1954,"51.5333 9.93333",2.38820219381053,122,10,"apre"
7.56667,49.2167,"winter",1954,"49.2167 7.56667",4.46348304630079,115,9,"apre"
12.75,49.3167,"winter",1954,"49.3167 12.75",1.10719098648831,120,10,"apre"
11.9333,48.4667,"winter",1954,"48.4667 11.9333",2.37674151990939,117,9,"apre"
11.6667,49.15,"winter",1954,"49.15 11.6667",2.01258422467816,124,10,"apre"
11.2,49.5833,"winter",1954,"49.5833 11.2",2.93752802422877,113,9,"apre"
11,50.0333,"winter",1954,"50.0333 11",2.1315729860635,125,5,"apre"
7.9,53.5833,"winter",1954,"53.5833 7.9",2.58573027928307,123,9,"apre"
9.08333,48.9,"winter",1955,"48.9 9.08333",3.50280891047016,120,6,"apre"
12.8833,47.7333,"winter",1955,"47.7333 12.8833",-0.869999980553985,120,9,"apre"
10.2333,49.55,"winter",1955,"49.55 10.2333",2.90224712614096,120,8,"apre"
9.21667,50.6167,"winter",1955,"50.6167 9.21667",1.7019100743189,121,6,"apre"
9.93333,51.5333,"winter",1955,"51.5333 9.93333",1.50988760670082,119,10,"apre"
7.56667,49.2167,"winter",1955,"49.2167 7.56667",3.95921339465075,117,9,"apre"
10.0667,51.55,"winter",1955,"51.55 10.0667",1.48606738251414,130,6,"apre"
12.75,49.3167,"winter",1955,"49.3167 12.75",0.721910096223602,121,10,"apre"
11.9333,48.4667,"winter",1955,"48.4667 11.9333",1.86191007074262,119,9,"apre"
11.6667,49.15,"winter",1955,"49.15 11.6667",1.43808985549664,112,10,"apre"
11.2,49.5833,"winter",1955,"49.5833 11.2",2.46876398976264,102,9,"apre"
7.9,53.5833,"winter",1955,"53.5833 7.9",2.41089882251671,122,9,"apre"
9.08333,48.9,"winter",1956,"48.9 9.08333",0.660333318573733,122,6,"apre"
12.8833,47.7333,"winter",1956,"47.7333 12.8833",-3.2321110388678,117,9,"apre"
6.91667,49.4167,"winter",1956,"49.4167 6.91667",1.24622219436698,113,5,"apre"
10.2333,49.55,"winter",1956,"49.55 10.2333",0.30311110433605,120,8,"apre"
9.28333,49.15,"winter",1956,"49.15 9.28333",0.914444424005018,121,5,"apre"
9.21667,50.6167,"winter",1956,"50.6167 9.21667",-0.235222216964596,123,6,"apre"
9.93333,51.5333,"winter",1956,"51.5333 9.93333",-0.473111100536254,125,10,"apre"
7.56667,49.2167,"winter",1956,"49.2167 7.56667",1.43666663455466,124,9,"apre"
10.0667,51.55,"winter",1956,"51.55 10.0667",-0.669777762807078,128,6,"apre"
12.75,49.3167,"winter",1956,"49.3167 12.75",-1.90766662402699,122,10,"apre"
11.9333,48.4667,"winter",1956,"48.4667 11.9333",-0.710111095238891,117,9,"apre"
11.6667,49.15,"winter",1956,"49.15 11.6667",-1.07444442042874,126,10,"apre"
11.2,49.5833,"winter",1956,"49.5833 11.2",-0.546222210013204,109,9,"apre"
11,50.0333,"winter",1956,"50.0333 11",-0.906333313075205,123,5,"apre"
7.9,53.5833,"winter",1956,"53.5833 7.9",0.805777759767241,126,9,"apre"
12.8833,47.7333,"winter",1957,"47.7333 12.8833",2.7939325218204,100,9,"apre"
6.91667,49.4167,"winter",1957,"49.4167 6.91667",7.85921330747896,91,5,"apre"
10.2333,49.55,"winter",1957,"49.55 10.2333",6.77022456777481,102,8,"apre"
9.28333,49.15,"winter",1957,"49.15 9.28333",7.29528073581417,89,5,"apre"
9.21667,50.6167,"winter",1957,"50.6167 9.21667",5.91382009253492,115,6,"apre"
9.93333,51.5333,"winter",1957,"51.5333 9.93333",6.13629199767464,89,10,"apre"
7.56667,49.2167,"winter",1957,"49.2167 7.56667",7.82112342068988,114,9,"apre"
10.0667,51.55,"winter",1957,"51.55 10.0667",6.07674143720795,107,6,"apre"
12.75,49.3167,"winter",1957,"49.3167 12.75",4.79325831982862,103,10,"apre"
11.9333,48.4667,"winter",1957,"48.4667 11.9333",5.94696615920978,96,9,"apre"
11.6667,49.15,"winter",1957,"49.15 11.6667",5.37797740788272,96,10,"apre"
11.2,49.5833,"winter",1957,"49.5833 11.2",5.86921335195892,112,9,"apre"
7.9,53.5833,"winter",1957,"53.5833 7.9",5.89955042993252,105,9,"apre"
9.08333,48.9,"winter",1958,"48.9 9.08333",3.45460666435656,116,6,"apre"
12.8833,47.7333,"winter",1958,"47.7333 12.8833",-0.845955037271206,125,9,"apre"
6.91667,49.4167,"winter",1958,"49.4167 6.91667",4.01438193274348,124,5,"apre"
10.2333,49.55,"winter",1958,"49.55 10.2333",2.83415724002243,122,8,"apre"
9.28333,49.15,"winter",1958,"49.15 9.28333",3.49719093306764,114,5,"apre"
9.93333,51.5333,"winter",1958,"51.5333 9.93333",2.37224713798738,123,10,"apre"
7.56667,49.2167,"winter",1958,"49.2167 7.56667",3.84168530739007,122,9,"apre"
10.0667,51.55,"winter",1958,"51.55 10.0667",2.28022466813413,132,6,"apre"
12.75,49.3167,"winter",1958,"49.3167 12.75",0.748089870919337,123,10,"apre"
11.9333,48.4667,"winter",1958,"48.4667 11.9333",1.80516849897718,122,9,"apre"
11.6667,49.15,"winter",1958,"49.15 11.6667",1.39044940712328,126,10,"apre"
11.2,49.5833,"winter",1958,"49.5833 11.2",2.30573028554156,105,9,"apre"
11,50.0333,"winter",1958,"50.0333 11",1.748988724952,122,5,"apre"
9.08333,48.9,"winter",1959,"48.9 9.08333",6.29752794912692,102,6,"apre"
12.8833,47.7333,"winter",1959,"47.7333 12.8833",3.3616853181189,97,9,"apre"
6.91667,49.4167,"winter",1959,"49.4167 6.91667",6.766179624045,120,5,"apre"
9.28333,49.15,"winter",1959,"49.15 9.28333",6.35539311637286,92,5,"apre"
9.21667,50.6167,"winter",1959,"50.6167 9.21667",5.54224706713236,107,6,"apre"
9.93333,51.5333,"winter",1959,"51.5333 9.93333",5.45629201287383,103,10,"apre"
7.56667,49.2167,"winter",1959,"49.2167 7.56667",6.68337063713188,107,9,"apre"
10.0667,51.55,"winter",1959,"51.55 10.0667",5.51449425876392,108,6,"apre"
12.75,49.3167,"winter",1959,"49.3167 12.75",3.88292126152455,94,10,"apre"
11.9333,48.4667,"winter",1959,"48.4667 11.9333",4.47078641692407,98,9,"apre"
11.6667,49.15,"winter",1959,"49.15 11.6667",4.57359540339015,87,10,"apre"
11,50.0333,"winter",1959,"50.0333 11",5.05101112305616,103,5,"apre"
7.9,53.5833,"winter",1959,"53.5833 7.9",5.21101111947988,104,9,"apre"
9.08333,48.9,"winter",1960,"48.9 9.08333",5.81133320343991,104,6,"apre"
12.8833,47.7333,"winter",1960,"47.7333 12.8833",1.57611107588228,105,9,"apre"
6.91667,49.4167,"winter",1960,"49.4167 6.91667",6.35811096899625,108,5,"apre"
9.28333,49.15,"winter",1960,"49.15 9.28333",5.80722209242069,97,5,"apre"
9.93333,51.5333,"winter",1960,"51.5333 9.93333",4.28055545987768,105,10,"apre"
10.0667,51.55,"winter",1960,"51.55 10.0667",4.15233324052145,123,6,"apre"
12.75,49.3167,"winter",1960,"49.3167 12.75",2.46988883368257,102,10,"apre"
11.9333,48.4667,"winter",1960,"48.4667 11.9333",3.64788880735222,102,9,"apre"
11.6667,49.15,"winter",1960,"49.15 11.6667",3.45266658949355,100,10,"apre"
11.2,49.5833,"winter",1960,"49.5833 11.2",4.37177768006093,83,9,"apre"
11,50.0333,"winter",1960,"50.0333 11",3.7996665817375,72,5,"apre"
7.9,53.5833,"winter",1960,"53.5833 7.9",4.41133323473235,114,9,"apre"
9.08333,48.9,"winter",2000,"48.9 9.08333",7.67577760621077,85,11,"post"
12.8833,47.7333,"winter",2000,"47.7333 12.8833",2.85811104722735,91,11,"post"
6.91667,49.4167,"winter",2000,"49.4167 6.91667",7.08099984172732,85,11,"post"
10.2333,49.55,"winter",2000,"49.55 10.2333",6.89155540151729,107,11,"post"
9.28333,49.15,"winter",2000,"49.15 9.28333",7.42544427847283,83,11,"post"
9.21667,50.6167,"winter",2000,"50.6167 9.21667",5.91733320107063,113,8,"post"
7.56667,49.2167,"winter",2000,"49.2167 7.56667",7.57444427514242,107,5,"post"
12.75,49.3167,"winter",2000,"49.3167 12.75",5.16077766242541,107,11,"post"
11.9333,48.4667,"winter",2000,"48.4667 11.9333",6.33266652512054,106,10,"post"
11.6667,49.15,"winter",2000,"49.15 11.6667",5.8096665368105,112,7,"post"
11.2,49.5833,"winter",2000,"49.5833 11.2",6.46233318888893,109,11,"post"
11,50.0333,"winter",2000,"50.0333 11",6.09399986378849,104,11,"post"
7.9,53.5833,"winter",2000,"53.5833 7.9",6.8094442922415,111,10,"post"
9.08333,48.9,"winter",2001,"48.9 9.08333",6.57651670693598,93,11,"post"
12.8833,47.7333,"winter",2001,"47.7333 12.8833",2.05258422378409,90,11,"post"
6.91667,49.4167,"winter",2001,"49.4167 6.91667",6.23404480447846,93,11,"post"
10.2333,49.55,"winter",2001,"49.55 10.2333",5.5713481900774,112,11,"post"
9.28333,49.15,"winter",2001,"49.15 9.28333",6.29853918505937,88,11,"post"
9.21667,50.6167,"winter",2001,"50.6167 9.21667",4.28449428625656,119,8,"post"
7.56667,49.2167,"winter",2001,"49.2167 7.56667",6.71337063646132,108,5,"post"
10.0667,51.55,"winter",2001,"51.55 10.0667",4.36516844175672,116,9,"post"
12.75,49.3167,"winter",2001,"49.3167 12.75",3.73033699527215,112,11,"post"
11.9333,48.4667,"winter",2001,"48.4667 11.9333",5.22179763609271,105,10,"post"
11.6667,49.15,"winter",2001,"49.15 11.6667",4.36269653169961,117,7,"post"
11.2,49.5833,"winter",2001,"49.5833 11.2",5.08932572894133,117,11,"post"
11,50.0333,"winter",2001,"50.0333 11",4.62651675052187,105,11,"post"
7.9,53.5833,"winter",2001,"53.5833 7.9",4.47573023703828,121,10,"post"
9.08333,48.9,"winter",2002,"48.9 9.08333",7.70438185026555,79,11,"post"
12.8833,47.7333,"winter",2002,"47.7333 12.8833",3.06067408889197,98,11,"post"
6.91667,49.4167,"winter",2002,"49.4167 6.91667",7.39741556499195,84,11,"post"
10.2333,49.55,"winter",2002,"49.55 10.2333",6.69370771555251,99,11,"post"
9.28333,49.15,"winter",2002,"49.15 9.28333",7.40764028386454,106,11,"post"
9.21667,50.6167,"winter",2002,"50.6167 9.21667",5.80483133092606,108,8,"post"
7.56667,49.2167,"winter",2002,"49.2167 7.56667",7.95303353010101,106,5,"post"
10.0667,51.55,"winter",2002,"51.55 10.0667",5.99494368622728,104,9,"post"
12.75,49.3167,"winter",2002,"49.3167 12.75",4.83022461113719,100,11,"post"
11.9333,48.4667,"winter",2002,"48.4667 11.9333",6.29921334234767,101,10,"post"
11.6667,49.15,"winter",2002,"49.15 11.6667",5.6005616725705,112,7,"post"
11.2,49.5833,"winter",2002,"49.5833 11.2",6.30067401647233,91,11,"post"
11,50.0333,"winter",2002,"50.0333 11",5.86449425094081,100,11,"post"
7.9,53.5833,"winter",2002,"53.5833 7.9",6.91471894656758,100,10,"post"
9.08333,48.9,"winter",2003,"48.9 9.08333",5.83651672347627,93,11,"post"
12.8833,47.7333,"winter",2003,"47.7333 12.8833",0.739325826171409,101,11,"post"
6.91667,49.4167,"winter",2003,"49.4167 6.91667",6.62449423395348,99,11,"post"
10.2333,49.55,"winter",2003,"49.55 10.2333",4.86955045295482,113,11,"post"
9.28333,49.15,"winter",2003,"49.15 9.28333",5.61910099799881,98,11,"post"
9.21667,50.6167,"winter",2003,"50.6167 9.21667",4.20640440036156,109,8,"post"
7.56667,49.2167,"winter",2003,"49.2167 7.56667",6.6298874922599,104,5,"post"
10.0667,51.55,"winter",2003,"51.55 10.0667",3.8674156438936,107,9,"post"
12.75,49.3167,"winter",2003,"49.3167 12.75",2.42943814794502,107,11,"post"
11.9333,48.4667,"winter",2003,"48.4667 11.9333",3.46730329328625,112,10,"post"
11.6667,49.15,"winter",2003,"49.15 11.6667",3.67382014260282,112,7,"post"
11.2,49.5833,"winter",2003,"49.5833 11.2",4.20292125437199,108,11,"post"
11,50.0333,"winter",2003,"50.0333 11",3.93337069859917,112,11,"post"
7.9,53.5833,"winter",2003,"53.5833 7.9",4.9861796638311,110,10,"post"
9.08333,48.9,"winter",2004,"48.9 9.08333",6.36422207997077,91,11,"post"
12.8833,47.7333,"winter",2004,"47.7333 12.8833",1.66988885156396,102,11,"post"
6.91667,49.4167,"winter",2004,"49.4167 6.91667",6.57366651973377,103,11,"post"
10.2333,49.55,"winter",2004,"49.55 10.2333",5.65155542923345,113,11,"post"
9.28333,49.15,"winter",2004,"49.15 9.28333",6.15977764009602,89,11,"post"
9.21667,50.6167,"winter",2004,"50.6167 9.21667",4.93299988973886,108,8,"post"
7.56667,49.2167,"winter",2004,"49.2167 7.56667",5.91699986774474,106,5,"post"
10.0667,51.55,"winter",2004,"51.55 10.0667",5.31755543669893,107,9,"post"
12.75,49.3167,"winter",2004,"49.3167 12.75",3.90211102389213,106,11,"post"
11.9333,48.4667,"winter",2004,"48.4667 11.9333",4.83088878091011,106,10,"post"
11.6667,49.15,"winter",2004,"49.15 11.6667",4.56644434237646,112,7,"post"
11.2,49.5833,"winter",2004,"49.5833 11.2",5.37655543538017,111,11,"post"
11,50.0333,"winter",2004,"50.0333 11",4.9992221104809,104,11,"post"
7.9,53.5833,"winter",2004,"53.5833 7.9",6.37133319092294,104,10,"post"
9.08333,48.9,"winter",2005,"48.9 9.08333",5.05685381955478,93,11,"post"
12.8833,47.7333,"winter",2005,"47.7333 12.8833",0.571123582740011,99,11,"post"
6.91667,49.4167,"winter",2005,"49.4167 6.91667",5.65516841292298,95,11,"post"
10.2333,49.55,"winter",2005,"49.55 10.2333",4.09123586360993,116,11,"post"
9.28333,49.15,"winter",2005,"49.15 9.28333",4.93078640664227,89,11,"post"
9.21667,50.6167,"winter",2005,"50.6167 9.21667",4.01370777545518,107,8,"post"
9.93333,51.5333,"winter",2005,"51.5333 9.93333",4.17191001911009,103,6,"post"
12.75,49.3167,"winter",2005,"49.3167 12.75",2.12022467171041,105,11,"post"
11.9333,48.4667,"winter",2005,"48.4667 11.9333",3.11337071692759,105,10,"post"
11.6667,49.15,"winter",2005,"49.15 11.6667",2.77044937627788,116,7,"post"
11.2,49.5833,"winter",2005,"49.5833 11.2",3.9443819343081,110,11,"post"
11,50.0333,"winter",2005,"50.0333 11",3.66146059231728,109,11,"post"
7.9,53.5833,"winter",2005,"53.5833 7.9",5.26382010706355,104,10,"post"
9.08333,48.9,"winter",2006,"48.9 9.08333",4.42382012583901,106,11,"post"
12.8833,47.7333,"winter",2006,"47.7333 12.8833",0.267415724359871,104,11,"post"
6.91667,49.4167,"winter",2006,"49.4167 6.91667",4.89932573318816,93,11,"post"
10.2333,49.55,"winter",2006,"49.55 10.2333",3.93831451871338,116,11,"post"
9.28333,49.15,"winter",2006,"49.15 9.28333",4.44269652991148,94,11,"post"
9.21667,50.6167,"winter",2006,"50.6167 9.21667",2.57247185261313,118,8,"post"
9.93333,51.5333,"winter",2006,"51.5333 9.93333",2.72707859073044,110,6,"post"
10.0667,51.55,"winter",2006,"51.55 10.0667",2.85943813833377,115,9,"post"
12.75,49.3167,"winter",2006,"49.3167 12.75",2.12573028956488,113,11,"post"
11.9333,48.4667,"winter",2006,"48.4667 11.9333",2.98404487712162,113,10,"post"
11.6667,49.15,"winter",2006,"49.15 11.6667",2.44089882184615,120,7,"post"
11.2,49.5833,"winter",2006,"49.5833 11.2",3.45348306887605,111,11,"post"
11,50.0333,"winter",2006,"50.0333 11",2.61685387409303,105,11,"post"
7.9,53.5833,"winter",2006,"53.5833 7.9",4.2214605798003,122,10,"post"
9.08333,48.9,"winter",2007,"48.9 9.08333",8.52157284323587,99,11,"post"
12.8833,47.7333,"winter",2007,"47.7333 12.8833",4.31426956648991,87,11,"post"
6.91667,49.4167,"winter",2007,"49.4167 6.91667",8.77280879267648,100,11,"post"
10.2333,49.55,"winter",2007,"49.55 10.2333",7.78999982587993,104,11,"post"
9.28333,49.15,"winter",2007,"49.15 9.28333",8.58943801025829,82,11,"post"
9.21667,50.6167,"winter",2007,"50.6167 9.21667",7.10314590864804,105,8,"post"
9.93333,51.5333,"winter",2007,"51.5333 9.93333",6.97764029347578,93,6,"post"
10.0667,51.55,"winter",2007,"51.55 10.0667",7.06842680830048,102,9,"post"
12.75,49.3167,"winter",2007,"49.3167 12.75",6.31179761172932,98,11,"post"
11.9333,48.4667,"winter",2007,"48.4667 11.9333",7.4133706208151,102,10,"post"
11.2,49.5833,"winter",2007,"49.5833 11.2",7.45696612545865,101,11,"post"
11,50.0333,"winter",2007,"50.0333 11",6.73314591691819,100,11,"post"
7.9,53.5833,"winter",2007,"53.5833 7.9",8.40730318286864,103,10,"post"
9.08333,48.9,"winter",2008,"48.9 9.08333",6.15055541807993,91,11,"post"
12.8833,47.7333,"winter",2008,"47.7333 12.8833",1.54733329874774,101,11,"post"
6.91667,49.4167,"winter",2008,"49.4167 6.91667",6.04144430940764,115,11,"post"
10.2333,49.55,"winter",2008,"49.55 10.2333",5.63077765192009,113,11,"post"
9.28333,49.15,"winter",2008,"49.15 9.28333",6.11811097436067,87,11,"post"
9.93333,51.5333,"winter",2008,"51.5333 9.93333",4.92822211206787,101,6,"post"
10.0667,51.55,"winter",2008,"51.55 10.0667",5.16955544000698,107,9,"post"
12.75,49.3167,"winter",2008,"49.3167 12.75",4.08933324192961,107,11,"post"
11.9333,48.4667,"winter",2008,"48.4667 11.9333",5.3283332142358,104,10,"post"
11.2,49.5833,"winter",2008,"49.5833 11.2",5.16088877353403,114,11,"post"
11,50.0333,"winter",2008,"50.0333 11",4.46255545580967,104,11,"post"
7.9,53.5833,"winter",2008,"53.5833 7.9",6.09188875272456,111,10,"post"
9.08333,48.9,"winter",2009,"48.9 9.08333",6.40438187932282,99,11,"post"
12.8833,47.7333,"winter",2009,"47.7333 12.8833",1.51393255043063,99,11,"post"
6.91667,49.4167,"winter",2009,"49.4167 6.91667",6.65483131192708,88,11,"post"
10.2333,49.55,"winter",2009,"49.55 10.2333",5.98999986611307,104,11,"post"
9.28333,49.15,"winter",2009,"49.15 9.28333",6.41786502508886,83,11,"post"
9.93333,51.5333,"winter",2009,"51.5333 9.93333",5.64359537947379,96,6,"post"
10.0667,51.55,"winter",2009,"51.55 10.0667",5.74449425362302,99,9,"post"
12.75,49.3167,"winter",2009,"49.3167 12.75",4.29067406139933,98,11,"post"
11.9333,48.4667,"winter",2009,"48.4667 11.9333",5.19955044557874,99,10,"post"
11.2,49.5833,"winter",2009,"49.5833 11.2",5.53539313470129,94,11,"post"
11,50.0333,"winter",2009,"50.0333 11",4.84191000413443,97,11,"post"
9.08333,48.9,"winter",2010,"48.9 9.08333",5.61853920025856,97,11,"post"
12.8833,47.7333,"winter",2010,"47.7333 12.8833",1.07089885246804,95,11,"post"
6.91667,49.4167,"winter",2010,"49.4167 6.91667",5.98865155153646,101,11,"post"
10.2333,49.55,"winter",2010,"49.55 10.2333",4.99584258496343,110,11,"post"
9.28333,49.15,"winter",2010,"49.15 9.28333",5.60887627912622,81,11,"post"
9.93333,51.5333,"winter",2010,"51.5333 9.93333",4.06988754948036,98,6,"post"
10.0667,51.55,"winter",2010,"51.55 10.0667",4.16752799673613,109,9,"post"
12.75,49.3167,"winter",2010,"49.3167 12.75",2.79820218464632,102,11,"post"
11.2,49.5833,"winter",2010,"49.5833 11.2",4.34438192536741,110,11,"post"
11,50.0333,"winter",2010,"50.0333 11",3.41303363157792,111,11,"post"
7.9,53.5833,"winter",2010,"53.5833 7.9",4.61325832385193,107,10,"post"
