"year","gdd","gdd.sd","utah","utah.sd","ports","ports.sd","gen","spp","species","complex_name","continent"
1994,387.968270639231,122.397663304754,1139.34655688623,210.895700021981,58.8312145277953,4.80043753853165,"Abi","alb","Abialb","Abies_alba","europe"
1995,330.876178405203,100.641641734553,665.985778443114,177.850744834103,44.3122824206538,6.80969331273433,"Abi","alb","Abialb","Abies_alba","europe"
1996,362.784052147781,107.883442563092,974.85254491018,156.260843701861,51.6819023478779,5.68826777219898,"Abi","alb","Abialb","Abies_alba","europe"
1997,362.215802415093,120.560061541144,877.696482035928,170.660262579107,53.5303968475775,4.03245992239772,"Abi","alb","Abialb","Abies_alba","europe"
1998,392.011923954331,123.010501792886,825.442739520958,167.914853511067,48.4642191935845,6.26619039421622,"Abi","alb","Abialb","Abies_alba","europe"
1999,407.847738659223,121.633844986452,871.611152694611,133.901738090061,51.117834149399,4.91871078780959,"Abi","alb","Abialb","Abies_alba","europe"
2000,497.782624379595,142.133977191081,1133.8753742515,205.906423056785,56.7947625781514,5.75313280176621,"Abi","alb","Abialb","Abies_alba","europe"
2001,413.694932446026,119.289674601032,596.368263473054,107.276002372023,41.0456171532704,6.59257036243872,"Abi","alb","Abialb","Abies_alba","europe"
2002,431.578710659026,139.126933257347,1123.37949101796,217.385380014929,56.1860813853209,6.44154209292758,"Abi","alb","Abialb","Abies_alba","europe"
2003,493.936247453615,127.471451563534,1047.43226047904,178.65002113662,57.6117496164924,4.46027000213083,"Abi","alb","Abialb","Abies_alba","europe"
2004,338.021348915195,112.832594562963,858.90119760479,110.185935663497,52.2615533459495,3.64153089337416,"Abi","alb","Abialb","Abies_alba","europe"
2005,412.863719305698,118.056155293023,776.138473053892,110.811693302864,48.0907062016426,4.83878141726047,"Abi","alb","Abialb","Abies_alba","europe"
2006,379.413518762959,115.92071687552,1028.70284431138,155.811452198157,55.9118115962865,4.41974494703818,"Abi","alb","Abialb","Abies_alba","europe"
2007,536.419934345452,134.146167334674,882.49625748503,159.352681620176,49.3941120287049,5.45755270820974,"Abi","alb","Abialb","Abies_alba","europe"
2008,379.301228120782,117.63942590269,971.706961077844,103.068020611902,53.7698494212232,3.71239966935285,"Abi","alb","Abialb","Abies_alba","europe"
2009,488.262145527558,123.710579333437,1071.99550898204,149.074636242477,56.8725386167969,3.28447120589547,"Abi","alb","Abialb","Abies_alba","europe"
2010,361.247485654996,115.325673345585,935.19124251497,124.153986143454,51.9601691994771,4.37176764234914,"Abi","alb","Abialb","Abies_alba","europe"
2011,518.068700332504,148.465219054179,1001.88473053892,177.775930484284,56.1075635492713,3.98918754983323,"Abi","alb","Abialb","Abies_alba","europe"
2012,485.656261702464,131.387284029997,994.913922155689,147.4502546752,54.1042797838129,4.44707190490795,"Abi","alb","Abialb","Abies_alba","europe"
2013,359.413558014727,131.973734334862,955.314745508982,140.127366887937,54.6545245222553,4.5709800893592,"Abi","alb","Abialb","Abies_alba","europe"
2014,448.3778556179,139.123895295741,1029.86826347305,157.608333384812,52.5067541052515,3.6823740332258,"Abi","alb","Abialb","Abies_alba","europe"
2015,417.860732455421,117.967799042712,1188.84281437126,170.762809393391,60.1109005691963,3.87363059561968,"Abi","alb","Abialb","Abies_alba","europe"
2016,389.730524198154,119.714416260135,1052.16741573034,175.35519496792,57.15049564793,5.66391806633445,"Abi","alb","Abialb","Abies_alba","europe"
2017,464.211546250382,127.785707649788,975.950598802395,149.198627729933,55.4432894911223,3.48443411129477,"Abi","alb","Abialb","Abies_alba","europe"
1980,272.592202494749,86.7595119813789,1039.22222222222,122.359641812341,56.1826541279437,4.80793973600434,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
1981,513.388859060489,102.189424393403,826.444444444444,33.6233219325185,49.5498202934763,1.43687341898239,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
1982,424.465532259602,87.5589815489553,1085.27777777778,117.344341339685,56.7443164694581,4.53080684874609,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
1983,617.41441345815,98.3312651714216,1155.38888888889,94.218754030772,57.7342772060902,2.65594253291402,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
1984,390.154422263097,82.0201793277644,898.888888888889,108.289189724141,50.5982505448765,2.36834882097015,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
1985,526.206639258812,91.816445162696,1267.38888888889,151.949575883288,59.3917680152517,3.95777820460453,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
1986,541.803305229172,97.2347280353073,899.666666666667,80.0554495334328,54.7941417904407,3.16957737437188,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
1987,369.932200418371,81.2467542667235,1236.22222222222,207.723992221516,60.4222122274289,6.31329005333099,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
1988,490.983307308828,86.8487849580465,875.277777777778,52.9044605344809,54.5201979257378,2.7070125733549,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
1989,562.89774651991,112.981450662891,1167.72222222222,125.954632485052,59.6165086477876,5.19776525649492,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
1990,541.526635960986,119.433346860831,870.666666666667,96.8223243885417,48.6913400109337,2.65215268273897,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
1991,310.623310818647,101.689629757235,841.111111111111,51.8277060182207,49.2241634284834,1.02231864762839,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
1992,423.1633085267,101.443977714923,729.388888888889,65.4440494706059,44.8041348945276,2.70578678946235,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
1993,494.286640096456,95.810549629717,895.388888888889,52.9349705876098,48.6077253201153,2.74267519689909,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
1994,589.98663477848,103.399357101131,940.888888888889,85.7411722051379,54.127027764155,4.42822506811024,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
1995,448.591087151733,84.2663506750316,1186.5,113.802460430344,58.6535458888082,4.20046422489846,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
1996,429.74886607089,80.6947242032977,1307.11111111111,129.428015171025,62.5017839983772,4.41194815008998,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
1997,431.018866464703,79.5584334072617,1175.72222222222,67.0117112484411,57.6324697742892,1.84036069767211,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
1998,483.07330654189,107.654575443883,952.444444444444,56.2935633778657,52.4833657486792,1.81659563052265,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
1999,557.827748744231,99.6504198238612,1043.05555555556,133.319973288993,53.4977116812432,4.58363757078313,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
2000,579.552192504414,94.279519836892,1007.77777777778,203.252015843495,55.3046728020894,6.49370710231469,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
2001,632.165523246138,100.009089909898,602.666666666667,52.6456313477196,43.2063789682277,1.45253789721436,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
2002,503.551082694696,109.846294403765,1138.11111111111,116.364400102055,57.1128442313672,4.62100653644235,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
2003,535.519973178705,94.1624049879645,1014.44444444444,114.45644489402,54.4552360418074,3.88668467815328,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
2004,416.264418848273,99.9794644978191,837.388888888889,128.521344963049,48.9989092571644,5.13156582584558,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
2005,412.048863809142,100.201817424015,1216.27777777778,109.837695917406,58.1490387528936,3.39254504976165,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
2006,489.77552806793,81.6110318064464,1066.16666666667,113.892767549129,52.9453163086479,2.62745127157673,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
2007,513.357748446779,98.2463943564819,1118.55555555556,58.9981167307718,55.0939375240805,2.10766008237565,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
2008,474.915527108643,91.2135305675405,922.555555555556,167.174019446138,48.2377630788586,3.99665194759574,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
2009,505.229972762987,82.5439738890594,1126.33333333333,162.921184933084,54.4839264012712,3.54154873865292,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
2010,498.623304654534,89.6297676300206,792.555555555556,226.665012248864,47.6390191499289,8.4139329438399,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
2011,426.886640162518,89.7672763480589,1155.77777777778,86.4451094304614,57.9114713162668,3.00663006232317,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
2012,458.138861860045,89.970253662569,728.833333333333,155.343973169222,45.4712809739958,4.00012742884298,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
2013,560.082192045533,88.0108453216441,853.055555555556,121.471561600968,48.0419491147669,5.4398176952745,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
2014,478.641083301148,84.5888331799467,939.833333333333,190.410576124332,48.4254479927083,5.20437172926095,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
2015,482.896640003348,86.173931434799,909.111111111111,165.748638338633,47.5758624031539,4.3255190366359,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
2016,557.21552529393,82.6270205374919,833.666666666667,113.865600600006,47.8489967422986,3.03267383140015,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
2017,546.008858430717,85.5842353899835,1181,138.749774774592,55.7184517433682,3.49646695718735,"Ace","pse","Acepse","Acer_pseudoplatanus","europe"
1980,341.392673087628,163.08226070469,798.388960619755,208.800632351916,69.3128708628321,9.02666524110817,"Ace","pen","acepen","Acer_pensylvanicum","north america"
1981,392.157410003809,155.069002301575,732.547449967721,217.522991392896,66.2158537032959,10.8040924761946,"Ace","pen","acepen","Acer_pensylvanicum","north america"
1982,375.645670404726,166.145952130502,1009.58683021304,194.105755444626,74.9629133207371,8.92505363279099,"Ace","pen","acepen","Acer_pensylvanicum","north america"
1983,296.636721018825,149.230673581918,773.344092963202,153.979586045994,66.7882980559228,8.29874619201919,"Ace","pen","acepen","Acer_pensylvanicum","north america"
1984,303.868710800484,130.941354475505,812.121368624919,223.690476734232,71.3364855630301,11.4236540368721,"Ace","pen","acepen","Acer_pensylvanicum","north america"
1985,392.692257196712,196.398178751167,898.067785668173,216.117802690711,73.0418854885234,9.68732588828125,"Ace","pen","acepen","Acer_pensylvanicum","north america"
1986,446.408672562292,174.905204005911,671.252743705617,133.751964657114,60.9275885065306,7.94974471135346,"Ace","pen","acepen","Acer_pensylvanicum","north america"
1987,417.343497375818,155.11893763193,763.516462233699,207.534941222684,67.5674600934427,11.4392042732544,"Ace","pen","acepen","Acer_pensylvanicum","north america"
1988,380.537793835322,143.478791566421,818.147191736604,235.087217775497,68.2091680383045,14.6732080354179,"Ace","pen","acepen","Acer_pensylvanicum","north america"
1989,359.278616521218,135.952488833104,893.595545513234,210.219035455264,71.3956608058662,13.5740823865377,"Ace","pen","acepen","Acer_pensylvanicum","north america"
1990,368.184379131162,187.12984154362,710.538089089735,141.513286217906,63.9154641395431,10.5757495260073,"Ace","pen","acepen","Acer_pensylvanicum","north america"
1991,442.468528794505,195.548948228457,773.637830858618,220.557630768881,71.046999952127,11.8517655028428,"Ace","pen","acepen","Acer_pensylvanicum","north america"
1992,334.72733734355,136.974931654875,767.146868947708,206.183022696813,66.4453997484646,12.1207897892361,"Ace","pen","acepen","Acer_pensylvanicum","north america"
1993,352.6014570649,152.431033755303,804.243382827631,281.711888306751,66.3370438227216,15.6975704341743,"Ace","pen","acepen","Acer_pensylvanicum","north america"
1994,318.294798196687,169.927394228787,857.333118140736,243.148907506494,68.0748040345399,12.4517468659016,"Ace","pen","acepen","Acer_pensylvanicum","north america"
1995,321.736352206203,184.448843576585,881.87378954164,147.638799660798,69.6449455998686,7.12634325304569,"Ace","pen","acepen","Acer_pensylvanicum","north america"
1996,308.578221361126,163.174959605294,644.299870884442,150.270842819004,61.6586978355579,10.6553837356863,"Ace","pen","acepen","Acer_pensylvanicum","north america"
1997,246.869101320426,143.598468739345,928.224661071659,229.770100972688,74.513328869208,8.89273444477523,"Ace","pen","acepen","Acer_pensylvanicum","north america"
1998,482.71687049365,151.503696664903,752.007101355713,265.68788203479,65.5513482489406,16.2429140007937,"Ace","pen","acepen","Acer_pensylvanicum","north america"
1999,396.710748081818,113.865884769129,1111.46481601033,245.664405015823,79.3036547207868,11.0399048766796,"Ace","pen","acepen","Acer_pensylvanicum","north america"
2000,349.374477130483,192.411404587287,999.145577792124,172.490970669965,77.5060639660064,7.99430156319473,"Ace","pen","acepen","Acer_pensylvanicum","north america"
2001,391.490249997505,146.137835316288,804.79180116204,210.305264632059,66.2168007562291,11.1392150888996,"Ace","pen","acepen","Acer_pensylvanicum","north america"
2002,327.579801107561,185.72272660692,821.915429309232,119.631649400434,64.4299569870527,10.5405404799875,"Ace","pen","acepen","Acer_pensylvanicum","north america"
2003,314.701335330376,175.368655502867,767.108457069077,308.137362590611,66.3644479236708,18.084990864015,"Ace","pen","acepen","Acer_pensylvanicum","north america"
2004,375.630173978734,208.225555755095,804.02291801162,142.767073575887,63.1038842428345,10.0246723179505,"Ace","pen","acepen","Acer_pensylvanicum","north america"
2005,293.401019016777,154.070574710794,797.373466752744,204.08841990471,64.2257256394526,12.1703830535236,"Ace","pen","acepen","Acer_pensylvanicum","north america"
2006,399.320399815096,151.711704201341,757.793092317624,144.993022945586,64.9510949062088,8.8743284727624,"Ace","pen","acepen","Acer_pensylvanicum","north america"
2007,362.067334985962,181.96852824354,1085.49774047773,245.118101896454,76.7104455853219,11.6992526746216,"Ace","pen","acepen","Acer_pensylvanicum","north america"
2008,332.675652309617,158.07696241802,616.727243382828,136.69758350036,58.7492326266338,13.0042362255446,"Ace","pen","acepen","Acer_pensylvanicum","north america"
2009,366.579090212799,174.082387364391,820.424790187218,205.548519310489,68.5323961729221,13.3139135974206,"Ace","pen","acepen","Acer_pensylvanicum","north america"
2010,474.967899854095,178.681764517623,967.507746933505,186.208606046515,70.9070687954418,12.3062714010717,"Ace","pen","acepen","Acer_pensylvanicum","north america"
2011,391.279278138408,186.822380323578,870.278566817301,175.9920699566,69.3487491101534,8.99738008972294,"Ace","pen","acepen","Acer_pensylvanicum","north america"
2012,506.78868594562,213.762753781161,867.582311168496,141.102727883277,68.0391195423468,10.9078735724101,"Ace","pen","acepen","Acer_pensylvanicum","north america"
2013,378.346323379607,145.445449987305,914.688185926404,247.867240390991,71.7067222648573,15.1173084640773,"Ace","pen","acepen","Acer_pensylvanicum","north america"
2014,354.964912359807,167.247179071217,699.79018721756,186.224857503573,63.6596007448846,12.6958514273558,"Ace","pen","acepen","Acer_pensylvanicum","north america"
2015,422.771508190371,170.54354363148,808.145255003228,172.804779468772,66.3955581429363,11.6531030278686,"Ace","pen","acepen","Acer_pensylvanicum","north america"
2016,360.404860258749,188.605794736793,963.727566171724,156.956933667924,64.7633284709875,9.00766764265147,"Ace","pen","acepen","Acer_pensylvanicum","north america"
1980,456.454815707993,196.974976312064,708.729112554113,181.240562600039,65.3376179531327,9.61440940426459,"Ace","sac","acesac","Acer_saccharum","north america"
1981,502.318856244909,227.549673354474,735.978138528139,210.610649028728,66.2661152546542,11.11752179059,"Ace","sac","acesac","Acer_saccharum","north america"
1982,503.487245715148,214.403159045447,900.933333333333,177.598094685471,72.6642687489734,8.30427674273228,"Ace","sac","acesac","Acer_saccharum","north america"
1983,386.938990876222,215.055392725908,678.285281385281,150.212000002016,65.8905266787675,6.59955200098871,"Ace","sac","acesac","Acer_saccharum","north america"
1984,395.458062702352,182.79193692182,778.359956709957,198.974498160892,68.0774345969916,11.7751346984411,"Ace","sac","acesac","Acer_saccharum","north america"
1985,555.204492103898,263.542967621807,786.219047619048,214.479929970638,69.0850283275542,8.86872333731611,"Ace","sac","acesac","Acer_saccharum","north america"
1986,579.103702737301,231.44498500973,569.078463203463,168.611194663381,58.0545316074394,7.88564977110573,"Ace","sac","acesac","Acer_saccharum","north america"
1987,561.264911395887,204.779306601758,760.625865800866,223.812148464245,66.2616629876796,12.8232752039628,"Ace","sac","acesac","Acer_saccharum","north america"
1988,496.503057110291,196.129807965527,910.609090909091,273.172256320686,72.4626023307956,14.5812976122781,"Ace","sac","acesac","Acer_saccharum","north america"
1989,461.171599429836,204.409888940793,888.139826839827,244.717258093328,71.8689592611304,13.6531966353111,"Ace","sac","acesac","Acer_saccharum","north america"
1990,505.015810250158,235.332814641199,651.565043290043,155.459906641416,62.6082340779889,10.6380722718123,"Ace","sac","acesac","Acer_saccharum","north america"
1991,596.26153463075,257.951553214691,811.48658008658,218.960367398853,71.2433449883832,11.5097046489713,"Ace","sac","acesac","Acer_saccharum","north america"
1992,465.782415119982,223.817031573943,713.433225108225,180.300373700193,66.9007061785211,10.7668239732116,"Ace","sac","acesac","Acer_saccharum","north america"
1993,444.883492026437,201.138279771775,856.422077922078,329.749221089064,66.9912475593256,17.6250456225958,"Ace","sac","acesac","Acer_saccharum","north america"
1994,450.455127808689,231.338119391395,840.164718614719,259.640816043081,67.781415222842,14.5300595488536,"Ace","sac","acesac","Acer_saccharum","north america"
1995,451.247840012586,256.004019980605,805.930627705628,146.393239690275,67.1747131188338,6.91408408465274,"Ace","sac","acesac","Acer_saccharum","north america"
1996,411.465515216755,223.457395229248,630.875757575758,143.921378585206,61.4323355421349,11.4562084558659,"Ace","sac","acesac","Acer_saccharum","north america"
1997,354.538053984846,216.764175114019,792.449567099567,234.049981546935,68.7159826825754,11.2002011935404,"Ace","sac","acesac","Acer_saccharum","north america"
1998,587.000278878584,180.46357285935,708.465151515152,298.153620980361,64.7655349108206,17.1784590302695,"Ace","sac","acesac","Acer_saccharum","north america"
1999,504.821630254816,186.589210284832,1042.2433982684,228.465718313256,76.5215023118588,9.43374510319897,"Ace","sac","acesac","Acer_saccharum","north america"
2000,505.399856386467,252.43936374775,913.759090909091,166.848743858521,73.4690986109096,7.63783340530917,"Ace","sac","acesac","Acer_saccharum","north america"
2001,526.112633274307,215.197813178153,635.127164502165,201.703615388745,61.7140272289121,9.89358137985121,"Ace","sac","acesac","Acer_saccharum","north america"
2002,443.272548712365,261.364681641117,818.306818181818,121.700223190339,65.58882753477,9.94540317314977,"Ace","sac","acesac","Acer_saccharum","north america"
2003,476.320151946019,263.584243667098,864.600757575758,343.924187097278,71.6512516393977,17.2193983174908,"Ace","sac","acesac","Acer_saccharum","north america"
2004,514.519181100445,285.92482462191,753.876623376623,171.283535108576,63.6708380771291,10.9070286723409,"Ace","sac","acesac","Acer_saccharum","north america"
2005,443.675360615971,222.749359771356,797.044155844156,183.355132369949,65.1594083787993,11.6315265145505,"Ace","sac","acesac","Acer_saccharum","north america"
2006,533.646662272263,223.297069407041,709.59816017316,143.994278676214,64.4677549229146,9.61389334532797,"Ace","sac","acesac","Acer_saccharum","north america"
2007,551.154499043434,273.583725654535,1047.80800865801,304.845631598189,75.9707987117548,13.4416740393592,"Ace","sac","acesac","Acer_saccharum","north america"
2008,437.855247967593,227.405959876367,586.454329004329,127.673346507423,59.8140836682205,13.0260532150582,"Ace","sac","acesac","Acer_saccharum","north america"
2009,494.150904495717,262.469027100168,727.069805194805,210.883924734883,64.0730405331944,14.2868258094235,"Ace","sac","acesac","Acer_saccharum","north america"
2010,606.132883838736,225.498268013216,962.092640692641,165.123507246992,69.6754822123353,12.006853455188,"Ace","sac","acesac","Acer_saccharum","north america"
2011,499.010594624119,250.21895450847,732.071536796537,183.410221332562,62.5237032356542,11.0540138342027,"Ace","sac","acesac","Acer_saccharum","north america"
2012,668.621545531713,285.286958305694,824.903138528139,171.180840798376,66.0925961600373,10.6993505885675,"Ace","sac","acesac","Acer_saccharum","north america"
2013,463.64386710725,205.947284296561,947.584632034632,252.993233695076,72.677703377072,15.0609339144504,"Ace","sac","acesac","Acer_saccharum","north america"
2014,465.244121144809,232.811980513807,691.055411255411,184.380387406493,63.0043530665622,14.9142743489429,"Ace","sac","acesac","Acer_saccharum","north america"
2015,551.915171903974,241.116599329251,763.3079004329,173.910444999042,63.9121125227796,13.2061465078919,"Ace","sac","acesac","Acer_saccharum","north america"
2016,509.475178925267,268.241608968372,857.493398268398,171.757314017543,62.4452630237243,8.08759630797549,"Ace","sac","acesac","Acer_saccharum","north america"
1980,272.592202494749,86.7595119813789,1039.22222222222,122.359641812341,56.1826541279437,4.80793973600434,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
1981,513.388859060489,102.189424393403,826.444444444444,33.6233219325185,49.5498202934763,1.43687341898239,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
1982,424.465532259602,87.5589815489553,1085.27777777778,117.344341339685,56.7443164694581,4.53080684874609,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
1983,617.41441345815,98.3312651714216,1155.38888888889,94.218754030772,57.7342772060902,2.65594253291402,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
1984,390.154422263097,82.0201793277644,898.888888888889,108.289189724141,50.5982505448765,2.36834882097015,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
1985,526.206639258812,91.816445162696,1267.38888888889,151.949575883288,59.3917680152517,3.95777820460453,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
1986,541.803305229172,97.2347280353073,899.666666666667,80.0554495334328,54.7941417904407,3.16957737437188,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
1987,369.932200418371,81.2467542667235,1236.22222222222,207.723992221516,60.4222122274289,6.31329005333099,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
1988,490.983307308828,86.8487849580465,875.277777777778,52.9044605344809,54.5201979257378,2.7070125733549,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
1989,562.89774651991,112.981450662891,1167.72222222222,125.954632485052,59.6165086477876,5.19776525649492,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
1990,541.526635960986,119.433346860831,870.666666666667,96.8223243885417,48.6913400109337,2.65215268273897,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
1991,310.623310818647,101.689629757235,841.111111111111,51.8277060182207,49.2241634284834,1.02231864762839,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
1992,423.1633085267,101.443977714923,729.388888888889,65.4440494706059,44.8041348945276,2.70578678946235,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
1993,494.286640096456,95.810549629717,895.388888888889,52.9349705876098,48.6077253201153,2.74267519689909,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
1994,589.98663477848,103.399357101131,940.888888888889,85.7411722051379,54.127027764155,4.42822506811024,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
1995,448.591087151733,84.2663506750316,1186.5,113.802460430344,58.6535458888082,4.20046422489846,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
1996,429.74886607089,80.6947242032977,1307.11111111111,129.428015171025,62.5017839983772,4.41194815008998,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
1997,431.018866464703,79.5584334072617,1175.72222222222,67.0117112484411,57.6324697742892,1.84036069767211,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
1998,483.07330654189,107.654575443883,952.444444444444,56.2935633778657,52.4833657486792,1.81659563052265,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
1999,557.827748744231,99.6504198238612,1043.05555555556,133.319973288993,53.4977116812432,4.58363757078313,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
2000,579.552192504414,94.279519836892,1007.77777777778,203.252015843495,55.3046728020894,6.49370710231469,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
2001,632.165523246138,100.009089909898,602.666666666667,52.6456313477196,43.2063789682277,1.45253789721436,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
2002,503.551082694696,109.846294403765,1138.11111111111,116.364400102055,57.1128442313672,4.62100653644235,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
2003,535.519973178705,94.1624049879645,1014.44444444444,114.45644489402,54.4552360418074,3.88668467815328,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
2004,416.264418848273,99.9794644978191,837.388888888889,128.521344963049,48.9989092571644,5.13156582584558,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
2005,412.048863809142,100.201817424015,1216.27777777778,109.837695917406,58.1490387528936,3.39254504976165,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
2006,489.77552806793,81.6110318064464,1066.16666666667,113.892767549129,52.9453163086479,2.62745127157673,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
2007,513.357748446779,98.2463943564819,1118.55555555556,58.9981167307718,55.0939375240805,2.10766008237565,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
2008,474.915527108643,91.2135305675405,922.555555555556,167.174019446138,48.2377630788586,3.99665194759574,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
2009,505.229972762987,82.5439738890594,1126.33333333333,162.921184933084,54.4839264012712,3.54154873865292,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
2010,498.623304654534,89.6297676300206,792.555555555556,226.665012248864,47.6390191499289,8.4139329438399,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
2011,426.886640162518,89.7672763480589,1155.77777777778,86.4451094304614,57.9114713162668,3.00663006232317,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
2012,458.138861860045,89.970253662569,728.833333333333,155.343973169222,45.4712809739958,4.00012742884298,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
2013,560.082192045533,88.0108453216441,853.055555555556,121.471561600968,48.0419491147669,5.4398176952745,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
2014,478.641083301148,84.5888331799467,939.833333333333,190.410576124332,48.4254479927083,5.20437172926095,"Aes","hip","Aeship","Aesculus_hippocastanum","europe"
