"X","Temp.Mean","Temp.SD","Geo.Mean","Geo.SD","species","variable"
"Mean.Chill.Utah.2",1137.40872447146,557.584122720781,1107.46334853767,232.309664209854,"Aesculus_hippocastanum","Mean.Chill.Utah"
"Mean.Chill.Portions.2",67.6161245483287,23.6993131085826,66.0193307097408,8.93109853814131,"Aesculus_hippocastanum","Mean.Chill.Portions"
"GDD.3",413.113426216356,207.411317709352,412.178326146826,88.4479042189306,"Alnus_glutinosa","GDD"
"GDD.lastfrost.3",11.561429819609,23.3067362046816,11.6536329514265,20.9394266554879,"Alnus_glutinosa","GDD.lastfrost"
"DayLastFrost.3",82.3803084111891,25.3134398984529,79.770697372009,15.2687305704071,"Alnus_glutinosa","DayLastFrost"
"MeanTmins.3",-2.54277326053361,4.70459184625679,-2.64500573896744,1.65546499146546,"Alnus_glutinosa","MeanTmins"
"SDev.Tmins.3",8.5454800716149,2.26757176130198,8.59801225330835,0.890261739962837,"Alnus_glutinosa","SDev.Tmins"
"Mean.Chill.Utah.3",1124.25111299286,569.835627908306,1104.92685936092,231.603218821824,"Alnus_glutinosa","Mean.Chill.Utah"
"Mean.Chill.Portions.3",66.9358492881553,24.3250889763779,65.973556244052,8.87940972495569,"Alnus_glutinosa","Mean.Chill.Portions"
"GDD.4",410.343396528196,206.115596104393,344.778599050395,87.4067896189825,"Alnus_incana","GDD"
"GDD.lastfrost.4",11.646411557171,23.416056546204,11.9382856701066,21.0155327911527,"Alnus_incana","GDD.lastfrost"
"DayLastFrost.4",82.9288687755043,25.1385077785084,88.9249592735725,15.2665436179477,"Alnus_incana","DayLastFrost"
"MeanTmins.4",-2.65162032481699,4.70672217567856,-4.54677095081409,1.65481564958801,"Alnus_incana","MeanTmins"
"SDev.Tmins.4",8.58688407356377,2.26929312424791,9.17470972450166,0.88761888166332,"Alnus_incana","SDev.Tmins"
"Mean.Chill.Utah.4",1113.36249318679,563.849730936585,940.548725505306,231.65007759638,"Alnus_incana","Mean.Chill.Utah"
"Mean.Chill.Portions.4",66.411884456593,24.2090753136395,57.7671694738065,8.88818431170565,"Alnus_incana","Mean.Chill.Portions"
"GDD.5",411.380284451931,206.545524129022,341.764684714106,87.9701989238285,"Betula_pendula","GDD"
"GDD.lastfrost.5",11.639720070863,23.3974103948602,12.1929488491509,20.9635973847515,"Betula_pendula","GDD.lastfrost"
"DayLastFrost.5",82.7294411238721,25.3309503322573,90.1241556465625,15.2641373887727,"Betula_pendula","DayLastFrost"
"MeanTmins.5",-2.62057345323423,4.7288826894172,-4.88133642396479,1.65418259619899,"Betula_pendula","MeanTmins"
"SDev.Tmins.5",8.57686724236732,2.28047633775792,9.34468461097728,0.889256772927472,"Betula_pendula","SDev.Tmins"
"Mean.Chill.Utah.5",1117.93855540117,569.580288406619,914.192380649362,231.331473671656,"Betula_pendula","Mean.Chill.Utah"
"Mean.Chill.Portions.5",66.598939708259,24.3791294382564,56.2601612663844,8.87667218693916,"Betula_pendula","Mean.Chill.Portions"
"GDD.6",410.644562636761,206.774881661969,307.541249916977,87.5074192125255,"Betula_pubescens","GDD"
"GDD.lastfrost.6",11.6269892109509,23.3774434382934,10.9870993819271,20.975969228709,"Betula_pubescens","GDD.lastfrost"
"DayLastFrost.6",82.8945890430635,25.3325834199078,94.6129576765978,15.2693385410844,"Betula_pubescens","DayLastFrost"
"MeanTmins.6",-2.64495502480819,4.73228154071402,-5.61292977199958,1.65417331742981,"Betula_pubescens","MeanTmins"
"SDev.Tmins.6",8.58554884960377,2.28143856198361,9.5371304757248,0.88980200770026,"Betula_pubescens","SDev.Tmins"
"Mean.Chill.Utah.6",1116.01726972742,569.330591943173,849.877751148709,231.452425682406,"Betula_pubescens","Mean.Chill.Utah"
"Mean.Chill.Portions.6",66.4824993563445,24.3744979581697,52.974598846538,8.87848122582838,"Betula_pubescens","Mean.Chill.Portions"
"GDD.7",413.81890639183,206.579134101191,413.093711700528,87.427983708906,"Carpinus_betulus","GDD"
"GDD.lastfrost.7",11.5866081357913,23.3033473738541,11.7531223188415,21.0534329131709,"Carpinus_betulus","GDD.lastfrost"
"DayLastFrost.7",81.9434916566221,25.287533169903,79.6931565295296,15.3075792535729,"Carpinus_betulus","DayLastFrost"
"MeanTmins.7",-2.47024935371403,4.65385630618241,-2.56047195993971,1.66234522934818,"Carpinus_betulus","MeanTmins"
"SDev.Tmins.7",8.51604659605938,2.24372046890621,8.56185138032257,0.883562348671224,"Carpinus_betulus","SDev.Tmins"
"Mean.Chill.Utah.7",1132.13044585727,564.461491733524,1112.26875912558,232.145008903752,"Carpinus_betulus","Mean.Chill.Utah"
"Mean.Chill.Portions.7",67.3931834980604,23.9876615236984,66.4263735836873,8.91697215106321,"Carpinus_betulus","Mean.Chill.Portions"
"GDD.8",415.844050537086,207.826476247637,417.741866671705,86.4854923513958,"Cornus_mas","GDD"
"GDD.lastfrost.8",11.6854082434433,23.4422651108376,11.8928591028208,21.0871818337246,"Cornus_mas","GDD.lastfrost"
"DayLastFrost.8",81.8830527766891,25.282336390136,79.5567673357968,15.3222485836375,"Cornus_mas","DayLastFrost"
"MeanTmins.8",-2.44792042748122,4.67085491353547,-2.40233461312563,1.6633264395567,"Cornus_mas","MeanTmins"
"SDev.Tmins.8",8.5048059171132,2.24048366771119,8.49332383210777,0.885708299359323,"Cornus_mas","SDev.Tmins"
"Mean.Chill.Utah.8",1133.29096698424,564.579293018709,1120.44904973208,232.500077409554,"Cornus_mas","Mean.Chill.Utah"
"Mean.Chill.Portions.8",67.4772149782808,23.9403978239978,66.8745435829129,8.93163630114599,"Cornus_mas","Mean.Chill.Portions"
"GDD.9",412.986608445112,206.676716788522,410.685948156774,88.2774169602855,"Corylus_avellana","GDD"
"GDD.lastfrost.9",11.5550559793895,23.3065425133162,11.69538107332,20.9787880660171,"Corylus_avellana","GDD.lastfrost"
"DayLastFrost.9",82.2755714870108,25.2934489138244,79.860583131915,15.2765930796387,"Corylus_avellana","DayLastFrost"
"MeanTmins.9",-2.52056634462524,4.68458197601524,-2.5669702852094,1.65712894105693,"Corylus_avellana","MeanTmins"
"SDev.Tmins.9",8.53456996824305,2.25893289941693,8.53134947067722,0.888458809023826,"Corylus_avellana","SDev.Tmins"
"Mean.Chill.Utah.9",1126.54698230125,569.503572449167,1110.52233685945,231.617047174318,"Corylus_avellana","Mean.Chill.Utah"
"Mean.Chill.Portions.9",67.0740058135926,24.2695385252025,66.5050749711975,8.88321251045671,"Corylus_avellana","Mean.Chill.Portions"
"GDD.10",413.029304600435,206.036883300007,414.352534402544,86.7956307342356,"Fagus_sylvatica","GDD"
"GDD.lastfrost.10",11.5657047596782,23.2389962058292,11.7768897939618,21.0658783330581,"Fagus_sylvatica","GDD.lastfrost"
"DayLastFrost.10",81.8386154987645,25.318182955034,79.6668686542665,15.3158785725964,"Fagus_sylvatica","DayLastFrost"
"MeanTmins.10",-2.47437427073408,4.65338103002122,-2.61886807916803,1.6639536511659,"Fagus_sylvatica","MeanTmins"
"SDev.Tmins.10",8.51254419729178,2.2421147739114,8.60260859304801,0.883354255137264,"Fagus_sylvatica","SDev.Tmins"
"Mean.Chill.Utah.10",1132.84444462811,565.112410174473,1107.51923099529,232.129218210534,"Fagus_sylvatica","Mean.Chill.Utah"
"Mean.Chill.Portions.10",67.4434790976058,23.9782491837225,66.0957775813064,8.91880565989026,"Fagus_sylvatica","Mean.Chill.Portions"
"GDD.11",413.078185538606,206.530650195394,410.704945314636,88.263282060693,"Fraxinus_excelsior","GDD"
"GDD.lastfrost.11",11.5699681288969,23.3311326043968,11.693930942652,21.0033462215853,"Fraxinus_excelsior","GDD.lastfrost"
"DayLastFrost.11",82.2017997133249,25.2743428258124,79.9187842043532,15.2864586868195,"Fraxinus_excelsior","DayLastFrost"
"MeanTmins.11",-2.49737175537914,4.67107907301929,-2.45604680648353,1.65845798281423,"Fraxinus_excelsior","MeanTmins"
"SDev.Tmins.11",8.52563419706577,2.2514535539368,8.48338343431596,0.88589107042235,"Fraxinus_excelsior","SDev.Tmins"
"Mean.Chill.Utah.11",1129.37413813435,568.602431163258,1123.53771064579,231.836501721864,"Fraxinus_excelsior","Mean.Chill.Utah"
"Mean.Chill.Portions.11",67.2127506708745,24.1861677560925,67.0936689777997,8.89220004472026,"Fraxinus_excelsior","Mean.Chill.Portions"
"GDD.12",407.004508691609,204.740440239629,415.921106569172,85.506906543142,"Larix_decidua","GDD"
"GDD.lastfrost.12",11.5245330164004,23.0892907002319,11.9088018352594,21.1246749221563,"Larix_decidua","GDD.lastfrost"
"DayLastFrost.12",82.8875775755954,25.2917608810086,79.8133413871992,15.3202160415781,"Larix_decidua","DayLastFrost"
"MeanTmins.12",-2.5995923408258,4.63906789445885,-2.63652056848572,1.66200371540582,"Larix_decidua","MeanTmins"
"SDev.Tmins.12",8.5158549384295,2.23280625204995,8.61460816835481,0.885684055694513,"Larix_decidua","SDev.Tmins"
"Mean.Chill.Utah.12",1117.07077586712,561.729500580938,1107.3561776502,232.354117636393,"Larix_decidua","Mean.Chill.Utah"
"Mean.Chill.Portions.12",66.878689269571,23.9348195414566,66.014535248311,8.93277288781445,"Larix_decidua","Mean.Chill.Portions"
"GDD.13",409.248909336004,205.038635367592,360.010905997884,86.7397137671901,"Picea_abies","GDD"
"GDD.lastfrost.13",11.6116097589986,23.3856296752436,11.3634427959311,21.0596971674214,"Picea_abies","GDD.lastfrost"
"DayLastFrost.13",83.0211495993342,25.0539213281048,86.7341429614515,15.2833907056679,"Picea_abies","DayLastFrost"
"MeanTmins.13",-2.65626177306276,4.69595530669786,-4.02308915600059,1.65581100231459,"Picea_abies","MeanTmins"
"SDev.Tmins.13",8.58793142094211,2.26324298571135,9.00735431816318,0.886179104923803,"Picea_abies","SDev.Tmins"
"Mean.Chill.Utah.13",1112.72986207816,562.219150775348,988.030732073701,231.762878923639,"Picea_abies","Mean.Chill.Utah"
"Mean.Chill.Portions.13",66.3423556622327,24.1491315199285,59.681251752094,8.89729105734809,"Picea_abies","Mean.Chill.Portions"
"GDD.14",411.397509440738,207.170945956676,320.432255189054,88.1919547387053,"Populus_tremula","GDD"
"GDD.lastfrost.14",11.6395017836227,23.4391191082662,11.3188155299536,20.9543639979509,"Populus_tremula","GDD.lastfrost"
"DayLastFrost.14",82.7725714058911,25.364338034136,93.104255343149,15.2675743819165,"Populus_tremula","DayLastFrost"
"MeanTmins.14",-2.62234693746363,4.73642283666714,-5.2850755744416,1.65466206721849,"Populus_tremula","MeanTmins"
"SDev.Tmins.14",8.57708391686486,2.28244627470472,9.42092120508218,0.889620808228127,"Populus_tremula","SDev.Tmins"
"Mean.Chill.Utah.14",1118.10368021344,569.730640237525,881.240194081617,231.424431173657,"Populus_tremula","Mean.Chill.Utah"
"Mean.Chill.Portions.14",66.5955588810957,24.4000291197705,54.4884555243507,8.87747809505141,"Populus_tremula","Mean.Chill.Portions"
"GDD.15",413.887212659941,207.54650454111,416.127572124003,86.9352957209376,"Prunus_avium","GDD"
"GDD.lastfrost.15",11.5853223466578,23.3467287612201,11.7393257723194,21.0578171253173,"Prunus_avium","GDD.lastfrost"
"DayLastFrost.15",81.8549568401058,25.3971245498031,79.7569632489255,15.3251919638914,"Prunus_avium","DayLastFrost"
"MeanTmins.15",-2.46245157913281,4.66312075606153,-2.5466525684818,1.66438214085076,"Prunus_avium","MeanTmins"
"SDev.Tmins.15",8.50794698427781,2.24477828807372,8.54905563100171,0.88357602795614,"Prunus_avium","SDev.Tmins"
"Mean.Chill.Utah.15",1135.56880600834,567.995375535493,1112.80564820088,232.178420386475,"Prunus_avium","Mean.Chill.Utah"
"Mean.Chill.Portions.15",67.5183647377758,24.0348506959444,66.4794661410598,8.91637345012342,"Prunus_avium","Mean.Chill.Portions"
"GDD.16",410.84002941287,206.640560564034,315.20362747214,87.9671795759139,"Prunus_padus","GDD"
"GDD.lastfrost.16",11.6297971964808,23.3805310987951,11.3264132304752,20.9641778056965,"Prunus_padus","GDD.lastfrost"
"DayLastFrost.16",82.8458298559788,25.3177880164242,93.5267126868834,15.2600642919796,"Prunus_padus","DayLastFrost"
"MeanTmins.16",-2.63914865066887,4.73157564394899,-5.48755287802651,1.65363775126755,"Prunus_padus","MeanTmins"
"SDev.Tmins.16",8.58381644112974,2.28055471769394,9.52453508677903,0.889454328794463,"Prunus_padus","SDev.Tmins"
"Mean.Chill.Utah.16",1116.33706444554,568.838680635681,865.758091390959,231.358021245915,"Prunus_padus","Mean.Chill.Utah"
"Mean.Chill.Portions.16",66.5121197604192,24.3658253072266,53.6056383461248,8.87468549824197,"Prunus_padus","Mean.Chill.Portions"
"GDD.17",419.012098375276,208.658137824137,419.477006838406,85.6703275495468,"Quercus_ilex","GDD"
"GDD.lastfrost.17",11.639480138466,23.581413032813,11.860480325093,21.119227115371,"Quercus_ilex","GDD.lastfrost"
"DayLastFrost.17",80.7988757590248,25.1240445400928,79.4880009009508,15.33182454162,"Quercus_ilex","DayLastFrost"
"MeanTmins.17",-2.36147271269494,4.65491559223399,-2.49364203636729,1.66267040869094,"Quercus_ilex","MeanTmins"
"SDev.Tmins.17",8.4825838249649,2.23213325074981,8.55990765372867,0.885644563864284,"Quercus_ilex","SDev.Tmins"
"Mean.Chill.Utah.17",1141.57783829682,563.17432294753,1113.94704654551,232.308314132931,"Quercus_ilex","Mean.Chill.Utah"
"Mean.Chill.Portions.17",67.661431425141,23.9049042651744,66.3551774572093,8.9316875523282,"Quercus_ilex","Mean.Chill.Portions"
"GDD.18",413.750934676994,206.44062101344,414.235785031989,86.8973794599322,"Quercus_petraea","GDD"
"GDD.lastfrost.18",11.616383755072,23.4028632504319,12.138749000186,21.0577332814173,"Quercus_petraea","GDD.lastfrost"
"DayLastFrost.18",81.8441898798448,25.3562401962194,79.8150158606886,15.320374910578,"Quercus_petraea","DayLastFrost"
"MeanTmins.18",-2.45736262174587,4.65656075135031,-2.55165454575734,1.66327762369691,"Quercus_petraea","MeanTmins"
"SDev.Tmins.18",8.50731091471085,2.24291128078563,8.55541358577173,0.88379242101305,"Quercus_petraea","SDev.Tmins"
"Mean.Chill.Utah.18",1136.61375193353,567.578151490574,1114.63279013648,232.203860265844,"Quercus_petraea","Mean.Chill.Utah"
"Mean.Chill.Portions.18",67.5463212573987,24.0172963768492,66.5402275008772,8.92015752692744,"Quercus_petraea","Mean.Chill.Portions"
"GDD.19",413.421149379202,206.494042333765,413.845138873195,87.9535885773813,"Quercus_robur","GDD"
"GDD.lastfrost.19",11.5336533573186,23.2162201727792,11.6373367799819,20.9825717146109,"Quercus_robur","GDD.lastfrost"
"DayLastFrost.19",82.2525305501795,25.2644939457149,79.7459545641646,15.2741554875273,"Quercus_robur","DayLastFrost"
"MeanTmins.19",-2.51818240012749,4.68270516856608,-2.54359114601997,1.65675360546817,"Quercus_robur","MeanTmins"
"SDev.Tmins.19",8.53591481157472,2.25855775458688,8.54544583738226,0.888730800979256,"Quercus_robur","SDev.Tmins"
"Mean.Chill.Utah.19",1126.94447868482,569.489577763431,1114.10605110546,231.591302736154,"Quercus_robur","Mean.Chill.Utah"
"Mean.Chill.Portions.19",67.0726472988166,24.2655366258437,66.5237510035216,8.88650257120945,"Quercus_robur","Mean.Chill.Portions"
"GDD.20",410.404757052961,206.513192144522,302.554448630227,87.9137493642833,"Sorbus_aucuparia","GDD"
"GDD.lastfrost.20",11.6406639034612,23.4405793685165,11.3791635777197,20.9771083626197,"Sorbus_aucuparia","GDD.lastfrost"
"DayLastFrost.20",82.8616909945673,25.3850960339501,94.8238214829363,15.2803694886823,"Sorbus_aucuparia","DayLastFrost"
"MeanTmins.20",-2.63837886927257,4.735910701082,-5.5932198433862,1.65485173560619,"Sorbus_aucuparia","MeanTmins"
"SDev.Tmins.20",8.58217682760933,2.28274430906853,9.5244604410675,0.88848473488066,"Sorbus_aucuparia","SDev.Tmins"
"Mean.Chill.Utah.20",1116.60459956986,569.686799817414,852.921942468752,231.388624687366,"Sorbus_aucuparia","Mean.Chill.Utah"
"Mean.Chill.Portions.20",66.5222320647198,24.3973126296107,53.1222377311094,8.87705731757396,"Sorbus_aucuparia","Mean.Chill.Portions"
"GDD.21",412.354862721562,206.234245298138,396.101939257078,88.1877742003598,"Tilia_cordata","GDD"
"GDD.lastfrost.21",11.5840098036631,23.354358932383,11.9255555730226,20.9649197768066,"Tilia_cordata","GDD.lastfrost"
"DayLastFrost.21",82.4837561912106,25.2428017158881,81.8687168633915,15.2583261421196,"Tilia_cordata","DayLastFrost"
"MeanTmins.21",-2.56849123014458,4.69566159765348,-3.09672937250154,1.6545889893596,"Tilia_cordata","MeanTmins"
"SDev.Tmins.21",8.55546034449127,2.26594219151123,8.73211038258465,0.889435836027346,"Tilia_cordata","SDev.Tmins"
"Mean.Chill.Utah.21",1120.76887451964,567.741596923308,1057.97212556977,231.447594296613,"Tilia_cordata","Mean.Chill.Utah"
"Mean.Chill.Portions.21",66.7994591345034,24.2847118197967,63.9230135730566,8.8787828600678,"Tilia_cordata","Mean.Chill.Portions"
