"","x","y","GDD","GDD.lastfrost","DayLastFrost","MeanTmins","SDev.Tmins","Mean.Chill.Utah","Mean.Chill.Portions","year","ID","weights"
"85",21.125,39.625,56.8099922481924,0,44,3.79946801462706,5.05472226458362,1803,101.553700010076,1989,4,1.79595226393844
"86",21.375,39.625,74.9799902774394,0,44,4.0679786469827,4.99791627724091,1784.5,100.566040230494,1989,5,1.79595226393844
"87",21.625,39.125,119.009986834601,0,44,4.70468076035143,4.85987506896479,1801.5,99.537144957958,1989,6,1.80443631368747
"88",21.625,38.875,159.729983465746,0,44,5.30606372557343,4.80555152946922,1771,98.043722465744,1989,7,1.80864415562071
"89",21.875,38.875,97.3799884356558,0,44,4.31436162013957,4.9081655013929,1786,101.642025476146,1989,8,1.80864415562071
"90",22.375,38.625,120.70998702012,0,44,4.73521267462205,4.90832710452454,1786.5,97.8335395980084,1989,9,1.81282910502335
"91",19.875,40.375,273.859976667911,0,10,8.25436153195481,5.20745414576441,1573.5,84.9106353388717,1990,1,1.78305645529446
"92",21.125,39.875,64.1999947652221,0,65,3.35223398212978,5.70088620504013,1163,79.6073252236201,1990,2,1.79167621309992
"93",21.375,39.875,163.899984937161,0,21,5.35659563951591,5.64834984451159,1354,84.3446376678751,1990,3,1.79167621309992
"94",21.125,39.625,67.7999944612384,0,65,3.35957440743817,5.71121842487662,1269.5,80.8976611468403,1990,4,1.79595226393844
"95",21.375,39.625,83.3699923250824,0,77,3.70382971895185,5.77146839677158,1250.5,81.1686761762378,1990,5,1.79595226393844
"96",21.625,39.125,131.029988130555,0,65,4.38595736322013,5.83850174986525,1489.5,87.282311540846,1990,6,1.80443631368747
"97",21.625,38.875,170.349984569475,0,50,5.03265947636534,5.80349803667272,1597.5,87.2620956383589,1990,7,1.80864415562071
"98",21.875,38.875,114.649990284815,0,66,3.97499992559723,5.83551237634062,1468,86.2318047899823,1990,8,1.80864415562071
"99",22.375,38.625,132.019988331944,0,66,4.2680850254887,5.803587732337,1534.5,85.4813599580106,1990,9,1.81282910502335
"100",19.875,40.375,135.599984005094,0,35,7.04914879293597,4.33570903691304,1610,90.2174384284209,1991,1,1.78305645529446
"101",21.125,39.875,6.51999828964472,0,64,2.59723399900534,4.8808413206521,1193,85.6696848973824,1991,2,1.79167621309992
"102",21.375,39.875,52.1799919046462,0,38,4.76361692936576,4.65888341927145,1253,86.5664002356877,1991,3,1.79167621309992
"103",21.125,39.625,7.77999803796411,0,64,2.72574463437133,4.86888390210701,1215,87.5062161209679,1991,4,1.79595226393844
"104",21.375,39.625,11.6899972800165,0,64,3.08276590304647,4.82783118358471,1217.5,85.7187719653965,1991,5,1.79595226393844
"105",21.625,39.125,29.5799948684871,0,64,4.02510630745599,4.7385552945456,1266.5,86.8897409451935,1991,6,1.80443631368747
"106",21.625,38.875,49.639992184937,0,36,4.69957437742739,4.69730421087087,1277.5,85.8673051130042,1991,7,1.80864415562071
"107",21.875,38.875,19.8999959789217,0,64,3.64744674142926,4.84101619880283,1265,88.8884211449133,1991,8,1.80864415562071
"108",22.375,38.625,32.3799939118326,0,36,4.05042545588568,4.86128176021904,1292,89.3541491618536,1991,9,1.81282910502335
