date,airt,airtmax,airtmin,airtmmx,airtmmn,prec
1976-04,48.3,58,38.3,89.2,19,3.43
1976-05,54.2,63.8,44.8,80.2,31.1,3.47
1976-06,68,77.1,59,87.3,42.1,2.28
1976-07,66.5,75,58.3,83.3,46,6.49
1976-08,66.2,74.6,58.1,89.2,39,6.72
1976-09,57.9,66.8,49.3,80.2,35.1,1.9
1976-10,45.7,53.1,38.4,71.2,13.1,3.56
1976-11,34.2,40.9,27.7,58.3,12,0.97
1976-12,19.9,27.3,12.7,51.3,-4.9,2.67
1977-01,13.9,22.5,5.4,36.3,-11.9,2.14
1977-02,23.2,29.4,17.2,45.3,-0.9,2.06
1977-03,38.4,45.2,31.7,80.2,13.1,5.87
1977-04,46.1,56.3,36,83.3,22.1,4.11
1977-05,57.5,68.6,46.5,83.3,31.1,2.74
1977-06,62.6,70.3,54.7,81.3,40.1,4.24
1977-07,68.3,77.3,59.5,89.2,46,2.75
1977-08,67.8,75.7,60,87.3,46,4.99
1977-09,58.3,64.9,52.2,81.3,39,4.55
1977-10,48.6,56.5,40.7,72.3,28,5.69
1977-11,40.6,46,35.3,65.3,21,3.91
1977-12,24.1,30,18.7,45.3,-9.9,4.12
1978-01,21.2,28.3,14.6,54.3,4.1,6.68
1978-02,17.4,26.5,9.1,35.2,-4.9,0.89
1978-03,29.5,37.4,21.9,53.2,-0.9,2.47
1978-04,42.8,51.9,33.4,71.2,22.1,1.86
1978-05,56.2,65.2,47.3,83.3,30,2.6
1978-06,63.9,74.1,53.7,85.3,37,3.57
1978-07,67.7,76.8,58.4,90.3,44.1,2.43
1978-08,67.6,75.3,60.3,85.3,49.1,4.69
1978-09,56.8,66.2,47.1,81.3,33.1,1.02
1978-10,47.3,56.2,38.7,72.3,26.1,3.47
1978-11,38.8,47.2,30.4,67.3,13.1,1.87
1978-12,27,33.9,20.7,51.3,10,3.35
1979-01,24.9,30.9,18.7,53.2,-2.9,8.94
1979-02,15.2,22.1,8.8,42.3,-13.9,2.18
1979-03,37.6,44.6,30.4,67.3,10,4.54
1979-04,44,51.5,36.4,72.3,24.1,6.48
1979-05,58,66.2,50.3,89.2,33.1,3.52
1979-06,63.9,74.1,53.8,85.3,39,0.78
1979-07,70.9,80,61.4,90.3,46,4.08
1979-08,67,74.1,59.9,85.3,48,4.83
1979-09,59.8,68.8,50.6,80.2,31.1,5.34
1979-10,48.3,55.3,41.9,81.3,24.1,6.38
1979-11,43.4,50.5,36.7,65.3,22.1,3.12
1979-12,30.4,36.7,24.3,56.3,1,2.38
1980-01,24.5,31.3,17.9,54.3,4.1,0.93
1980-02,21,29.3,13.1,51.3,1,0.78
1980-03,32.7,39.9,25.3,56.3,-0.9,6.55
1980-04,45.6,53.9,37.6,69.3,26.1,4.59
1980-05,56.8,67.1,46.8,87.3,35.1,1.8
1980-06,61.3,71.5,51.5,89.2,37,3.94
1980-07,71.1,80.8,61.2,90.3,48,2.02
1980-08,69.8,77.8,62.3,89.2,51.1,1.78
1980-09,61.9,71.3,52.9,89.2,37,2.02
1980-10,47.5,56,39.4,74.3,26.1,2.7
1980-11,36.2,43.1,29.7,56.3,15.1,3.3
1980-12,21.7,30.3,13.8,51.3,-15,0.96
1981-01,13.6,21.8,5.6,42.3,-11.9,0.69
1981-02,31.1,38.7,23.7,62.2,3,8.32
1981-03,34.2,40.7,27.6,74.3,10,0.84
1981-04,47.4,56.8,38.2,71.2,22.3,4.23
1981-05,57.9,68.9,46.8,85.3,21,2.74
1981-06,65.2,74.5,55.9,89.2,42.1,3.33
1981-07,70.7,78.7,62.2,89.2,51.1,5.2
1981-08,67.5,76.4,58.5,83.3,46,2.26
1981-09,58.5,66.3,50.9,80.2,31.1,3.67
1981-10,46.4,54.3,38.7,65.3,30,5.99
1981-11,38.8,45,32.7,63.3,21,2.39
1981-12,25.7,31.7,19.9,47.3,-2.9,4.96
1982-01,13.5,21.1,6.5,49.3,-15,3.6
1982-02,24,31.8,16.6,44.2,1,3.8
1982-03,31.8,39.7,24.3,60.3,1,2.81
1982-04,41.1,50,32.8,69.3,13.1,4.62
1982-05,58.2,68.6,47.4,80.2,37,1.8
1982-06,61.1,68.8,53.3,78.3,46,8.54
1982-07,69.2,79.5,59.1,90.3,48,2.74
1982-08,64.7,74.1,55.4,81.3,37,3.11
1982-09,59.9,68.9,50.8,83.3,40.1,2.06
1982-10,47.9,58.3,37.2,74.3,24.1,1.8
1982-11,41.7,49.5,34,74.3,12,3.91
1982-12,33,39.8,26.3,62.2,1,1.99
1983-01,24.5,31.2,17.6,53.2,-4.9,3.97
1983-02,27.2,35.1,20,51.3,-4.9,2.68
1983-03,35.5,40.8,30.1,54.3,13.1,5.39
1983-04,45.1,52.5,38,80.2,31.1,6.15
1983-05,54.1,62.2,46.2,74.3,28,6.71
1983-06,66.8,76.5,57,89.2,42.1,2.27
1983-07,70.7,80.7,60.8,89.2,48,2.67
1983-08,69.9,79.7,60.5,89.2,51.1,2.37
1983-09,63.9,74.3,53.4,89.2,40.1,2.04
1983-10,50,57.7,42,74.3,24.1,4.21
1983-11,40.2,47.3,32.9,62.2,22.1,6.7
1983-12,24.9,31.7,18.4,47.3,-6,5.33
1984-01,19.7,26.5,12.9,42.3,-11.9,2.32
1984-02,32.3,39.2,24.9,58.3,1,5.65
1984-03,27.1,32.9,21.4,45.3,1,4.63
1984-04,44.1,52.1,36,74.3,26.1,3.87
1984-05,54.3,64.2,44.5,81.3,31.1,10.18
1984-06,66.6,75.9,56.9,89.2,42.1,2.48
1984-07,68.3,76.3,60.3,87.3,51.1,6.25
1984-08,70.9,78.7,62.6,85.3,49.1,0.92
1984-09,58.5,68.5,48.7,80.2,35.1,0.76
1984-10,52.3,61.1,43.9,78.3,26.1,3.47
1984-11,39.2,47,31.8,62.2,17.1,3.43
1984-12,32.6,38.8,26.8,62.2,12,2.84
1985-01,18.2,25.5,10.8,44.2,1,1.13
1985-02,27.9,36.1,19.6,65.3,1,1.77
1985-03,36.1,46.9,25.3,71.2,8.1,2.96
1985-04,45.7,56.1,35.4,76.6,19,1.06
1985-05,60.4,70.6,49.9,83.3,40.1,2.49
1985-06,61.7,70.2,52.6,78.3,42.1,2.76
1985-07,69.6,79.1,60.2,83.3,49.1,2.89
1985-08,66.9,75.2,58.8,87.3,49.1,7.56
1985-09,60.6,69,52.4,81.3,40.1,3.2
1985-10,49.6,59.1,40.2,72.3,28,2.41
1985-11,39.3,44.8,34.1,69.3,19,5.02
1985-12,23,29,17.2,45.3,1,1.41
1986-01,23.7,31.6,15.8,51.3,-6,5.11
1986-02,20.8,28.4,13,36.3,3,2.8
1986-03,34.2,42.8,25.8,74.3,1,3.74
1986-04,47.7,57,38.7,78.3,28,1.56
1986-05,57.4,67.5,47.7,85.3,30,1.6
1986-06,61,70.4,51.7,81.3,35.1,6.18
1986-07,67.9,75.9,60.3,89.2,46,4.75
1986-08,65.1,73.7,56.7,80.2,39,3.36
1986-09,56.7,66.4,47.3,76.3,35.1,1.24
1986-10,48.9,57.8,40.2,80.2,28,2.2
1986-11,35.9,43.5,28.1,62.2,8.1,5.3
1986-12,28.7,34.3,23.9,47.3,8.1,4.7
1987-01,21.2,28.7,14.2,42.3,-0.9,4.08
1987-02,23.4,32.4,14.9,44.2,-9.9,0.13
1987-03,36,44.4,27.8,67.3,3,2.67
1987-04,45.6,54.1,37.3,74.3,22.1,7.46
1987-05,56,66.7,45.3,87.3,31.1,1.04
1987-06,65,73.7,56.4,87.3,44.1,3.63
1987-07,71.2,80,62.8,89.2,49.1,1.62
1987-08,66.2,76,56.5,89.2,42.1,3.17
1987-09,59.4,67.5,51.7,80.2,37,5.25
1987-10,46.8,57.6,36.4,69.3,28,3.86
1987-11,37.8,46.6,28.8,72.3,10,1.89
1987-12,29.9,36.2,23.5,54.3,-2.9,2.13
1988-01,18.5,28.3,8.6,44.2,-15,2.37
1988-02,24.2,33.4,14.9,54.3,-2.9,3.06
1988-03,33.1,42.5,23.5,63.3,4.1,2.42
1988-04,43.6,51.7,36,69.3,26.1,3.56
1988-05,56.1,65.8,46.1,81.3,31.1,2.84
1988-06,63.8,74.9,53,92.3,37,2.41
1988-07,72,80,63.7,90.3,42.1,6.36
1988-08,71.6,78.8,64.3,90.3,44.1,3.44
1988-09,59.2,69.7,48.7,78.3,35.1,2
1988-10,45.3,53.9,36.6,78.3,22.1,1.96
1988-11,40.7,48.7,33.7,62.2,24.1,5.68
1988-12,25.8,32.5,19.2,47.3,-4.9,1.39
1989-01,27.4,34,20.8,53.2,1,1.61
1989-02,24.3,32,17,65.3,4.1,2.59
1989-03,33.6,42,25,74.3,3,2.31
1989-04,42.4,51.3,33.6,67.3,22.1,4.15
1989-05,58.4,67.5,49.3,87.3,37,7.67
1989-06,66,73.7,58.1,87.3,49.1,4.55
1989-07,69.8,78.8,61.1,89.2,53.1,3.98
1989-08,69,78.3,60,87.3,46,4.93
1989-09,61.7,71,52.6,89.2,33.1,4.79
1989-10,51.5,60.5,42.5,72.3,27.3,5.97
1989-11,38,45.3,31,65.3,4.1,4
1989-12,13.7,20.8,6.9,35.2,-4.9,0.94
1990-01,32.2,38.1,26.7,54.3,13.1,2.91
1990-02,28.2,36.5,20,54.3,-4.9,4.06
1990-03,36.8,46.4,27.3,78.3,4.1,2.51
1990-04,45.7,54.6,37,89.2,22.1,3.43
1990-05,52.8,61.5,44,78.3,33.1,6.39
1990-06,67.2,77.3,56.9,83.3,40.1,1.36
1990-07,70.9,80.2,61.8,89.2,51.1,1.9
1990-08,69.4,77.9,61.2,89.2,46,6.65
1990-09,60.6,70.8,50.7,83.3,31.1,1.04
1990-10,54.4,63.9,45.1,83.3,28,6.12
1990-11,42.1,50.1,34.2,74.3,21,2.48
1990-12,33.8,40.7,27.2,58.3,12,5.7
1991-01,23.7,31.1,16.6,44.2,-2.9,3.46
1991-02,30.4,38.7,22.3,62.2,3,2.22
1991-03,37.6,45.6,29.8,71.2,13.1,3.47
1991-04,49.8,60,39.4,83.3,21,2.22
1991-05,60.6,72.2,49.5,87.3,31.1,5.64
1991-06,65.9,76.4,55.7,89.2,44.1,3.15
1991-07,68.7,78.1,59.4,92.3,46,2.67
1991-08,69.9,78.5,61.5,87.3,53.1,9.54
1991-09,59.5,69.6,49.7,87.3,30,7.35
1991-10,51.3,61,42.2,74.3,19,2.62
1991-11,39.5,45.5,33.8,69.3,17.1,4.72
1991-12,28,35.3,20.6,51.3,4.1,3.45
1992-01,24.1,31.9,15.7,54.3,-4.9,1.85
1992-02,25.5,33.4,18,47.3,-6,2.1
1992-03,30.4,38.5,22.6,53.2,4.1,3.74
1992-04,42,49.6,33.9,71.2,19,2.94
1992-05,54.9,66.3,43.7,89.2,29.3,2.16
1992-06,63.3,73.3,53.5,83.3,44.1,3.9
1992-07,65.9,74.5,57,81.3,42.1,4.81
1992-08,65,73.7,56.5,87.3,42.1,5.72
1992-09,58.6,67.2,50.7,80.2,31.1,2.76
1992-10,43.9,53.1,36.8,71.8,26.1,2.24
1992-11,36.2,42.4,30.1,60.3,15.1,4.93
1992-12,27,33.3,21.8,44.2,-2.9,3.15
1993-01,24.7,31.8,17.3,53.8,3,2.37
1993-02,17.5,27.3,7.7,42.3,-11.9,2.28
1993-03,29.9,38.1,21.7,63.3,-2.9,5.83
1993-04,45.9,55.1,37,74.3,26.1,3.61
1993-05,56.8,68.3,45.2,87.3,28.2,1.02
1993-06,63.8,74.9,53,86.7,39,3.04
1993-07,69.6,80.4,58.4,94.3,49.1,5.63
1993-08,68.5,77.8,59.6,89.2,43.2,3.17
1993-09,58.5,67.2,49.8,85.3,31.1,4.97
1993-10,46.1,56.4,35.5,74.3,24.1,3.61
1993-11,38.1,46.6,30.1,71.2,9.3,4.3
1993-12,27.1,34.4,20.2,49.3,-2.9,5.81
1994-01,13.9,23.5,4.4,51.3,-18.9,5.38
1994-02,19.4,28.6,10.7,56.3,-6,1.9
1994-03,31.4,39.9,23,62.2,3,5.74
1994-04,45.7,56,35.4,81.3,17.1,3.62
1994-05,53.3,64.1,42.2,83.3,30,3.89
1994-06,66.9,76.7,56.7,92.3,39,2.87
1994-07,72.2,82,63.1,90.3,51.1,6.39
1994-08,65.9,75,57.2,85.3,45.3,4.78
1994-09,56.7,66.6,46.9,79.7,37.2,3.41
1994-10,48.4,59.2,37.9,69.4,26.6,1.03
1994-11,41.5,50.1,33.2,72.3,14.2,3.17
1994-12,31.4,38.4,24,54.7,4.1,4.57
1995-01,28,33.8,22.1,57.7,3,3.56
1995-02,22,30.4,14.3,47.3,-8.7,1.55
1995-03,36.2,44.2,28.2,65.3,12,1.83
1995-04,41.2,51.2,31.3,69.3,10,1.56
1995-05,53.8,63.8,43.5,83.3,12,1.07
1995-06,60.4,68.4,50.4,89.2,33.1,1.93
1995-07,66.4,78.2,54.8,90.3,42.1,8.29
1995-08,66.6,79.8,53.7,90.3,40.1,1.78
1995-09,55.7,68.8,42.7,83.3,30,2.94
1995-10,50.4,62.8,39.9,80.2,30.2,9.68
1995-11,33.1,41.2,27.2,60.3,9.3,4.67
1995-12,21.3,28.6,14.9,40.3,-3.8,1.93
1996-01,21.3,30.2,12.9,54.3,-14.8,4.84
1996-02,22.1,31,13.6,49.3,-8,2.43
1996-03,29.6,39.6,19.9,65.3,-2.9,2.06
1996-04,42,52.4,31.7,80.2,12,3.95
1996-05,53,62.9,43.2,87.3,31.1,4.11
1996-06,65.5,74,57.1,81.3,46,4.52
1996-07,67.5,75.7,59.5,83.3,51.1,7.26
1996-08,69.9,78,62.1,89.2,51.1,0.98
1996-09,60.3,68.6,52.1,85.3,37,5.82
1996-10,48.1,57.9,38.4,69.3,28,4.37
1996-11,34.3,42,27.1,63.3,13.1,3.6
1996-12,33.6,38.1,29.2,53.2,13.1,7.88
1997-01,20.8,30.2,12.1,45.3,-20.9,3.13
1997-02,28.8,38.1,19.5,61.7,-9.9,1.96
1997-03,30.7,39,23.1,65.3,6.1,3.86
1997-04,41.1,51.1,32,71.2,22.3,4.17
1997-05,51,61,42.3,76.3,30.2,2.86
1997-06,65.1,75.8,54.3,89.2,42.1,1.23
1997-07,68.2,78.3,58.1,89.2,48,3.46
1997-08,66.5,76.3,57,87.3,48,3.79
1997-09,59,69,49.1,80.2,31.1,0.78
1997-10,47.3,57.4,37.3,78.3,24.1,1.91
1997-11,34.4,42.3,27.2,60.3,12,4.13
1997-12,28.8,36.6,21.8,51.3,8.1,1.67
1998-01,27.2,34.9,19.6,54.3,-4.9,4.98
1998-02,29.1,38.7,19.9,51.3,1,2.47
1998-03,34.7,43.7,26.2,80.2,3,4.52
1998-04,45.4,57.1,34.2,87.3,21,2.16
1998-05,58.5,69.9,47.1,83.3,34.2,2.09
1998-06,62.6,71.3,54,83.3,31.1,7.05
1998-07,68.8,79.2,58.5,87.3,49.1,1.56
1998-08,69.2,80,58,87.3,48,1.37
1998-09,61.3,73.3,49.5,87.3,31.1,1.8
1998-10,47.8,58.1,37.5,71.2,22.1,3.49
1998-11,36.6,46.4,28.4,62.2,20.3,2.04
1998-12,32.4,42.2,23.3,65.3,3,1.26
1999-01,22.2,33.2,12,54.3,-8.7,5.26
1999-02,26.3,36.7,16.1,53.2,1,2.28
1999-03,32.6,42.4,23.6,62.2,4.1,4.32
1999-04,44.1,56.3,32.1,72.3,22.1,0.46
1999-05,56.6,67.8,45.1,83.3,33.1,2.15
1999-06,68.9,79.2,58.6,90.3,42.1,1.91
1999-07,73.1,82.8,63.3,90.3,49.1,1.48
1999-08,68.7,77.9,59.9,92.3,49.1,3.24
1999-09,63.8,72.7,55.3,89.2,39,9.02
1999-10,46.7,56.6,37,71.2,19,3.57
1999-11,43.1,51,34.9,67.6,23.2,3.16
1999-12,28.9,37.1,21,56.3,1,2.05
2000-01,19.6,28.8,11.2,54.3,-11.9,3.26
2000-02,26.8,34.9,18.9,56.3,3,3.11
2000-03,38.9,48.1,29,67.3,6.1,2.79
2000-04,42.6,51.2,34.7,74.3,13.1,3.63
2000-05,55,64,46.1,85.3,31.1,2.63
2000-06,63.5,71.9,55.6,85.6,42.1,5.49
2000-07,66,74.3,58,81.3,49.1,4.65
2000-08,65.8,73.7,58.4,81.3,48,3.58
2000-09,59.6,68.8,50.7,81.3,30,3.67
2000-10,48.9,58.3,39.7,74.3,28,1.96
2000-11,37.8,44.5,31.2,63.3,10,2.37
2000-12,22.2,30.6,13.9,56.3,-24,3.72
2001-01,22.6,30.8,14.6,36.3,4.1,1.21
2001-02,25,33.9,15.4,48,0.7,2.12
2001-03,30,39,22,54.3,9,6.68
2001-04,44.5,56.7,32.3,84.6,19.9,1.24
2001-05,56.9,68.3,45.9,87.6,29.1,1.94
2001-06,66.2,77.3,56,87.3,38.1,6.02
2001-07,65.4,77,54.8,90.9,45.5,2.77
2001-08,70.2,81.1,61.1,92.5,53.1,2.09
2001-09,59.9,70.8,49.8,82.8,36.7,4.51
2001-10,50.6,61.6,40.7,76.3,25.5,0.81
2001-11,42.7,52,33.5,66.9,20.5,1.08
2001-12,33.5,41.1,26.3,67.8,12.7,2.55
2002-01,30.2,37.5,23.5,54.3,10.4,2.07
2002-02,30.2,40.5,20.5,59.9,6.4,2.21
2002-03,34.5,44.1,25.5,64.9,8.8,3.34
2002-04,46.2,57.4,35.9,90.1,19.2,3.88
2002-05,52.6,63.9,42.1,80.2,28.8,4.85
2002-06,62.2,73.5,51.6,88.3,39.7,4.54
2002-07,69.4,80.3,59.5,92.5,47.8,2.62
2002-08,68.8,80.7,59.1,92.7,46,4.63
2002-09,62.8,74.2,53.2,90.1,39.2,3.43
2002-10,45.7,55,37.7,79.7,22.6,2.93
2002-11,36.3,43.4,29.6,64.9,7.5,5.03
2002-12,26.5,34.4,19.3,54.9,0.7,4.21
2003-01,16.2,24.3,8.1,37.4,-9.8,3.19
2003-02,20.4,29.1,11.5,52.9,-7.4,3.23
2003-03,33.4,44.9,22.4,69.3,-5.3,4.04
2003-04,41.3,51.8,31.2,79.7,17.6,3.79
2003-05,52.7,63.2,43.3,80.2,33.6,5.7
2003-06,62.9,73,53.9,91.9,39.7,6
2003-07,69.1,79.4,60,87.4,53.4,1.43
2003-08,68.9,79,60.9,86.2,44.8,3.88
2003-09,60.4,70.2,51.7,79.2,41.2,5.48
2003-10,46.6,56.8,37.9,76.1,26.6,5.63
2003-11,40.1,50.4,32.4,70.5,16.2,3.15
2003-12,29.3,37.4,21.5,54,8.1,6.06
2004-01,13.3,21.2,5.1,44.2,-14.1,1.17
2004-02,25.4,35.2,16.3,50.5,0.9,1.43
2004-03,34.3,43.7,26.1,69.3,11.1,3.26
2004-04,45.2,56.6,34.9,84.2,22.3,6.05
2004-05,56.8,69.2,45.8,85.6,30.7,4.51
2004-06,62,73.2,51.4,87.8,42.8,2.75
2004-07,67.2,77,58.7,84.2,51.8,4.98
2004-08,66.8,77,58.5,86,47.7,3.43
2004-09,60.8,71.6,51.4,81.1,39.7,8.41
2004-10,48,57.4,40.3,73.6,30,2.43
2004-11,38.6,47.7,29.6,63.1,15.1,3.48
2004-12,27.6,34.8,19.6,56.3,-7.6,3.89
2005-01,20,28.1,11.6,57.2,-12.8,4.39
2005-02,27.2,37,17.9,54.1,3.2,2.55
2005-03,29.7,39.6,20.2,62.1,0.5,4.72
2005-04,47.4,59.9,35.6,81.5,25.2,5.67
2005-05,49.8,59.8,40.3,77.7,29.3,3.58
2005-06,66.7,78.3,56.9,90.7,45.5,5.52
2005-07,69.2,79.8,60.6,88.7,52.3,4.85
2005-08,69.6,80.2,61,87.6,51.6,3.42
2005-09,62.8,74.2,52.8,86.2,38.3,2.42
2005-10,49.4,57,42.7,76.3,28.2,11.7
