"","LastName","FirstName","DatasetID","Dataset","SpeciesName","ObservationID","Basal area","Canopy height of stand","Diameter at breast height (DBH) of the forest stand","Exposition","Latitude","Leaf age at measurement","Leaf area index of the site (LAI)","Longitude","Maximum diameter at breast height comments","Maximum diameter at breast height extreme","Maximum diameter at breast height max","Maximum diameter at breast height mean","Maximum diameter at breast height min","Maximum height","Maximum height comment","Maximum height extreme","Maximum height max","Maximum height min","Plant developmental status / plant age / maturity / plant life stage","Plant height observed","Plant height vegetative","SLA leaf area type","Stem diameter at breast height (1.3 m","Wood density; stem specific density; wood specific gravity"
"24","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer pensylvanicum",1828566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","8","3",NA,NA,NA,NA,NA,NA
"25","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer pensylvanicum",1832781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer pseudoplatanus",762551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",NA,NA,NA
"27","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer pseudoplatanus",762552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",NA,NA,NA
"28","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer pseudoplatanus",762553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30",NA,NA,NA
"29","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer pseudoplatanus",762554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30",NA,NA,NA
"30","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer pseudoplatanus",762555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",NA,NA,NA
"31","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer pseudoplatanus",764140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30",NA,NA,NA
"32","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer pseudoplatanus",1257831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30",NA,NA,NA
"33","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer pseudoplatanus",1257832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40",NA,NA,NA
"34","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer pseudoplatanus",1257833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",NA,NA,NA
"35","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer pseudoplatanus",1822999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35","Page: 24",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer pseudoplatanus",1823000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Page: 20-21","40","30","25",NA,NA,NA,NA,NA,NA
"37","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer pseudoplatanus",1823001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35","30",NA,NA,NA,NA,NA,NA
"38","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer pseudoplatanus",1823002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","bis 30 m hoher Baum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer pseudoplatanus",1823003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer pseudoplatanus",1826524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer pseudoplatanus",1828283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","21","18",NA,NA,NA,NA,NA,NA
"42","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer rubrum",762556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36",NA,NA,NA
"43","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer rubrum",762557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27",NA,NA,NA
"44","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer rubrum",762558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28",NA,NA,NA
"45","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer rubrum",762559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30",NA,NA,NA
"46","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer rubrum",1257834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38.1",NA,NA,NA
"47","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer rubrum",1257835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18",NA,NA,NA
"48","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer rubrum",1257836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9",NA,NA,NA
"49","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer rubrum",1823004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36","max.36 m; Page: 26",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer rubrum",1823005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Average mature trees are 18 to 27 m (60 to 90 ft) in height...The largest registered living red ...","38.1","27","18",NA,NA,NA,NA,NA,NA
"51","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer rubrum",1823006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"grows 30 to 90 feet (9-28 m) tall",NA,"28","9",NA,NA,NA,NA,NA,NA
"52","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer rubrum",1823007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","Einzelangabe",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer rubrum",1825728,NA,NA,NA,"Outside ""natural"" vegetation","40.81444444","Expanded",NA,"-77.93055556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sapling (1 - 10 y)","2.2",NA,NA,NA,NA
"54","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer rubrum",1825734,NA,NA,NA,"Outside ""natural"" vegetation","40.81444444","Expanded",NA,"-77.93055556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sapling (1 - 10 y)","2.2",NA,NA,NA,NA
"55","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer rubrum",1825740,NA,NA,NA,"Outside ""natural"" vegetation","40.81444444","Expanded",NA,"-77.93055556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sapling (1 - 10 y)","2.2",NA,NA,NA,NA
"56","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer rubrum",1825746,NA,NA,NA,"Outside ""natural"" vegetation","40.81444444","Expanded",NA,"-77.93055556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sapling (1 - 10 y)","2.2",NA,NA,NA,NA
"57","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer rubrum",1828554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40","23","18",NA,NA,NA,NA,NA,NA
"58","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer rubrum",1843364,"21.5",NA,NA,"Outside ""natural"" vegetation","35.96666667",NA,"5","-84.28333333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pole (10 - 60 y)",NA,NA,NA,"Dbh",NA
"59","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer rubrum",1873114,"21.5",NA,NA,"Outside ""natural"" vegetation","35.96666667",NA,"5","-84.28333333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pole (10 - 60 y)",NA,NA,NA,"Dbh",NA
"60","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer rubrum",1873115,"21.5",NA,NA,"Outside ""natural"" vegetation","35.96666667",NA,"5","-84.28333333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pole (10 - 60 y)",NA,NA,NA,"Dbh",NA
"61","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer rubrum",1873116,"21.5",NA,NA,"Outside ""natural"" vegetation","35.96666667",NA,"5","-84.28333333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pole (10 - 60 y)",NA,NA,NA,"Dbh",NA
"62","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer rubrum",1873117,"21.5",NA,NA,"Outside ""natural"" vegetation","35.96666667",NA,"5","-84.28333333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pole (10 - 60 y)",NA,NA,NA,"Dbh",NA
"63","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer rubrum",1873118,"21.5",NA,NA,"Outside ""natural"" vegetation","35.96666667",NA,"5","-84.28333333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pole (10 - 60 y)",NA,NA,NA,"Dbh",NA
"64","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer saccharum",762564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41",NA,NA,NA
"65","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer saccharum",762565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37",NA,NA,NA
"66","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer saccharum",762566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27",NA,NA,NA
"67","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer saccharum",762567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30",NA,NA,NA
"68","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer saccharum",1257841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27",NA,NA,NA
"69","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer saccharum",1257842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37",NA,NA,NA
"70","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer saccharum",1823012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","Page: 26",NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer saccharum",1823013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mature trees and stands of sugar maple reach...27 to 37 m (90 to 120 ft) in height",NA,"37","27",NA,NA,NA,NA,NA,NA
"72","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer saccharum",1823014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reaches 90 to 120 feet (27-37 m)",NA,"37","27",NA,NA,NA,NA,NA,NA
"73","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer saccharum",1823015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","Einzelangabe",NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer saccharum",1825379,NA,NA,NA,"Outside ""natural"" vegetation","42.98333333","Expanded",NA,"-90.11666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sapling (1 - 10 y)","0.7",NA,NA,NA,NA
"75","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer saccharum",1825380,NA,NA,NA,"Outside ""natural"" vegetation","42.98333333","Expanded",NA,"-90.11666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sapling (1 - 10 y)","0.7",NA,NA,NA,NA
"76","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer saccharum",1825381,NA,NA,NA,"Outside ""natural"" vegetation","42.98333333","Expanded",NA,"-90.11666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sapling (1 - 10 y)","0.7",NA,NA,NA,NA
"77","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer saccharum",1826022,NA,NA,NA,"Climate chamber","43.06","Expanded",NA,"89.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seedling (0 - 1 y)","0.248",NA,NA,NA,NA
"78","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer saccharum",1826050,NA,NA,NA,"Outside ""natural"" vegetation","45.55",NA,NA,"-73.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sapling (1 - 10 y)","1.36",NA,NA,NA,NA
"79","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer saccharum",1828564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24",NA,NA,NA,NA,NA,NA,NA
"80","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer saccharum",1832780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Aesculus hippocastanum",762577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30",NA,NA,NA
"82","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Aesculus hippocastanum",762578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",NA,NA,NA
"83","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Aesculus hippocastanum",762579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20",NA,NA,NA
"84","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Aesculus hippocastanum",762580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",NA,NA,NA
"85","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Aesculus hippocastanum",762581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",NA,NA,NA
"86","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Aesculus hippocastanum",764151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",NA,NA,NA
"87","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Aesculus hippocastanum",1257846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",NA,NA,NA
"88","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Aesculus hippocastanum",1257847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30",NA,NA,NA
"89","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Aesculus hippocastanum",1823025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","Page: 30",NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Aesculus hippocastanum",1823026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25","Page: 712",NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Aesculus hippocastanum",1823027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","25","20",NA,NA,NA,NA,NA,NA
"92","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Aesculus hippocastanum",1823028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25","bis 25 m hoher Baum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Aesculus hippocastanum",1823029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Aesculus hippocastanum",1826535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Aesculus hippocastanum",1828297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Aesculus hippocastanum",1828298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","25","15",NA,NA,NA,NA,NA,NA
"97","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Aesculus hippocastanum",1832759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Alnus glutinosa",762594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA
"99","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Alnus glutinosa",762595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",NA,NA,NA
"100","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Alnus glutinosa",762596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30",NA,NA,NA
"101","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Alnus glutinosa",762597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",NA,NA,NA
