"","LastName","FirstName","SpeciesName","ObservationID","DatasetID","Dataset","Exposition temperature","Latitude","Leaf mass per area based on fresh weight","Longitude","Maximum plant height","Plant height vegetative","Specific leaf area (SLA) per fresh weight","Stomata density","stomata density: lower surface only","stomata density: upper+lower / one-sided leaf area","LWC","LDMC"
"90","Cornelissen","Johannes","Aesculus hippocastanum",16530,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.481356164",NA,NA,NA,NA,"2.7146875"
"91","Cornelissen","Johannes","Aesculus hippocastanum",16531,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.35493115",NA,NA,NA,NA,"3.302385686"
"92","Cornelissen","Johannes","Aesculus hippocastanum",16532,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"3.361411088",NA,NA,NA,NA,"2.701136671"
"93","Cornelissen","Johannes","Aesculus hippocastanum",16533,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"5.690546787",NA,NA,NA,NA,"3.491004016"
"94","Cornelissen","Johannes","Aesculus hippocastanum",16534,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.340475",NA,NA,NA,NA,"2.848877805"
"95","Cornelissen","Johannes","Aesculus hippocastanum",16535,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.501284399",NA,NA,NA,NA,"3.193166667"
"96","Cornelissen","Johannes","Aesculus hippocastanum",16536,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"3.454128538",NA,NA,NA,NA,"2.726860025"
"97","Cornelissen","Johannes","Aesculus hippocastanum",16537,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"5.895376667",NA,NA,NA,NA,"3.213765182"
"98","Cornelissen","Johannes","Aesculus hippocastanum",16538,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"3.89655698",NA,NA,NA,NA,"2.62606357"
"99","Cornelissen","Johannes","Aesculus hippocastanum",16539,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.867537373",NA,NA,NA,NA,"3.29026616"
"100","Cornelissen","Johannes","Aesculus hippocastanum",172770,37,"Sheffield Database","5","53.4",NA,"-1.5",NA,"39",NA,NA,NA,NA,NA,"0.334"
"101","Cornelissen","Johannes","Aesculus hippocastanum",172891,37,"Sheffield Database","5","53.4",NA,"-1.5",NA,"39",NA,NA,NA,NA,NA,"0.334"
"102","Cornelissen","Johannes","Aesculus hippocastanum",172966,37,"Sheffield Database","5.2","53.4",NA,"-1.5",NA,"39",NA,NA,NA,NA,NA,"0.334"
"103","Cornelissen","Johannes","Aesculus hippocastanum",173087,37,"Sheffield Database","5.2","53.4",NA,"-1.5",NA,"39",NA,NA,NA,NA,NA,"0.334"
"104","Cornelissen","Johannes","Alnus glutinosa",1290865,37,"Sheffield Database",NA,NA,NA,NA,"2900",NA,NA,"107.85",NA,NA,"67.16364736",NA
"105","Cornelissen","Johannes","Alnus glutinosa",1302683,37,"Sheffield Database",NA,NA,"0.208387561",NA,NA,NA,"4.798750909",NA,"218.75","218.75",NA,"0.328363526"
"106","Cornelissen","Johannes","Alnus glutinosa",16009,37,"Sheffield Database",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Cornelissen","Johannes","Alnus glutinosa",16540,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"5.398032787",NA,NA,NA,NA,"2.668167939"
"108","Cornelissen","Johannes","Alnus glutinosa",16541,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"5.522524272",NA,NA,NA,NA,"3.569306931"
"109","Cornelissen","Johannes","Alnus glutinosa",16542,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.170308789",NA,NA,NA,NA,"3.13224"
"110","Cornelissen","Johannes","Alnus glutinosa",16543,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.72566055",NA,NA,NA,NA,"2.833421751"
