model,m2lni  (nointer_2level.stan),m2l.winsp (winternosp_2level.stan),m2l.wstudy (nointer_2level_studyint_ncp.stan),,m2lni ,m2l.winsp,m2l.wstudy,,m2lni ,m2l.winsp,m2l.wstudy,,m2lni ,m2l.winsp,m2l.wstudy
,,,,,,,,,,,,,,,
data info,"all f, p, c","all f, p, c","all f, p, c",,"all f, p, c","all f, p, c","all f, p, c",,"all f, p, c","all f, p, c","all f, p, c",,"all f, p, c","all f, p, c","all f, p, c"
spcomplex,all spp,all sp,all sp,,sppcomplex,sppcomplex,sppcomplex,,sppcomplex.onecue,sppcomplex.onecue,sppcomplex.onecue,,sppcomplex.nocrops,sppcomplex.nocrops,sppcomplex.nocrops
diganostics,fine,fine,"Increased tree depth to 15, rhats>1.1 for all sp",,fine,fine,fine (!),,fine,fine,fine,,,,
model notes,PPC: yrep has negative nums,PPC: yrep has negative nums,PPC: yrep has negative nums,,PPC: yrep has negative nums,PPC: yrep has negative nums,PPC: yrep has negative nums,,PPC: yrep has negative nums,,,,,,
,,,,,,,,,,,,,,,
N,3053,3053,3053,,2256,2256,2256,,2355,2355,2355,,2037,2037,2037
sp_n,203,203,203,,40,40,40,,43,43,43,,37,37,37
study_n,49,49,49,,43,43,43,,47,47,47,,37,37,37
preds centered,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,,,
,,,,,,,,,,,,,,,
b_chill[70],-7.161308387,-6.771675481,-7.33228562,,,,,,,,,,,,
b_chill[71],-6.656695244,-6.282349355,-6.349812656,,,,,,,,,,,,
b_chill[72],-7.861394453,-7.538530407,-7.885623047,,,,,,,,,,,,
b_chill[73],-7.299130595,-7.061855588,-7.116035209,,,,,,,,,,,,
b_chill[74],-7.592379888,-7.529674189,-7.567566048,,,,,,,,,,,,
b_chill[75],-6.302874071,-5.834391982,-6.057873315,,,,,,,,,,,,
b_chill[76],-7.745373361,-7.541869962,-7.787344286,,,,,,,,,,,,
b_chill[77],-9.238914535,-9.069461082,-10.27930913,,,,,,,,,,,,
b_chill[78],-6.083931197,-5.631736363,-5.585703789,,,,,,,,,,,,
b_chill[79],-11.75555996,-11.45010063,-14.66261735,,,,,,,,,,,,
b_chill[80],-13.70109412,-13.63895718,-17.66598007,,,,,,,,,,,,
b_chill[81],-13.3177469,-13.13781124,-17.22096496,,,,,,,,,,,,
b_chill[82],-7.233713001,-6.892939064,-7.474773311,,,,,,,,,,,,
b_chill[83],-7.268364912,-6.861851581,-7.41549114,,,,,,,,,,,,
b_chill[84],-9.806326228,-9.624483668,-11.27716642,,,,,,,,,,,,
b_chill[85],-11.27899438,-11.09647555,-13.53325502,,,,,,,,,,,,
b_chill[86],-7.347836079,-7.138325708,-7.465158984,,,,,,,,,,,,
b_chill[87],-9.335560811,-9.188835797,-10.49896134,,,,,,,,,,,,
b_chill[88],-10.31052104,-9.978431003,-11.67054457,,,,,,,,,,,,
b_chill[89],-7.24759487,-6.849753951,-7.544941501,,,,,,,,,,,,
b_chill[90],-4.107452106,-3.704052697,-2.865141012,,,,,,,,,,,,
b_chill[91],-10.82469,-10.54517355,-12.77463981,,,,,,,,,,,,
b_chill[92],-6.360243927,-5.834439018,-5.923589676,,,,,,,,,,,,
b_chill[93],-8.721404968,-8.502497167,-9.374462151,,,,,,,,,,,,
b_chill[94],-9.07857552,-8.885539233,-10.0741817,,,,,,,,,,,,
b_chill[95],-10.69073675,-10.49278663,-12.52214953,,,,,,,,,,,,
b_chill[96],-9.798062019,-9.647822142,-11.0277485,,,,,,,,,,,,
b_chill[97],-9.511057656,-9.337584918,-10.71393301,,,,,,,,,,,,
b_chill[98],-8.887728525,-8.520714656,-9.639672507,,,,,,,,,,,,
b_chill[99],-8.728389579,-8.525798761,-9.207773039,,,,,,,,,,,,
b_chill[100],-10.30957517,-10.10841744,-11.83421882,,,,,,,,,,,,
b_chill[101],-8.074932708,-7.83364831,-8.30388689,,,,,,,,,,,,
b_chill[102],-9.483985445,-9.267549406,-10.78610721,,,,,,,,,,,,
b_chill[103],-7.020506792,-6.716209344,-7.15984164,,,,,,,,,,,,
b_chill[104],-8.725995614,-8.437874972,-9.459980976,,,,,,,,,,,,
b_chill[105],-8.45446474,-8.350313199,-9.203629548,,,,,,,,,,,,
b_chill[106],-8.731206531,-8.461457441,-9.229947319,,,,,,,,,,,,
b_chill[107],-11.10884157,-10.90505251,-13.13978692,,,,,,,,,,,,
b_chill[108],-7.748957467,-7.404220862,-7.611796265,,,,,,,,,,,,
b_chill[109],-8.08285091,-7.94253151,-8.525418974,,,,,,,,,,,,
b_chill[110],-6.523836762,-6.281930634,-6.149706306,,,,,,,,,,,,
b_chill[111],-8.359797794,-8.27246998,-8.705844159,,,,,,,,,,,,
b_chill[112],-7.01027108,-6.584160563,-6.708525396,,,,,,,,,,,,
b_chill[113],-8.166884522,-7.988875391,-8.602974289,,,,,,,,,,,,
b_chill[114],-7.102862525,-6.627984276,-6.751228458,,,,,,,,,,,,
b_chill[115],-12.04258548,-11.7551885,-14.70758094,,,,,,,,,,,,
b_chill[116],-7.769571633,-7.392577166,-7.697363064,,,,,,,,,,,,
b_chill[117],-7.49594162,-7.14394614,-7.281930617,,,,,,,,,,,,
b_chill[118],-9.71209226,-9.443317598,-11.30471639,,,,,,,,,,,,
b_chill[119],-13.3762454,-13.24437255,-17.01445048,,,,,,,,,,,,
b_chill[120],-3.662062517,-3.072548262,-1.825419678,,,,,,,,,,,,
b_chill[121],-10.08392916,-9.857660791,-11.48874677,,,,,,,,,,,,
b_chill[122],-9.803618183,-9.687503145,-10.95890082,,,,,,,,,,,,
b_chill[123],-9.435280506,-9.28210649,-10.71637212,,,,,,,,,,,,
b_chill[124],-8.803017997,-8.585140297,-9.428649187,,,,,,,,,,,,
b_chill[125],-8.374220288,-8.012990896,-8.733726458,,,,,,,,,,,,
b_chill[126],-7.985789862,-7.788235951,-8.503265852,,,,,,,,,,,,
b_chill[127],-7.924377011,-7.851527408,-8.373084668,,,,,,,,,,,,
b_chill[128],-9.505717699,-9.232845588,-10.53059063,,,,,,,,,,,,
b_chill[129],-7.659760998,-7.347372029,-7.651548535,,,,,,,,,,,,
b_chill[130],-8.656535557,-8.571767851,-9.398841714,,,,,,,,,,,,
b_chill[131],-11.01666585,-10.69028399,-12.99901248,,,,,,,,,,,,
b_chill[132],-11.6117868,-11.46375037,-13.9954971,,,,,,,,,,,,
b_chill[133],-8.88520525,-8.595462559,-9.760906143,,,,,,,,,,,,
b_chill[134],-4.940902127,-4.445301823,-3.855434714,,,,,,,,,,,,
b_chill[135],-7.816573566,-7.473712643,-7.787080019,,,,,,,,,,,,
b_chill[136],-8.193967182,-7.897581069,-8.457817285,,,,,,,,,,,,
b_chill[137],-9.649459319,-9.571394582,-10.86520926,,,,,,,,,,,,
b_chill[138],-11.48027822,-11.49052992,-14.0464491,,,,,,,,,,,,
b_chill[139],-7.88771425,-7.605710753,-7.887396906,,,,,,,,,,,,
b_chill[140],-8.638243209,-8.369280602,-9.219238523,,,,,,,,,,,,
b_chill[141],-6.712356323,-6.295925528,-6.176557381,,,,,,,,,,,,
b_chill[142],-8.255439362,-8.137422613,-8.737712172,,,,,,,,,,,,
b_chill[143],-8.844028786,-8.720766607,-9.591407061,,,,,,,,,,,,
b_chill[144],-7.483616407,-7.139642037,-7.313511566,,,,,,,,,,,,
b_chill[145],-7.122219841,-6.757681708,-6.795056992,,,,,,,,,,,,
b_chill[146],-8.350764039,-8.207670901,-8.827241688,,,,,,,,,,,,
b_chill[147],-7.820843488,-7.578411369,-8.481817518,,,,,,,,,,,,
b_chill[148],-7.745183616,-7.37531414,-7.6445088,,,,,,,,,,,,
b_chill[149],-7.71636968,-7.542257349,-7.81950796,,,,,,,,,,,,
b_chill[150],-8.245068032,-8.094893854,-8.723196149,,,,,,,,,,,,
b_chill[151],-10.78807341,-10.64907641,-12.67675221,,,,,,,,,,,,
b_chill[152],-8.960079093,-8.698963243,-9.691172376,,,,,,,,,,,,
b_chill[153],-7.674470633,-7.357436898,-7.999745925,,,,,,,,,,,,
b_chill[154],-9.867569159,-9.742294053,-11.319648,,,,,,,,,,,,
b_chill[155],-9.863455439,-9.659895044,-11.20535249,,,,,,,,,,,,
b_chill[156],-11.34474489,-11.24277263,-13.72467095,,,,,,,,,,,,
b_chill[157],-8.297979862,-7.882176534,-8.577018483,,,,,,,,,,,,
b_chill[158],-10.82652936,-10.49999126,-12.53599521,,,,,,,,,,,,
b_chill[159],-9.031048633,-8.767577053,-9.646631494,,,,,,,,,,,,
b_chill[160],-10.5496898,-10.54836464,-12.85620396,,,,,,,,,,,,
b_chill[161],-7.68224117,-7.247374005,-7.607082965,,,,,,,,,,,,
b_chill[162],-8.233421241,-8.052389936,-8.650442207,,,,,,,,,,,,
b_chill[163],-9.129627994,-8.774269606,-9.965954009,,,,,,,,,,,,
b_chill[164],-13.31776796,-13.23138108,-16.99193157,,,,,,,,,,,,
b_chill[165],-5.966546736,-5.636008438,-5.513831133,,,,,,,,,,,,
b_chill[166],-7.53764934,-7.044698923,-7.690636949,,,,,,,,,,,,
b_chill[167],-5.898817736,-5.356014681,-5.296491987,,,,,,,,,,,,
b_chill[168],-9.715484025,-9.513492714,-10.93766001,,,,,,,,,,,,
b_chill[169],-12.68879508,-12.46374569,-15.58304163,,,,,,,,,,,,
b_chill[170],-9.279126261,-9.184376632,-10.53663764,,,,,,,,,,,,
b_chill[171],-11.75247506,-11.74674668,-14.89360286,,,,,,,,,,,,
b_chill[172],-7.635822582,-7.347287244,-7.744944044,,,,,,,,,,,,
b_chill[173],-6.284310102,-5.941728629,-6.080905163,,,,,,,,,,,,
b_chill[174],-8.268998117,-8.040644725,-8.699512662,,,,,,,,,,,,
b_chill[175],-7.41422379,-7.036784143,-7.540570172,,,,,,,,,,,,
b_chill[176],-11.68824305,-11.58784455,-14.00852059,,,,,,,,,,,,
b_chill[177],-6.507609581,-6.249334413,-6.362389517,,,,,,,,,,,,
b_chill[178],-8.904560103,-8.539588172,-9.581260994,,,,,,,,,,,,
b_chill[179],-9.324997778,-9.000694268,-10.36019403,,,,,,,,,,,,
b_chill[180],-7.686531789,-7.440634251,-7.694917052,,,,,,,,,,,,
b_chill[181],-4.212742103,-3.640782277,-2.595868304,,,,,,,,,,,,
b_chill[182],-10.21493044,-9.858981204,-11.82316052,,,,,,,,,,,,
b_chill[183],-11.5584551,-11.47472277,-14.17887067,,,,,,,,,,,,
b_chill[184],-8.495616787,-8.294194562,-9.205021471,,,,,,,,,,,,
b_chill[185],-3.069648776,-2.641956284,-1.033070632,,,,,,,,,,,,
b_chill[186],-9.61538566,-9.350903336,-10.86449748,,,,,,,,,,,,
b_chill[187],-9.700172801,-9.430016539,-10.98541424,,,,,,,,,,,,
b_chill[188],-9.338011076,-9.042379857,-10.47499636,,,,,,,,,,,,
b_chill[189],-9.251357807,-8.982171118,-10.10843336,,,,,,,,,,,,
b_chill[190],-12.60747859,-12.44250533,-15.19003628,,,,,,,,,,,,
b_chill[191],-7.718979197,-7.457693402,-7.735500807,,,,,,,,,,,,
b_chill[192],-6.929289283,-6.578303609,-6.771078386,,,,,,,,,,,,
b_chill[193],-8.42847631,-8.19140546,-8.845411199,,,,,,,,,,,,
b_chill[194],-7.810897924,-7.599610747,-7.865438506,,,,,,,,,,,,
b_chill[195],-9.828378552,-9.64984752,-11.26472678,,,,,,,,,,,,
b_chill[196],-5.996680437,-5.651628467,-5.34613165,,,,,,,,,,,,
b_chill[197],-8.265896226,-8.0920594,-8.616532985,,,,,,,,,,,,
b_chill[198],-9.095962856,-9.109476505,-10.09331274,,,,,,,,,,,,
b_chill[199],-5.736048224,-5.28509158,-4.832875365,,,,,,,,,,,,
b_chill[200],-7.919681426,-7.756147989,-8.439161144,,,,,,,,,,,,
b_chill[201],-8.313585523,-8.006085482,-8.760045597,,,,,,,,,,,,
b_chill[202],-7.842859859,-7.612660162,-7.854133398,,,,,,,,,,,,
b_chill[203],-8.473509189,-8.240045067,-9.103998251,,,,,,,,,,,,
b_photo[1],-0.49743445,-0.85252354,-0.442343629,,,,,,,,,,,,
b_photo[2],-12.98073984,-12.9480636,-6.129548051,,,,,,,,,,,,
b_photo[3],-5.879766162,-5.791004403,-0.645552236,,,,,,,,,,,,
b_photo[4],-0.785036299,-2.03947757,-1.79784694,,,,,,,,,,,,
b_photo[5],-1.095678653,-1.695866897,0.172551858,,,,,,,,,,,,
b_photo[6],-0.383959591,-1.636013596,-0.366675468,,,,,,,,,,,,
b_photo[7],-0.58907288,-2.521428832,-0.326710473,,,,,,,,,,,,
b_photo[8],-0.769031447,-1.673230775,-1.813388457,,,,,,,,,,,,
b_photo[9],-0.696673751,-2.327573342,0.201762421,,,,,,,,,,,,
b_photo[10],-7.959637527,-7.419540899,0.389421326,,,,,,,,,,,,
b_photo[11],-0.925152353,-1.234768131,-0.487117456,,,,,,,,,,,,
b_photo[12],-0.265530135,-0.543991239,-0.374052544,,,,,,,,,,,,
b_photo[13],-1.396070733,-1.73104693,-0.61285343,,,,,,,,,,,,
b_photo[14],-1.369675465,-1.813011913,-0.58065844,,,,,,,,,,,,
b_photo[15],-1.409124306,-1.703564197,-0.559887943,,,,,,,,,,,,
b_photo[16],-0.766718328,-1.03444165,-0.499779544,,,,,,,,,,,,
b_photo[17],0.810209236,0.74911037,-0.141004721,,,,,,,,,,,,
b_photo[18],-1.154280024,-1.169467076,-0.776201232,,,,,,,,,,,,
b_photo[19],-0.026810668,-0.477876276,-0.194687269,,,,,,,,,,,,
b_photo[20],-0.389589206,0.037948471,-0.235538624,,,,,,,,,,,,
b_photo[21],-1.144826533,-0.999186065,-0.747399978,,,,,,,,,,,,
b_photo[22],11.23064791,9.433996443,5.090200878,,,,,,,,,,,,
b_photo[23],4.477622835,4.043618693,1.115840903,,,,,,,,,,,,
b_photo[24],-0.498347866,-0.708443068,-0.430621201,,,,,,,,,,,,
b_photo[25],2.31406151,1.619463906,0.766369848,,,,,,,,,,,,
b_photo[26],-1.665315406,-1.929416817,-0.936142335,,,,,,,,,,,,
b_photo[27],-0.740752671,0.601399674,-0.653946979,,,,,,,,,,,,
b_photo[28],-0.768281501,-0.805630795,-0.52642347,,,,,,,,,,,,
b_photo[29],0.225922632,1.019772809,-0.221382848,,,,,,,,,,,,
b_photo[30],-2.001257805,-2.152096195,0.408852398,,,,,,,,,,,,
b_photo[31],-2.382356085,-2.568256323,-1.520661489,,,,,,,,,,,,
b_photo[32],-2.479760437,-2.104609716,-0.792211084,,,,,,,,,,,,
b_photo[33],-0.748805779,-0.937966248,-0.441346647,,,,,,,,,,,,
b_photo[34],-0.700297538,-1.094870955,-0.466584615,,,,,,,,,,,,
b_photo[35],2.651049604,5.736924964,0.770830538,,,,,,,,,,,,
b_photo[36],-1.121699849,-0.197569816,-0.771330435,,,,,,,,,,,,
b_photo[37],-2.398578175,-1.435862612,-1.579920813,,,,,,,,,,,,
b_photo[38],-0.324570991,0.322843429,-0.408133556,,,,,,,,,,,,
b_photo[39],-1.575752113,-0.571130976,-1.057308207,,,,,,,,,,,,
b_photo[40],-0.265105323,0.321599323,-0.333374734,,,,,,,,,,,,
b_photo[41],-2.945550631,-1.955189255,-1.897641081,,,,,,,,,,,,
b_photo[42],-0.353657402,1.158830573,-0.286971774,,,,,,,,,,,,
b_photo[43],-0.896008479,-0.955792616,-0.393585945,,,,,,,,,,,,
b_photo[44],-0.725028156,-0.912442557,-0.548181116,,,,,,,,,,,,
b_photo[45],-0.352168989,-0.146184767,-0.396585598,,,,,,,,,,,,
b_photo[46],-1.248009861,-1.593490039,-0.851015232,,,,,,,,,,,,
b_photo[47],-0.404241863,-0.757329301,-0.457908794,,,,,,,,,,,,
b_photo[48],-0.660118955,-0.336380479,-0.447273941,,,,,,,,,,,,
b_photo[49],-1.010373497,-0.884788229,-0.652948548,,,,,,,,,,,,
b_photo[50],-0.988430761,-0.665488339,-0.648117258,,,,,,,,,,,,
b_photo[51],-0.676530639,-0.433312215,-0.486658803,,,,,,,,,,,,
b_photo[52],-1.033363857,-0.523483345,-0.648600971,,,,,,,,,,,,
b_photo[53],-0.561264727,-0.420269827,-0.478442862,,,,,,,,,,,,
b_photo[54],-0.798259891,-0.931439999,-0.596989989,,,,,,,,,,,,
b_photo[55],-0.748386324,-0.75256789,-0.554393794,,,,,,,,,,,,
b_photo[56],-0.653566129,-0.892178534,-0.521679379,,,,,,,,,,,,
b_photo[57],-0.486316192,-0.704281202,-0.457229445,,,,,,,,,,,,
b_photo[58],-0.003931934,-0.083557805,-0.227720407,,,,,,,,,,,,
b_photo[59],-0.730002178,-0.861160457,-0.494151964,,,,,,,,,,,,
b_photo[60],-0.804150468,-1.094662423,-0.609434571,,,,,,,,,,,,
b_photo[61],-1.023298626,-0.923670784,-0.673022003,,,,,,,,,,,,
b_photo[62],1.170462931,1.097710607,-0.294814381,,,,,,,,,,,,
b_photo[63],-0.782328734,-0.928865456,-0.639827673,,,,,,,,,,,,
b_photo[64],-0.732147174,-1.09269226,-0.420065091,,,,,,,,,,,,
b_photo[65],-0.722066368,-1.075680309,-0.446601309,,,,,,,,,,,,
b_photo[66],-0.761852789,-1.123999508,-0.445891571,,,,,,,,,,,,
b_photo[67],-0.565280551,-0.876005594,-0.403481649,,,,,,,,,,,,
b_photo[68],-0.498985099,-0.929353946,-0.461279578,,,,,,,,,,,,
b_photo[69],-1.152146714,-1.680011839,-0.725644603,,,,,,,,,,,,
b_photo[70],-0.883494986,-1.361649218,-0.565211644,,,,,,,,,,,,
b_photo[71],-0.505409259,-0.98262881,-0.421839153,,,,,,,,,,,,
b_photo[72],0.065911815,-0.422164052,-0.163475488,,,,,,,,,,,,
b_photo[73],-0.174319581,-0.467151208,-0.184540724,,,,,,,,,,,,
b_photo[74],-0.000227414,-0.34739725,-0.134400259,,,,,,,,,,,,
b_photo[75],-0.896572591,-1.43380372,-0.602484697,,,,,,,,,,,,
b_photo[76],-0.064611192,-0.398425867,-0.209834986,,,,,,,,,,,,
b_photo[77],-0.594361137,-0.889023989,-0.419647798,,,,,,,,,,,,
b_photo[78],-0.502993961,-1.085965558,-0.409728983,,,,,,,,,,,,
b_photo[79],-3.776491132,-4.251710904,-2.083674666,,,,,,,,,,,,
b_photo[80],-1.347151158,-1.790889189,-0.761237146,,,,,,,,,,,,
b_photo[81],-2.099176067,-2.570795085,-1.110749029,,,,,,,,,,,,
b_photo[82],-1.129939353,-1.641800629,-0.714715357,,,,,,,,,,,,
b_photo[83],-0.384644447,-0.878941027,-0.325528761,,,,,,,,,,,,
b_photo[84],-0.726091299,-1.217327844,-0.504288479,,,,,,,,,,,,
b_photo[85],-1.490678592,-1.999296302,-0.882279262,,,,,,,,,,,,
b_photo[86],-1.216515951,-1.591293625,-0.663375751,,,,,,,,,,,,
b_photo[87],-0.760798589,-1.213231899,-0.528669522,,,,,,,,,,,,
b_photo[88],-0.923863858,-1.406548295,-0.599265764,,,,,,,,,,,,
b_photo[89],-1.009537344,-1.462697142,-0.60879478,,,,,,,,,,,,
b_photo[90],-1.861706626,-2.346615873,-1.112440973,,,,,,,,,,,,
b_photo[91],-2.282853594,-2.809726288,-1.282169253,,,,,,,,,,,,
b_photo[92],-0.8620839,-1.321479734,-0.557324481,,,,,,,,,,,,
b_photo[93],-0.802382828,-1.282466221,-0.534368974,,,,,,,,,,,,
b_photo[94],-1.020051842,-1.470742147,-0.673533855,,,,,,,,,,,,
b_photo[95],-0.890152408,-1.400613364,-0.564787208,,,,,,,,,,,,
b_photo[96],-0.565650131,-1.028139594,-0.457266983,,,,,,,,,,,,
b_photo[97],-0.395730746,-0.787773875,-0.324238527,,,,,,,,,,,,
b_photo[98],-0.440585856,-0.926917609,-0.324572927,,,,,,,,,,,,
b_photo[99],-0.276586021,-0.67959322,-0.307050567,,,,,,,,,,,,
b_photo[100],-0.464350726,-0.844758992,-0.360099691,,,,,,,,,,,,
b_photo[101],-0.476736375,-0.892059526,-0.358888071,,,,,,,,,,,,
b_photo[102],-0.734920586,-1.199500702,-0.490407592,,,,,,,,,,,,
b_photo[103],-0.99829658,-1.495117976,-0.605152636,,,,,,,,,,,,
b_photo[104],-0.382746339,-0.902708576,-0.345000751,,,,,,,,,,,,
b_photo[105],-0.811872314,-1.148848438,-0.504699585,,,,,,,,,,,,
b_photo[106],-0.536693026,-0.945796937,-0.43146362,,,,,,,,,,,,
b_photo[107],-2.394753039,-2.87151033,-1.405452965,,,,,,,,,,,,
b_photo[108],-0.139129994,-0.492861496,-0.217833281,,,,,,,,,,,,
b_photo[109],-0.030411854,-0.451597699,-0.17836314,,,,,,,,,,,,
b_photo[110],-0.263436252,-0.754909288,-0.253686382,,,,,,,,,,,,
b_photo[111],0.029955406,-0.327434978,-0.150629484,,,,,,,,,,,,
b_photo[112],-0.070619717,-0.518338704,-0.210136311,,,,,,,,,,,,
b_photo[113],-0.442256123,-0.923259417,-0.353481891,,,,,,,,,,,,
b_photo[114],-0.155244006,-0.630576505,-0.188839714,,,,,,,,,,,,
b_photo[115],-2.733444153,-3.217266779,-1.531755737,,,,,,,,,,,,
b_photo[116],-0.20347007,-0.600120541,-0.237388516,,,,,,,,,,,,
b_photo[117],-0.11043868,-0.632706521,-0.213563872,,,,,,,,,,,,
b_photo[118],-2.003444828,-2.482775451,-1.112012932,,,,,,,,,,,,
b_photo[119],-0.761645897,-1.297085676,-0.459898464,,,,,,,,,,,,
b_photo[120],-0.476004299,-0.915147195,-0.338589437,,,,,,,,,,,,
b_photo[121],-0.365242707,-0.949948646,-0.330555004,,,,,,,,,,,,
b_photo[122],-0.509421323,-1.018530734,-0.390466116,,,,,,,,,,,,
b_photo[123],-0.49110637,-0.854425183,-0.316690952,,,,,,,,,,,,
b_photo[124],-0.098011519,-0.5420402,-0.268128352,,,,,,,,,,,,
b_photo[125],0.063145804,-0.400189947,-0.124470838,,,,,,,,,,,,
b_photo[126],-0.110180472,-0.369717306,-0.216358028,,,,,,,,,,,,
b_photo[127],-0.055617051,-0.442570086,-0.140964058,,,,,,,,,,,,
b_photo[128],-0.556272205,-0.992817895,-0.403991068,,,,,,,,,,,,
b_photo[129],-0.651081096,-1.127422576,-0.466619699,,,,,,,,,,,,
b_photo[130],-0.119638682,-0.514726211,-0.196349022,,,,,,,,,,,,
b_photo[131],-1.203554412,-1.735717652,-0.752532016,,,,,,,,,,,,
b_photo[132],-0.490104725,-1.037070241,-0.383520257,,,,,,,,,,,,
b_photo[133],-0.518708796,-1.12885556,-0.439770646,,,,,,,,,,,,
b_photo[134],-0.413914642,-0.875652786,-0.298877342,,,,,,,,,,,,
b_photo[135],0.108704789,-0.356847997,-0.098849295,,,,,,,,,,,,
b_photo[136],0.042940181,-0.30130898,-0.132072771,,,,,,,,,,,,
b_photo[137],-0.297694083,-0.678705936,-0.301304309,,,,,,,,,,,,
b_photo[138],-0.952752291,-1.353031328,-0.621093718,,,,,,,,,,,,
b_photo[139],-0.017513734,-0.501713356,-0.176802688,,,,,,,,,,,,
b_photo[140],-0.082419184,-0.517389909,-0.209497957,,,,,,,,,,,,
b_photo[141],-0.145920152,-0.515350277,-0.21212644,,,,,,,,,,,,
b_photo[142],-0.154973341,-0.473307708,-0.205569144,,,,,,,,,,,,
b_photo[143],-0.183925957,-0.666769464,-0.283790154,,,,,,,,,,,,
b_photo[144],-0.091666176,-0.524769192,-0.244172585,,,,,,,,,,,,
b_photo[145],-0.219494206,-0.592338606,-0.157347005,,,,,,,,,,,,
b_photo[146],-0.292620791,-0.743454992,-0.312093804,,,,,,,,,,,,
b_photo[147],-0.463167133,-1.029477792,-0.337743225,,,,,,,,,,,,
b_photo[148],-0.351021899,-0.746018798,-0.313277772,,,,,,,,,,,,
b_photo[149],-0.066176016,-0.455021623,-0.191382442,,,,,,,,,,,,
b_photo[150],0.01610088,-0.495179327,-0.209864994,,,,,,,,,,,,
b_photo[151],-0.611679428,-1.056155592,-0.344065243,,,,,,,,,,,,
b_photo[152],-0.605958872,-0.949695979,-0.444362082,,,,,,,,,,,,
b_photo[153],-0.630080944,-1.091670119,-0.429758333,,,,,,,,,,,,
b_photo[154],-0.211863221,-0.714255786,-0.308691407,,,,,,,,,,,,
b_photo[155],-0.290992843,-0.682215343,-0.314069666,,,,,,,,,,,,
b_photo[156],-0.903047567,-1.381927302,-0.572240626,,,,,,,,,,,,
b_photo[157],-0.3139149,-0.862393369,-0.332796536,,,,,,,,,,,,
b_photo[158],-0.731867093,-1.2081993,-0.484857222,,,,,,,,,,,,
b_photo[159],-0.195254365,-0.5768328,-0.219867188,,,,,,,,,,,,
b_photo[160],0.025041425,-0.257138067,-0.054926649,,,,,,,,,,,,
b_photo[161],-0.257960919,-0.75674517,-0.26852684,,,,,,,,,,,,
b_photo[162],-0.232843607,-0.64411555,-0.228869616,,,,,,,,,,,,
b_photo[163],-0.3033055,-0.824512157,-0.291668002,,,,,,,,,,,,
b_photo[164],-1.297654179,-1.867033314,-0.749991455,,,,,,,,,,,,
b_photo[165],-0.249439037,-0.819142041,-0.258816591,,,,,,,,,,,,
b_photo[166],-0.348895558,-0.78956066,-0.291649075,,,,,,,,,,,,
b_photo[167],-0.887620546,-1.373137255,-0.547729569,,,,,,,,,,,,
b_photo[168],-0.548588494,-1.080283044,-0.38499124,,,,,,,,,,,,
b_photo[169],-0.893443408,-1.404671891,-0.524385977,,,,,,,,,,,,
b_photo[170],-1.027281051,-1.420179655,-0.62582094,,,,,,,,,,,,
b_photo[171],0.650906678,0.392941856,0.246873129,,,,,,,,,,,,
b_photo[172],-0.473373845,-0.940256279,-0.375096477,,,,,,,,,,,,
b_photo[173],-0.804756625,-1.345090274,-0.517405824,,,,,,,,,,,,
b_photo[174],-0.057310361,-0.437514347,-0.146855563,,,,,,,,,,,,
b_photo[175],-0.671517057,-1.182183835,-0.455908602,,,,,,,,,,,,
b_photo[176],-0.334586717,-0.754892177,-0.225511662,,,,,,,,,,,,
b_photo[177],-0.770366451,-1.255889298,-0.499812364,,,,,,,,,,,,
b_photo[178],-0.575805029,-1.064634007,-0.366093678,,,,,,,,,,,,
b_photo[179],-0.471561135,-0.966801434,-0.348928556,,,,,,,,,,,,
b_photo[180],-0.074748552,-0.409919749,-0.162774739,,,,,,,,,,,,
b_photo[181],-0.579001021,-1.04334125,-0.406565298,,,,,,,,,,,,
b_photo[182],-1.628536494,-2.123863778,-0.967314693,,,,,,,,,,,,
b_photo[183],-1.362242805,-1.73138792,-0.835881224,,,,,,,,,,,,
b_photo[184],-0.669158797,-1.066260977,-0.434734996,,,,,,,,,,,,
b_photo[185],-0.116097574,-0.640124221,-0.198198876,,,,,,,,,,,,
b_photo[186],-1.311828323,-1.7684927,-0.80676417,,,,,,,,,,,,
b_photo[187],-1.051781105,-1.540560251,-0.629824042,,,,,,,,,,,,
b_photo[188],-1.643354248,-2.195375031,-0.95209136,,,,,,,,,,,,
b_photo[189],-0.520303828,-1.075678224,-0.377047435,,,,,,,,,,,,
b_photo[190],-0.576650343,-1.063657341,-0.401174328,,,,,,,,,,,,
b_photo[191],-0.145914492,-0.594524581,-0.291755402,,,,,,,,,,,,
b_photo[192],-0.538539194,-0.994734648,-0.368112724,,,,,,,,,,,,
b_photo[193],-0.330686996,-0.691588708,-0.313074184,,,,,,,,,,,,
b_photo[194],-0.326610441,-0.823249383,-0.307049489,,,,,,,,,,,,
b_photo[195],-1.122648789,-1.518727353,-0.712085978,,,,,,,,,,,,
b_photo[196],-0.480503725,-0.928782329,-0.379017029,,,,,,,,,,,,
b_photo[197],-0.42779229,-0.834176263,-0.39334681,,,,,,,,,,,,
b_photo[198],-0.274121659,-0.603800246,-0.276766889,,,,,,,,,,,,
b_photo[199],-0.252016906,-0.834629031,-0.320760758,,,,,,,,,,,,
