model,m2lni  (nointer_2level.stan),m2l.winsp (winternosp_2level.stan),m2l.wstudy (nointer_2level_studyint_ncp.stan),,m2lni ,m2l.winsp,m2l.wstudy,,m2lni ,m2l.winsp,m2l.wstudy,,m2lni ,m2l.winsp,m2l.wstudy
,,,,,,,,,,,,,,,
data info,"all f, p, c","all f, p, c","all f, p, c",,"all f, p, c","all f, p, c","all f, p, c",,"all f, p, c","all f, p, c","all f, p, c",,"all f, p, c","all f, p, c","all f, p, c"
spcomplex,all spp,all sp,all sp,,sppcomplex,sppcomplex,sppcomplex,,sppcomplex.onecue,sppcomplex.onecue,sppcomplex.onecue,,sppcomplex.nocrops,sppcomplex.nocrops,sppcomplex.nocrops
diganostics,fine,fine,"Increased tree depth to 15, rhats>1.1 for all sp",,fine,fine,fine (!),,fine,fine,fine,,,,
model notes,PPC: yrep has negative nums,PPC: yrep has negative nums,PPC: yrep has negative nums,,PPC: yrep has negative nums,PPC: yrep has negative nums,PPC: yrep has negative nums,,PPC: yrep has negative nums,,,,,,
,,,,,,,,,,,,,,,
N,3053,3053,3053,,2256,2256,2256,,2355,2355,2355,,2037,2037,2037
sp_n,203,203,203,,40,40,40,,43,43,43,,37,37,37
study_n,49,49,49,,43,43,43,,47,47,47,,37,37,37
preds centered,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,,,
,,,,,,,,,,,,,,,
b_photo[17],,,,,-1.887368633,-0.929718733,-0.929652578,,0.149372427,0.687830783,-0.562859268,,7.254806854,6.342231001,2.507647576
b_photo[18],,,,,7.118471145,7.031730754,3.10790587,,-1.908099544,-1.102966553,-0.923276235,,12.10596982,10.45908654,6.19304224
b_photo[19],,,,,3.290735773,6.935606024,2.376868375,,6.968426446,6.867067357,2.897610113,,-0.551000249,-1.705875539,-0.438531973
b_photo[20],,,,,12.12794032,10.33235146,6.485248694,,3.197176086,6.823770153,2.17268816,,-0.465392345,-0.649914985,-0.172540824
b_photo[21],,,,,-0.434603572,-1.796425865,-0.247254176,,12.11017587,10.37469083,6.350217359,,-0.380277323,-0.71336301,0.016923104
b_photo[22],,,,,-0.375949681,-0.347222922,-0.01659506,,-0.642123094,-0.757971306,0.336890706,,-1.45257065,-2.017458555,0.419405842
b_photo[23],,,,,-0.275635323,-0.536298142,0.098211665,,-0.469423673,-1.779983162,-0.277826537,,-9.097387208,-8.211899589,-1.150727798
b_photo[24],,,,,-1.385757633,-1.882919565,0.647790388,,-0.55894631,-0.439090572,0.027628468,,-1.433215943,-1.440647397,-1.051265371
b_photo[25],,,,,-8.784136352,-8.133967558,-0.908708323,,-0.51676127,-0.697269258,-0.020282615,,-2.747337041,-2.708366079,-0.634280076
b_photo[26],,,,,-1.266431918,-1.099562594,-0.854159616,,-1.373194902,-1.89882958,0.59816171,,-2.912428172,-3.03566182,-0.738694115
b_photo[27],,,,,-2.571901485,-2.366285741,-0.37185037,,-8.886474401,-8.213060699,-0.91985381,,4.738960445,3.327156432,1.647769143
b_photo[28],,,,,-2.689788909,-2.644802385,-0.428544297,,-1.715482244,-1.469971562,-0.801973827,,1.743578786,1.447219897,-0.235875218
b_photo[29],,,,,4.773635421,4.082949402,2.469106595,,-2.555233534,-2.456643295,-0.510057779,,-3.891381105,-3.099569437,-1.158698312
b_photo[30],,,,,1.865475418,1.956985578,0.101367968,,-2.822771199,-2.676350473,-0.552972713,,-8.138475255,-7.740831734,0.918697127
b_photo[31],,,,,-3.950707639,-2.827581404,-0.847912089,,4.518945886,3.873927658,2.282052313,,0.292020412,0.229103412,0.148779508
b_photo[32],,,,,-8.115877295,-7.590342899,1.293378159,,1.744565435,1.867361353,-0.023983978,,-3.601059808,-3.999591282,-1.498392961
b_photo[33],,,,,0.381938408,0.691314031,0.381453319,,-4.047185669,-3.034250077,-0.912587386,,-0.863893205,0.892680398,-0.643468393
b_photo[34],,,,,-3.680221318,-4.018444772,-1.429199212,,-8.14466338,-7.642270648,1.221422847,,-0.904037724,-1.092522409,-0.524637353
b_photo[35],,,,,-0.754648261,1.207784412,-0.494782559,,0.178084479,0.526252782,0.296744159,,0.254587688,-0.287436198,0.203861925
b_photo[36],,,,,-0.825426248,-0.757232897,-0.426655927,,-3.640456989,-4.149754657,-1.410874047,,-2.583369591,-2.720645748,-1.402866052
b_photo[37],,,,,0.27819522,0.145237328,0.444380821,,-0.868512277,1.113899069,-0.549862206,,-4.529713135,-2.758082088,-2.853541224
b_photo[38],,,,,-2.602070868,-2.493963675,-1.192809349,,-0.946453206,-0.758953641,-0.384623627,,,,
b_photo[39],,,,,-4.544174151,-2.536743701,-2.84373578,,0.172822238,-0.020335405,0.384708606,,,,
b_photo[40],,,,,-3.244985764,-2.872951943,1.8909971,,-2.523525642,-2.587585078,-1.189947703,,,,
b_photo[41],,,,,,,,,-4.53587539,-2.593134834,-2.841177238,,,,
b_photo[42],,,,,,,,,-5.868323095,-5.544953171,-0.229059872,,,,
b_photo[43],,,,,,,,,-3.445255502,-2.919147041,1.713050664,,,,
,,,,,,,,,,,,,,,
b_force[1],,,,,-9.905189222,-10.30412295,-10.65978008,,-9.904029735,-10.32320316,-10.55661507,,-9.956272906,-10.28665414,-10.57853169
b_force[2],,,,,-1.702330295,-3.285383003,1.416473632,,0.188567357,-1.186701553,0.785415661,,-1.606873797,-3.249063035,-0.288265533
b_force[3],,,,,-9.381777145,-10.27069305,-9.269883445,,-9.395497947,-10.2730231,-9.264506196,,-9.392468424,-10.23319839,-9.278414009
b_force[4],,,,,-3.026171706,-3.073069378,-1.147818672,,-2.941703928,-3.047144809,-1.217945523,,-3.517370853,-3.396283859,-3.015059055
b_force[5],,,,,-11.04879745,-10.09759267,-1.094329435,,-11.08075175,-10.19824515,-1.118327166,,0.438372876,-0.54505307,-0.721075611
b_force[6],,,,,0.437612936,-0.674768819,-0.065601729,,0.484996116,-0.667945439,-0.099792611,,-10.28956078,-11.48189422,-8.674853512
b_force[7],,,,,-10.20564984,-11.58016887,-8.589617121,,-10.21257619,-11.62754898,-8.663508534,,-8.621292377,-8.921582678,-8.72986846
b_force[8],,,,,-8.630379327,-8.940244842,-8.745389222,,-8.668723381,-8.919341261,-8.696943512,,2.425758849,0.247647631,-4.548525929
b_force[9],,,,,2.469506578,0.147614957,-4.355599903,,-16.75177684,-15.66508901,-4.804892468,,-2.732156686,-1.098022475,-3.847872932
b_force[10],,,,,-2.650955513,-1.12025396,-3.551556178,,2.441361464,0.165164935,-4.323823407,,-4.025912987,-5.111286733,-2.110949661
b_force[11],,,,,-3.803556579,-5.227826087,-0.846994235,,-2.654147883,-1.138151121,-3.582087324,,-10.33699512,-11.25675329,-6.908743405
b_force[12],,,,,-10.26480953,-11.15790003,-6.039468689,,-3.902489187,-5.178223735,-0.940635651,,-6.971968591,-7.333863077,-6.981317103
b_force[13],,,,,-6.66364297,-7.284153747,-6.508123236,,-10.29743526,-11.14725159,-5.952645614,,-7.962914385,-8.714724257,-9.453959157
b_force[14],,,,,-7.982066314,-8.807601942,-9.61874195,,-6.682179613,-7.210440272,-6.229220757,,-3.114014423,-3.778003408,-3.098795548
b_force[15],,,,,-3.10530766,-3.774148104,-2.88647202,,-7.943757048,-8.783532261,-9.44730758,,-20.21451452,-21.5221345,-13.45737381
b_force[16],,,,,-20.30456063,-21.8074254,-14.21644155,,-3.102570166,-3.755207712,-2.901117263,,-4.475527547,-5.348382859,-5.712457398
b_force[17],,,,,-4.455613938,-5.353195947,-5.400548313,,-17.4882149,-19.06759659,-13.45447438,,-14.34096445,-15.10929099,-10.46289312
b_force[18],,,,,-14.26642915,-15.14913693,-10.57382532,,-4.377497572,-5.336537931,-5.328983139,,-15.25247578,-15.40090825,-10.12239509
b_force[19],,,,,-1.81834398,-2.335094642,-3.010826702,,-14.22984516,-15.14615197,-10.51019866,,-5.972505498,-6.60565896,-5.973790003
b_force[20],,,,,-15.23019862,-15.38230631,-10.2223058,,-1.750051102,-2.337804292,-3.067380281,,0.321561075,-0.699073303,-1.723897888
b_force[21],,,,,-6.002120117,-6.690486402,-5.613190635,,-15.2470438,-15.38505658,-10.13157585,,-0.396267542,-1.205044559,0.025915923
b_force[22],,,,,0.367983194,-0.949950347,-0.975438101,,-3.559901878,-3.429554898,-1.803820764,,-8.333094954,-6.805594433,-7.386598001
b_force[23],,,,,-0.263883619,-1.374715022,2.315264299,,-5.983452189,-6.645664517,-5.575321562,,-12.65799942,-13.27964339,-14.4581647
b_force[24],,,,,-8.285026307,-6.422885175,-7.168531875,,0.366211333,-0.819614892,-0.916903133,,-23.05165969,-23.7043624,-9.448425127
b_force[25],,,,,-12.63216776,-13.27245372,-14.77618951,,-0.303712349,-1.619790131,2.091811611,,-29.58926489,-29.09695322,-12.90810759
b_force[26],,,,,-23.01601837,-23.76123388,-9.680858298,,-8.354705884,-6.577981798,-7.040129755,,-24.68114076,-24.42738484,-9.389862237
b_force[27],,,,,-29.3600343,-29.14496585,-14.01220951,,-12.67839273,-13.2781003,-14.68796562,,-15.60297439,-16.06894586,-14.85075055
b_force[28],,,,,-24.45561203,-24.23307102,-9.822626172,,-25.35435631,-25.68456485,-9.282479602,,-21.66450565,-22.10788741,-9.247643333
b_force[29],,,,,-15.57102399,-16.14789703,-15.30963832,,-29.53653504,-28.98523112,-13.97237446,,-6.751253453,-6.992355134,-3.820428212
