mu_b_force_sp,-0.224,-6.739,-0.221340543,-6.643626082,-0.236453994,-7.196205688,-0.208213246,-6.194859481,-0.161227886,-4.682163713,-0.201331178,-5.991075931,-0.180989381,-5.27269851,-0.201333591,-5.951022798
b_chill[45],,,,,,,,,-0.292579744,-9.096012203,-0.262058678,-8.050630925,,,,
b_chill[46],,,,,,,,,-0.246796892,-7.491323191,-0.213905073,-6.407309899,,,,
b_chill[47],,,,,,,,,-0.191692067,-5.654838948,-0.152221116,-4.414610446,,,,
b_chill[48],,,,,,,,,-0.317771031,-10.01080722,-0.299636919,-9.389166998,,,,
b_chill[49],,,,,,,,,-0.300006118,-9.363301857,-0.277371193,-8.589997353,,,,
b_chill[50],,,,,,,,,-0.226716931,-6.810368278,-0.190811521,-5.646841935,,,,
b_chill[51],,,,,,,,,-0.195508353,-5.778788995,-0.15700567,-4.564816371,,,,
b_chill[52],,,,,,,,,-0.274080601,-8.438759333,-0.241701288,-7.346234562,,,,
b_chill[53],,,,,,,,,-0.307382857,-9.630777485,-0.286331437,-8.909463774,,,,
b_chill[54],,,,,,,,,-0.254492568,-7.755946084,-0.231633899,-7.003151271,,,,
b_chill[55],,,,,,,,,-0.362200719,-11.68147054,-0.352282664,-11.35105137,,,,
b_chill[56],,,,,,,,,-0.254715136,-7.763629631,-0.211419699,-6.324620952,,,,
b_chill[57],,,,,,,,,-0.238764892,-7.2172988,-0.218939415,-6.575434626,,,,
b_chill[58],,,,,,,,,-0.36082412,-11.62858506,-0.34289539,-10.99361846,,,,
b_chill[59],,,,,,,,,-0.302606744,-9.457373737,-0.283033064,-8.791531317,,,,
b_chill[60],,,,,,,,,-0.202464165,-6.005928814,-0.166593856,-4.867998964,,,,
b_chill[61],,,,,,,,,-0.430721276,-14.40801527,-0.395090513,-13.02423658,,,,
b_chill[62],,,,,,,,,-0.339413463,-10.81534474,-0.320587017,-10.15753871,,,,
b_chill[63],,,,,,,,,-0.546586982,-19.46560467,-0.546734143,-19.56234739,,,,
b_chill[64],,,,,,,,,-0.444658038,-14.9858153,-0.418955982,-13.98861099,,,,
b_chill[65],,,,,,,,,-0.454321193,-15.39119076,-0.430198828,-14.45095752,,,,
b_chill[66],,,,,,,,,-0.279466552,-8.628862852,-0.265244497,-8.162168504,,,,
b_chill[67],,,,,,,,,-0.208213807,-6.194877977,-0.187617607,-5.543042338,,,,
b_chill[68],,,,,,,,,-0.186991654,-5.50282182,-0.167743402,-4.904543661,,,,
b_chill[69],,,,,,,,,-0.237686922,-7.180689368,-0.215834975,-6.471660039,,,,
b_chill[70],,,,,,,,,-0.194557259,-5.747853905,-0.176776951,-5.193191932,,,,
b_chill[71],,,,,,,,,-0.217847724,-6.51392054,-0.196531776,-5.833576177,,,,
b_chill[72],,,,,,,,,-0.175324723,-5.12857249,-0.158247211,-4.603910797,,,,
b_chill[73],,,,,,,,,-0.227415492,-6.833829136,-0.205863156,-6.140495211,,,,
b_chill[74],,,,,,,,,-0.319027587,-10.05704392,-0.302163408,-9.480977932,,,,
b_chill[75],,,,,,,,,-0.164835637,-4.795812951,-0.139438033,-4.016806595,,,,
b_chill[76],,,,,,,,,-0.297944593,-9.288904414,-0.282124517,-8.759114739,,,,
b_chill[77],,,,,,,,,-0.357452787,-11.49937402,-0.344536951,-11.05588124,,,,
b_chill[78],,,,,,,,,-0.297826331,-9.28464116,-0.278698938,-8.637156005,,,,
b_chill[79],,,,,,,,,-0.213929959,-6.383806551,-0.193312434,-5.72835133,,,,
b_chill[80],,,,,,,,,-0.219346978,-6.563847682,-0.200644878,-5.968507578,,,,
b_chill[81],,,,,,,,,-0.315722371,-9.935548405,-0.301571219,-9.459437357,,,,
b_chill[82],,,,,,,,,-0.337331124,-10.73717641,-0.320370376,-10.14951044,,,,
b_chill[83],,,,,,,,,-0.23024396,-6.928989687,-0.212353506,-6.355664822,,,,
b_chill[84],,,,,,,,,-0.321835841,-10.16058775,-0.302457312,-9.491673253,,,,
b_chill[85],,,,,,,,,-0.353666159,-11.35476467,-0.342807356,-10.99028232,,,,
b_chill[86],,,,,,,,,-0.206750493,-6.146686311,-0.185147215,-5.462983708,,,,
b_chill[87],,,,,,,,,-0.095438321,-2.680018128,-0.073585876,-2.046183975,,,,
b_chill[88],,,,,,,,,-0.306519892,-9.599384942,-0.297139207,-9.298629597,,,,
b_chill[89],,,,,,,,,-0.172789018,-5.047808667,-0.156149695,-4.537891141,,,,
b_chill[90],,,,,,,,,-0.289757012,-8.994936067,-0.269234611,-8.302367087,,,,
b_chill[91],,,,,,,,,-0.305953631,-9.57880047,-0.290798522,-9.069804617,,,,
b_chill[92],,,,,,,,,-0.376536485,-12.23656299,-0.359904845,-11.64375445,,,,
b_chill[93],,,,,,,,,-0.356459843,-11.46140102,-0.345386458,-11.08814237,,,,
b_chill[94],,,,,,,,,-0.335164868,-10.65603055,-0.323071232,-10.24972267,,,,
b_chill[95],,,,,,,,,-0.294016637,-9.147574007,-0.279676263,-8.671908485,,,,
b_chill[96],,,,,,,,,-0.296782087,-9.247018864,-0.280330407,-8.695188064,,,,
b_chill[97],,,,,,,,,-0.343360018,-10.96394064,-0.332347355,-10.59597111,,,,
b_chill[98],,,,,,,,,-0.253628111,-7.726119309,-0.231036471,-6.98290007,,,,
b_chill[99],,,,,,,,,-0.298904821,-9.323538562,-0.280450114,-8.699449804,,,,
b_chill[100],,,,,,,,,-0.197481323,-5.843055243,-0.180001173,-5.296848291,,,,
b_chill[101],,,,,,,,,-0.29043012,-9.019012759,-0.274166765,-8.476440581,,,,
b_chill[102],,,,,,,,,-0.277805747,-8.570133523,-0.254119008,-7.774199404,,,,
b_chill[103],,,,,,,,,-0.289612247,-8.989760055,-0.272573638,-8.420119488,,,,
b_chill[104],,,,,,,,,-0.334905547,-10.64632839,-0.318118328,-10.06615747,,,,
b_chill[105],,,,,,,,,-0.223826057,-6.713453629,-0.199087286,-5.917345053,,,,
b_chill[106],,,,,,,,,-0.269465591,-8.276679676,-0.250264741,-7.640796578,,,,
b_chill[107],,,,,,,,,-0.197898191,-5.856650287,-0.176440609,-5.182398007,,,,
b_chill[108],,,,,,,,,-0.28535916,-8.838025651,-0.267520209,-8.242060479,,,,
b_chill[109],,,,,,,,,-0.215195227,-6.425772009,-0.198809693,-5.908235287,,,,
b_chill[110],,,,,,,,,-0.26486573,-8.115874616,-0.247427574,-7.542925339,,,,
b_chill[111],,,,,,,,,-0.219129838,-6.556611996,-0.201294827,-5.989880164,,,,
b_chill[112],,,,,,,,,-0.336044493,-10.68895925,-0.31763873,-10.04843079,,,,
b_chill[113],,,,,,,,,-0.228400953,-6.866953299,-0.205801187,-6.138447543,,,,
b_chill[114],,,,,,,,,-0.245401249,-7.443550469,-0.225074881,-6.781479643,,,,
b_chill[115],,,,,,,,,-0.255824803,-7.801963355,-0.241174483,-7.328195946,,,,
b_chill[116],,,,,,,,,-0.341547233,-10.89561273,-0.32631121,-10.37029599,,,,
b_chill[117],,,,,,,,,-0.045325324,-1.240927243,-0.018177028,-0.485704092,,,,
b_chill[118],,,,,,,,,-0.343672739,-10.97574028,-0.330999131,-10.54544645,,,,
b_chill[119],,,,,,,,,-0.350702258,-11.24195623,-0.335485032,-10.71381954,,,,
b_chill[120],,,,,,,,,-0.340285799,-10.84813951,-0.323313979,-10.25874276,,,,
b_chill[121],,,,,,,,,-0.320750761,-10.12054503,-0.304794406,-9.576833479,,,,
b_chill[122],,,,,,,,,-0.280690257,-8.672197896,-0.258873841,-7.939482355,,,,
b_chill[123],,,,,,,,,-0.257405765,-7.856651616,-0.236242555,-7.15977955,,,,
b_chill[124],,,,,,,,,-0.25994659,-7.944724558,-0.24241947,-7.370841484,,,,
b_chill[125],,,,,,,,,-0.329473889,-10.44368753,-0.319025542,-10.09971275,,,,
b_chill[126],,,,,,,,,-0.231979804,-6.987523562,-0.214587422,-6.430047769,,,,
b_chill[127],,,,,,,,,-0.315324647,-9.920955645,-0.295266955,-9.23091205,,,,
b_chill[128],,,,,,,,,-0.328150743,-10.3944909,-0.309778802,-9.759123663,,,,
b_chill[129],,,,,,,,,-0.369799594,-11.97471387,-0.357981343,-11.56967849,,,,
b_chill[130],,,,,,,,,-0.277622347,-8.56365412,-0.260609352,-8.000006572,,,,
b_chill[131],,,,,,,,,-0.112755408,-3.194316226,-0.086961365,-2.436011701,,,,
b_chill[132],,,,,,,,,-0.237826592,-7.185430529,-0.22058154,-6.630457659,,,,
b_chill[133],,,,,,,,,-0.264391716,-8.09934572,-0.246925766,-7.525643811,,,,
b_chill[134],,,,,,,,,-0.383465622,-12.50773093,-0.368655087,-11.98253903,,,,
b_chill[135],,,,,,,,,-0.440507484,-14.81289596,-0.428970454,-14.40018901,,,,
b_chill[136],,,,,,,,,-0.308988005,-9.689240934,-0.29773107,-9.320063068,,,,
b_chill[137],,,,,,,,,-0.304306279,-9.51898292,-0.288835428,-8.999253393,,,,
b_chill[138],,,,,,,,,-0.173806267,-5.080184093,-0.154275513,-4.47901799,,,,
b_chill[139],,,,,,,,,-0.273071334,-8.403249845,-0.252084558,-7.703719495,,,,
b_chill[140],,,,,,,,,-0.325085955,-10.28078707,-0.306482002,-9.638450802,,,,
b_chill[141],,,,,,,,,-0.241431849,-7.308042275,-0.221340401,-6.655915512,,,,
b_chill[142],,,,,,,,,-0.211195558,-6.293295178,-0.190438004,-5.634685837,,,,
b_chill[143],,,,,,,,,-0.274693932,-8.460355951,-0.256960947,-7.872893666,,,,
b_chill[144],,,,,,,,,-0.235918194,-7.120706228,-0.219871387,-6.60665131,,,,
b_chill[145],,,,,,,,,-0.232379615,-7.00101989,-0.209441886,-6.258965363,,,,
b_chill[146],,,,,,,,,-0.23458441,-7.075543556,-0.214389494,-6.423450638,,,,
b_chill[147],,,,,,,,,-0.278376175,-8.590294001,-0.265238437,-8.161955998,,,,
b_chill[148],,,,,,,,,-0.370539854,-12.00340004,-0.354321376,-11.42912248,,,,
b_chill[149],,,,,,,,,-0.311399437,-9.777247772,-0.29837231,-9.343299004,,,,
b_chill[150],,,,,,,,,-0.234262139,-7.0646403,-0.210585372,-6.296908767,,,,
b_chill[151],,,,,,,,,-0.387216299,-12.6552973,-0.37123254,-12.08289726,,,,
b_chill[152],,,,,,,,,-0.375789211,-12.20743094,-0.359095278,-11.61255985,,,,
b_chill[153],,,,,,,,,-0.344824889,-11.0192454,-0.333049415,-10.62230776,,,,
b_chill[154],,,,,,,,,-0.289130405,-8.972537266,-0.269874514,-8.324903134,,,,
b_chill[155],,,,,,,,,-0.356531489,-11.46413968,-0.341122232,-10.92647905,,,,
b_chill[156],,,,,,,,,-0.326248449,-10.32387467,-0.313025315,-9.878345261,,,,
b_chill[157],,,,,,,,,-0.370126322,-11.98737244,-0.355312158,-11.46712137,,,,
b_chill[158],,,,,,,,,-0.248175903,-7.538592088,-0.231715439,-7.0059162,,,,
b_chill[159],,,,,,,,,-0.266109426,-8.159279661,-0.248965998,-7.595960536,,,,
b_chill[160],,,,,,,,,-0.305071091,-9.546742012,-0.292619577,-9.135375071,,,,
b_chill[161],,,,,,,,,-0.353667534,-11.35481707,-0.340870224,-10.91694661,,,,
b_chill[162],,,,,,,,,-0.154737817,-4.478746791,-0.133557837,-3.835518129,,,,
b_chill[163],,,,,,,,,-0.226133012,-6.790770211,-0.208828876,-6.238642215,,,,
b_chill[164],,,,,,,,,-0.150221005,-4.337954331,-0.130085417,-3.728961796,,,,
b_chill[165],,,,,,,,,-0.349911144,-11.21190233,-0.332416144,-10.59855078,,,,
b_chill[166],,,,,,,,,-0.404504058,-13.3426663,-0.395046743,-13.02248897,,,,
b_chill[167],,,,,,,,,-0.31853625,-10.0389576,-0.301594361,-9.460278891,,,,
b_chill[168],,,,,,,,,-0.40907,-13.52620266,-0.400978724,-13.2600376,,,,
b_chill[169],,,,,,,,,-0.229232548,-6.894930972,-0.210923554,-6.308138698,,,,
b_chill[170],,,,,,,,,-0.174028346,-5.087256478,-0.154565723,-4.488127051,,,,
b_chill[171],,,,,,,,,-0.27034133,-8.307378233,-0.251512151,-7.683915317,,,,
b_chill[172],,,,,,,,,-0.224365025,-6.73150095,-0.206089936,-6.147989974,,,,
b_chill[173],,,,,,,,,-0.423152263,-14.0975718,-0.412008025,-13.70547375,,,,
b_chill[174],,,,,,,,,-0.183598633,-5.393530583,-0.161888095,-4.718837513,,,,
b_chill[175],,,,,,,,,-0.287276885,-8.90636311,-0.272864405,-8.430392142,,,,
b_chill[176],,,,,,,,,-0.313806443,-9.865305,-0.303385954,-9.525487749,,,,
b_chill[177],,,,,,,,,-0.224336025,-6.730529647,-0.198682358,-5.904057357,,,,
b_chill[178],,,,,,,,,-0.052864045,-1.452834708,-0.027480789,-0.741722996,,,,
b_chill[179],,,,,,,,,-0.300392888,-9.377276917,-0.284370254,-8.839295307,,,,
b_chill[180],,,,,,,,,-0.414555146,-13.74779903,-0.403506167,-13.361679,,,,
b_chill[181],,,,,,,,,-0.280424834,-8.662793961,-0.266518854,-8.206884139,,,,
b_chill[182],,,,,,,,,0.058601747,1.523257971,0.088044276,2.274503424,,,,
b_chill[183],,,,,,,,,-0.308053033,-9.655175533,-0.29463993,-9.208261495,,,,
b_chill[184],,,,,,,,,-0.31641646,-9.961028932,-0.300160128,-9.408161026,,,,
b_chill[185],,,,,,,,,-0.265998147,-8.155393809,-0.255559937,-7.824204639,,,,
b_chill[186],,,,,,,,,-0.312810391,-9.828840005,-0.292858302,-9.143979657,,,,
b_chill[187],,,,,,,,,-0.42781692,-14.28861505,-0.415726812,-13.85677387,,,,
b_chill[188],,,,,,,,,-0.226116356,-6.790211339,-0.202526445,-6.030418149,,,,
b_chill[189],,,,,,,,,-0.200093189,-5.928327802,-0.181276076,-5.337927777,,,,
b_chill[190],,,,,,,,,-0.277168808,-8.547636015,-0.263451057,-8.099335316,,,,
b_chill[191],,,,,,,,,-0.241562184,-7.312483154,-0.223586948,-6.73139479,,,,
b_chill[192],,,,,,,,,-0.336609988,-10.71014383,-0.326260931,-10.36842191,,,,
b_chill[193],,,,,,,,,-0.147056811,-4.239702154,-0.127117243,-3.638171819,,,,
b_chill[194],,,,,,,,,-0.269152703,-8.265718053,-0.252194123,-7.707511532,,,,
b_chill[195],,,,,,,,,-0.325407062,-10.29268382,-0.308587568,-9.715474996,,,,
b_chill[196],,,,,,,,,-0.136369391,-3.910133301,-0.118376406,-3.372368706,,,,
b_chill[197],,,,,,,,,-0.247858749,-7.527715108,-0.227626621,-6.867546707,,,,
b_chill[198],,,,,,,,,-0.283711375,-8.779412026,-0.264297978,-8.128993154,,,,
b_chill[199],,,,,,,,,-0.236287176,-7.133210827,-0.217474966,-6.526441202,,,,
b_chill[200],,,,,,,,,-0.277768911,-8.568832055,-0.262015331,-8.049115774,,,,
b_photo[1],,,,,,,,,-0.333923507,-10.60960953,-0.322041426,-10.21148096,,,,
b_photo[2],,,,,,,,,-0.02231426,-0.603897083,-0.069477089,-1.927476765,,,,
b_photo[3],,,,,,,,,-0.071548675,-1.984982984,-0.094316492,-2.652608776,,,,
b_photo[4],,,,,,,,,-0.027942716,-0.758361694,-0.076513147,-2.131053953,,,,
b_photo[5],,,,,,,,,-0.030326334,-0.824039062,-0.111320056,-3.159478149,,,,
b_photo[6],,,,,,,,,-0.037663279,-1.027183964,-0.064831927,-1.793859216,,,,
b_photo[7],,,,,,,,,-0.038222368,-1.042725206,-0.106636589,-3.019004784,,,,
b_photo[8],,,,,,,,,-0.056077942,-1.543661611,-0.062927025,-1.739244122,,,,
b_photo[9],,,,,,,,,-0.040652984,-1.110391113,-0.05367763,-1.475530426,,,,
b_photo[10],,,,,,,,,-0.058113949,-1.601351781,-0.068425425,-1.897171385,,,,
b_photo[11],,,,,,,,,-0.059219226,-1.632718973,-0.069495931,-1.928020036,,,,
b_photo[12],,,,,,,,,-0.051851025,-1.424266527,-0.058656671,-1.617186971,,,,
b_photo[13],,,,,,,,,-0.045346262,-1.241513604,-0.044240679,-1.208971382,,,,
b_photo[14],,,,,,,,,-0.056092311,-1.544068339,-0.058165476,-1.603180832,,,,
b_photo[15],,,,,,,,,-0.028541697,-0.774851082,-0.03934225,-1.071597387,,,,
b_photo[16],,,,,,,,,-0.046498314,-1.273794229,-0.031302077,-0.847568415,,,,
b_photo[17],,,,,,,,,-0.057881061,-1.594746965,-0.047986944,-1.314488559,,,,
b_photo[18],,,,,,,,,0.236919101,5.645403041,0.18731748,4.602132361,,,,
b_photo[19],,,,,,,,,-0.043493429,-1.189674952,-0.054358842,-1.494869687,,,,
b_photo[20],,,,,,,,,-0.042340642,-1.157470682,-0.049242251,-1.34993399,,,,
b_photo[21],,,,,,,,,-0.010758049,-0.289466073,-0.034814277,-0.945209763,,,,
b_photo[22],,,,,,,,,-0.075846015,-2.108786303,-0.084601675,-2.366859369,,,,
b_photo[23],,,,,,,,,-0.042614578,-1.165119985,0.00069326,0.026306503,,,,
b_photo[24],,,,,,,,,-0.050586864,-1.388656479,-0.054757941,-1.506206008,,,,
b_photo[25],,,,,,,,,-0.032643906,-0.888046884,-0.017547774,-0.468474279,,,,
b_photo[26],,,,,,,,,-0.095344122,-2.677244797,-0.099154725,-2.795958357,,,,
b_photo[27],,,,,,,,,-0.15196385,-4.392204792,-0.147994274,-4.282509864,,,,
b_photo[28],,,,,,,,,-0.106163682,-2.997498779,-0.093589323,-2.631123749,,,,
b_photo[29],,,,,,,,,-0.059684429,-1.645931565,-0.061082952,-1.686472072,,,,
b_photo[30],,,,,,,,,-0.058111503,-1.601282391,-0.065943202,-1.825768456,,,,
b_photo[31],,,,,,,,,-0.118645216,-3.371276473,-0.097526672,-2.747644134,,,,
b_photo[32],,,,,,,,,-0.110874893,-3.138035007,-0.071913296,-1.997802487,,,,
b_photo[33],,,,,,,,,-0.131730179,-3.768166234,-0.086586368,-2.42501126,,,,
b_photo[34],,,,,,,,,-0.131514292,-3.761575788,-0.085751217,-2.400527116,,,,
b_photo[35],,,,,,,,,-0.024921222,-0.675333211,-0.001806747,-0.040972669,,,,
b_photo[36],,,,,,,,,-0.092810757,-2.602757691,-0.050140822,-1.375333819,,,,
b_photo[37],,,,,,,,,-0.028771603,-0.781182794,-0.003526204,-0.0873437,,,,
b_photo[38],,,,,,,,,-0.130086052,-3.718011248,-0.081917084,-2.288383723,,,,
b_photo[39],,,,,,,,,-0.42497546,-14.17213564,-0.400358242,-13.23512409,,,,
b_photo[40],,,,,,,,,-0.029177754,-0.792371941,0.022496223,0.60598344,,,,
b_photo[41],,,,,,,,,-0.071316511,-1.978309626,-0.070756019,-1.964374142,,,,
b_photo[42],,,,,,,,,-0.047955126,-1.314667539,-0.055022073,-1.513711102,,,,
b_photo[43],,,,,,,,,-0.037575853,-1.024754532,-0.028833339,-0.779140886,,,,
b_photo[44],,,,,,,,,-0.064636991,-1.786974842,-0.074102738,-2.061151229,,,,
b_photo[45],,,,,,,,,-0.050750848,-1.393273175,-0.056211992,-1.547546337,,,,
b_photo[46],,,,,,,,,-0.044468559,-1.216945217,-0.032946892,-0.893252595,,,,
b_photo[47],,,,,,,,,-0.054400087,-1.496207884,-0.049351958,-1.353033839,,,,
b_photo[48],,,,,,,,,-0.053483983,-1.470331842,-0.042761505,-1.167417741,,,,
b_photo[49],,,,,,,,,-0.046566359,-1.275702019,-0.040337136,-1.099444046,,,,
b_photo[50],,,,,,,,,-0.052328672,-1.437733048,-0.035815915,-0.97311886,,,,
b_photo[51],,,,,,,,,-0.044110277,-1.206922499,-0.037135785,-1.009937683,,,,
b_photo[52],,,,,,,,,-0.048221985,-1.322161165,-0.053761641,-1.477914757,,,,
b_photo[53],,,,,,,,,-0.047667135,-1.306582739,-0.046903486,-1.28393128,,,,
b_photo[54],,,,,,,,,-0.047726862,-1.308259263,-0.056924423,-1.567823523,,,,
b_photo[55],,,,,,,,,-0.043064417,-1.177685719,-0.048758309,-1.336263922,,,,
b_photo[56],,,,,,,,,-0.02851356,-0.774076283,-0.027074594,-0.730495612,,,,
b_photo[57],,,,,,,,,-0.050134894,-1.375935887,-0.053433767,-1.468610479,,,,
b_photo[58],,,,,,,,,-0.05486397,-1.509319629,-0.063662211,-1.760310166,,,,
b_photo[59],,,,,,,,,-0.055882336,-1.538125304,-0.049772461,-1.364918624,,,,
b_photo[60],,,,,,,,,-0.046595679,-1.276524087,-0.044591771,-1.218843442,,,,
b_photo[61],,,,,,,,,-0.059474802,-1.639977024,-0.059632557,-1.645034245,,,,
b_photo[62],,,,,,,,,-0.051935192,-1.426639001,-0.058855323,-1.622853386,,,,
b_photo[63],,,,,,,,,-0.051468462,-1.413485373,-0.062452279,-1.725648957,,,,
b_photo[64],,,,,,,,,-0.045818888,-1.254752136,-0.05658912,-1.558278319,,,,
b_photo[65],,,,,,,,,-0.047353428,-1.297778672,-0.058003371,-1.598559991,,,,
b_photo[66],,,,,,,,,-0.05775413,-1.591147769,-0.072027835,-2.001113103,,,,
b_photo[67],,,,,,,,,-0.049385874,-1.354867554,-0.06724573,-1.863214521,,,,
b_photo[68],,,,,,,,,-0.045007806,-1.232037099,-0.059484127,-1.640796998,,,,
b_photo[69],,,,,,,,,-0.028102425,-0.76275737,-0.042138875,-1.149944905,,,,
b_photo[70],,,,,,,,,-0.034697004,-0.944874387,-0.048753046,-1.33611527,,,,
b_photo[71],,,,,,,,,-0.024815389,-0.672429533,-0.038978809,-1.061431663,,,,
b_photo[72],,,,,,,,,-0.051871944,-1.424856155,-0.06938616,-1.924855242,,,,
b_photo[73],,,,,,,,,-0.033202121,-0.903486128,-0.044393766,-1.213275475,,,,
b_photo[74],,,,,,,,,-0.044205261,-1.209579249,-0.059354625,-1.637100604,,,,
b_photo[75],,,,,,,,,-0.042770946,-1.169487301,-0.06243516,-1.725158861,,,,
b_photo[76],,,,,,,,,-0.087964273,-2.460783969,-0.103042556,-2.911652576,,,,
b_photo[77],,,,,,,,,-0.049769255,-1.365649287,-0.06644013,-1.840048775,,,,
b_photo[78],,,,,,,,,-0.059344318,-1.636271201,-0.075706777,-2.107650181,,,,
b_photo[79],,,,,,,,,-0.058125018,-1.601665743,-0.072356875,-2.010625711,,,,
b_photo[80],,,,,,,,,-0.039421689,-1.076092542,-0.057240745,-1.576831279,,,,
b_photo[81],,,,,,,,,-0.048724425,-1.336275548,-0.063530938,-1.756547538,,,,
b_photo[82],,,,,,,,,-0.060260745,-1.662308489,-0.076678395,-2.135852392,,,,
b_photo[83],,,,,,,,,-0.052033803,-1.429418899,-0.067810342,-1.879461562,,,,
b_photo[84],,,,,,,,,-0.055165995,-1.517859711,-0.063735787,-1.762419269,,,,
b_photo[85],,,,,,,,,-0.052296084,-1.436814057,-0.066209853,-1.833430359,,,,
b_photo[86],,,,,,,,,-0.050141312,-1.376116477,-0.068131972,-1.888720754,,,,
b_photo[87],,,,,,,,,-0.074860308,-2.080341745,-0.090061002,-2.527097013,,,,
b_photo[88],,,,,,,,,-0.073692489,-2.046678238,-0.087735084,-2.458721617,,,,
b_photo[89],,,,,,,,,-0.050951445,-1.398921706,-0.066366532,-1.837933325,,,,
b_photo[90],,,,,,,,,-0.055661736,-1.531882897,-0.068646843,-1.903549248,,,,
b_photo[91],,,,,,,,,-0.061123425,-1.686840549,-0.072489523,-2.014461454,,,,
b_photo[92],,,,,,,,,-0.054175859,-1.489872196,-0.068546942,-1.900671472,,,,
b_photo[93],,,,,,,,,-0.045242931,-1.238620063,-0.061980646,-1.712149335,,,,
b_photo[94],,,,,,,,,-0.038364357,-1.046673515,-0.052248717,-1.435007124,,,,
b_photo[95],,,,,,,,,-0.04094682,-1.118582364,-0.057035056,-1.570973634,,,,
b_photo[96],,,,,,,,,-0.042611526,-1.165034753,-0.054719418,-1.505111575,,,,
b_photo[97],,,,,,,,,-0.039371203,-1.074687125,-0.055736553,-1.534022455,,,,
b_photo[98],,,,,,,,,-0.045377635,-1.242392167,-0.058729243,-1.61925692,,,,
b_photo[99],,,,,,,,,-0.048180955,-1.321008873,-0.063752483,-1.762897916,,,,
b_photo[100],,,,,,,,,-0.051180435,-1.405371124,-0.067110722,-1.85933093,,,,
b_photo[101],,,,,,,,,-0.03709937,-1.011517575,-0.052850685,-1.452071596,,,,
b_photo[102],,,,,,,,,-0.052649056,-1.446769369,-0.066512678,-1.842134179,,,,
b_photo[103],,,,,,,,,-0.05187969,-1.425074506,-0.0612983,-1.692629687,,,,
b_photo[104],,,,,,,,,-0.080681525,-2.248731573,-0.095060515,-2.674607956,,,,
b_photo[105],,,,,,,,,-0.035325909,-0.962305149,-0.04604927,-1.259862726,,,,
b_photo[106],,,,,,,,,-0.029752476,-0.808212884,-0.043569252,-1.190101709,,,,
b_photo[107],,,,,,,,,-0.039636313,-1.082068012,-0.056249336,-1.548608872,,,,
b_photo[108],,,,,,,,,-0.025661428,-0.695650352,-0.038635797,-1.051840736,,,,
b_photo[109],,,,,,,,,-0.027815943,-0.754873026,-0.045120206,-1.233708616,,,,
b_photo[110],,,,,,,,,-0.043479189,-1.189276933,-0.055034397,-1.514061325,,,,
b_photo[111],,,,,,,,,-0.034518957,-0.939941629,-0.049922335,-1.369155773,,,,
b_photo[112],,,,,,,,,-0.081445517,-2.270904361,-0.096892955,-2.72885916,,,,
b_photo[113],,,,,,,,,-0.039032352,-1.065256068,-0.051728468,-1.420267479,,,,
b_photo[114],,,,,,,,,-0.030973453,-0.841896573,-0.046193429,-1.263923151,,,,
b_photo[115],,,,,,,,,-0.062883306,-1.736952013,-0.080155303,-2.236997955,,,,
b_photo[116],,,,,,,,,-0.042566626,-1.163780827,-0.058830188,-1.622136357,,,,
b_photo[117],,,,,,,,,-0.042533347,-1.162851495,-0.060072973,-1.657610591,,,,
b_photo[118],,,,,,,,,-0.039177403,-1.0692928,-0.056643149,-1.559816186,,,,
b_photo[119],,,,,,,,,-0.041797344,-1.142305949,-0.059466195,-1.640285142,,,,
b_photo[120],,,,,,,,,-0.044291177,-1.211982601,-0.057016306,-1.570439728,,,,
b_photo[121],,,,,,,,,-0.033867058,-0.921888337,-0.048374144,-1.325416969,,,,
b_photo[122],,,,,,,,,-0.024920364,-0.675309667,-0.040502002,-1.104061292,,,,
b_photo[123],,,,,,,,,-0.033425095,-0.909655598,-0.045197747,-1.235890524,,,,
b_photo[124],,,,,,,,,-0.030762896,-0.836084896,-0.044685675,-1.22148443,,,,
b_photo[125],,,,,,,,,-0.044821232,-1.226814537,-0.058546117,-1.614033983,,,,
b_photo[126],,,,,,,,,-0.054803984,-1.50762377,-0.065504919,-1.813179334,,,,
b_photo[127],,,,,,,,,-0.031591006,-0.858948999,-0.045816898,-1.25331893,,,,
b_photo[128],,,,,,,,,-0.056626481,-1.559192892,-0.071845676,-1.995848197,,,,
b_photo[129],,,,,,,,,-0.038437654,-1.048711917,-0.057305129,-1.57866506,,,,
b_photo[130],,,,,,,,,-0.045744482,-1.252667555,-0.062020062,-1.713277305,,,,
b_photo[131],,,,,,,,,-0.036106469,-0.983954444,-0.054730046,-1.505413507,,,,
b_photo[132],,,,,,,,,-0.027079293,-0.734609858,-0.041414232,-1.129622969,,,,
b_photo[133],,,,,,,,,-0.024607356,-0.666722786,-0.037988107,-1.0337397,,,,
b_photo[134],,,,,,,,,-0.039300941,-1.07273131,-0.05179757,-1.422224833,,,,
b_photo[135],,,,,,,,,-0.056439155,-1.553888009,-0.068189935,-1.890389741,,,,
b_photo[136],,,,,,,,,-0.03025749,-0.822139959,-0.045047416,-1.231660524,,,,
b_photo[137],,,,,,,,,-0.031710021,-0.862236542,-0.04655589,-1.274134868,,,,
b_photo[138],,,,,,,,,-0.028459079,-0.772576098,-0.047813383,-1.309591298,,,,
b_photo[139],,,,,,,,,-0.033893776,-0.922628039,-0.047205192,-1.292437097,,,,
