mu_b_force_sp,-0.224,-6.739,-0.221340543,-6.643626082,-0.236453994,-7.196205688,-0.208213246,-6.194859481,-0.161227886,-4.682163713,-0.201331178,-5.991075931,-0.180989381,-5.27269851,-0.201333591,-5.951022798
a_sp[35],3.076,25.63,2.729122137,25.06557552,2.770738513,25.28820319,3.044088702,25.48750021,,,,,2.899344006,25.11252855,2.919870934,25.24302872
a_sp[36],2.825,25.276,3.11302143,25.6236217,3.116079399,25.78148829,2.811127335,25.15303767,,,,,,,,
a_sp[37],2.917,25.416,3.052070605,25.54868258,3.082558265,25.74072001,2.893911025,25.28090553,,,,,,,,
a_sp[38],3.692,26.2,2.805309296,25.19398433,2.814166868,25.3599927,3.696405771,26.09841101,,,,,,,,
a_sp[39],,,2.893973588,25.33161081,2.91926808,25.52135733,,,,,,,,,,
a_sp[40],,,3.261576986,25.78823172,3.256871768,25.93854963,,,,,,,,,,
a_sp[41],,,3.722146911,26.16756899,3.72444805,26.32654583,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
b_chill[1],-0.337,-10.767,-0.370835046,-12.03889886,-0.338966581,-10.88529056,-0.362148056,-11.67944603,,,,,-0.339803169,-10.75444667,-0.315259155,-9.888842193
b_chill[2],-0.278,-8.601,-0.401505885,-13.24907596,-0.342395942,-11.01535835,-0.298166288,-9.29689773,,,,,-0.293427677,-9.062768752,-0.272647076,-8.363206377
b_chill[3],-0.338,-10.796,-0.365266162,-11.82312161,-0.343709423,-11.06529391,-0.351535847,-11.27364954,,,,,-0.336656091,-10.63715023,-0.32196104,-10.13476084
b_chill[4],-0.224,-6.745,-0.271879479,-8.37810182,-0.214239942,-6.445440759,-0.267260616,-8.199504369,,,,,-0.266824197,-8.127159912,-0.226074955,-6.768486316
b_chill[5],-0.568,-20.545,-0.578227432,-20.99361244,-0.548044844,-19.68993905,-0.590922951,-21.56128424,,,,,-0.258426944,-7.836970721,-0.230697261,-6.923463938
b_chill[6],-0.23,-6.963,-0.272759697,-8.409093977,-0.243543355,-7.439335604,-0.258262574,-7.886326295,,,,,-0.402862818,-13.1842844,-0.422022855,-14.00935899
b_chill[7],-0.459,-15.67,-0.437225,-14.70603192,-0.454052382,-15.50339326,-0.440459962,-14.81092027,,,,,-0.27427481,-8.386683656,-0.264607132,-8.082572189
b_chill[8],-0.272,-8.394,-0.294925906,-9.1986196,-0.28285802,-8.819368593,-0.278010883,-8.577382285,,,,,-0.346192047,-10.99370837,-0.352832566,-11.28908554
b_chill[9],-0.355,-11.451,-0.267498434,-8.224252005,-0.252224884,-7.739426365,-0.347059949,-11.10378423,,,,,-0.251002881,-7.582434372,-0.275959169,-8.479472732
b_chill[10],-0.277,-8.585,-0.347585553,-11.14596175,-0.36236129,-11.78152015,-0.251063236,-7.637773751,,,,,-0.628227085,-23.23479104,-0.606060959,-22.23157951
b_chill[11],-0.655,-24.872,-0.251684217,-7.674475886,-0.282423425,-8.803814888,-0.69506131,-26.86500747,,,,,-0.302031875,-9.370732813,-0.279405111,-8.60084715
b_chill[12],-0.292,-9.102,-0.678001178,-26.00984346,-0.636014468,-23.9812333,-0.318574882,-10.04037933,,,,,-0.324957237,-10.20433828,-0.300301737,-9.345903089
b_chill[13],-0.314,-9.92,-0.330692858,-10.51006745,-0.306799537,-9.686739561,-0.337909743,-10.75888069,,,,,-0.386768985,-12.54951434,-0.370715205,-11.9742217
b_chill[14],-0.388,-12.749,-0.350591111,-11.26023035,-0.321378661,-10.2251863,-0.413826469,-13.71829088,,,,,-0.413205708,-13.59765232,-0.376002194,-12.17913945
b_chill[15],-0.378,-12.356,-0.411482024,-13.65077142,-0.39029372,-12.87941341,-0.416197485,-13.81438524,,,,,-0.276143442,-8.452076685,-0.243368478,-7.351999
b_chill[16],-0.247,-7.538,-0.415809553,-13.82627216,-0.374153657,-12.24128527,-0.281795678,-8.711389763,,,,,-0.304996935,-9.477474511,-0.266325934,-8.142377513
b_chill[17],-0.273,-8.444,-0.380857778,-12.43028956,-0.319384426,-10.15106948,-0.313478,-9.853276835,,,,,-0.323466446,-10.14954767,-0.301660142,-9.394877214
b_chill[18],-0.315,-9.935,-0.327811583,-10.40267545,-0.281752305,-8.779809434,-0.335222006,-10.65816861,,,,,-0.136303912,-3.880863623,-0.116735382,-3.303854529
b_chill[19],-0.277,-8.585,-0.351425263,-11.292005,-0.322071436,-10.25096825,-0.252212089,-7.677317283,,,,,-0.351565624,-11.19613424,-0.313723286,-9.832716824
b_chill[20],-0.114,-3.25,-0.257765406,-7.884858258,-0.266731199,-8.246710284,-0.130213218,-3.721887574,,,,,-0.346178561,-10.99320171,-0.326513326,-10.30274466
b_chill[21],-0.333,-10.624,-0.135086824,-3.878568263,-0.119293706,-3.418059623,-0.377184458,-12.2618415,,,,,-0.303791476,-9.434039994,-0.284113125,-8.767352273
b_chill[22],-0.345,-11.054,-0.505411242,-17.636023,-0.482496036,-16.72905111,-0.37008247,-11.98567324,,,,,-0.502732016,-17.36013881,-0.502828846,-17.43399004
b_chill[23],-0.296,-9.269,-0.382769265,-12.50538015,-0.337218818,-10.81917332,-0.314889565,-9.904998843,,,,,-0.49242328,-16.90954165,-0.498293948,-17.23438014
b_chill[24],-0.564,-20.349,-0.376036527,-12.2415286,-0.355357932,-11.51102577,-0.573463969,-20.7249232,,,,,-0.375804402,-12.12286515,-0.352325957,-11.26985378
b_chill[25],-0.516,-18.163,-0.328195606,-10.41697106,-0.30409178,-9.587596211,-0.514289754,-17.99641947,,,,,-0.345699654,-10.97521398,-0.327478984,-10.3384768
b_chill[26],-0.366,-11.857,-0.552297075,-19.76982643,-0.548596798,-19.71570439,-0.390950298,-12.80275827,,,,,-0.246572046,-7.431419789,-0.213229604,-6.341547326
b_chill[27],-0.346,-11.098,-0.511834502,-17.92246907,-0.51182616,-18.02995171,-0.366473821,-11.84609684,,,,,-0.18342422,-5.350338884,-0.167421724,-4.862920328
