"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y_ppc[832]",23.0661279505094,0.380404463524312,24.3623872529135,-24.0369085449462,6.64501056219387,23.1846038176841,39.4837473654004,71.8753022129117,4101.55440119054,0.999383196837302
"y_ppc[833]",36.7961353122015,0.38215581382975,23.9862951652195,-10.4106210747403,20.6586330595408,36.9331277704269,53.0483959884127,82.9942772437941,3939.53900954237,1.00234936159433
"y_ppc[834]",34.9366595940479,0.378943781294074,24.4198819316293,-13.1090906011158,18.3711122263592,35.0252942702254,51.3753996227507,82.0851107977869,4152.76686683886,1.00009553379764
"y_ppc[835]",33.9317263352973,0.375979373405792,24.6478987626171,-13.5598379376512,17.2745677926327,33.8579018843196,50.4005346853038,83.1046753253384,4297.65712283523,0.999707359837647
"y_ppc[836]",21.0520202227368,0.371933579344796,23.601355950928,-24.6285479856785,5.43673351382783,21.4474879460339,36.1308068442646,67.5771302167065,4026.64303276259,1.0003285935378
"y_ppc[837]",20.8467939190411,0.36089754857658,23.6646943798208,-25.990850154133,4.61730477019952,20.7540807255556,37.0163142799166,66.9014153497709,4299.65823135481,1.00038840711327
"y_ppc[838]",20.2918112159778,0.373918859098598,23.9733291890369,-27.1720305023781,4.44612683643194,19.9803732440685,36.089801895196,68.4422710219894,4110.56914507339,0.999942415821383
"y_ppc[839]",22.0003036949524,0.396103957817372,24.7862069716491,-28.2983956226432,5.54888881183371,21.7739891558577,38.9431856409806,71.4598231433554,3915.63119726157,0.99991683511485
"y_ppc[840]",20.6500346567815,0.390996515812812,25.0715846202155,-28.7706766949563,3.44912600072343,20.6365074522406,37.1544866158585,70.188467121485,4111.66566221009,0.999940998366488
"y_ppc[841]",18.3294199906052,0.387782247461217,24.2882291719195,-29.5986892156782,2.23175048895262,18.2275311449853,34.4491211573323,66.1365565013215,3922.97786218665,0.999377532543433
"y_ppc[842]",23.2817667577293,0.386278223701256,24.8942773932182,-24.2486250682175,6.67619849663205,23.7555334034808,39.6276409783009,73.0482959632254,4153.350644658,1.00014766743225
"y_ppc[843]",21.3270714834079,0.374488803690957,24.681630556416,-27.7836813445444,4.9350169384258,21.2298549574798,38.2453467654473,68.159012540979,4343.80198007757,1.00037323291956
"y_ppc[844]",19.7779578557912,0.3675891141276,24.4364175230416,-28.5259701795531,3.40761508018937,19.8347898082371,35.863924481857,68.1031229316291,4419.2624148107,1.00063315500212
"y_ppc[845]",19.7821362171739,0.380562560176533,25.0643715688107,-30.8332298983338,3.29108485539866,19.8409574903677,36.571816544368,68.4886669980858,4337.72005304237,0.999876657562119
"y_ppc[846]",18.5578856360545,0.378920776108147,24.6914414188747,-30.1260947940951,1.66871452057463,18.2331688418557,35.5031840602704,67.7793734154215,4246.15702815778,0.999227788021551
"y_ppc[847]",17.0844339751603,0.385674388457583,24.8573716354665,-31.1274524556276,0.146644131306443,16.8098086257366,33.435847742829,66.9576694684029,4154.02218534141,1.00003792926238
"y_ppc[848]",27.7452256813106,0.389602086399618,24.2895934623836,-19.3035894115313,11.5841216952265,27.5681421069973,44.6227919851952,74.3805792052127,3886.85146198987,0.999600714725079
"y_ppc[849]",24.8727050016205,0.379447128683369,24.2811475992543,-23.1516838811125,8.78788233185283,24.8703629904834,41.1872073811505,72.2883287759048,4094.82999836278,1.00051595924293
"y_ppc[850]",24.0934572000153,0.382981581826649,24.6621477841042,-22.428883332624,7.10888424124234,23.7228950978766,40.7073455655318,74.4646770531545,4146.73244312682,0.9994399879859
"y_ppc[851]",41.3267406247879,0.385360767074905,23.7125143718073,-6.15620470417669,25.9702234382904,41.0182006287409,57.2681863608873,88.2086286800114,3786.34531093378,1.00048571887183
"y_ppc[852]",34.2390299471582,0.374855474535118,23.9957373232267,-13.6189837928933,17.8927087784928,34.7406004465006,50.4115462788643,80.8481010247111,4097.7030465592,1.00086144358571
"y_ppc[853]",27.1450796353964,0.386364287500125,24.0557795449951,-21.0239032100111,11.1239976413363,27.510713923637,43.3505930965461,73.4614164705935,3876.54577508149,1.00048582721502
"y_ppc[854]",33.1295930127659,0.386882404730614,24.9306062158212,-14.1147207867309,15.6882700065999,33.2530176284048,49.8729390735071,82.0434059770434,4152.48163842673,0.999421415399022
"y_ppc[855]",31.2790813113088,0.37027819293803,24.1544913816978,-16.5150250072764,15.4420009867568,31.3265816291249,47.1598861997794,79.4783875838737,4255.39151115152,0.999494117149189
"y_ppc[856]",29.3684496564136,0.381364238411634,24.26924411672,-18.6620576307177,12.9883369807128,29.4857118746132,45.8174067184823,75.2213053829582,4049.79060950863,1.00009767283608
"y_ppc[857]",34.5666247160694,0.389762758391322,25.2487776203667,-16.1513749845549,17.8312197495681,34.411459112524,51.2709168460166,84.1346344958075,4196.43049382659,0.999898127048694
"y_ppc[858]",33.939592786432,0.394806757131542,24.9169731660859,-16.2743147541192,17.6169005104847,34.2055430159232,50.5489294165838,81.0489932005135,3983.10187973079,0.999407280584061
"y_ppc[859]",32.485867357092,0.394939964409423,24.2754347857441,-16.0438111019917,16.7656595569546,32.5300273314648,48.8969503993673,79.6919152784601,3778.08625499067,0.999948256743539
"y_ppc[860]",29.3112153799438,0.399052777350773,24.3057719608061,-19.6732317440521,12.9603996617988,29.1577366434742,45.6218454343577,78.1999245411501,3709.86548057726,0.999841995293777
