"Season","End_year","Chilling_Hours","Utah_Model","Chill_portions","mntemp"
"2008/2009",2009,1894,2305,123.679218969962,9.03676875534397
"2009/2010",2010,2043,2025,112.999014837632,9.04308950991967
"2010/2011",2011,2093,2434,125.904474849479,9.55304232871002
"2011/2012",2012,1935,2758.5,132.92266087542,9.76147874446035
"2012/2013",2013,2326,2399,125.196692311067,8.75886781815931
"1950/1951",1951,2155,3235,142.545682341892,9.16849988447502
"1951/1952",1952,2552,2779,130.784877030857,9.57485903032176
"1952/1953",1953,2252,2431.5,117.177752814675,8.51054235201171
"1953/1954",1954,1913,2565,127.961777494733,8.75974045964924
"1954/1955",1955,2488,2532,131.826565687639,8.51136782369137
"1955/1956",1956,1844,2379.5,125.526206485041,7.35929569956178
"1956/1957",1957,1861,2517,127.819474126423,9.8588677935724
"1957/1958",1958,2065,2745,136.659340089251,8.39827820357761
"1958/1959",1959,2081,2634.5,126.237426580382,9.89405647203115
"1959/1960",1960,1744,2519.5,124.969713682483,9.74152569326314
"1960/1961",1961,1623,1979,112.36345375401,10.7974055084435
"1961/1962",1962,2205,2539.5,129.591025791057,9.10294799914777
"1962/1963",1963,1446,1680.5,103.86723441295,6.56674522564764
"1963/1964",1964,2092,2646,133.630200536747,8.23908441229133
"1964/1965",1965,2322,2903.5,136.618609211508,8.68155649913264
"1965/1966",1966,1799,2356,118.250674763319,9.74386779614285
"1966/1967",1967,1880,2469.5,126.294393155577,9.97669797961793
"1967/1968",1968,2336,2450.5,123.472483646088,9.58859142438102
"1968/1969",1969,2115,2485.5,126.089847456434,8.41136782592655
"1969/1970",1970,2286,2626,129.890976399638,7.77268859491912
"1970/1971",1971,1995,2660.5,127.048290419393,8.84658008034974
"1971/1972",1972,2187,2932,137.386925392839,9.51478860912923
"1972/1973",1973,2561,3169.5,142.439923449807,8.29129707389335
"1973/1974",1974,1800,3173,138.001774078958,10.0069338279987
"1974/1975",1975,2250,3286,143.912772612754,9.8528300578583
"1975/1976",1976,1975,2656.5,131.242212843131,8.68171351037902
"1976/1977",1977,1961,2617.5,129.674621792694,9.72841968328059
"1977/1978",1978,2174,2790,134.199917433547,9.43346685968462
"1978/1979",1979,2081,2753,130.991149522253,7.89804236570215
"1979/1980",1980,2128,2914.5,139.943776992732,9.56145527475282
"1980/1981",1981,2084,2198,117.227314588206,8.81768857156155
"1981/1982",1982,1808,2653.5,128.23624679192,8.37617914746779
"1982/1983",1983,1917,2340.5,124.123375673939,10.1802121260124
"1983/1984",1984,2572,3140.5,137.657267361192,8.7431923822443
"1984/1985",1985,1855,2124.5,119.614921276506,8.31047160176666
"1985/1986",1986,1934,2512,130.146314167665,8.08924519161711
"1986/1987",1987,1783,2209.5,118.987732079531,8.66247631087987
"1987/1988",1988,1877,2871,132.270264898638,10.1122299103294
"1988/1989",1989,1856,2460.5,121.926377066119,10.5070989111588
"1989/1990",1990,1877,2566,123.097115777327,10.7031130577209
