"","Species","bubburst_reg","bubburst_reg_SE","bubburst_CC","bubburst_CC_SE"
"50","Lonicera_canadensis",15.4926824363001,14.9598653345456,14.2460821392914,14.2460821392914
"51","Lonicera_maximowiczii",14.5697815114402,14.4678369018339,14.2674803255489,14.2674803255489
"52","Picea_abies",42.2533842110952,13.4565389180641,39.025834891803,39.025834891803
"53","Populus_deltoides",24.5060074504006,14.7688916026242,32.7850645562981,32.7850645562981
"54","Populus_grandidentata",21.2883659475297,13.8644565022718,26.6160235173056,26.6160235173056
"55","Populus_koreana",20.8695454616147,14.5318711965443,22.3686742556672,22.3686742556672
"56","Populus_tremula",27.6768453944277,13.3573848331689,23.9316100613328,23.9316100613328
"57","Populus_tremuloides",30.2061083637154,14.5449974587511,34.2083952433923,34.2083952433923
"58","Prunus_avium",15.535573003185,14.5841873895581,18.3832930164131,18.3832930164131
"59","Prunus_cerasifera",19.3335457088707,14.2947516728361,19.8498250822743,19.8498250822743
"60","Prunus_padus",28.635902672076,13.3511606443314,25.4818213835611,25.4818213835611
"61","Prunus_pensylvanica",17.2595890683987,14.9667642557736,16.803962678568,16.803962678568
"62","Prunus_persica",18.9035068398581,16.3562178464129,16.9309678220425,16.9309678220425
"63","Prunus_serotina",16.3119744584428,14.2756602776039,20.1319392301869,20.1319392301869
"64","Prunus_serrulata",28.9920058400404,14.4267763232926,31.7742373188504,31.7742373188504
"65","Prunus_tenella",24.1562507913978,14.3982431274713,25.2315103224407,25.2315103224407
"66","Pseudotsuga_menziesii",30.6573061170541,13.2867651285776,41.6421284737889,41.6421284737889
"67","Quercus_alba",31.4839866658987,14.8422502845545,35.9114728367346,35.9114728367346
"68","Quercus_bicolor",22.5393546661665,14.3744673037366,25.5942526379826,25.5942526379826
"69","Quercus_ellipsoidalis",29.9499671170952,14.5726092667078,34.3660476425514,34.3660476425514
"70","Quercus_faginea",54.1999437971072,15.0178755915634,69.096024183112,69.096024183112
"71","Quercus_ilex",53.3207662926056,15.3900148403645,62.4529671510608,62.4529671510608
"72","Quercus_petraea",40.0757121328904,13.4419059665109,47.5155978421784,47.5155978421784
"73","Quercus_robur",29.005506586638,13.4431862330624,24.9706459579902,24.9706459579902
"74","Quercus_rubra",19.7858216172515,13.3325366159978,27.0528336829854,27.0528336829854
"75","Quercus_shumardii",45.935024975925,14.2240259493163,54.2115080576388,54.2115080576388
"76","Quercus_velutina",33.3730374061584,15.1122545178407,37.6463295718262,37.6463295718262
"77","Rhamnus_alpina",43.3698000365803,14.4151485621307,51.8096736357849,51.8096736357849
"78","Rhamnus_cathartica",28.3747463714895,13.8749136236874,28.0917969962382,28.0917969962382
"79","Rhamnus_frangula",22.9978084028236,15.1503044891005,23.4673601248426,23.4673601248426
"80","Rhododendron_canadense",31.7795997057857,14.3183398595989,31.7386230825295,31.7386230825295
"81","Rhododendron_dauricum",26.9371739126923,14.7411986860741,28.2774959600304,28.2774959600304
"82","Rhododendron_mucronulatum",14.7006828259529,14.6166419415267,14.4444468325586,14.4444468325586
"83","Rhododendron_prinophyllum",26.0631637557347,15.0347110929076,28.0506158705588,28.0506158705588
"84","Robinia_pseudoacacia",23.1523540235232,13.8251617431249,26.8429292158524,26.8429292158524
"85","Salix_gracilistyla",20.7190809914116,14.6153187863118,21.690448231714,21.690448231714
"86","Salix_repens",38.4328894621657,14.3476915201871,45.0192159989574,45.0192159989574
"87","Salix_smithiana",11.9828468158751,13.8634092291667,13.5898044585588,13.5898044585588
"88","Sorbus_aria",46.9763907371138,14.2990172791895,55.6318637786475,55.6318637786475
"89","Sorbus_aucuparia",15.8098566430674,14.3296800000367,16.5768778845879,16.5768778845879
"90","Sorbus_commixta",24.7846253918736,14.3399049053041,26.803753320901,26.803753320901
"91","Sorbus_decora",31.7479724713658,14.2283051255231,36.0013326121598,36.0013326121598
"92","Sorbus_torminalis",13.0718325407448,14.7388321166896,11.3938108097874,11.3938108097874
"93","Symphoricarpos_albus",17.234793543118,14.0529841657125,20.9187143005236,20.9187143005236
"94","Syringa_vulgaris",18.332478130827,13.7065061408741,20.5758234889285,20.5758234889285
"95","Tilia_cordata",22.5155178187983,14.0059823283367,20.794404315335,20.794404315335
"96","Tilia_Cordata",19.8647366967815,14.5767540860765,20.6400548044302,20.6400548044302
"97","Tilia_dasystyla",37.2791026231166,14.4117708863104,43.9149039597691,43.9149039597691
"98","Tilia_japonica",27.1394057013718,14.2477209857812,27.7815343810564,27.7815343810564
"99","Tilia_platyphyllos",32.0083041581925,14.091916684431,34.0463578469968,34.0463578469968
"100","Ulmus_americana",31.9194114844627,14.2236329006684,36.8612492190989,36.8612492190989
"101","Ulmus_glabra",23.7346742068568,14.8935498974231,30.8965509721435,30.8965509721435
"102","Ulmus_laevis",45.8020770905018,14.1000027128146,55.6688995426482,55.6688995426482
"103","Ulmus_macrocarpa",21.4487856283943,14.7918637755456,26.8511965773204,26.8511965773204
"104","Ulmus_minor",23.5353074235418,13.85718004192,30.833874169661,30.833874169661
"105","Ulmus_parvifolia",14.1255154765609,14.0497314145203,20.9732175083661,20.9732175083661
"106","Ulmus_pumila",13.9624181938926,13.7636553641782,17.1081425385127,17.1081425385127
"107","Ulmus_villosa",21.9973249422247,13.3851301212705,27.2610231112188,27.2610231112188
"108","Vaccinium_ashei",58.7405892942077,15.5567657729983,63.2352881801369,63.2352881801369
"109","Vaccinium_corymbosum",25.4867409865296,16.3735913559985,27.2010308950847,27.2010308950847
"110","Vaccinium_myrtilloides",15.917194807182,15.0258779608239,14.3288501785039,14.3288501785039
"111","Viburnum_betulifolium",33.6575253896873,14.5226165177372,38.4562609373188,38.4562609373188
"112","Viburnum_buddleifolium",42.139642304347,14.782309572442,50.7352047523948,50.7352047523948
"113","Viburnum_carlesii",23.6867556002793,14.540796391227,26.2442401658258,26.2442401658258
"114","Viburnum_cassinoides",12.6129689769353,13.7350875204793,11.9671417279087,11.9671417279087
"115","Viburnum_lantanoides",18.3293911400659,13.8217403000248,20.8867580765299,20.8867580765299
"116","Viburnum_opulus",35.6442117244434,14.4910347548323,38.5615288096725,38.5615288096725
"117","Viburnum_plicatum",38.915760690999,14.947213582308,46.8369926984664,46.8369926984664
