"","b_chill","b_chill_low","b_chill_up","b_force","b_force_low","b_force_up","b_photo","b_photo_low","b_photo_up"
"Corylus cornuta",-6.20488742087235,-17.5965762005035,5.56472475806673,-7.23712610098252,-15.0238177209311,0.133485415169158,-1.35493988538095,-5.69110622486964,2.86467546853955
"Ostrya carpinifolia",-5.52018254987249,-14.5195193925937,3.74822483573069,-4.92314022430548,-14.0843473377857,3.92981455612467,-0.915748459543702,-4.91208203098889,3.00853733324072
"Ostrya virginiana",-11.3766427987817,-20.7447868707939,-2.09885827955112,-4.74529578501353,-14.0050737834866,4.42994447565246,-0.749591556226357,-4.79923767266314,3.42688580447658
"Carpinus laxiflora",-8.98776219090596,-19.7218878287041,1.53367421047645,-4.73621108562079,-13.6753843704027,3.95443899592269,-0.913957374746019,-5.21822752246583,3.32259250737669
"Carpinus betulus",-12.2964250097764,-18.9893642259015,-5.82293989110166,-2.5863548660322,-7.40723337696993,2.37835586567541,-0.594687283064073,-4.0603131856297,3.02093012746334
"Carpinus monbeigiana",-5.65878169571121,-14.7529617051827,3.8199162720714,-4.73411779172169,-13.8317825509176,4.11095986955744,-0.892447085735314,-4.97370105262619,3.20419147331946
"Rosa majalis",-4.26355816537362,-14.3193262945529,5.85150481301869,-7.14796118059857,-17.8537459784092,3.37655260214055,-0.943571130721554,-5.20290621121765,3.36901563253701
"Rosa hugonis",-6.88421891699008,-18.6892015129948,5.08292245807081,-7.23456321106688,-17.8587087303696,3.75014009657015,-1.02639758515961,-5.49166594940988,3.49614795186452
"Aronia melanocarpa",-2.3843840923258,-10.9633960848062,6.08382341124787,-5.07044981394003,-12.5685332684501,2.62065671288887,-0.74198249802532,-4.72348908415216,3.32505770227359
"Photinia villosa",-2.91567369467195,-11.676743739762,5.91655660394462,-5.86178014865608,-14.5778957844328,2.79277901248147,-0.762325451504774,-4.64193387609194,3.29957102893878
"Spiraea japonica",-3.73964365833643,-12.8452379839938,5.41718186232644,-6.65852157475148,-16.488386479331,3.0675896832329,-0.708721203573408,-4.74102204869533,3.41480988074332
"Spiraea chamaedryfolia",-4.02321129383684,-13.4843607847553,5.20858945645375,-6.71896065553692,-16.3732847824599,3.12590143744244,-0.726748676863503,-4.89494497650811,3.57610012910106
"Spiraea canescens",-5.15803244022771,-16.134064010334,5.64584829792624,-6.7811973481251,-16.4847380791093,2.85018114289471,-0.793635597973851,-5.14012007265117,3.6423129855633
"Prunus tenella",-3.88890369807896,-15.100435603795,7.58602511186406,-7.19220034499269,-16.3729689957759,2.28881195268983,-0.93199853814601,-5.27434897858487,3.28748814612457
"Prunus serrulata",-4.62517500854809,-15.759342421156,6.60327466544792,-7.07527618150735,-15.8307714373334,2.22660328091842,-0.781636497446393,-4.88091300487719,3.43130525553835
"Prunus pensylvanica",-3.85276460071184,-14.5830735408861,7.25874971537614,-7.01336581752301,-14.5308229838773,0.6601946377704,-0.906877363024892,-5.0188964440728,3.2872106639624
"Prunus serotina",-7.40079378372121,-16.9667885935267,2.21926230973479,-6.26122149031695,-14.4056438488552,2.36464674632542,-0.833723961484163,-4.89648807186665,3.30842568550509
"Prunus padus",-1.76479847193268,-7.09247221209435,3.4599856248079,-10.4376980074892,-14.2706859674579,-6.74023850851094,-0.956594233144176,-2.95557478086077,1.02697287089543
"Prinsepia uniflora",-5.04172586578848,-16.3519472692133,6.67120256550442,-6.96559653970985,-16.8515323642813,3.26775887045615,-0.722985367521511,-4.89032738399895,3.49141816905755
"Prinsepia sinensis",-5.06887151873912,-17.1034783535903,6.91391874860734,-7.03055616807099,-16.8771084227391,3.01284603543519,-0.795168682906203,-5.04173412608868,3.54925232873331
"Oemleria cerasiformis",-4.93430245999787,-15.8746442866062,6.42151904694167,-6.83565209065051,-16.5065042041121,3.02813331666976,-0.750486648951979,-4.99245910235176,3.59896580073711
"Ulmus minor",-16.2018509676916,-20.7814549070925,-11.5949951195906,-10.3933799297087,-14.2911571843483,-6.49266915053558,-2.573002373397,-6.32363417321879,0.975651469035626
"Ulmus glabra",-18.6053919855172,-25.1028479190044,-12.1168016743416,-10.2464009117006,-17.3496420384246,-2.78292560547702,-1.48537237629586,-5.16320681577047,2.38493462596126
"Ulmus macrocarpa",-17.0809710109624,-23.906145609347,-10.3935740767688,-10.5074519895859,-18.2747507971922,-2.8212896821095,-1.49258589191576,-5.2686146001919,2.53904054337993
"Ulmus pumila",-12.4809370981511,-17.0977319740427,-7.94424218468139,-10.6756696455371,-14.6208154616402,-6.64662788195595,-1.8137545943641,-5.35056239124559,1.76407514699155
"Ulmus parvifolia",-15.5850585704673,-20.2101001767169,-10.9206109911378,-9.41661235524225,-13.4912628709904,-5.28180260040951,-2.39228532501721,-6.07875276040058,1.17738780767166
"Ulmus laevis",-16.264790779837,-25.0141159347036,-7.61821296488933,-9.62919567275844,-17.4568352453292,-1.30261785853893,-1.63988846459278,-5.63659257793871,2.42897126636022
"Ulmus americana",-13.5254208545206,-22.0906050615091,-4.68167247234307,-9.81103774760216,-17.5679545456462,-1.4319605606319,-1.58602830717142,-5.50948247371635,2.43625666257133
"Ulmus villosa",-15.743817545375,-20.3969429647759,-11.0619363956848,-11.9152460587367,-15.8991304182407,-8.03728832412811,-1.93519189008113,-5.59410093310116,1.65241483321193
"Caragana pygmaea",-5.09086522305013,-16.9504089672703,6.78777296490971,-4.35615843097677,-14.8627869669798,6.22238928659007,-1.14016478975627,-5.41888467186274,3.32153182398744
"Robinia pseudoacacia",-5.49071804943441,-15.6386666795734,4.60430793669645,-0.160160582661554,-5.49884694536809,5.18131850524127,-0.976870644044535,-5.29993013598209,3.51311305983952
"Amorpha fruticosa",-1.97566101382343,-12.2435849190818,8.74597956486581,-3.87502085760455,-13.4205832103345,5.69529956562736,-1.03526394947053,-5.34636141213129,3.41974663488418
"Cercis chinensis",-0.910283143962789,-10.5195049592908,9.36141992297076,-5.45380632320761,-16.5310400346265,5.76148686692832,-1.86007007433768,-6.37256370792541,2.53911306222729
"Cercis canadensis",-4.0211514633466,-13.747479867147,5.85179046027124,-5.14795017002205,-15.9537024948729,6.4716540214373,-1.45015362562726,-6.00150861844471,3.10483703304933
"Tilia japonica",-2.93424345257895,-11.7336799633467,6.08786190899541,-8.0340355698765,-16.4174196012433,0.986316327892777,-1.25854863802612,-5.58604230178964,3.03679027569545
"Tilia cordata",-3.69943263083999,-8.16091007555969,0.926961217363353,-9.90702264801671,-14.054732875177,-5.82045908297927,-2.54895921447419,-6.14521893057033,0.919760910143704
"Tilia dasystyla",-7.53437116424769,-17.0005537520743,1.52297393231022,-7.94806260737807,-16.414393800575,1.17720850543906,-1.2835097012371,-5.47486548410283,2.94665366010777
"Tilia platyphyllos",-4.29949288738888,-13.2330930109677,4.63769788779242,-7.94755609127665,-16.397124926148,1.32676660384651,-1.26512390333634,-5.5746969647486,3.12725344518407
"Hibiscus syriacus",0.00817251816181959,-9.29517452307018,9.99979061527858,-7.49655764564242,-17.1416390000994,2.40612835123449,-1.25669777164426,-5.53766055851858,3.0846066495699
"Aesculus flava",-14.8988310085877,-24.4172274403099,-5.70181141435868,-1.48946717373163,-10.886715823756,7.7394678053202,-1.45415680875052,-5.58269294763985,2.76577962500428
"Aesculus parviflora",-12.6328941761128,-21.9467927410449,-3.68711990501074,-2.00233295720725,-11.4732080533762,7.48509385878579,-1.99801484466615,-6.23370159090697,2.02237051178103
"Aesculus hippocastanum",-8.32658044704963,-16.3395358975262,-0.339551791426329,1.57117841171118,-4.06423955310343,7.71738049516228,-1.33006632947835,-5.33657149676839,2.73632426158754
"Toona sinensis",-3.76859701464932,-13.3368331361575,6.1853632880208,-4.78087712292323,-15.5328384567661,6.36806678544932,-1.31052507367507,-5.7006048184237,2.94231731278885
"Orixa japonica",-5.75916243128171,-15.8326396188893,4.14856252863557,-4.75066733047396,-15.4867225037805,6.38166800587677,-1.21360006162424,-5.44648022765471,3.24670106837862
"Ptelea trifoliata",-4.44465229109634,-14.1990085893554,5.45304613926924,-4.60093579624146,-15.223255746308,6.67118597658166,-1.2299582594681,-5.56903479280435,3.14065731698293
"Ribes divaricatum",-11.4365464860981,-23.4896535921798,0.198333989619221,-6.56679663133013,-18.0579874467976,4.67789138736989,-1.25173647627236,-5.81893238069085,3.30013544997314
"Ribes glaciale",-7.39056445644442,-17.3668742694616,2.48391754097188,-6.6852207840139,-18.488820639265,4.87925461952329,-0.964417905515882,-5.39132127101899,3.52231396340712
"Ribes alpinum",-9.59521374802466,-21.6896016519611,2.07405103202994,-6.65089568146778,-18.2661615673948,4.94139526540375,-1.07175523042941,-5.55579905341386,3.49994899195728
"Hamamelis virginiana",-8.18604262203796,-20.1929058340098,3.97130525292482,-9.99187112535543,-19.6032620501994,-0.733947320137198,-1.60039556803289,-6.2755667370016,3.08017634135555
"Hamamelis vernalis",-12.7525653128832,-22.8589478370006,-2.86286370419502,-7.46281967568114,-18.490192787455,3.76878825133549,-1.07612060540696,-5.46816311648997,3.3282435446163
"Hamamelis japonica",-8.80646621973729,-18.6635937587103,1.17357501946705,-7.47358049176294,-18.6133942988841,3.41619011993537,-1.11196069387368,-5.52707142702316,3.30513787094688
"Sinowilsonia henryi",-4.8995193075207,-15.076542936179,5.11987598767328,-7.03113714182881,-18.6798323237615,4.54829431777486,-1.22176552779541,-5.58403025057246,3.33935353886658
"Corylopsis sinensis",-7.55859923738115,-19.2041294355926,4.39663274665501,-7.10074946713339,-18.425131552026,3.98798220035891,-1.33018494683427,-5.75122790001869,3.21418071904136
"Corylopsis spicata",-7.90744532542167,-20.0023736247956,4.03082703775534,-7.06068907380076,-18.2933161563866,4.06255677039978,-1.41810707923374,-5.80771377536844,3.03217584164168
"Liquidambar styraciflua",-7.91140963906309,-17.9568820754879,1.78830454714758,-6.68010514478765,-17.9873364782473,4.77363174892748,-1.51137417543653,-5.92297590691697,2.83040922253373
"Liquidambar orientalis",-2.26729280315637,-12.0806048322837,7.88505633234704,-6.80762685309082,-18.3080244278359,4.47278481111125,-1.21099982577919,-5.60577807068885,3.22607382158882
"Cercidiphyllum japonicum",-9.1911536546469,-20.4916459934575,2.23256987288994,-6.64549821135395,-17.8907646788171,4.9642863153794,-1.2444616418189,-5.71021874873959,3.26316204413152
"Cercidiphyllum magnificum",-9.90582358610265,-19.9827930533696,-0.0318241849342456,-6.57936109193937,-17.9350519350332,4.97889690161167,-1.29582643166587,-5.64688556336542,3.18321310924278
"Parrotia persica",-8.06054490314002,-20.7174553509049,4.45979426839275,-6.62295383730608,-17.8812290719283,4.72060053877423,-1.00503676982573,-5.31878312945839,3.48684646545023
"Paeonia rockii",-6.414877589178,-18.7405501817334,6.0498431603668,-6.62751188844741,-18.1931394028133,5.10551531502779,-1.1689127988212,-5.65772945461933,3.4424351229035
"Syringa villosa",-5.04218647102281,-15.4924347089694,5.53985494972707,-4.16528128541571,-12.8176679755903,4.14289792044675,-0.888971692778673,-5.1928197950449,3.46041560145721
"Syringa vulgaris",-4.5481199112575,-13.6109835609105,4.72860909383093,-1.79072189629698,-6.07704713308872,2.68228760130968,-0.933111160186468,-5.21587111670216,3.18109786200131
"Syringa josikaea",-4.33533661679386,-14.7308183583814,6.33783462767657,-4.06826502383265,-12.754950552297,4.47414262059544,-0.962138557011887,-5.35788803148428,3.4114955554046
"Syringa reticulata",-4.5139313521624,-15.0553050200226,5.97975279809671,-4.12094356053838,-12.7461978726191,4.24496763991311,-0.878492864131524,-5.16798900220221,3.49735853480048
"Ligustrum tschonoskii",-4.45390419490267,-14.7796618985478,5.75447199412305,-4.12613415354154,-12.7944956248,4.30642112894251,-0.875030871822069,-5.20029567758973,3.49464977458543
"Forsythia ovata",-4.33528090988164,-14.987475824018,6.23916005667074,-4.68002179243626,-14.3564196788019,4.82724042623113,-0.881377609301602,-5.23218969479093,3.37826795123285
"Forsythia suspensa",-4.40428255814419,-13.566029498116,5.01044799905534,-4.72801504317254,-14.2205654818836,4.5733682179848,-0.826871516072015,-5.13639878183968,3.55273993300027
"Cephalanthus occidentalis",-2.37772936184928,-12.2230624082199,7.91000119886531,-5.37277493769583,-16.0968227524988,5.42496243678128,-1.11459723233877,-5.46027169967141,3.34945229361555
"Viburnum buddleifolium",-10.2606223407346,-21.5825421154823,0.255803852576031,-4.74771432876396,-13.532919062656,4.41931373122897,-0.232221383467721,-4.45418664612605,4.29969267924929
"Viburnum carlesii",-7.52611834587129,-18.4597070137393,2.95019630715459,-5.33422182206361,-14.3084099612911,3.29577474690434,-0.860249057451705,-5.12972885486147,3.59632893608841
"Viburnum cassinoides",-4.05787184923608,-11.3146429129804,3.09780900968053,-4.63082263950822,-10.5530078019267,1.18703299565093,-1.07040085920455,-4.93462711048078,2.89447945688605
"Viburnum lantanoides",-8.43227004294417,-15.7565190007602,-1.22944847278484,-7.0428467080641,-12.9428355438321,-1.19863751304011,-1.26843324627606,-5.26671273706993,2.77005975439581
"Viburnum plicatum",-9.13323370889017,-20.5521377231129,1.66014083547148,-5.00197845883606,-13.8856575593034,4.25386138510734,-0.494237127843167,-4.90011443388531,4.03850097441755
"Viburnum opulus",-6.19532084883327,-15.5435697315583,3.41648217871087,-5.27131385720666,-14.1866730005758,3.75231080808817,-0.80337772869628,-5.10476734638,3.44151303199026
"Viburnum betulifolium",-7.77735700590863,-18.784522150615,3.06200707982969,-5.35151386452009,-14.5021748104579,3.7922532423687,-0.990084706525298,-5.28984062217196,3.26521708886705
"Weigela coraeensis",-4.54677999615881,-14.1232663192659,4.94698016996395,-4.96684461350467,-15.0342465869009,5.46107628039796,-0.698610413528187,-4.94183984116389,3.6492454097259
"Weigela florida",-5.04645361052036,-16.0510515693181,6.16554997446878,-5.02262323323349,-15.0718636552179,5.14634462721447,-0.722162039569733,-5.01352945464347,3.64461307943684
"Weigela maximowiczii",-5.99341802421468,-15.3608882014732,3.4955831906379,-4.92021707375044,-15.2440695260355,5.49327359517818,-0.671187240263601,-4.88029738282151,3.65686827052682
"Heptacodium miconioides",-4.26756573113148,-15.7354088308077,7.37935912847988,-5.05101232607354,-14.9719899344601,4.94818146256592,-0.783442625989781,-5.20366134927629,3.75145281686743
"Symphoricarpos albus",-6.83623050029501,-16.4861485107648,2.7420386653918,-3.29473891633315,-8.34716382088376,1.96096230125517,-0.739449710151431,-5.01893749835463,3.60144046244945
"Lonicera maximowiczii",-4.60104384278868,-16.2004797634877,6.94133536809081,-5.00520134930435,-14.1461664380933,4.05661244587441,-0.711220491535311,-4.96343917436115,3.79721990370503
"Lonicera alpigena",-4.82529513537169,-16.1106522762679,6.79571229084873,-4.91210713290513,-14.2470953184795,4.31111685680795,-0.613278974442761,-4.86075968335022,3.78601905272806
"Lonicera canadensis",-4.55957100077544,-16.3409142853576,7.43842260666474,-5.47866443245642,-13.3040241893764,1.78902916980758,-0.874224432871789,-5.2825692771599,3.52762928072778
"Lonicera caerulea",-4.95633019073216,-17.4096474696596,7.30552653911984,-5.19192598468297,-14.4435992365423,3.79949627826686,-0.770214161234016,-5.21497195685998,3.85560356658925
"Eleutherococcus sieboldianus",-3.08069523813587,-12.868178808323,6.6729361687912,-5.50516179953831,-16.163501127807,5.22830481296222,-0.751277462708217,-5.07101206568295,3.57973356347574
"Eleutherococcus setchuenensis",-3.7425294067497,-15.0770290872961,7.71953874395273,-5.46748019318503,-16.2876505603409,5.55803337199419,-0.860825457884009,-5.3208064773536,3.71939536351923
"Eleutherococcus senticosus",-3.20104444056798,-12.7323818077753,6.71360904910553,-5.44854496654053,-16.3702754514138,5.48510563897883,-0.717318099196634,-4.89879605304364,3.72527097261823
"Ilex mucronata",-2.88199990872194,-10.5319773035079,4.87240821492653,-6.00475798900547,-12.2839046166014,0.164640606862489,-1.90528296709974,-6.17161984077955,2.24791932384739
"Rhododendron prinophyllum",-3.01888277153831,-14.990893388981,9.24610747444129,-11.1709904205573,-20.2585915227925,-2.67147232229637,-0.974160658594106,-5.49303862564239,3.69607031866495
"Rhododendron canadense",0.00349157336305178,-9.68712668719215,9.98847254734173,-10.1992480538835,-19.9297333969832,-0.405428295828151,-0.777208479317689,-4.93576990067075,3.72917839023057
"Rhododendron dauricum",-1.89598419550157,-13.2045529442994,9.95207965641257,-10.1486128426937,-20.04574661411,0.241582402024409,-0.660574477324257,-5.05210197730861,3.89119661548325
"Rhododendron mucronulatum",-2.53519160688217,-14.195299810758,9.05411564199028,-10.3754930155447,-20.076612655527,-0.538666917165045,-0.780127582603067,-5.24498134936479,3.88498276467361
"Kalmia angustifolia",-2.92610015543088,-14.9568724654621,9.56077035829477,-12.7967281578208,-21.3579555181871,-4.83434622208205,-1.52770803483332,-5.99734615276626,2.92985442435396
"Vaccinium myrtilloides",-1.68744315574351,-13.8878460602797,10.7661722492521,-9.51495576671281,-17.6105816811289,-1.70462568104939,-0.803736587961267,-5.17338582444929,3.86043641530897
"Lyonia ligustrina",-3.5561702423585,-15.9188834668864,9.13233026927835,-11.817989230509,-20.7188736182663,-3.04474701435311,-0.985360683278118,-5.56743554466179,3.76364715194492
"Nyssa sylvatica",-6.2231471860131,-19.0112185914089,6.7219151970761,-8.05170660167266,-17.7519799823604,1.30701741336728,-1.4387647732556,-6.01902388071319,3.15991697472963
"Cornus alba",-4.42978233509487,-14.3810398983527,5.63331281152239,2.7234731477704,-4.19076135043728,9.86262055277718,-1.48024777021849,-5.74558950376913,2.74449818987546
"Cornus kousa",-2.91730079725435,-12.9064427063572,6.77619959179713,-2.84435195627604,-12.9348688392827,7.21331267135575,-1.30498978754939,-5.76544914375214,3.01554808800622
"Cornus mas",-4.82738833619081,-14.8811314539201,5.24834131199551,-2.16954146146407,-8.45487982421107,4.40423323552249,-1.14696041455748,-5.50634695276513,3.2967022198914
"Hydrangea arborescens",-8.71811341978338,-18.612729993486,0.951083316701935,-5.10617687002018,-16.1328435326068,6.24580823033365,-0.905291345057194,-5.30207084532241,3.50105683896886
"Hydrangea involucrata",-8.38198211651526,-17.9186690663205,1.09666728359091,-5.18020073137209,-16.2425382582655,6.18267446567253,-0.956807343753496,-5.14080300175367,3.46075997735491
"Hydrangea serrata",-7.89767948241573,-19.3796058639699,3.7068564673006,-5.23804513775465,-16.5489226213267,6.04831500642453,-0.947060907071519,-5.30399501691623,3.43479452301947
"Deutzia gracilis",-5.33449873323903,-16.6995426211904,6.08815178090822,-5.43003700589849,-16.2012135603356,5.59849029882013,-0.871885711415813,-5.24191250086778,3.64982125959875
"Deutzia scabra",-3.8417548375464,-13.8048033786927,6.12655835638809,-5.29515508888043,-15.9978382896938,5.63476704328507,-0.868523279530906,-5.15850361943034,3.50221905475789
"Decaisnea fargesii",-8.07107731589764,-21.1226356467128,4.9452177917458,-6.01972591378935,-18.2582146351793,5.96482819966234,-1.05298895344109,-5.68244689053784,3.53987859115476
"Berberis dielsiana",-5.03309123282463,-18.2562957034157,8.40358949545458,-6.22569468350083,-18.113852309833,6.05798597347073,-0.983587775286242,-5.72404019512897,3.79550953082204
"Liriodendron tulipifera",-12.2349347152689,-26.0912813477461,1.05355967909379,-6.28333376883011,-18.5759596814723,5.92951630220962,-1.57196566348755,-6.32364308891263,3.20101810897156
"Acer pseudoplatanus",-10.5890423038444,-16.8735095640401,-4.06369497333817,-9.05654091762136,-12.1897142725571,-5.96274879683639,-1.30444492281382,-4.57715659856909,2.0546916725092
"Acer saccharinum",-7.95000044838261,-12.0457364307253,-3.92263886650914,-3.32705874777939,-10.9068215515235,4.46960308185885,-1.20379972691916,-5.57207662713735,3.06606775430792
"Acer rubrum",-15.8891755888129,-22.627370554174,-9.17472443039011,-0.340769004170401,-5.01321377268671,4.46336596220917,-0.424530424377718,-4.11472313835328,3.52741109996795
"Acer barbinerve",-9.87626092637217,-20.0601316189371,0.706072254862135,-4.0255128308112,-12.6470102284018,4.64481012804043,-1.18815569556579,-5.29118028988433,2.919535417309
"Acer negundo",-11.8765418345816,-21.1381976792555,-2.52112433625198,-2.88740791310101,-10.6629980823909,5.24300332324116,-1.30037339174066,-5.53849607094048,2.84599216085643
"Acer pensylvanicum",-9.41613278957666,-16.4521521475177,-2.3456068633222,-5.7983951070001,-11.6655395559823,-0.0441920337415294,-1.97315109189309,-5.94340202025229,1.82774478796976
"Acer platanoides",-10.345576954101,-19.3546517376108,-1.40522787164507,-3.76836753438533,-12.1794606873132,4.69274916864445,-1.21117982763776,-5.25086059797698,2.80111691811713
"Acer campestre",-11.2531898694263,-20.3819498624516,-2.26309866340229,-3.7144119937738,-12.1663268021355,5.08519971463578,-1.09835199927598,-5.09625942272852,3.04225574787093
"Acer tataricum",-9.04581604535163,-18.1021913222522,0.13909037799503,-2.60146770582397,-10.3982824654695,5.71421780802669,-1.18296443352992,-5.30706287725176,3.00816448238233
"Acer ginnala",-9.17638030012685,-19.8270276434548,1.22970274606083,-3.93325852143787,-12.3763952543474,4.92215337425573,-1.22340225027029,-5.43456890623911,3.04628023278601
"Amelanchier laevis",-5.12562415088085,-15.8036220246281,6.00653204653564,-5.87536199138717,-14.6287660552836,2.8520682386409,-0.905213811828716,-5.07563842012277,3.31244773706937
"Amelanchier florida",-6.0153844548447,-15.0533475013639,2.89388304897328,-5.85633271736455,-14.553909805696,3.06578447329901,-0.723287669026718,-4.73079850861839,3.36182133557418
"Buddleja davidii",-3.02833639994029,-15.3632816183798,9.46212624955055,-5.44709991311407,-15.846497653464,5.04393374149452,-0.748750892983224,-5.13149879217999,3.84312259932996
"Buddleja alternifolia",-2.78602267118971,-14.9114426680468,9.62404273039103,-5.44942963225084,-15.6943991853259,5.26482746964014,-0.829849083591104,-5.19473579826378,3.74768144646802
"Buddleja albiflora",-3.35342645919019,-15.3805508459878,8.65703597790993,-5.47579738690579,-16.4195747644182,4.90259456694868,-0.786437005053607,-5.21302642134257,3.9195868226192
"Celtis laevigata",-12.4659617139239,-22.4224509741039,-2.5981598538628,-7.60143634121201,-18.5145590826108,3.4667153343247,-1.59785229030537,-5.808539556547,2.64277023172891
"Celtis occidentalis",-7.70435773542502,-19.6494848264486,3.8888652818561,-7.48119889436191,-18.1836786861491,3.4263988527727,-1.40308851005908,-5.76769582314203,3.02917479379901
"Celtis caucasica",-10.8556102458099,-20.811445684344,-1.13002250197998,-7.53760850270434,-18.0706733313807,2.98003782996506,-1.294775285784,-5.59927242948863,3.02147020853516
"Cladrastis lutea",-9.69319815353707,-19.8770487378665,0.482039671025893,-4.68367970970984,-15.8279282693254,6.43107363317915,-1.93006080581002,-6.39833634351061,2.31974773275703
"Elaeagnus ebbingei",-7.93032458253175,-20.0425622129441,4.4352580947039,-8.2879804223779,-19.5225020422757,2.51509895862545,-1.09051084821878,-5.41594204464597,3.4033184506461
"Fagus crenata",-13.849032839068,-22.9638524534219,-4.60758229699459,-7.9355976144092,-16.5926915153256,0.622046482823625,-3.48604924009783,-8.02391410335716,1.2116640859475
"Fagus engleriana",-13.9427237909599,-22.9754337163707,-5.04446542333935,-7.92603522048335,-16.8816887440621,0.241529324260901,-3.38989458711513,-7.90257907616514,1.35877144945065
"Fagus grandifolia",-13.7676519446191,-21.0237828984474,-6.50054704691261,-8.83439496532732,-14.7715796644372,-2.88588430267669,-4.52307197605877,-8.87684401658625,-0.311394966329621
"Fagus orientalis",-16.3827999538328,-25.681170268402,-7.37891315489707,-8.06004416013255,-16.8850864717136,0.255179833640713,-3.9972547194377,-8.52304358384218,0.417546657585282
"Fagus sylvatica",-14.3094545925896,-15.894324957104,-12.7409102056847,-2.90779725848261,-4.92242040374146,-0.920414304477551,-9.3650939659322,-11.9072154577045,-6.71076029891876
"Fraxinus excelsior",-6.69537078224855,-15.4928699840192,1.96458466938384,-5.66148395146681,-13.5611520518596,1.69881993776434,-1.34218330315765,-5.5916615862087,2.76487130543663
"Fraxinus ornus",-11.4434287500356,-20.9679458835978,-2.68761195096102,-4.06764725711451,-12.5710338423826,4.70650955920787,-0.884942857675454,-4.98958607280493,3.28450794264135
"Fraxinus nigra",-6.30462045757274,-16.5298535149922,4.2657372241674,-7.89395191953058,-15.9791844879655,-0.640831339285117,-1.49051008834224,-5.8147292800039,2.63603767693176
"Fraxinus pennsylvanica",-4.76293528529503,-13.8082619197544,4.38084225187313,-4.04081276253705,-11.9001462993633,4.08152090609305,-1.05569201484062,-5.25106234947451,3.17833921198219
