"","phylo$tip.label"
"118","Cornus_mas"
"119","Hydrangea_arborescens"
"120","Hydrangea_involucrata"
"121","Hydrangea_serrata"
"122","Deutzia_gracilis"
"123","Deutzia_scabra"
"124","Decaisnea_fargesii"
"125","Berberis_dielsiana"
"126","Liriodendron_tulipifera"
"127","Acer_pseudoplatanus"
"128","Acer_saccharinum"
"129","Acer_rubrum"
"130","Acer_barbinerve"
"131","Acer_negundo"
"132","Acer_pensylvanicum"
"133","Acer_platanoides"
"134","Acer_campestre"
"135","Acer_tataricum"
"136","Acer_ginnala"
"137","Amelanchier_laevis"
"138","Amelanchier_florida"
"139","Buddleja_davidii"
"140","Buddleja_alternifolia"
"141","Buddleja_albiflora"
"142","Celtis_laevigata"
"143","Celtis_occidentalis"
"144","Celtis_caucasica"
"145","Cladrastis_lutea"
"146","Elaeagnus_ebbingei"
"147","Fagus_crenata"
"148","Fagus_engleriana"
"149","Fagus_grandifolia"
"150","Fagus_orientalis"
"151","Fagus_sylvatica"
"152","Fraxinus_excelsior"
"153","Fraxinus_ornus"
"154","Fraxinus_nigra"
"155","Fraxinus_pennsylvanica"
"156","Fraxinus_americana"
"157","Fraxinus_latifolia"
"158","Fraxinus_chinensis"
"159","Juglans_cinerea"
"160","Juglans_ailantifolia"
"161","Parrotiopsis_jaquemontiana"
"162","Pyrus_ussuriensis"
"163","Pyrus_elaeagnifolia"
"164","Quercus_faginea"
"165","Quercus_bicolor"
"166","Quercus_alba"
"167","Quercus_coccifera"
"168","Quercus_rubra"
"169","Quercus_ellipsoidalis"
"170","Quercus_velutina"
"171","Quercus_shumardii"
"172","Quercus_ilex"
"173","Quercus_petraea"
"174","Quercus_pubescens"
"175","Quercus_robur"
"176","Rhamnus_cathartica"
"177","Rhamnus_alpina"
"178","Rhamnus_frangula"
"179","Salix_gracilistyla"
"180","Salix_smithiana"
"181","Salix_repens"
"182","Sambucus_tigranii"
"183","Sambucus_pubens"
"184","Sorbus_aucuparia"
"185","Sorbus_torminalis"
"186","Sorbus_aria"
"187","Sorbus_decora"
"188","Sorbus_commixta"
"189","Spirea_alba"
"190","Stachyurus_praecox"
"191","Stachyurus_sinensis"
