"","indvarestchill","indvarlam0chill","indvarestforce","indvarlam0force","indvarestphoto","indvarlam0photo"
"Liquidambar_orientalis",6.86679886791472,7.04400444516903,7.46365047946742,6.72846071365151,2.95892768915523,2.95969191364525
"Cercidiphyllum_japonicum",7.82424980852806,8.48240588438325,7.62270883066005,6.78073850160853,3.07961233509666,2.89010763928581
"Cercidiphyllum_magnificum",6.87736276586173,7.07040085752011,7.70539922950574,6.93702580574539,2.89364796970203,2.82203340739735
"Parrotia_persica",8.50210264106842,8.53023787551884,7.18435666378515,7.0110177959155,2.94391174005418,2.93856604268477
"Paeonia_rockii",8.51634317252558,8.31598241427673,7.56288600616841,6.86279686351438,3.0710735907981,2.98764787595228
"Syringa_villosa",6.92043469657483,8.30912062912948,5.65840007822159,7.00885938110691,2.87058488211623,2.96167679388471
"Syringa_vulgaris",6.46293484853439,6.75818731398988,2.99491445878506,3.0897701060281,2.82173994112826,2.85394516881721
"Syringa_josikaea",6.97598041390264,8.57244585209559,5.64915370989565,6.73933074890737,2.87375052467743,2.96533749090346
"Syringa_reticulata",7.09335479394697,8.59377785912358,5.70029291070241,6.85454141265131,2.8268898442,2.83896409026889
"Ligustrum_tschonoskii",7.0069918151184,8.55510260348891,5.68825524567809,6.86537157053666,2.82128889967621,2.92680960514534
"Forsythia_ovata",7.37668128657968,8.56322838815788,6.19084406666078,6.78323793643783,2.86192625751083,2.89979136510805
"Forsythia_suspensa",6.53540299692277,6.82659448826848,6.21280964036506,6.84589961691522,2.80863522604602,2.89468744349784
"Cephalanthus_occidentalis",6.92744173568234,6.95836570990199,7.09857861329929,7.04539185609882,2.9803824349664,2.8610462083714
"Viburnum_buddleifolium",7.41048120565076,8.4110180416158,5.90533996753383,7.13086715685461,2.98497270968269,2.99964352889988
"Viburnum_carlesii",7.23114378918312,8.70089656704018,5.81150184947138,7.20488624042985,2.92027714889502,2.98372971438006
"Viburnum_cassinoides",4.91321876399013,5.24870511555417,4.00095932139653,4.17700295406276,2.62651237889365,2.74853597448842
"Viburnum_lantanoides",5.00207258350822,5.23664689753234,3.97531223566283,4.10733505634282,2.69893958516883,2.73448580109378
"Viburnum_plicatum",7.4200838742411,8.66907543693946,5.94208286703811,6.81197005347927,3.01177349147076,2.96121547276398
"Viburnum_opulus",6.38053772888744,6.92001875922418,6.02678901535734,6.88878798297802,2.82844568815457,2.85691548957708
"Viburnum_betulifolium",7.37044890144594,8.21132782419195,5.86744538192832,7.05970970224942,2.92678803046863,2.92747753606264
"Weigela_coraeensis",6.59741388289725,6.87924621308883,6.74107402815948,6.868610864468,2.87127328124622,3.01371988600899
"Weigela_florida",7.52881535318238,8.61781998613695,6.7111141416953,6.91112771423535,2.88245893015749,2.99428311480324
"Weigela_maximowiczii",6.48845947406272,6.92779544981442,6.77452056217986,6.73389775732389,2.79782161932266,3.01049798543059
"Heptacodium_miconioides",7.88403787509234,8.6991752526191,6.8063088410815,7.1744551594686,2.9358054470056,2.94705951246429
"Symphoricarpos_albus",6.5494553065819,6.79591860936437,3.55366515636313,3.62415985504979,2.91948264530657,2.92336901523457
"Lonicera_maximowiczii",7.71266936657001,8.16660011414405,5.99269421152313,6.91360892198423,2.93921524071989,2.88536411561753
"Lonicera_alpigena",7.74369631071328,8.4298867872335,6.10959309149933,7.10146577890052,2.90528856879948,2.95535600290952
"Lonicera_canadensis",7.90200809216336,8.68503835559564,5.17293631746376,5.4447099576467,3.04214743463664,2.91074356926545
"Lonicera_caerulea",8.14563495977226,9.16858484336835,5.97810061121885,6.87592780582667,2.99445458418425,2.95756699377773
"Eleutherococcus_sieboldianus",6.66523587244207,6.97106627953009,7.07596737681183,6.93632860829436,2.91290617543146,2.79745340258777
"Eleutherococcus_setchuenensis",7.59402491422548,8.5132000863792,7.19715766350113,6.93300020644358,2.94902147229746,2.98924110360208
"Eleutherococcus_senticosus",6.49668738521914,7.03292523920442,7.20565589345808,7.1291524859518,2.84666882445368,2.97002948605743
"Ilex_mucronata",5.09988238189635,5.10704862737408,4.31221241213845,4.27076147746979,2.87151851197186,2.76046309648877
"Rhododendron_prinophyllum",7.93625913390697,8.67512625131811,5.89595934031041,5.98134786123151,2.97781144111517,2.98923365083549
"Rhododendron_canadense",6.74960815057635,7.10250245426158,6.59046142806551,6.82000845260845,2.85923076730374,2.87909148271341
"Rhododendron_dauricum",8.06636179088515,8.27557463350887,6.50617874981761,7.01843127088506,2.93799479380207,2.9974914687366
"Rhododendron_mucronulatum",8.12680467455846,8.60905501658748,6.54733353628307,7.22317006984426,3.03138019647813,2.92489706086034
"Kalmia_angustifolia",8.23684429364655,8.81508412057706,5.64270547865005,5.80326901991681,2.9764827165755,3.05722362330529
"Vaccinium_myrtilloides",8.25017980525298,8.56081706592788,5.46115776021113,5.48463862046401,2.9368641961748,2.89203339576113
"Lyonia_ligustrina",8.21125883158732,8.84643974908409,6.19264937263484,6.19561304318691,3.14455073063187,3.12508768843878
"Nyssa_sylvatica",8.55161513416609,8.7320492872739,6.38490508344859,6.18363102452982,3.0317073037753,3.01375079139717
"Cornus_alba",6.70175297204045,6.77842357996116,4.89342079040537,5.00884028508873,2.76582114905106,2.79839697871698
"Cornus_kousa",6.80621379978449,6.954247676063,6.91997153454617,7.05983517270302,2.90586583323994,2.92918405134734
"Cornus_mas",6.8582828809347,7.2139905945313,4.43461313162627,4.27184298230166,2.95441847458351,2.88914069817436
"Hydrangea_arborescens",6.50898777557641,7.03064233460232,7.426140925198,7.00796659645537,2.90356212318371,2.87963683822141
"Hydrangea_involucrata",6.51626096249909,6.97449204405626,7.43919297956605,7.08567946707341,2.8835623391337,2.93138378161343
"Hydrangea_serrata",7.99928249690857,8.42852593148601,7.42898481472286,6.99792531135233,2.97028424934469,2.92574854908031
"Deutzia_gracilis",7.8814421180251,8.34869616083922,7.5620644416999,6.84946430544198,2.93177730312853,2.91804771231504
"Deutzia_scabra",6.85192386897681,6.96082815443696,7.44048660163611,6.82839785639801,2.92886085675887,2.99832961978513
"Decaisnea_fargesii",8.78990445326085,8.65515555405674,7.81857575815511,6.96502320589423,3.06844700255993,2.96724386917821
"Berberis_dielsiana",8.89786195216443,8.3782807414107,7.91179141944799,7.17546842967083,3.25577153841779,2.94253660682899
"Liriodendron_tulipifera",9.10524907348398,8.28600788485042,7.99558127506717,7.03515836331346,3.09397195504026,2.91500441170255
"Acer_pseudoplatanus",4.460897573253,4.66475527987767,2.12815653337016,2.14156832050521,2.30692266490803,2.48259189527857
"Acer_saccharinum",2.63012814793416,2.78565879466619,5.15859082639643,6.13880830594128,2.90864429549439,3.05204632661487
"Acer_rubrum",4.62918467248707,4.92961121152796,3.25092514728276,3.26817993686845,2.58172305400424,2.6935933385285
"Acer_barbinerve",7.05359746301264,8.61986104433055,5.75349581153997,6.9704922530067,2.71882346806322,2.97855300479977
"Acer_negundo",6.37023041723058,7.19039906745645,5.13670421335484,6.34250610440517,2.83779880855654,2.97685690391259
"Acer_pensylvanicum",4.93021065873877,5.05490903640714,3.85210663550563,4.11199394750606,2.64865255244348,2.71794033251461
"Acer_platanoides",6.14827018844689,6.97271695734682,5.61772112196598,6.90027708107045,2.7519498833045,2.88831313538063
"Acer_campestre",6.16963070571384,7.07985369707241,5.70832819712812,6.99511842147348,2.68256147231402,2.88102479508357
"Acer_tataricum",6.35132146918932,7.19197021793228,5.26054008458874,6.52114085238206,2.76618085518381,2.89510154170831
"Acer_ginnala",7.12744338081721,8.32392437137836,5.64742875808782,7.25880346493655,2.81530473470435,2.94120956918873
"Amelanchier_laevis",7.41023720843801,8.91144048480296,5.79353574808736,6.9691051790469,2.79655507811046,3.06051019250339
"Amelanchier_florida",5.92211009459012,6.81282770299907,5.82415373800409,6.80646328447965,2.69916927708155,2.90415246671511
"Buddleja_davidii",8.20610116115447,8.53360039509706,7.09342218106462,7.10350887507959,3.00365252362016,2.9824762157416
"Buddleja_alternifolia",8.14920347560783,8.5719610582641,7.03381211153744,6.78007450150226,2.96337305600469,2.99095083102098
"Buddleja_albiflora",8.07287251753102,8.56648146383247,7.22516391778643,6.97555113160491,2.98389730887753,2.96298192564471
"Celtis_laevigata",6.69971655063846,7.03761222414493,7.12261258008077,6.88256607644932,2.84772120684439,2.90050091929135
"Celtis_occidentalis",7.91158026640597,8.65574558361297,7.04996464790959,6.88714232462706,2.84079634500242,3.00123750556689
"Celtis_caucasica",6.86211769139433,7.06875610640792,7.16170223059217,6.72841862373242,2.89922676807851,2.97831382254781
"Cladrastis_lutea",7.02350691598913,6.98237059111007,7.38953809386128,7.02908817585775,2.86103789299003,2.90718445868245
"Elaeagnus_ebbingei",8.28367601700585,8.3511851580101,7.07000154287972,7.0846376031624,2.91098962257471,2.93549639479471
"Fagus_crenata",6.1107321485256,6.99115861522899,5.68101759715375,7.02416954322616,3.20677603721884,2.88942670580407
"Fagus_engleriana",6.28610087141607,6.84079578250126,5.59056099070386,6.87163168184371,3.23408116912457,2.88082091452983
"Fagus_grandifolia",4.8742342284539,5.4097644794099,4.07566854978991,4.27853819105389,2.95841402314789,2.90999677479056
"Fagus_orientalis",6.19092036116017,7.10754330979648,5.55443547512363,7.01497838947161,3.07631155487244,2.916150121437
"Fagus_sylvatica",1.08036187781934,1.07473176713568,1.392897584904,1.40737744968922,1.74702269425724,1.7130130332978
"Fraxinus_excelsior",5.89402242753075,7.01593645712997,5.01294134317263,6.01943474223545,2.77964062431435,2.79855449476383
"Fraxinus_ornus",6.41108403506904,6.98820193020009,5.56159702118047,6.97247749098858,2.75573472648536,2.92836632340198
"Fraxinus_nigra",7.18045382022138,8.83034222898649,5.22127455358421,5.69151206462535,2.78744502744038,3.00696665998942
"Fraxinus_pennsylvanica",6.07490250664357,6.91136358526103,5.23697880247079,6.39154974675638,2.73073681086516,2.89517649188146
"Fraxinus_americana",3.00797816416623,3.1042737565485,5.11689394456797,6.22384681748013,2.94638201713766,3.07540418942464
"Fraxinus_latifolia",6.09591546742549,7.00733038980979,5.56514352134498,7.02309923661875,2.82210608977715,3.03790461787401
"Fraxinus_chinensis",6.05261905126371,7.25636307720677,5.39586366538502,6.1766020732793,2.74404690405141,2.91992101433933
"Juglans_cinerea",6.82943625159603,7.23967434756232,6.43433309470423,6.31061601560778,2.90267264297514,2.88206055123003
"Juglans_ailantifolia",6.52995285643677,7.12037456409682,6.47989506184417,6.1724487296201,2.85224304979812,2.81975271043533
"Parrotiopsis_jaquemontiana",6.82442090721084,7.2180135162374,7.43884099783713,6.9555979279178,2.87147399923001,2.88819158477422
"Pyrus_ussuriensis",6.85157273760659,8.74806553472502,5.55585195330345,6.88047935662595,2.71305118881491,2.95500385809787
"Pyrus_elaeagnifolia",6.10150438688631,6.99371793631754,5.69281000541171,7.10165650116326,2.59512867311083,2.82586937763587
"Quercus_faginea",6.95040218114043,9.2985254213066,3.87763392064397,4.56993890296073,2.82571412388634,3.06765764332058
"Quercus_bicolor",6.05307556764413,6.98074397078511,5.03915637619676,6.35282808481528,2.71861639875608,2.90458885081232
"Quercus_alba",6.98077946104434,8.69742722575371,4.51769773160487,6.16425430310358,2.7010525516119,3.05431952441412
"Quercus_coccifera",7.08871847637175,9.03214001337405,4.73442960547549,6.63762502520616,2.85321508324144,3.0129941880839
"Quercus_rubra",4.0489977300807,4.393872542524,2.51672990346659,2.70722411725006,2.44030256995478,2.6458668950636
"Quercus_ellipsoidalis",6.42345184983254,7.70490813015947,4.67665735151482,6.48076582376325,2.82238072403571,3.0417020692985
"Quercus_velutina",7.05023639648028,8.83858254038209,4.45696978224033,6.25696891116964,2.71695645596548,2.96100034113945
"Quercus_shumardii",5.91394829356095,6.9027994098929,4.89439660503089,6.89159988641036,2.7005932940833,2.80799792273352
"Quercus_ilex",7.09895745634902,8.96888704162321,4.25667584096697,4.62618208178204,2.78922419964997,2.98131853978795
"Quercus_petraea",4.21036152822821,4.66180964542334,2.36098329666074,2.54457880124548,2.63623264234875,2.83833788412416
"Quercus_pubescens",7.1485765577851,8.99829138849766,5.02652091258584,6.9088426907623,2.91291282455081,3.12969812276164
"Quercus_robur",4.42452722045662,4.69540249393311,2.53468207641452,2.72356918329694,2.76939189407884,2.4895827347811
"Rhamnus_cathartica",5.30502907444133,5.34640635598363,6.57501545816583,6.50893954856772,2.75713798361919,2.85096229660714
"Rhamnus_alpina",6.5111832882506,6.98279228251097,6.90490814553838,6.9017295365172,2.92174152454216,3.02190297098855
"Rhamnus_frangula",8.06773470925293,8.92280302251552,6.23702224927497,5.98118944362635,2.98950384945974,3.04397386828401
"Salix_gracilistyla",7.59324985709945,8.43224875588363,6.07092236073185,6.93173764169781,2.89669136368101,2.9688521260363
"Salix_smithiana",4.25878298274207,4.43511318130507,3.8613395794202,3.88955935515931,2.74456715245508,2.93755186202931
"Salix_repens",6.47449046283143,7.13098239537445,6.1161190613729,6.86071712518505,2.85806677407602,2.85449500213397
"Sambucus_tigranii",8.17118584782942,8.37027530309265,6.79033903532995,6.81744197847847,2.93952902343779,2.93349876660522
"Sambucus_pubens",7.9345221485356,8.29002975243047,7.04418205699849,7.16137988189787,2.92008549832028,2.9196266640877
"Sorbus_aucuparia",6.67904282254711,8.09850296761738,3.12941609456543,3.47511850428632,2.30816627008082,2.49174410523684
"Sorbus_torminalis",6.01628035093834,6.96923312789525,5.52329029927176,6.78511241345521,2.47486533843254,2.66858576402908
"Sorbus_aria",6.0853310542674,7.12837102891897,5.51450347395695,6.93585386183963,2.64490614894345,2.81967421163948
"Sorbus_decora",5.89285845208871,7.02884352715981,5.51542557833412,6.6852779360827,2.72417397699871,2.94602713672694
"Sorbus_commixta",6.18053295084735,6.93433617213671,5.64630061944358,6.76994297807799,2.71693822707272,2.87986639771233
"Spirea_alba",8.38477507180326,8.7397065156025,5.76402465867147,5.6296183321591,3.00956235754466,2.90152574044496
"Stachyurus_praecox",8.24456392402422,8.41040269616265,7.35410099506121,6.69314461617007,3.03821209943188,2.97048019442838
"Stachyurus_sinensis",7.41538187453296,7.06209393747765,7.59579164192388,7.11545480910587,3.02821883200812,2.89998670779612
