"","cueforce","cueforce0","cuechill","cuechill0","cuephoto","cuephoto0"
"Rosa_hugonis",-7.23456321106688,-7.47597191009093,-6.88421891699008,-8.23651894564411,-1.02639758515961,-1.0097223797717
"Aronia_melanocarpa",-5.07044981394003,-5.30160068123125,-2.3843840923258,-2.25669167971571,-0.74198249802532,-1.0050026155222
"Photinia_villosa",-5.86178014865608,-7.29494460335094,-2.91567369467195,-3.68879849713788,-0.762325451504774,-0.991435499796029
"Spiraea_japonica",-6.65852157475148,-7.23174260349288,-3.73964365833643,-5.62127195923364,-0.708721203573408,-0.90447171211814
"Spiraea_chamaedryfolia",-6.71896065553692,-7.34683874938635,-4.02321129383684,-6.08427030803782,-0.726748676863503,-0.90248748422569
"Spiraea_canescens",-6.7811973481251,-7.51502455093959,-5.15803244022771,-8.76773922447312,-0.793635597973851,-1.04688629936785
"Prunus_tenella",-7.19220034499269,-7.49742987294331,-3.88890369807896,-6.67936271644599,-0.93199853814601,-1.10995376131785
"Prunus_serrulata",-7.07527618150735,-7.26025144335445,-4.62517500854809,-8.11271983612532,-0.781636497446393,-0.936854742373469
"Prunus_pensylvanica",-7.01336581752301,-6.83494948063323,-3.85276460071184,-6.30868031808707,-0.906877363024892,-1.14233947329541
"Prunus_serotina",-6.26122149031695,-5.49455495581373,-7.40079378372121,-10.5834495527695,-0.833723961484163,-1.08651868359736
"Prunus_padus",-10.4376980074892,-10.8097503264765,-1.76479847193268,-2.16988385001635,-0.956594233144176,-1.02341868192927
"Prinsepia_uniflora",-6.96559653970985,-7.61781413614606,-5.04172586578848,-7.79756742346657,-0.722985367521511,-0.955107669237729
"Prinsepia_sinensis",-7.03055616807099,-7.72880923142522,-5.06887151873912,-8.07531470541922,-0.795168682906203,-1.03336693162014
"Oemleria_cerasiformis",-6.83565209065051,-7.38227018403195,-4.93430245999787,-7.70509732119227,-0.750486648951979,-0.894288611590652
"Ulmus_minor",-10.3933799297087,-9.98892733755715,-16.2018509676916,-15.631350674074,-2.573002373397,-2.53045833073403
"Ulmus_glabra",-10.2464009117006,-8.22892092513508,-18.6053919855172,-17.9456715934492,-1.48537237629586,-0.947418823823285
"Ulmus_macrocarpa",-10.5074519895859,-8.41013725852633,-17.0809710109624,-16.0443912185492,-1.49258589191576,-0.98284900842667
"Ulmus_pumila",-10.6756696455371,-10.2280019667477,-12.4809370981511,-11.4901135627396,-1.8137545943641,-1.41526264544052
"Ulmus_parvifolia",-9.41661235524225,-8.70278761085573,-15.5850585704673,-15.0555971977585,-2.39228532501721,-2.25559046079172
"Ulmus_laevis",-9.62919567275844,-7.0310663577448,-16.264790779837,-14.8536365532967,-1.63988846459278,-1.08553846065963
"Ulmus_americana",-9.81103774760216,-7.252411467911,-13.5254208545206,-10.016628140708,-1.58602830717142,-1.0797670877187
"Ulmus_villosa",-11.9152460587367,-11.9324329797737,-15.743817545375,-15.1710705766169,-1.93519189008113,-1.64106131694007
"Caragana_pygmaea",-4.35615843097677,-7.62007257286237,-5.09086522305013,-6.7064333826169,-1.14016478975627,-1.00301179213423
"Robinia_pseudoacacia",-0.160160582661554,-0.601204805410632,-5.49071804943441,-6.86080547157233,-0.976870644044535,-0.745078742656186
"Amorpha_fruticosa",-3.87502085760455,-6.49360909513121,-1.97566101382343,-2.88044967992282,-1.03526394947053,-0.886897741833691
"Cercis_chinensis",-5.45380632320761,-7.5951022965316,-0.910283143962789,-1.56288599820887,-1.86007007433768,-1.74056873429996
"Cercis_canadensis",-5.14795017002205,-7.04656979744808,-4.0211514633466,-6.5795557409346,-1.45015362562726,-1.16444864978821
"Tilia_japonica",-8.0340355698765,-7.27400581129805,-2.93424345257895,-4.13163818298208,-1.25854863802612,-0.920834713543401
"Tilia_cordata",-9.90702264801671,-10.1402208513856,-3.69943263083999,-4.07027281080998,-2.54895921447419,-2.79602886260813
"Tilia_dasystyla",-7.94806260737807,-7.08101537206243,-7.53437116424769,-11.9449036670603,-1.2835097012371,-0.969367739725121
"Tilia_platyphyllos",-7.94755609127665,-7.15492265084863,-4.29949288738888,-6.54275297827888,-1.26512390333634,-0.947183996352824
"Hibiscus_syriacus",-7.49655764564242,-7.25970457331874,0.00817251816181959,-0.591959771097839,-1.25669777164426,-1.01005278556624
"Aesculus_flava",-1.48946717373163,-6.63532151849236,-14.8988310085877,-16.4921116685726,-1.45415680875052,-1.19212850680293
"Aesculus_parviflora",-2.00233295720725,-7.7222942644833,-12.6328941761128,-12.4877162716019,-1.99801484466615,-2.0303011610194
"Aesculus_hippocastanum",1.57117841171118,0.380078703656156,-8.32658044704963,-6.13321525688951,-1.33006632947835,-1.15325584815569
"Toona_sinensis",-4.78087712292323,-7.24724669803228,-3.76859701464932,-4.10039151872652,-1.31052507367507,-1.16687946416834
"Orixa_japonica",-4.75066733047396,-7.19251466536559,-5.75916243128171,-6.49666305199452,-1.21360006162424,-1.13257203358416
"Ptelea_trifoliata",-4.60093579624146,-7.17995346876356,-4.44465229109634,-5.0983448219028,-1.2299582594681,-1.13301130393451
"Ribes_divaricatum",-6.56679663133013,-7.56996471074096,-11.4365464860981,-13.6706609459049,-1.25173647627236,-1.33942520921965
"Ribes_glaciale",-6.6852207840139,-7.51755198334837,-7.39056445644442,-6.68130494357945,-0.964417905515882,-0.92729844907988
"Ribes_alpinum",-6.65089568146778,-7.55144912396798,-9.59521374802466,-10.1701754961694,-1.07175523042941,-1.09164200249876
"Hamamelis_virginiana",-9.99187112535543,-10.9053692810325,-8.18604262203796,-8.61241862513498,-1.60039556803289,-1.71408044465067
"Hamamelis_vernalis",-7.46281967568114,-6.98404197676831,-12.7525653128832,-14.5893517567998,-1.07612060540696,-0.985145708922811
"Hamamelis_japonica",-7.47358049176294,-7.26611322257657,-8.80646621973729,-9.15094840061331,-1.11196069387368,-1.05810701071479
"Sinowilsonia_henryi",-7.03113714182881,-7.49343804320011,-4.8995193075207,-5.23997015538694,-1.22176552779541,-1.18070762131903
"Corylopsis_sinensis",-7.10074946713339,-7.55323541440236,-7.55859923738115,-8.51239622825417,-1.33018494683427,-1.28219169463106
"Corylopsis_spicata",-7.06068907380076,-7.43495073995487,-7.90744532542167,-9.18147324867333,-1.41810707923374,-1.39436817771269
"Liquidambar_styraciflua",-6.68010514478765,-7.32522118591201,-7.91140963906309,-11.0367458982747,-1.51137417543653,-1.53227690037381
"Liquidambar_orientalis",-6.80762685309082,-7.4991222377583,-2.26729280315637,-1.34726843197588,-1.21099982577919,-1.09814275398722
"Cercidiphyllum_japonicum",-6.64549821135395,-7.36792055506815,-9.1911536546469,-9.68426659820182,-1.2444616418189,-1.21407079413401
"Cercidiphyllum_magnificum",-6.57936109193937,-7.40075330510218,-9.90582358610265,-10.6461425560355,-1.29582643166587,-1.2603295244913
"Parrotia_persica",-6.62295383730608,-7.29096390872653,-8.06054490314002,-9.3858300778271,-1.00503676982573,-0.963050358144621
"Paeonia_rockii",-6.62751188844741,-7.49540287572294,-6.414877589178,-7.59059879413083,-1.1689127988212,-1.10653800490011
"Syringa_villosa",-4.16528128541571,-7.55997442735733,-5.04218647102281,-7.83191175858668,-0.888971692778673,-0.956047124019047
"Syringa_vulgaris",-1.79072189629698,-1.65346024525778,-4.5481199112575,-6.29794337445919,-0.933111160186468,-1.1016964305784
"Syringa_josikaea",-4.06826502383265,-7.45187580080777,-4.33533661679386,-6.59617129310689,-0.962138557011887,-1.05702180865932
"Syringa_reticulata",-4.12094356053838,-7.39065650216823,-4.5139313521624,-6.88642549778344,-0.878492864131524,-0.987194561803906
"Ligustrum_tschonoskii",-4.12613415354154,-7.60223536924562,-4.45390419490267,-6.62717220405021,-0.875030871822069,-0.970795914031417
"Forsythia_ovata",-4.68002179243626,-7.44359122154393,-4.33528090988164,-6.77138572638166,-0.881377609301602,-1.04671609120444
"Forsythia_suspensa",-4.72801504317254,-7.34774868316573,-4.40428255814419,-6.11756810435228,-0.826871516072015,-0.905209968657403
"Cephalanthus_occidentalis",-5.37277493769583,-7.23976771939953,-2.37772936184928,-4.95831075609009,-1.11459723233877,-1.19631128420384
"Viburnum_buddleifolium",-4.74771432876396,-6.42351177994647,-10.2606223407346,-14.5366108466533,-0.232221383467721,-0.327096819759827
"Viburnum_carlesii",-5.33422182206361,-7.50566938136057,-7.52611834587129,-8.95283710627371,-0.860249057451705,-1.24192526523433
"Viburnum_cassinoides",-4.63082263950822,-5.16942213020858,-4.05787184923608,-3.71327982754335,-1.07040085920455,-1.46547575292903
"Viburnum_lantanoides",-7.0428467080641,-8.47235795988774,-8.43227004294417,-9.24445403617141,-1.26843324627606,-1.60793202857787
"Viburnum_plicatum",-5.00197845883606,-6.77834779814354,-9.13323370889017,-12.203282936349,-0.494237127843167,-0.67658646169545
"Viburnum_opulus",-5.27131385720666,-7.13479164242478,-6.19532084883327,-6.92330347938352,-0.80337772869628,-1.06805081283864
"Viburnum_betulifolium",-5.35151386452009,-7.35088000262136,-7.77735700590863,-9.66685632236761,-0.990084706525298,-1.34653963542963
"Weigela_coraeensis",-4.96684461350467,-7.2796462939883,-4.54677999615881,-6.5583561637339,-0.698610413528187,-0.966450933804859
"Weigela_florida",-5.02262323323349,-7.44391866439286,-5.04645361052036,-7.67530910740115,-0.722162039569733,-1.02454014079425
"Weigela_maximowiczii",-4.92021707375044,-7.17264894072708,-5.99341802421468,-8.92122853209439,-0.671187240263601,-0.930048370113377
"Heptacodium_miconioides",-5.05101232607354,-7.43118805364442,-4.26756573113148,-6.81704528691451,-0.783442625989781,-1.05716239923178
"Symphoricarpos_albus",-3.29473891633315,-3.20526337977428,-6.83623050029501,-9.52379230679808,-0.739449710151431,-0.987057186438742
"Lonicera_maximowiczii",-5.00520134930435,-7.67956722278837,-4.60104384278868,-7.39385759621588,-0.711220491535311,-0.988027176301522
"Lonicera_alpigena",-4.91210713290513,-7.44099483103146,-4.82529513537169,-7.7848969397771,-0.613278974442761,-0.908323682169652
"Lonicera_canadensis",-5.47866443245642,-6.98116451510192,-4.55957100077544,-5.92534273734041,-0.874224432871789,-1.09510923861392
"Lonicera_caerulea",-5.19192598468297,-7.69020559722978,-4.95633019073216,-8.21273744484563,-0.770214161234016,-1.07034114683757
"Eleutherococcus_sieboldianus",-5.50516179953831,-7.37915166128408,-3.08069523813587,-5.41084605044755,-0.751277462708217,-0.927426553514849
"Eleutherococcus_setchuenensis",-5.46748019318503,-7.35482448850149,-3.7425294067497,-7.56626079202417,-0.860825457884009,-1.10723357202633
"Eleutherococcus_senticosus",-5.44854496654053,-7.28363156656415,-3.20104444056798,-5.49425518350989,-0.717318099196634,-0.846454776674391
"Ilex_mucronata",-6.00475798900547,-6.56047839999439,-2.88199990872194,-3.7877281873916,-1.90528296709974,-1.95193632006438
"Rhododendron_prinophyllum",-11.1709904205573,-9.26237343936469,-3.01888277153831,-8.09134304973019,-0.974160658594106,-1.15428325739694
"Rhododendron_canadense",-10.1992480538835,-7.22676869467667,0.00349157336305178,-2.61756955035534,-0.777208479317689,-0.972152943244416
"Rhododendron_dauricum",-10.1486128426937,-7.18897657233321,-1.89598419550157,-6.80015853983241,-0.660574477324257,-0.775949692481104
"Rhododendron_mucronulatum",-10.3754930155447,-7.53695820987453,-2.53519160688217,-7.40044543859352,-0.780127582603067,-0.928130948849898
"Kalmia_angustifolia",-12.7967281578208,-12.1100046798724,-2.92610015543088,-7.31971715352697,-1.52770803483332,-1.87620145468845
"Vaccinium_myrtilloides",-9.51495576671281,-7.40970543724203,-1.68744315574351,-5.9837031702912,-0.803736587961267,-0.956680657238997
"Lyonia_ligustrina",-11.817989230509,-10.4293083500736,-3.5561702423585,-8.14720749579499,-0.985360683278118,-1.1346511652128
"Nyssa_sylvatica",-8.05170660167266,-9.52111783731298,-6.2231471860131,-8.30527338759983,-1.4387647732556,-1.39212481530591
"Cornus_alba",2.7234731477704,1.91761771827644,-4.42978233509487,-6.40612967036771,-1.48024777021849,-1.52510709929334
"Cornus_kousa",-2.84435195627604,-7.38582583035777,-2.91730079725435,-4.68030691623674,-1.30498978754939,-1.22769185232023
"Cornus_mas",-2.16954146146407,-3.76909262499244,-4.82738833619081,-6.61402556695468,-1.14696041455748,-1.00340937221879
"Hydrangea_arborescens",-5.10617687002018,-7.14074475608115,-8.71811341978338,-10.5824713534561,-0.905291345057194,-0.997614272951987
"Hydrangea_involucrata",-5.18020073137209,-7.3426555738263,-8.38198211651526,-10.1505872717672,-0.956807343753496,-1.09291613442459
"Hydrangea_serrata",-5.23804513775465,-7.39719188787492,-7.89767948241573,-9.89149810750426,-0.947060907071519,-1.04958887479118
"Deutzia_gracilis",-5.43003700589849,-7.49907409927975,-5.33449873323903,-7.59891469630704,-0.871885711415813,-0.969192615418247
"Deutzia_scabra",-5.29515508888043,-7.38227481010871,-3.8417548375464,-5.07069127777464,-0.868523279530906,-0.962197465495236
"Decaisnea_fargesii",-6.01972591378935,-7.29453269938201,-8.07107731589764,-9.88242930554217,-1.05298895344109,-1.04063650830844
"Berberis_dielsiana",-6.22569468350083,-7.54747362633272,-5.03309123282463,-6.58895815980936,-0.983587775286242,-1.03313411939345
"Liriodendron_tulipifera",-6.28333376883011,-7.47575709898141,-12.2349347152689,-13.6354421238007,-1.57196566348755,-1.53992019163819
"Acer_pseudoplatanus",-9.05654091762136,-9.89423878280774,-10.5890423038444,-9.69663347657823,-1.30444492281382,-1.03712153873965
"Acer_saccharinum",-3.32705874777939,-5.91820100414914,-7.95000044838261,-7.58880857525539,-1.20379972691916,-1.10329391001807
"Acer_rubrum",-0.340769004170401,-0.56764390981694,-15.8891755888129,-16.7188430212781,-0.424530424377718,-0.108054060979575
"Acer_barbinerve",-4.0255128308112,-7.4952410336691,-9.87626092637217,-8.41455668874137,-1.18815569556579,-1.09240169170284
"Acer_negundo",-2.88740791310101,-5.75262284602072,-11.8765418345816,-11.7365525259082,-1.30037339174066,-1.25391443009252
"Acer_pensylvanicum",-5.7983951070001,-7.87342564551069,-9.41613278957666,-8.86962631892538,-1.97315109189309,-2.05894808342941
"Acer_platanoides",-3.76836753438533,-7.15772750251124,-10.345576954101,-9.84414884541827,-1.21117982763776,-1.07730430753898
"Acer_campestre",-3.7144119937738,-7.11170464351086,-11.2531898694263,-10.9720301855336,-1.09835199927598,-0.950473541526045
"Acer_tataricum",-2.60146770582397,-5.40056514300135,-9.04581604535163,-7.78780351588391,-1.18296443352992,-1.15076465989023
"Acer_ginnala",-3.93325852143787,-7.48815611096945,-9.17638030012685,-7.24292286387338,-1.22340225027029,-1.12162977617762
"Amelanchier_laevis",-5.87536199138717,-7.37364962739231,-5.12562415088085,-8.10125142256079,-0.905213811828716,-1.2006783332168
"Amelanchier_florida",-5.85633271736455,-7.19396857081745,-6.0153844548447,-8.42165554953371,-0.723287669026718,-0.979784088887687
"Buddleja_davidii",-5.44709991311407,-7.43820936201495,-3.02833639994029,-6.62786058372992,-0.748750892983224,-0.888989689248941
"Buddleja_alternifolia",-5.44942963225084,-7.49815603273416,-2.78602267118971,-6.13901086942062,-0.829849083591104,-0.987624404206289
"Buddleja_albiflora",-5.47579738690579,-7.56756174508309,-3.35342645919019,-6.93580441309123,-0.786437005053607,-0.921577993481433
"Celtis_laevigata",-7.60143634121201,-7.2323798185395,-12.4659617139239,-12.7773405885235,-1.59785229030537,-1.46643508080342
"Celtis_occidentalis",-7.48119889436191,-7.08666330378078,-7.70435773542502,-6.20740822393399,-1.40308851005908,-1.25812224554523
"Celtis_caucasica",-7.53760850270434,-7.12543185989275,-10.8556102458099,-10.467467214251,-1.294775285784,-1.10328580082411
"Cladrastis_lutea",-4.68367970970984,-7.48683079920069,-9.69319815353707,-12.1354690878676,-1.93006080581002,-1.8656653173523
"Elaeagnus_ebbingei",-8.2879804223779,-7.59163889087551,-7.93032458253175,-7.84130019066412,-1.09051084821878,-0.936363645995885
"Fagus_crenata",-7.9355976144092,-7.45534896445186,-13.849032839068,-9.96032559868479,-3.48604924009783,-1.38830286830222
"Fagus_engleriana",-7.92603522048335,-7.3014684952347,-13.9427237909599,-10.082792320782,-3.38989458711513,-1.28747760612406
"Fagus_grandifolia",-8.83439496532732,-9.7179994359183,-13.7676519446191,-12.3509618624811,-4.52307197605877,-3.13763640924455
"Fagus_orientalis",-8.06004416013255,-7.67036960036461,-16.3827999538328,-14.0460804770861,-3.9972547194377,-2.11769956766608
"Fagus_sylvatica",-2.90779725848261,-2.65186313800528,-14.3094545925896,-14.2121370071494,-9.3650939659322,-9.50814317205301
"Fraxinus_excelsior",-5.66148395146681,-8.53787529538049,-6.69537078224855,-8.32143774793235,-1.34218330315765,-1.53665944427831
"Fraxinus_ornus",-4.06764725711451,-6.18859617671848,-11.4434287500356,-16.6861084116869,-0.884942857675454,-0.789920303911073
"Fraxinus_nigra",-7.89395191953058,-11.8131508715509,-6.30462045757274,-8.33397335436399,-1.49051008834224,-1.66026863808879
"Fraxinus_pennsylvanica",-4.04081276253705,-6.09202680123033,-4.76293528529503,-5.36704988466416,-1.05569201484062,-1.14258745696368
"Fraxinus_americana",-3.86866443385563,-5.47545357992168,-7.22829816777452,-7.61001929736415,-0.976337952076184,-1.11050251849512
"Fraxinus_latifolia",-4.62935546083633,-7.26466534915337,-7.65678176523712,-10.5377612397573,-1.44894427956282,-1.68340688367128
"Fraxinus_chinensis",-4.4009269494047,-6.58680870834465,-5.94403524017869,-7.27251023986744,-0.94819208993358,-0.977327587881897
"Juglans_cinerea",-2.91446597093904,-6.48977410534126,-11.1078922794395,-8.76345542962695,-1.45156409507577,-1.04597773674034
"Juglans_ailantifolia",-2.8520484617837,-6.42495079584197,-11.6103721455773,-9.49467222384678,-1.5108459918502,-1.1705319997145
"Parrotiopsis_jaquemontiana",-7.40424936884548,-7.37405410025617,-5.8342183834838,-5.60810448153971,-1.11363432576252,-1.06318234229077
"Pyrus_ussuriensis",-5.98110585134865,-7.49860572867678,-6.04912728535158,-8.4871707883613,-0.734589094819557,-1.01169126641487
"Pyrus_elaeagnifolia",-5.85448448230344,-7.2788565932931,-6.91804868609334,-9.47954122816209,-0.802876997677355,-1.0726951765517
"Quercus_faginea",-12.8586477189162,-11.029461271239,-20.9889807837455,-18.4706501249384,-3.69200202233583,-3.10857647947613
"Quercus_bicolor",-9.69051224243224,-6.41716022157039,-15.081475571753,-8.93535208191195,-2.3105359720177,-1.21281725518818
"Quercus_alba",-12.8417220536822,-11.1321482474527,-14.3325946097512,-9.45323034716444,-2.68792730332371,-1.96788486400975
"Quercus_coccifera",-12.9080093093143,-8.89688290895636,-21.1377446343932,-18.0054982113161,-2.49909852733206,-1.25353005823548
"Quercus_rubra",-11.541503412389,-10.7820767327712,-18.2523888136249,-16.8825971958816,-2.55992477735377,-2.16659762217566
"Quercus_ellipsoidalis",-13.1527167372834,-7.55007650247452,-17.4716804133406,-13.6925396080061,-2.629085239323,-1.22018728591304
"Quercus_velutina",-13.1282505077508,-11.5288021807705,-14.6917259894585,-9.87292893750926,-2.46793354878752,-1.60005876897444
"Quercus_shumardii",-12.1175585549429,-7.18489368761075,-17.0407757038241,-12.3644336259816,-2.39722532319842,-1.31281011648024
"Quercus_ilex",-17.7286172645124,-18.7209457109207,-23.288150861448,-22.7822816486218,-2.57307069849774,-1.40493431823286
"Quercus_petraea",-12.4486584846102,-12.6982119653576,-16.4729275997949,-14.1852678943447,-2.63691694231626,-1.64007299640572
"Quercus_pubescens",-16.4199425385293,-15.9015605878533,-14.7396994321186,-5.83004247223895,-2.32650316120877,-0.978769810633835
"Quercus_robur",-11.6609396933503,-11.3780100372695,-13.1811309372057,-10.1104893989981,0.280741296011974,1.9881304427484
"Rhamnus_cathartica",-11.9026863115527,-11.3900432190326,-4.58383839260039,-4.04159754297271,-1.92679057157285,-1.89300394872268
"Rhamnus_alpina",-8.89854453559376,-6.84091642504652,-11.5275243225931,-13.2805766226795,-1.14482528024167,-0.915636860236802
"Rhamnus_frangula",-10.6651980639774,-9.9667899674148,-6.97996736743386,-7.4542548109681,-1.28723618144881,-1.1485753308299
"Salix_gracilistyla",-6.14896486768684,-7.51574208519699,-7.37538530771357,-7.76562076591409,-1.0254915905854,-0.975623610938161
"Salix_smithiana",-4.70824153712128,-4.6144195105575,-4.99772017952713,-4.74496183367533,-1.98154924492419,-2.26575467461076
"Salix_repens",-6.01734557189917,-7.11339348708291,-9.73208123108734,-11.6772367527805,-1.15934184131636,-1.11487410300201
"Sambucus_tigranii",-5.32599282822075,-7.39687528363743,-8.11894811980066,-10.432413761816,-0.834529913426708,-1.04875297258468
"Sambucus_pubens",-5.32656019675411,-7.42048622882762,-8.29816036515283,-10.6845099729054,-0.787437277892899,-1.0330841570383
"Sorbus_aucuparia",-5.60051639437938,-6.34738083072697,-5.67404774228316,-8.39291390701416,-0.804723494311174,-1.10735899629978
"Sorbus_torminalis",-6.21369036034846,-8.01196962913993,-8.15448157389451,-10.8941868040332,-0.827846175208519,-1.08853552138906
"Sorbus_aria",-5.67382574317752,-6.98187987112754,-8.86303988539375,-13.0651918069078,-0.863336744325088,-1.08139887334874
"Sorbus_decora",-5.77923315259361,-7.33696188680275,-6.40022437210659,-8.57476943818627,-0.847497642167968,-1.09258981788542
"Sorbus_commixta",-5.87947737026386,-7.37965310895445,-5.84271542767913,-7.50882750698536,-0.770827069594028,-1.00828924902057
"Spirea_alba",-5.51256099425078,-6.50900174569836,-2.58254423037591,-5.95387798481245,-0.990666588715314,-1.04604642890149
"Stachyurus_praecox",-6.02365884867012,-7.54955999311345,-6.21988315180681,-7.89909071486443,-1.08498503515274,-1.05339118338514
"Stachyurus_sinensis",-5.64844879994224,-7.03433745560947,-6.14337702555192,-7.56121406728518,-0.974958267467936,-0.99180680161462
