"","longitude","latitude","pmm","pmm2C","lmm","lmm2C"
"65",24.125,67.875,31.0086151484043,29.4592671029779,31.029429030666,29.4771878670229
"66",24.375,67.875,30.8087709519869,29.2652168353202,30.8291399070904,29.2827090978786
"67",24.625,67.875,30.5938857496768,29.0613927697332,30.6137905638868,29.0784522494986
"68",24.875,67.875,30.5503649064131,29.0126047185062,30.570158975185,29.0295385204047
"69",25.125,67.875,30.5921260111602,29.0583162292257,30.6119734967758,29.0753146472896
"70",25.375,67.875,30.6971759907631,29.1633662088287,30.7172164773585,29.1805576278723
"71",25.625,67.875,30.9005408484074,29.3696280308528,30.920981702554,29.3872280302835
"72",25.875,67.875,31.0839384493214,29.5374873682749,31.1047533956193,29.5554174091919
"73",26.125,67.875,31.0524430422587,29.5123126107682,31.0731913002129,29.5301938822561
"74",26.375,67.875,30.9697561091986,29.4335760836807,30.9903432940678,29.4513074814052
